# L (m)  = 0.1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   2.9100000000e+02  -7.1787158976e+03   1.2082309197e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   2.0833333333e-04   2.0833333333e-03   3.0713557884e+02  -8.6889056333e+03   1.1444579991e+00   2.8034547685e-43   2.2397714520e-57   1.2099260078e-40   2.3162440630e-01   7.3626344662e-28   7.3163951669e-04   2.4175241418e-26   6.4767476141e-25  1.1727171983e-184  3.9014597130e-187  9.3455346288e-176  2.0504344863e-182  4.0543868736e-158  6.2383863405e-145   3.0567168976e-47   8.9366426561e-04   6.9567068320e-96   1.1564333650e-94  2.0042647993e-133  1.7184534780e-139  4.7296873233e-126  6.7073344050e-250  3.6862524158e-217  1.0649182569e-251  1.6506109444e-234   0.0000000000e+00  5.3764603230e-259  1.6089325936e-187  1.3734222996e-173  2.3806412046e-195   1.7956177586e-78   2.0822844203e-81   9.8399382941e-77   1.8147533040e-60   1.1957589900e-65   5.6645669311e-16   3.0451265010e-10   9.8649709101e-19   4.3383480154e-42  9.0407864477e-140  1.5003941248e-111  2.7299766293e-154  3.0406113337e-170  9.4398489762e-122   1.0938010745e-90   1.0985141996e-72   1.6247324279e-91   7.6675028962e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00  1.0215535594e-208  1.7317700909e-200
   6.2500000000e-04   6.2500000000e-03   3.3926457279e+02  -1.1709285108e+04   1.0355371163e+00   6.7022229321e-39   1.1299609189e-51   1.2479245197e-36   2.2887321879e-01   4.8714449893e-25   2.1949185501e-03   5.8349146940e-24   9.7708956857e-23  2.7348068109e-166  1.6734818351e-168  3.0699908895e-158  2.7085402364e-164  2.2722627701e-142  1.4408649470e-130   3.3501425089e-42   2.6809927969e-03   3.3455389063e-86   3.1903856979e-85  2.7831019311e-120  7.4442214759e-126  9.9658992217e-114  6.0183423331e-225  1.8206216936e-195  1.1378859853e-226  2.8059822011e-211  6.3757716927e-242  1.3669105301e-233  7.7971339329e-169  2.4127290806e-156  4.4943646988e-176   7.4031539951e-71   1.8033907102e-73   2.8877983312e-69   1.1976921133e-54   1.9128763510e-59   1.6615579897e-14   1.0624906284e-09   2.0113347475e-17   3.3982566074e-38  6.9811650255e-126  1.9580355932e-100  4.1003510014e-139  8.5864471240e-154  5.4236275584e-110   7.1324131284e-82   1.3917859007e-65   1.4188548493e-82   7.6625086880e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00  4.0852492574e-188  8.7749519949e-181
   1.0416666667e-03   1.0416666667e-02   3.7119441731e+02  -1.4729664581e+04   9.4596933126e-01   1.8237930056e-35   4.5954972557e-47   2.5053493268e-33   2.2612203050e-01   8.3920544239e-23   3.6581975834e-03   4.3437176404e-22   4.0586866640e-21  2.3774278896e-151  1.9721497746e-153  3.5857302665e-144  9.9200273494e-150  7.6345410231e-130  2.8579237376e-119   3.1731750961e-38   4.4683213281e-03   1.7050722707e-78   8.3993865909e-78  6.6959372818e-110  4.5207266111e-115  4.1279939403e-104  7.5956727282e-205  3.9243863609e-178  1.1032382619e-206  7.3660429181e-193  6.4880479788e-221  1.4780883665e-213  6.8516430634e-154  1.1334809520e-142  9.9479534325e-161   1.3614466380e-64   5.0149269568e-67   2.6999549844e-63   4.0365584973e-50   1.9807351201e-54   2.6716470256e-13   2.9452731972e-09   2.3882922636e-16   4.4238005351e-35  1.2489548338e-114   1.5111776345e-91  5.6481558804e-127  1.6153733445e-140  1.4105453408e-100   7.0162150194e-75   5.3608792095e-60   2.1652041715e-75   7.6575144764e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00  9.0403637436e-172  2.8965465425e-165
   1.4583333333e-03   1.4583333333e-02   4.0291347647e+02  -1.7750044056e+04   8.7104607396e-01   1.2550242861e-32   3.1794395365e-43   1.4566532357e-30   2.2337084079e-01   5.9740188002e-21   5.1214766168e-03   1.5209915837e-20   8.3352887892e-20  6.8788467036e-139  7.0302012470e-141  1.7638202704e-132  1.2676383313e-137  1.8379928162e-119  6.1117739096e-110   6.1678088066e-35   6.2556498593e-03   4.1742522688e-72   1.1245746169e-71  2.5790650501e-101  3.7489157996e-106   3.4534056417e-96  4.0065599382e-188  9.5485542565e-164  4.2165186366e-190  1.3065275103e-177  1.6075294960e-203  5.3419284287e-197  1.7439746551e-141  2.3715926606e-131  5.2512514758e-148   2.3785177445e-59   1.1827384440e-61   2.4378106765e-58   2.1518166303e-46   2.9604420290e-50   2.7252770390e-12   6.8672714244e-09   1.8859490391e-15   1.6965155597e-32  2.9652609539e-105   3.6038758679e-84  6.7230792584e-117  1.8004475269e-129   9.2666231486e-93   4.3338000810e-69   2.2036219452e-55   2.0248725275e-69   7.6525202587e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00  3.0986120407e-158  1.9206775818e-152
   1.8750000000e-03   1.8749999999e-02   4.3441025755e+02  -2.0770423530e+04   8.0747185975e-01   3.1260539261e-30   5.7110708811e-40   3.2395128375e-28   2.2061964883e-01   2.1970153000e-19   6.5847556503e-03   3.0450195017e-19   1.0433592965e-18  2.5108687818e-128  3.0102356118e-130  1.3815554482e-122  2.2294375271e-127  1.0913323835e-110  4.5418014958e-102   3.6901123847e-32   8.0429783905e-03   1.0472089258e-66   1.6550301803e-66   4.5707417991e-94   1.2658768018e-98   1.6341018028e-89  5.7528965214e-174  1.4019434438e-151  4.4167261678e-176  9.8974389975e-165  7.9094402310e-189  5.0288917382e-183  5.4225339262e-131  8.6805786798e-122  2.9868702744e-137   6.7015061227e-55   4.2243551032e-57   3.7814770681e-54   2.9641398812e-43   1.0128320556e-46   1.9536171667e-11   1.4013830802e-08   1.0864898383e-14   2.5885162969e-30   2.5953263599e-97   6.2574920441e-78  2.2270629636e-108  4.0638636324e-120   3.7935639270e-86   3.3776369936e-64   1.7240881894e-51   2.2862440234e-64   7.6475260310e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00  8.4072147244e-147  1.2657858522e-141
   2.2916666667e-03   2.2916666664e-02   4.6567369545e+02  -2.3790803007e+04   7.5287075087e-01   3.5431343650e-28   3.5594194628e-37   3.3681567332e-26   2.1786845364e-01   4.8311615651e-18   8.0480346838e-03   3.9523413160e-18   8.9835459983e-18  2.9336606257e-119  4.0024297196e-121  4.2359185642e-114  1.3677993308e-118  3.6168525367e-103   2.4936386140e-95   8.8370702161e-30   9.8303069218e-03   4.4462595584e-62   4.3970763274e-62   7.4059487446e-88   3.5507490811e-92   8.4019619134e-84  8.0618379776e-162  3.8041580412e-141  4.6237518666e-164  1.0739566973e-153  3.0685595808e-176  4.6679850384e-171  5.3966649265e-122  1.3630399197e-113  4.9660561046e-128   4.4599527701e-51   3.4195761303e-53   1.4817004641e-50   1.4371936604e-40   1.0895432326e-43   1.0595204046e-10   2.5752574920e-08   4.8807447931e-14   1.9225217258e-28   1.6981942110e-90   1.4033906196e-72  4.4947501276e-101  4.3089873120e-112   1.7744383405e-80   5.2534017526e-60   3.7261407630e-48   4.9325015139e-60   7.6425317890e-01   0.0000000000e+00  4.4567680085e-251  9.1587845075e-246  5.2740580892e-137  2.3303112183e-132
   2.7083333333e-03   2.7083333327e-02   4.9669340548e+02  -2.6811182487e+04   7.0548619412e-01   2.1460297444e-26   9.4981525164e-35   1.8991412511e-24   2.1511725411e-01   7.0475470774e-17   9.5113137175e-03   3.6342634453e-17   5.7683728473e-17  2.1658431059e-111  3.2933716442e-113  9.7199924809e-107  5.7249804988e-111   1.1981332426e-96   1.7222506319e-89   1.0201416906e-27   1.1617635453e-02   4.5714728022e-58   2.9921122995e-58   1.7842945529e-82   1.3719561701e-86   7.4139509459e-79  2.7750636622e-151  4.2548542978e-132  1.2221912634e-153  3.9468678544e-144  2.5039149375e-165  1.0953068554e-160  3.4310431186e-114  1.7373194906e-106  4.9208832511e-120   9.2966374009e-48   8.4167873812e-50   1.9336690676e-47   3.0430676052e-38   4.6401989094e-41   4.5911116962e-10   4.3518858578e-08   1.7956766556e-13   8.0336820047e-27   1.3894131224e-84   6.1327970722e-68   9.6981940588e-95  3.9473662228e-105   1.4657833265e-75   2.2595576066e-56   2.8926095832e-45   2.8311943801e-56   7.6375375274e-01   0.0000000000e+00  1.0833002440e-235  6.2159146548e-231  1.6401465494e-128  2.4866982061e-124
   3.1250000000e-03   3.1250000000e-02   5.2745990130e+02  -2.9831561952e+04   6.6399126099e-01   7.8182418766e-25   1.2699937029e-32   6.4967171630e-23   2.1236604897e-01   7.3654359933e-16   1.0974592750e-02   2.5271997966e-16   2.9263714210e-16  1.6836830912e-104  2.8104479833e-106  2.7065276500e-100  2.6962649413e-104   6.1117930496e-91   2.2151777435e-84   6.5122780843e-26   1.3404963984e-02   1.4848931353e-54   6.7486691761e-55   9.1561945290e-78   1.0613392378e-81   1.5703752595e-74  4.6755124420e-142  3.5614818765e-124  1.6245110434e-144  9.2907052230e-136  8.8873938584e-156  1.3017380336e-151  2.3301292181e-107  2.8821720787e-100  4.9304571807e-113   7.5118544776e-45   7.8525329024e-47   1.0324026645e-44   3.2954607701e-36   9.2956563893e-39   1.6564222830e-09   6.8701389946e-08   5.6145311546e-13   2.1036834829e-25   2.0898998224e-79   7.0900915722e-64   3.3991610660e-89   4.9265066137e-99   2.9568593534e-71   3.4221445732e-53   9.7885988296e-43   5.5338934336e-53   7.6325432393e-01   0.0000000000e+00  3.1714432916e-222  5.9378831816e-218  4.4484958027e-121  2.6354196057e-117
   3.5416666667e-03   3.5416666667e-02   5.5796477597e+02  -3.2851941426e+04   6.2736465418e-01   1.8738980247e-23   9.5973267141e-31   1.4700013352e-21   2.0961483660e-01   5.8472435521e-15   1.2437871784e-02   1.3964578968e-15   1.2244201786e-15   2.0390980828e-98  3.6933818237e-100   1.3228960572e-94   2.0943093710e-98   6.6718023069e-86   7.1455677298e-80   2.5517771448e-24   1.5192292515e-02   1.8658720649e-51   6.1350445600e-52   1.3148964626e-73   2.1841031055e-77   1.0291742815e-70  6.5325487107e-134  3.5158502240e-117  1.8359079187e-136  2.2743272919e-128  2.3848493333e-147  1.3281390657e-143  2.5021856821e-101   8.9126679881e-95  7.4715393733e-107   2.7724758483e-42   3.2880867300e-44   2.6380933654e-42   2.0568083267e-34   9.9946461603e-37   5.1363339080e-09   1.0254593590e-07   1.5348796666e-12   3.7476947871e-24   7.7647567824e-75   2.7381864176e-60   2.6627925158e-84   1.1868081044e-93   1.8652745892e-67   2.1933359869e-50   1.6723472572e-40   4.4478311247e-50   7.6275489142e-01   0.0000000000e+00  2.4381063909e-210  1.6964381221e-206  1.6173378272e-114  4.1742022083e-111
