# L (m)  = 0.006
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   2.9100000000e+02  -7.1787158976e+03   1.2082309197e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   1.2500000000e-05   6.6429136306e-03   3.3555156845e+02  -2.0160282703e+04   1.0473903733e+00   5.0577018278e-07   1.7777562967e-11   5.3057260179e-07   2.2863326649e-01   1.3174307543e-06   1.9967971836e-03   1.2209554178e-06   4.0962167428e-07  -2.0747956714e-26   2.1917998133e-31  -3.9169960856e-26   1.4669877605e-27   3.0028226830e-22   1.0784386829e-19   3.4343102677e-05   3.4874181776e-03   2.2576762290e-17   2.1052998169e-15   3.9099419486e-26   1.3039761634e-21   1.3502732737e-20  -9.7766524649e-34   8.3730677506e-23   1.5396985872e-32   4.1216450551e-25  -4.7859111268e-28  -1.9147671263e-26   1.9588103099e-26   4.1529738693e-21   4.8222195527e-22   3.1226956585e-16   4.8716776842e-15   1.3502820425e-15   1.4197052624e-14   2.4128493705e-19   2.5520254840e-06   7.8645577951e-07   2.7284702515e-08   1.4897471154e-10   5.5213911609e-26   3.4212653299e-12   3.6362037437e-16   4.5191129512e-31   2.3235900418e-15   2.5438418349e-14   2.6481364553e-12   7.7467488775e-15   7.6584082430e-01   4.4915912865e-25  -2.2487965980e-27  -1.3341367813e-25   3.7445229574e-26   1.7886676529e-28
   3.7500000000e-05   1.7370104635e-02   4.0930602594e+02  -3.6368837834e+04   8.5814656429e-01   1.3448383914e-06   1.6165406102e-10   1.4200326898e-06   2.2158218148e-01   3.5183638599e-06   5.0944973519e-03   3.2470709180e-06   1.0661856779e-06  -2.0805434446e-26  -7.6774154886e-31   3.3851976998e-25   1.1474557689e-26   8.5987279730e-22   2.8359198065e-19   9.0503570405e-05   9.0760829275e-03   5.6707780194e-16   5.4399482602e-15   1.0521124306e-24   3.7318033145e-21   3.4697164986e-20  -3.8918400502e-30   2.1896331435e-22   4.5449239511e-31   1.0470531600e-24  -1.1757640188e-27  -4.6927207207e-26   1.8248308054e-25   1.0729641453e-20   1.2457176764e-21   8.3433061192e-16   1.6615745090e-14   3.5965947658e-15   3.6476814981e-14   1.5912528826e-17   6.7351812500e-06   2.0349612641e-06   7.1026471843e-08   3.9527695214e-10   1.5976128066e-23   8.7805896085e-12   9.3150604777e-16   1.0682441629e-30   6.0549310072e-15   6.6307311377e-14   6.9012327177e-12   2.0830907715e-14   7.6413729689e-01   1.1812560777e-24  -5.7632965964e-27  -3.6127157269e-25   3.2632917235e-25  -1.1821889900e-27
   6.2500000000e-05   2.6855838607e-02   4.7357155286e+02  -4.9713393670e+04   7.4132417219e-01   2.0974109494e-06   5.6475550495e-10   2.2872925432e-06   2.1534716274e-01   5.6185191319e-06   7.7720233160e-03   5.1932679300e-06   1.6215923887e-06  -6.2401093970e-26  -8.3798465144e-30   7.3585312350e-25   3.4382569636e-26   1.6451554361e-21   4.4074649993e-19   1.4051803044e-04   1.4000947609e-02   3.0478195039e-15   8.4877911559e-15   7.4768192921e-24   6.7128451351e-21   5.3004156009e-20   5.2502926343e-33   3.3956211899e-22   3.0809807977e-30   1.5743331133e-24  -1.7417954565e-27  -6.6330100091e-26   5.5770368626e-25   1.6562444393e-20   1.9194587150e-21   1.3536986825e-15   3.7566110420e-14   5.7143372263e-15   5.5915540608e-14   1.8261881893e-16   1.0492440497e-05   3.0793064879e-06   1.0956568380e-07   6.2788109176e-10   4.1979251483e-22   1.3456056550e-11   1.4120992416e-15  -6.8411754565e-31   9.3543772652e-15   1.0247946472e-13   1.0663092786e-11   3.4789801013e-14   7.6270884725e-01   1.8357546756e-24  -9.4641425887e-27  -5.6743429183e-25   1.1407767941e-24  -4.1663599037e-27
   8.7500000000e-05   3.5495830050e-02   5.3124185903e+02  -6.1278098583e+04   6.6056112576e-01   2.7894094205e-06   1.4461092338e-09   3.2046295221e-06   2.0966789879e-01   7.7580964663e-06   1.0172465434e-02   7.1823155379e-06   2.0982880968e-06  -2.1840902389e-26   1.0482603996e-29   7.6862186506e-25   7.9647030973e-26   2.8494106632e-21   5.8581548351e-19   1.8631814247e-04   1.8478642850e-02   1.0056872608e-14   1.1504988326e-14   3.1129859249e-23   1.0565790594e-20   6.9233115895e-20   5.3600903955e-30   4.5101921247e-22   1.2325353159e-29   2.0330489726e-24  -2.2763863724e-27  -7.8270881964e-26   1.1983629266e-24   2.1983203759e-20   2.5369569149e-21   1.9649802587e-15   7.4714985953e-14   7.8404592883e-15   7.3518846743e-14   1.0432016523e-15   1.3979412482e-05   3.9440957791e-06   1.4458992209e-07   8.6158455403e-10   3.9394652471e-21   1.7687795092e-11   1.8082635827e-15  -6.1675396137e-31   1.2367645526e-14   1.3555294883e-13   1.4099939045e-11   5.1281340700e-14   7.6145357204e-01   2.4394194526e-24  -1.3485064606e-26  -7.3450537644e-25   2.8213561638e-24  -7.4404924947e-27
   1.1250000000e-04   4.3513043212e-02   5.8398843725e+02  -7.1595329221e+04   6.0066432322e-01   3.4360955904e-06   3.1547854345e-09   4.2272500482e-06   2.0439772549e-01   1.0037533269e-05   1.2373871836e-02   9.2647360228e-06   2.5119658647e-06   1.7471662008e-26  -5.5386127237e-29   1.2343155959e-24   1.6151428639e-25   4.6221061689e-21   7.2253813424e-19   2.2901697073e-04   2.2629585936e-02   2.6070707569e-14   1.4682389213e-14   9.7482182525e-23   1.5381982936e-20   8.3780554279e-20   1.7375781590e-31   5.5662163079e-22   3.7175921285e-29   2.4559827000e-24  -2.7849368521e-27  -8.3770454930e-26   2.1748066673e-24   2.7201735699e-20   3.1166018172e-21   2.7813070460e-15   1.3563958246e-13   1.0067719451e-14   8.9858172035e-14   4.0766224568e-15   1.7286010986e-05   4.6412623754e-06   1.7703950417e-07   1.1045361769e-09   2.1051386195e-20   2.1606719723e-11   2.1037019065e-15   3.6526475260e-29   1.5175998193e-14   1.6641651956e-13   1.7304502925e-11   7.1436571202e-14   7.6031821315e-01   3.0073037091e-24  -1.7392779460e-26  -8.4566744682e-25   5.7637107499e-24  -9.4499185165e-27
   1.3750000000e-04   5.1046789677e-02   6.3287559181e+02  -8.0965812677e+04   5.5406777058e-01   4.0473722480e-06   6.1945751964e-09   5.4055496842e-06   1.9944501325e-01   1.2543665590e-05   1.4423761915e-02   1.1443742408e-05   2.8733138030e-06  -3.2921692790e-27   5.4459525197e-30   3.4938334779e-24   2.9784711158e-25   7.0505071305e-21   8.5335267356e-19   2.6932592872e-04   2.6528323128e-02   5.8194984577e-14   1.8181662828e-14   2.5492568981e-22   2.1020255396e-20   9.6834836861e-20  -2.7032298780e-30   6.5871426481e-22   9.3378927724e-29   2.8708429416e-24  -3.2101837093e-27  -8.3957463671e-26   3.5881618189e-24   3.2375382256e-20   3.6698655768e-21   3.9313541306e-15   2.2831035560e-13   1.2469068173e-14   1.0530541755e-13   1.2497260878e-14   2.0469419927e-05   5.1774093300e-06   2.0749759461e-07   1.3608807729e-09   7.9444964416e-20   2.5292749482e-11   2.2731096750e-15   5.1413384342e-30   1.7830133381e-14   1.9562256653e-13   2.0334653188e-11   9.6122400567e-14   7.5927140063e-01   3.5488031925e-24  -2.0509383346e-26  -8.9348218668e-25   1.0350674105e-23  -8.8000080126e-27
   1.6250000000e-04   5.8190781710e-02   6.7862883175e+02  -8.9579597618e+04   5.1654152641e-01   4.6301741001e-06   1.1229278652e-08   6.7916887106e-06   1.9474812849e-01   1.5361796484e-05   1.6353415091e-02   1.3688207180e-05   3.1894840769e-06   3.4167633955e-26   3.3767398742e-29   5.8271180963e-24   5.0805618792e-25   1.0134810986e-20   9.8002948729e-19   3.0773652410e-04   3.0224646938e-02   1.1674390860e-13   2.2146351118e-14   5.8642550645e-22   2.7102141953e-20   1.0847279507e-19   1.0973745376e-30   7.5925712237e-22   2.0548292534e-28   3.3007831126e-24  -3.4685829714e-27  -8.0047560035e-26   5.5839395271e-24   3.7639541076e-20   4.2047431679e-21   5.5656010101e-15   3.6077251028e-13   1.5110476926e-14   1.2013057789e-13   3.2251372403e-14   2.3568014662e-05   5.5576115138e-06   2.3635424949e-07   1.6319673831e-09   2.3774408989e-19   2.8798801803e-11   2.2955987596e-15   5.4756053350e-30   2.0364516165e-14   2.2354484040e-13   2.3229632026e-11   1.2605758481e-13   7.5829303631e-01   4.0702274735e-24  -2.2143021063e-26  -8.8109144185e-25   1.6862727655e-23  -4.4216035480e-27
   1.8750000000e-04   6.5011593917e-02   7.2176806152e+02  -9.7568302424e+04   4.8551778227e-01   5.1896722704e-06   1.9071018894e-08   8.4433967856e-06   1.9026328744e-01   1.8581913733e-05   1.8184635782e-02   1.5942712122e-05   3.4650474016e-06   4.3662329272e-26   1.3390320609e-28   9.5240374739e-24   8.1243925778e-25   1.3787907833e-20   1.1039887360e-18   3.4461005762e-04   3.3753724557e-02   2.1558375210e-13   2.6700002229e-14   1.2226164400e-21   3.3095878688e-20   1.1872087116e-19  -9.1438903306e-28   8.6012488921e-22   4.0868886507e-28   3.7650882144e-24  -3.4780651787e-27  -7.3280073813e-26   8.3701005357e-24   4.3124554578e-20   4.7274624127e-21   7.8696393973e-15   5.4081273030e-13   1.8058414833e-14   1.3454886686e-13   7.3049985986e-14   2.6607837511e-05   5.7878720719e-06   2.6388518553e-07   1.9169776678e-09   6.0428483230e-19   3.2162163102e-11   2.1716591377e-15   1.5273486906e-29   2.2804388144e-14   2.5045598888e-13   2.6017880778e-11   1.6187034653e-13   7.5736943919e-01   4.5760442187e-24  -2.1793493058e-26  -8.1967946960e-25   2.5396706787e-23   4.3669697375e-27
   2.1250000000e-04   7.1558541045e-02   7.6268027228e+02  -1.0503019645e+05   4.5933850802e-01   5.7299418569e-06   3.0656797246e-08   1.0426118871e-05   1.8595805022e-01   2.2302125176e-05   1.9933299935e-02   1.8137499829e-05   3.7025690073e-06   9.9181348106e-28   3.7837327335e-28   1.7637759284e-23   1.2331898468e-24   1.7877278738e-20   1.2264848298e-18   3.8022651458e-04   3.7141470899e-02   3.7224107368e-13   3.1936869112e-14   2.3545796033e-21   3.8497041645e-20   1.2760183752e-19  -3.5810798168e-25   9.6331014762e-22   7.5193706071e-28   4.2802650792e-24  -3.1919199378e-27  -6.4797607924e-26   1.2241449811e-23   4.8967068060e-20   5.2434806176e-21   1.1079581407e-14   7.7567760587e-13   2.1384751867e-14   1.4874645728e-13   1.4926578904e-13   2.9605917054e-05   5.8767357514e-06   2.9029354908e-07   2.2133633932e-09   1.3626392736e-18   3.5410498627e-11   1.9335785641e-15   2.9172357094e-29   2.5169631607e-14   2.7657112683e-13   2.8721238515e-11   2.0413522695e-13   7.5649084792e-01   5.0695423478e-24  -1.9394424081e-26  -7.2460544676e-25   3.5804598595e-23   1.7853388608e-26
