# L (m)  = 0.02
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   2.9100000000e+02  -7.1787158976e+03   1.2082309197e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   4.1666666667e-05   6.9703875249e-03   3.3827411017e+02  -2.0831157097e+04   1.0389633614e+00   2.5488789634e-08   1.7635809141e-13   2.8347988436e-08   2.2839628691e-01   3.4463686285e-07   2.1055192069e-03   3.9005678743e-08   1.1737365902e-07   9.8557970718e-30   1.2995772975e-35  -1.1845905982e-28   3.2177352810e-32  -8.9275943263e-28   2.0968239236e-25   2.0276431108e-06   3.7223121701e-03   1.3099287093e-20   1.8560541771e-19  -1.0967117200e-31   2.6918217681e-28   3.0938207853e-25  -3.3232799705e-33  -1.7977247716e-24   3.4615583150e-34  -6.0984516985e-26  -2.4726796598e-28  -2.2979644466e-31  -2.4084723305e-31   4.7073720596e-27  -1.8537190719e-24   3.1693724077e-20   7.9189879172e-19   1.3891966830e-16   1.3991039796e-15   2.6019443824e-21   3.3705980495e-06   7.8852457030e-07   3.3843879501e-08   6.2840033651e-12   4.3051467871e-31   1.0983451352e-16   3.9065481638e-22   1.8328688407e-35   8.7437530280e-18   2.6150474253e-17   6.8300628434e-15   9.4450321441e-19   7.6576910569e-01  -2.5004039328e-23  -3.7084950100e-27   2.5490833320e-27   9.6645894108e-31  -1.9625610711e-25
   1.2500000000e-04   1.8104102884e-02   4.1579812931e+02  -3.7404425672e+04   8.4476409106e-01   6.7368010491e-08   1.8629781228e-12   7.6372130425e-08   2.2104282174e-01   9.1497916488e-07   5.3307281895e-03   1.0569791755e-07   2.9959503515e-07   1.5216993789e-28   8.0074775859e-34  -5.9858060269e-28   1.9995476450e-31  -2.5620899569e-27   5.5045391935e-25   5.3101728510e-06   9.6216415355e-03   3.8228912366e-19   4.8132198005e-19   2.6188546016e-31   1.3241963596e-27   8.0014746568e-25  -4.1067234131e-28  -4.6201180409e-24   7.5260692167e-33  -1.7140842836e-25  -5.4897228868e-28  -5.1356141782e-31  -2.6207973520e-30   2.4323863609e-26  -4.8943228309e-24   9.7884671467e-20   6.9877665400e-18   3.6638243424e-16   3.5672593542e-15   2.1034103069e-19   8.8314079828e-06   2.0353323320e-06   8.7506160709e-08   1.6562442347e-11   1.6996232087e-28   2.7944188199e-16   9.8890842686e-22  -1.4117795404e-34   2.2607855059e-17   6.7614686229e-17   1.7659869633e-14   3.0835419740e-18   7.6398708063e-01  -6.4050784038e-23  -1.0829260026e-26   6.3091479425e-26   1.1835415360e-29  -5.6599912381e-25
   2.0833333333e-04   2.7917731734e-02   4.8303779969e+02  -5.1013913858e+04   7.2682353534e-01   1.0482272683e-07   6.5528338907e-12   1.2600131761e-07   2.1456121683e-01   1.4544513680e-06   8.1085413868e-03   1.7600136106e-07   4.4505708029e-07   1.0161967856e-27   4.7142635474e-33   8.8390761240e-28   6.4170983561e-31   4.4628878939e-27   8.5296640516e-25   8.2269952052e-06   1.4804060078e-02   2.0566412872e-18   7.7327530858e-19   5.8067447761e-30   3.7848793339e-27   1.1974640732e-24  -8.3856845590e-31  -7.0814441183e-24   3.7088165564e-32  -2.6713738785e-25  -8.5188014662e-28  -6.7496531695e-31  -9.7895754511e-30   4.2588336005e-26  -7.5835979400e-24   2.2264939159e-19   3.1056277771e-17   5.7406281459e-16   5.4535959124e-15   2.4509583695e-18   1.3694177848e-05   3.1056813200e-06   1.3464294424e-07   2.6014327924e-11   4.5884918953e-27   4.2626236819e-16   1.4525157070e-21   7.7428382099e-33   3.4786130588e-17   1.0403697422e-16   2.7173519368e-14   7.1142824762e-18   7.6249871332e-01  -9.8298627580e-23  -2.1966285041e-26   1.2086618402e-25   5.0955838418e-29  -8.4005035623e-25
   2.9166666667e-04   3.6839745972e-02   5.4322214979e+02  -6.2771685361e+04   6.4602938845e-01   1.3921325067e-07   1.6369705909e-11   1.8203771682e-07   2.0866847617e-01   1.9958165186e-06   1.0594232428e-02   2.5584274756e-07   5.6167755066e-07  -2.6369399332e-28   1.4680674748e-29   2.7396301213e-27   8.2872936920e-31   2.2896884013e-26   1.1295932271e-24   1.0897757855e-05   1.9507796362e-02   6.5914597723e-18   1.1018999294e-18   2.9759689779e-29   7.8536651084e-27   1.5171708489e-24  -8.1829492086e-28  -9.3213795600e-24   1.2149421952e-31  -3.4490231485e-25  -1.1778135700e-27  -5.4374572432e-31  -2.5954010936e-29   5.6981864579e-26  -1.0033646539e-23   4.4747823951e-19   9.1556269795e-17   7.7102196494e-16   7.1647461708e-15   1.3624639518e-17   1.8159136215e-05   4.0380829000e-06   1.7741207513e-07   3.4872597963e-11   4.1158067816e-26   5.5814399817e-16   1.7290623651e-21  -9.0779749008e-30   4.5836080769e-17   1.3708461932e-16   3.5808392334e-14   1.4422120035e-17   7.6119308854e-01  -1.2867261769e-22  -3.6470930842e-26   1.5828972840e-25   1.6457330856e-28  -9.9662899814e-25
   3.7500000000e-04   4.5108758371e-02   5.9818449054e+02  -7.3221862685e+04   5.8645336324e-01   1.7134233663e-07   3.4554390738e-11   2.4797184293e-07   2.0320699757e-01   2.5623607160e-06   1.2871426646e-02   3.4877295245e-07   6.5591500779e-07   4.3808694228e-27  -1.1450613764e-31  -1.0022579360e-26  -3.9827977961e-31   5.2224084902e-26   1.3876527752e-24   1.3391525421e-05   2.3863723419e-02   1.6486860890e-17   1.5040830527e-18   1.0393497156e-28   1.3415889519e-26   1.7659598301e-24  -9.3665562204e-31  -1.1387593639e-23   3.3889769365e-31  -4.0039725956e-25  -1.3049041638e-27   1.9730794043e-31  -5.5056678898e-29   6.5701696703e-26  -1.2308481807e-23   8.0293492243e-19   2.0870773144e-16   9.6144894147e-16   8.7639713702e-15   5.1231825733e-17   2.2340638041e-05   4.8516358739e-06   2.1700168386e-07   4.3181840055e-11   2.2643694397e-25   6.7932363590e-16   1.7522640460e-21  -2.0962106435e-32   5.6064754503e-17   1.6767578358e-16   4.3807837830e-14   2.6410676135e-17   7.6001306467e-01  -1.5766959215e-22  -4.9101847187e-26   1.5687724637e-25   3.9915598222e-28  -9.9396216333e-25
   4.5833333333e-04   5.2872646033e-02   6.4907982218e+02  -8.2671515567e+04   5.4028601154e-01   2.0174044928e-07   6.5944456618e-11   3.2696779267e-07   1.9807910796e-01   3.1750272837e-06   1.4990613284e-02   4.5708574112e-07   7.3243975869e-07  -3.4091784302e-29  -1.1432179909e-32   2.6133234308e-30   7.8815755039e-31   8.4478706614e-26   1.6321579935e-24   1.5752913944e-05   2.7952213729e-02   3.5715443274e-17   2.0189402967e-18   4.1965477397e-28   1.9327309629e-26   6.7786337700e-25  -1.6945270960e-27  -1.1325867398e-23   8.4549298664e-31  -4.3070515267e-25  -6.5401457511e-28   1.8120918923e-30  -9.4091116030e-29   6.6832066026e-26  -1.4448400366e-23   1.3287189889e-18   4.0319844642e-16   1.1472261822e-15   1.0294990579e-14   1.5171148428e-16   2.6311553180e-05   5.5558421192e-06   2.5414262051e-07   5.1151972821e-11   8.3894880728e-25   7.9237013301e-16   1.5115615996e-21  -3.7524149026e-32   6.5661176089e-17   1.9637556054e-16   5.1324835987e-14   4.4485523705e-17   7.5892529769e-01  -1.8519928380e-22  -4.3176175361e-26  -1.1467244619e-24   1.9284984411e-28   2.1659636821e-24
   5.4166666667e-04   6.0230304654e-02   6.9669024377e+02  -9.1315186967e+04   5.0320673529e-01   2.3079384144e-07   1.1755967975e-10   4.2235243013e-07   1.9321948236e-01   3.8557379761e-06   1.6984842864e-02   5.8202044051e-07   7.9449645588e-07   4.5080083777e-28  -1.8149577772e-28  -4.5874120891e-27   5.9218881431e-30   1.1706547101e-25   1.8670342592e-24   1.8013387708e-05   3.1826653564e-02   7.0431560254e-17   2.6908724722e-18   7.6749235785e-28   3.0362866982e-26  -7.4146865860e-25  -1.4508803028e-29  -9.8870600841e-24   1.7856283918e-30  -4.4203519699e-25  -3.1450583595e-28   3.6977740767e-30  -1.4147940529e-28   5.3621235467e-26  -1.6480461303e-23   2.0952947840e-18   6.9930524773e-16   1.3293247429e-15   1.1791513917e-14   3.8274731599e-16   3.0122203644e-05   6.1548823273e-06   2.8932091777e-07   5.9278883962e-11   2.4761295225e-24   8.9897577814e-16   1.1182184529e-21  -3.5158412986e-29   7.4751303470e-17   2.2356036095e-16   5.8465074175e-14   6.9970520241e-17   7.5790855545e-01  -2.1130326757e-22  -3.7426149614e-26  -1.6750641367e-24   6.3050825632e-29   3.7295033384e-24
   6.2500000000e-04   6.7251685101e-02   7.4157400987e+02  -9.9288273678e+04   4.7261225267e-01   2.5880967249e-07   1.9922808806e-10   5.3790104832e-07   1.8858191304e-01   4.6294059277e-06   1.8877072190e-02   7.2363077858e-07   8.4425010173e-07   2.8289546093e-28   3.7146320572e-31  -1.4450120711e-26  -6.2135263732e-30   1.5025867109e-25   2.0957703073e-24   2.0196829758e-05   3.5524599560e-02   1.2984965568e-16   3.5708592297e-18   1.7447884499e-27   3.9642235536e-26  -4.3369964124e-25  -9.8917295900e-27  -8.5387070443e-24   3.3839320275e-30  -4.4929699824e-25  -1.3489847056e-28   5.2815498541e-30  -2.2291712450e-28   2.5917249734e-26  -1.8423673808e-23   3.2312866502e-18   1.1303472369e-15   1.5087033270e-15   1.3281611048e-14   8.6035203120e-16   3.3809438092e-05   6.6498714030e-06   3.2287872029e-07   6.8251632675e-11   6.1925366554e-24   1.0003284410e-15   7.4960684584e-22  -3.4207126448e-31   8.3424208285e-17   2.4949628303e-16   6.5307485653e-14   1.0400756640e-16   7.5694844239e-01  -2.3642396634e-22  -2.6748859942e-26  -2.1771214665e-24  -1.5804472800e-27   5.3663253880e-24
   7.0833333333e-04   7.3988424853e-02   7.8414590322e+02  -1.0669248783e+05   4.4683099979e-01   2.8605342247e-07   3.2412314405e-10   6.7802707413e-07   1.8413228457e-01   5.5254408903e-06   2.0683981528e-02   8.8056596556e-07   8.8301990683e-07   2.6618234023e-27  -1.5820262301e-28  -3.1528967692e-26  -3.4286348908e-29   1.9261070642e-25   2.3217103505e-24   2.2322615872e-05   3.9073649724e-02   2.2721753381e-16   4.7157359916e-18   3.7518594481e-27   4.9599822116e-26  -1.3826671373e-25  -7.2266440390e-31  -6.5223575351e-24   5.6635846098e-30  -4.6518832432e-25   1.0328409375e-28   6.2914094942e-30  -3.0129954339e-28  -1.9579824201e-26  -2.0291670842e-23   4.9650428706e-18   1.7430072351e-15   1.6869475198e-15   1.4790015200e-14   1.7704050413e-15   3.7401344075e-05   7.0403039405e-06   3.5506739180e-07   7.8763836243e-11   1.3827917496e-23   1.0973071879e-15   5.0315144171e-22   2.4479321456e-29   9.1745941831e-17   2.7438075469e-16   7.1915108316e-14   1.4747496114e-16   7.5603471102e-01  -2.6009267052e-22   2.6400489219e-27  -2.4986878130e-24  -7.4280057698e-27   6.8889470769e-24
