# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527292787e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -2.0115572403e-17  -9.0065929139e-92   5.4987297999e-92   3.0000000000e+02  -2.1502453731e-05   2.8183340879e-35  -6.1636514480e-69   1.1605710729e-59   2.5757724927e-85   4.5253311076e-62   2.3300000000e-01   3.2737048031e-62   1.0261896192e-51   1.8972966400e-53  8.7241399167e-110 -2.9609363447e-107   1.1529601154e-81   1.7320152812e-79   4.5253720405e-69   7.3382874909e-53  8.3473194619e-102   4.6258568660e-74  2.9294630639e-140   7.6700000000e-01   1.9075768848e+03
  -6.7557468720e-01  -7.0054585574e-01   1.1719839921e+00   1.8630700790e-05   5.3371977937e-18  -4.2834027603e-87   2.5335359956e-87   3.0000000000e+02  -2.1502453731e-05   4.9363084978e-36  -6.1009206225e-69   1.1683858945e-55   1.1415373157e-86   1.4020415011e-62   2.3300000000e-01   2.1055033489e-61   2.0121051766e-47   8.4084856999e-55 -3.0489787628e-102 -2.0949228236e-108   3.9458922960e-77   5.9796212430e-75   1.6947078951e-64   1.9258111604e-48   2.2052923074e-97   1.2221155301e-69  3.4349388708e-137   7.6700000000e-01   1.9075768848e+03
  -6.2563235012e-01  -6.5060351866e-01   1.1719839921e+00   1.8630700790e-05   1.7092396347e-17  -1.9300974586e-82   1.1137702820e-82   3.0000000000e+02  -2.1502453731e-05   4.8453953641e-36   1.9921192423e-66   1.0626009194e-51   2.2913064604e-87   2.7665308144e-58   2.3300000000e-01   4.5928132164e-57   4.1202102243e-43   1.6873299416e-55  -1.5439089795e-97  7.2513782969e-107   1.2569226451e-72   1.9201489922e-70   5.9222359622e-60   5.6633519671e-44   6.5403147176e-93   3.6244637701e-65  3.3808857825e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569001303e-01  -6.0066118157e-01   1.1719839921e+00   1.8630700790e-05  -1.8432345590e-17  -7.6000021335e-78   4.2746946437e-78   3.0000000000e+02  -2.1502453731e-05   4.8453953641e-36   5.5638201772e-62   8.4527773622e-48   1.4362732072e-86   5.2695674291e-54   2.3300000000e-01   8.8254917963e-53   7.1774868716e-39   7.1520908954e-55  3.0866686256e-102  5.0564124337e-107   3.4996508070e-68   5.3901633886e-66   1.8093962199e-55   1.4159613321e-39   1.6490966390e-88   9.1388442831e-61  1.7518550610e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574767595e-01  -5.5071884449e-01   1.1719839921e+00   1.8630700790e-05   3.3466495933e-19  -2.5805972652e-73   1.4133336381e-73   3.0000000000e+02  -2.1502453731e-05   4.8453953641e-36   1.3362250074e-57   5.8055459924e-44   4.1817782400e-83   8.6589433177e-50   2.3300000000e-01   1.4637737953e-48   1.0452146552e-34   7.2619879670e-52  -5.7321311424e-91  -1.4859634746e-92   8.4048733756e-64   1.3052947194e-61   4.7693995868e-51   2.9569924195e-35   3.4730497593e-84   1.9246696097e-56  6.8320589678e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580533886e-01  -5.0077650740e-01   1.1719839921e+00   1.8630700790e-05  -2.0537002975e-17  -7.4129308806e-69   3.9485831833e-69   3.0000000000e+02  -2.1502453731e-05   4.8453953641e-36   2.7157658325e-53   3.3794187195e-40   4.0344323956e-79   1.2043063290e-45   2.3300000000e-01   2.0556759863e-44   1.2392826746e-30   1.6013104521e-47   6.9991797950e-90   3.6800904265e-97   1.7082203830e-59   2.6752986850e-57   1.0641067189e-46   5.0217565903e-31   5.9480702481e-80   3.2962585321e-52  1.9171472349e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586300178e-01  -4.5083417032e-01   1.1719839921e+00   1.8630700790e-05  -1.6250789177e-17  -1.7525954967e-64   9.0665019440e-65   3.0000000000e+02  -2.1502453731e-05   7.7510343488e-37   4.5449092938e-49   1.6237646453e-36   4.8520696626e-75   1.3795574017e-41   2.3300000000e-01   2.3782553731e-40   1.1491232570e-26   2.9077018883e-43  -9.1471788181e-79   5.3884451921e-85   2.8587540950e-55   4.5156233617e-53   1.9553133177e-42   6.6563284359e-27   7.9504538553e-76   4.4060335210e-48   3.6627222613e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592066469e-01  -4.0089183323e-01   1.1719839921e+00   1.8630700790e-05   2.0925217169e-17  -3.2739984703e-60   1.6417330777e-60   3.0000000000e+02  -2.1502453731e-05   1.9377585872e-37   6.0142920217e-45   6.1963150152e-33   4.1385081971e-70   1.2501390176e-37   2.3300000000e-01   2.1765932709e-36   7.8132860060e-23   4.1742771947e-39   9.8640610876e-82  -3.3461748469e-79   3.7829978185e-51   6.0281177981e-49   2.8417806995e-38   6.4456065902e-23   7.7634312080e-72   4.3022806812e-44   4.3919538773e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597832761e-01  -3.5094949615e-01   1.1719839921e+00   1.8630700790e-05  -9.3934257817e-18  -4.5294491643e-56   2.1947908439e-56   3.0000000000e+02  -2.1502453731e-05   4.8454952594e-34   5.9026020681e-41   1.7694522760e-29   7.5503656715e-63   8.4094332280e-34   2.3300000000e-01   1.4781821143e-32   3.4794087675e-19   4.4426635659e-35   3.3266162483e-77   1.7062897394e-78   3.7127436997e-47   5.9706471023e-45   3.0645786206e-34   4.0523755482e-19   4.9259736426e-68   2.7271019280e-40   2.9073850755e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603599052e-01  -3.0100715906e-01   1.1719839921e+00   1.8630700790e-05   3.0279075322e-14  -4.1311419327e-52   1.9216952717e-52   3.0000000000e+02  -2.1502453730e-05   2.5807485081e-28   3.8350484368e-37   3.4204060116e-26   8.4990270378e-56   3.7520069516e-30   2.3300000000e-01   6.6499742377e-29   8.0184846182e-16   3.1254156654e-31   9.9908589997e-69  -1.8417002012e-70   2.4111076019e-43   3.9172557228e-41   2.1895725732e-30   1.2803229213e-15   8.6270323614e-64   8.6820985611e-37   8.4608239182e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609365344e-01  -2.5106482198e-01   1.1719839920e+00   1.8630700790e-05   1.8302186780e-11  -1.9013169067e-48   8.2763876598e-49   3.0000000001e+02  -2.1502453491e-05   7.9154880661e-24   1.9808290775e-33   3.6886353383e-23   3.1895635990e-49   8.6569358133e-27   2.3300000000e-01   1.5388656517e-25   4.6975687096e-13   1.1216946438e-27  -6.2849473886e-61   3.8363764963e-64   8.0226100700e-40   1.3229881581e-37   8.0649957999e-27   7.9583764272e-13   1.0166741205e-57   5.4034618785e-34   6.5057695581e-67   7.6700000000e-01   1.9075768821e+03
  -1.7615131635e-01  -2.0112248490e-01   1.1719839849e+00   1.8630700875e-05   3.2066951245e-09  -9.9814214355e-46   6.8758663190e-47   3.0000000184e+02  -2.1502411720e-05   1.4424056315e-20   1.1641488440e-28   1.5162916233e-20   5.2128908154e-44   3.6724939261e-24   2.3299999982e-01   5.9409083804e-23   8.1564189306e-11   5.9894715998e-25   1.5451487129e-57   7.9682686313e-59   4.3147498730e-37   8.0004173274e-35   5.5889097628e-24   1.4054995186e-10   6.9342457421e-53   9.5462955889e-32   1.3514526131e-61   7.6699999996e-01   1.9075763917e+03
  -1.2620897929e-01  -1.5118014781e-01   1.1719836845e+00   1.8630704422e-05   1.3685905937e-07  -3.2434463434e-42  -1.3307382245e-42   3.0000007851e+02  -2.1500660179e-05   2.0104776065e-17   1.5743270378e-22   1.1146061293e-17   6.9134870877e-38   4.9337111873e-21   2.3299999243e-01   6.8906630218e-20   3.4801797315e-09   1.5875417664e-21   4.4153631799e-51   2.2774869225e-52   1.0632640339e-33   2.2403443797e-31   1.9157231231e-20   6.0036983380e-09   3.4427895215e-48   4.0827381181e-30   3.8625924471e-55   7.6699999809e-01   1.9075557893e+03
  -8.8792729789e-02  -1.0123781078e-01   1.1719763101e+00   1.8630791518e-05   3.4045139546e-06  -7.9692529047e-39  -5.4928176940e-39   3.0000196098e+02  -2.1457774078e-05   3.2983515324e-14   1.8404224451e-16   6.6122338632e-15   7.7951056349e-32   5.7020953628e-18   2.3299981137e-01   7.5589896305e-17   8.6964265212e-08   3.1466105949e-18   8.7655991200e-45   4.5305852937e-46   1.9282060299e-30   4.3426686912e-28   4.3260896941e-17   1.4903752909e-07   1.1166466782e-43   1.1540632914e-28   7.6815801945e-49   7.6699995263e-01   1.9070577210e+03
  -7.0125103600e-02  -7.6347648798e-02   1.1718469349e+00   1.8632319603e-05   6.0452475215e-05  -4.6262511006e-36  -4.8001082862e-36   3.0003498777e+02  -2.0708776964e-05   4.4391455298e-12   1.4777147221e-11   1.0719647208e-12   5.9614003450e-27   1.6595980585e-15   2.3299664915e-01   2.1040907596e-14   1.5527896819e-06   1.5217815813e-15   1.0737679276e-39   5.5539222270e-41   8.4922480725e-28   2.0510605830e-25   2.4011178749e-14   2.6314541417e-06   3.5705788124e-39   1.1472882495e-26   9.4218900685e-44   7.6699916660e-01   1.8985456779e+03
  -5.7679984960e-02  -6.3902558401e-02   1.1707755212e+00   1.8644984019e-05   5.3236348075e-04  -4.2718323181e-34  -8.1660548687e-34   3.0030876908e+02  -1.4509328206e-05   2.1875318740e-10   4.6860336895e-08   4.3188489068e-11   1.7752665147e-23   9.4162055011e-14   2.3297047580e-01   1.1273098535e-12   1.3703607839e-05   1.3915659365e-13   4.7071318177e-36   2.4375571285e-37   6.9592765225e-26   1.8798544346e-23   2.7484060782e-12   2.3125620758e-05   2.2553337508e-35   1.2326141591e-24   4.1575706790e-40   7.6699269493e-01   1.8287495826e+03
  -4.7724500607e-02  -5.1457411518e-02   1.1646522268e+00   1.8717695933e-05   3.2392960049e-03  -6.3768412232e-33  -5.0788296711e-32   3.0188306670e+02   2.1109133633e-05   1.1397746806e-08   2.5531995046e-05   8.4679504213e-10   9.0294173065e-21   2.1613332872e-12   2.3282010327e-01   2.5201758833e-11   8.3598818893e-05   4.9951765643e-12   3.2531473973e-33   1.6954078117e-34   2.1698979208e-24   6.7254206109e-22   1.2918398819e-10   1.4060439739e-04   8.8386592058e-32   5.6099121196e-23   2.9826040946e-37   7.6695569251e-01   1.4305962032e+03
  -4.2124568988e-02  -4.3991589696e-02   1.1431959091e+00   1.8977040360e-05   1.2921152768e-02   6.7729096213e-31  -1.1166654351e-30   3.0753177290e+02   1.4875019196e-04   1.5749949126e-07   2.0540953714e-03   8.0080599825e-09   7.0529513260e-19   1.8721940305e-11   2.3228126846e-01   2.2735221166e-10   3.3521348670e-04   6.3312499655e-11   3.0641568073e-31   1.6328867760e-32   2.3344232572e-23   8.4437435077e-21   2.2952034654e-09   5.5983532207e-04   1.0023178854e-28   8.3749448161e-22   3.2019747263e-35   7.6682367212e-01   1.4970258982e+01
  -3.8387950011e-02  -4.0257548279e-02   1.0942379749e+00   1.9596636505e-05   3.5648316622e-02   6.1042717690e-29  -3.4172238312e-29   3.2123938712e+02   4.5387472472e-04   2.8800436593e-06   1.0992286805e-01   5.6173864629e-08   3.5341451217e-17   1.2097892299e-10   2.3099345838e-01   1.7066982274e-09   9.6277337967e-04   7.6167062036e-10   1.9520049255e-29   1.0940012498e-30   2.1210623221e-22   9.8947154672e-20   4.7920740600e-08   1.5299053179e-03   1.0627351561e-25   1.3325618846e-20   2.7504922016e-33   7.6651375624e-01  -3.2015237936e+03
  -3.5689976870e-02  -3.6518351743e-02   9.6132237747e-01   2.1508037031e-05   1.0454543192e-01   2.0434158506e-27  -7.8104068151e-28   3.6539959337e+02   1.4072246614e-03   4.9884650481e-05   4.9303451338e+00   2.6905142460e-07   2.1910112220e-15   8.4120431001e-10   2.2697055486e-01   1.2978277067e-08   3.1334067681e-03   7.9934248692e-09  -3.4015988193e-25   1.0901455331e-28   1.7626919836e-21   9.5875392435e-19   7.5408639872e-07   4.3626308949e-03   1.1178960126e-22   1.7596761367e-19  -1.0604096888e-28   7.6553236252e-01  -1.2695176251e+04
  -3.4439315766e-02  -3.4861601997e-02   8.0745455170e-01   2.4281533758e-05   2.0137409915e-01   2.0956578373e-26  -6.1532395176e-27   4.3437641305e+02   2.8362074143e-03   2.6394511561e-04   4.7706606450e+01   4.6181962877e-07   4.7631551177e-14   4.1109903502e-09   2.2094069830e-01   4.7826269737e-08   6.8904700418e-03   3.2162729734e-08  -3.7893034086e-24   1.1980099303e-27   5.4978765383e-21   2.6623209703e-18   3.7801457719e-06   8.1502970462e-03   1.2794918712e-20   7.0828885145e-19  -2.6157104237e-27   7.6401420854e-01  -2.5854297649e+04
