# time = 0.8
# Grid points = 1872
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2496372657e-01  -7.5000000000e-01   1.1691437818e+00   1.8662613184e-05   1.1622232549e-02  -2.2619532291e-03  -2.2619532291e-03   3.0071037047e+02   4.9439112103e-05   3.2343731907e-12   3.1124469658e-05   2.2787393888e-07   5.5823726801e-22   2.6407662641e-15   2.3288605480e-01   4.3493638479e-15   5.5465374297e-05   8.6760228925e-09   8.7306297667e-25   4.5265733725e-26   3.3527897154e-12   4.4986317798e-05   7.2449779136e-06   6.0486506956e-05   8.7523334878e-21   1.6293194073e-07   1.6065362043e-28   7.6694536253e-01   1.1016406906e+03
  -6.8742979538e-01  -6.9992745313e-01   1.1687420220e+00   1.8667135937e-05   1.3260078302e-02  -2.6029116640e-03  -2.6029116640e-03   3.0081112551e+02   5.9509955952e-05   1.3750836590e-12   3.7701401849e-05   2.6013192665e-07   6.2295009039e-22   2.2675308990e-15   2.3286987488e-01   4.2440155794e-15   6.3340360009e-05   9.9104508163e-09   9.5126268228e-25   4.9337277304e-26   3.7458035204e-12   5.1371460326e-05   8.2748434843e-06   6.9075425100e-05   9.7422249208e-21   1.8609786514e-07   1.9289711968e-28   7.6693760689e-01   9.8712072504e+02
  -6.6243447960e-01  -6.7493213763e-01   1.1686296744e+00   1.8668401049e-05   1.3700713021e-02  -2.7089145411e-03  -2.7089145411e-03   3.0083931184e+02   6.2326721327e-05   3.8309556901e-12   3.9641427170e-05   2.6927314430e-07   6.4093436472e-22   2.1718979129e-15   2.3286535114e-01   4.2180662452e-15   6.5543695175e-05   1.0255698230e-08   9.7279972407e-25   5.0459193863e-26   3.8547593751e-12   5.3157553085e-05   8.5628508397e-06   7.1474729617e-05   1.0015960682e-20   1.9256903770e-07   2.0250883739e-28   7.6693543793e-01   9.5511240289e+02
  -6.4442559893e-01  -6.4993682156e-01   1.1683219676e+00   1.8671869298e-05   1.3911164361e-02  -3.5634340730e-03  -3.5634340730e-03   3.0091655871e+02   6.9908970396e-05   1.4938884396e-10   4.5878862380e-05   2.9466662133e-07   6.9910232124e-22   1.9416059251e-15   2.3285301541e-01   4.2150848375e-15   7.1600515228e-05   1.1191550924e-08   1.0639345266e-24   5.5201038375e-26   4.2206148020e-12   5.7924423083e-05   9.3357476666e-06   7.7995040670e-05   1.0903862701e-20   2.0998760340e-07   2.3353783247e-28   7.6692961301e-01   8.6829996498e+02
  -6.3615874170e-01  -6.3891437629e-01   1.1671481110e+00   1.8685279889e-05   1.1097601480e-02  -8.3086627919e-03  -8.3086627919e-03   3.0121337783e+02   9.0293032930e-05   1.1335130408e-08   1.2640894306e-04   3.7764562108e-07   1.4894302385e-21   1.6258818619e-15   2.3280813198e-01   7.4021687873e-15   9.5809963414e-05   1.4153984129e-08   4.4451429916e-24   2.3086539098e-25   1.0056981898e-11   6.7794635401e-05   1.1250976320e-05   1.0185403894e-04   2.3661296257e-20   2.6057636939e-07   6.7850265496e-28   7.6691450602e-01   5.7633262680e+02
  -6.3064733070e-01  -6.3340310710e-01   1.1575937047e+00   1.8795971197e-05   1.9981600061e-02  -2.9894652696e-02  -2.9894652696e-02   3.0366310341e+02   2.2693462577e-04   5.6264390304e-07   1.9630212575e-03   7.5444916113e-07   1.1277429087e-20   1.0551733545e-15   2.3242777631e-01   2.6364777782e-14   2.9593481577e-04   3.6677504806e-08   1.1238865278e-22   5.8850990604e-24   7.2279048560e-11   1.1451144591e-04   2.3104950994e-05   3.2676271979e-04   2.1630253679e-19   6.7064154965e-07   1.4732247881e-26   7.6681044792e-01  -1.9098920408e+03
  -6.2674422384e-01  -6.2789155429e-01   1.1114982902e+00   1.9349820298e-05   9.0532182142e-02  -1.2502715232e-01  -1.2502715232e-01   3.1607292503e+02   8.9841236708e-04   1.0221981652e-05   3.5681256478e-02   2.3704530497e-06   1.1315057035e-19   1.7097754603e-16   2.3048972286e-01   6.4136344462e-14   1.3137597911e-03   1.4951433515e-07   1.3557198575e-21   7.3820310510e-23   3.8029505647e-10   3.2737717759e-04   8.0528682601e-05   1.4874798628e-03   2.1606351749e-18   2.7474557107e-06   3.7980760827e-25   7.6629586382e-01  -1.4602112269e+04
  -6.2502415869e-01  -6.2559689339e-01   1.0484347679e+00   2.0164453430e-05   2.2216717853e-01  -2.4915234459e-01  -2.4915234459e-01   3.3479181438e+02   1.9013786226e-03   4.0809397696e-05   1.3781937892e-01   4.3096517662e-06   5.9790338792e-19   2.7609731275e-17   2.2757342887e-01   1.2873125084e-13   2.8587050357e-03   3.1655659949e-07   5.1387416278e-21   2.9482535452e-22   7.7822100007e-10   6.4085105117e-04   1.6655659955e-04   3.2180913946e-03   9.3079005625e-18   5.8476554116e-06   4.7737820429e-24   7.6553189241e-01  -3.3571391866e+04
  -6.2386392840e-01  -6.2445142399e-01   9.8248215663e-01   2.1097825263e-05   4.4859327358e-01  -3.7963472421e-01  -3.7963472421e-01   3.5693111242e+02   3.1358423488e-03   3.5351431764e-05   3.2059238445e-01   5.6498678490e-06   2.5333227932e-18   5.4717574585e-18   2.2395826606e-01   2.5421234802e-13   4.6542874677e-03   5.1202520430e-07   1.4910409943e-20   9.0136184074e-22   1.2408229140e-09   1.0218522624e-03   2.7484773947e-04   5.5175139537e-03   3.2159417729e-17   1.0062868356e-05   5.5135063146e-23   7.6455700651e-01  -5.7778394356e+04
  -6.2275120642e-01  -6.2327643281e-01   9.5678670105e-01   2.1487012225e-05   5.6666120598e-01  -4.2474615604e-01  -4.2474615604e-01   3.6637424402e+02   3.6722403876e-03   2.3070154389e-06   4.2092181294e-01   6.1258673768e-06   4.3673507245e-18   4.9235990608e-18   2.2239814518e-01   3.3485935215e-13   5.4104453811e-03   5.9251277486e-07   2.2393715948e-20   1.3806327253e-21   1.4596444041e-09   1.1901116174e-03   3.2313632335e-04   6.5260908130e-03   5.0809690957e-17   1.1963531843e-05   1.4087530477e-22   7.6413338732e-01  -6.8209868037e+04
