# time = 1
# Grid points = 799
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.3004066572e-01  -7.5000000000e-01   1.1698164105e+00   1.8653365695e-05   6.2460729618e-03   8.3784733386e-03   8.3784733386e-03   3.0052334818e+02   1.0408904634e-04   5.4984662531e-10   2.3461326008e-05   4.4815209013e-07   8.0236846988e-22   1.1526406809e-15   2.3289428899e-01   3.9653175643e-15   4.3715478365e-05   5.4216695799e-09   8.1999880545e-25   4.2484406680e-26   3.4516208979e-12   1.0387484882e-04   1.1359819124e-05   4.2937369067e-05   5.8294478368e-21   1.1969519020e-07   1.2925634302e-28   7.6690325022e-01   9.3758778626e+02
  -6.9017681081e-01  -7.1008133144e-01   1.1674049147e+00   1.8678659601e-05   1.5843717015e-02   1.5320679300e-02   1.5320679300e-02   3.0110794183e+02   2.4361967557e-04   4.6195793623e-10   4.0525088501e-05   9.4089715627e-07   9.4987843168e-22   6.7858501373e-16   2.3277590906e-01   2.1995405054e-15   9.2802535285e-05   1.1549138342e-08   4.8733853599e-25   2.5298116965e-26   3.7110665044e-12   2.1904375721e-04   2.4048390210e-05   9.1193636161e-05   6.8914669507e-21   2.5493091082e-07   2.4002538239e-28   7.6679579524e-01  -1.4773013354e+02
  -6.5051365374e-01  -6.7027229017e-01   1.1654169452e+00   1.8699565676e-05   2.4038983138e-02   2.0847949372e-02   2.0847949372e-02   3.0159161356e+02   3.5893062273e-04   1.5921150710e-09   5.4118484051e-05   1.3483190699e-06   9.1616805749e-22   4.0176668056e-16   2.3267793818e-01   1.4666522246e-15   1.3345231164e-04   1.6626503587e-08   3.3667378542e-25   1.7504953916e-26   3.8559283201e-12   3.1418542521e-04   3.4540373473e-05   1.3115935757e-04   6.6138598690e-21   3.6700729616e-07   3.9217498578e-28   7.6670699239e-01  -1.0456465661e+03
  -6.2146352723e-01  -6.3075501732e-01   1.1613441471e+00   1.8742553149e-05   4.1725387240e-02   3.1552919015e-02   3.1552919015e-02   3.0258752910e+02   5.9591897948e-04   3.4563987822e-09   8.1766932593e-05   2.1826547070e-06   9.7484875593e-22   1.4516653741e-16   2.3247608858e-01   9.4652527030e-16   2.1726474805e-04   2.7106875218e-08   2.2095472295e-25   1.1525859275e-26   3.9442688558e-12   5.0959917762e-04   5.6125376148e-05   2.1362060948e-04   6.9500503206e-21   5.9849963373e-07   9.4811430564e-28   7.6652449325e-01  -2.8946267662e+03
  -6.0752628892e-01  -6.1217203714e-01   1.1591982869e+00   1.8765283091e-05   5.1280920036e-02   3.7037983742e-02   3.7037983742e-02   3.0311489962e+02   7.2130766802e-04   1.4010666751e-08   9.5468685619e-05   2.6318003179e-06   9.8545049450e-22   7.4349737970e-17   2.3236924096e-01   7.8876956185e-16   2.6169739273e-04   3.2662569795e-08   1.8338345689e-25   9.5824566400e-27   3.9404633961e-12   6.1296299616e-04   6.7546188270e-05   2.5725010635e-04   6.9725906596e-21   7.2104787355e-07   1.3775638656e-27   7.6642791684e-01  -3.8732128841e+03
  -5.9823479401e-01  -6.0288054070e-01   1.1555190220e+00   1.8804389986e-05   6.8004634320e-02   4.6316320669e-02   4.6316320669e-02   3.0402352071e+02   9.3719813183e-04   3.5172513472e-08   1.1703388057e-04   3.3950921146e-06   1.0143771570e-21   3.1921703465e-17   2.3218487544e-01   6.2033353634e-16   3.3831983843e-04   4.2254630101e-08   1.4080498778e-25   7.3792503672e-27   3.8674656262e-12   7.9084876058e-04   8.7229279550e-05   3.3268530952e-04   7.0948184156e-21   9.3306260353e-07   2.3960296891e-27   7.6626167096e-01  -5.5611213400e+03
  -5.9148467804e-01  -5.9358904732e-01   1.1519639209e+00   1.8842301053e-05   8.2282046271e-02   5.5996577942e-02   5.5996577942e-02   3.0490566410e+02   1.1463018431e-03   6.3231261121e-07   1.3585629915e-04   4.3644956050e-06   1.0359253700e-21   1.3479676227e-17   2.3200834442e-01   5.1243871704e-16   4.1307772546e-04   5.1512162429e-08  -1.3861546955e-23   5.9327930235e-27   3.7726691912e-12   9.6321783598e-04   1.0615111651e-04   4.0352574478e-04   7.1133389471e-21   1.1322860240e-06  -1.6393232592e-24   7.6610013485e-01  -7.1804256124e+03
  -5.8727587447e-01  -5.8938030875e-01   1.1397935396e+00   1.8973474235e-05   1.2082728270e-01   9.9797903244e-02   9.9797903244e-02   3.0796910200e+02   1.8661240198e-03   3.9082004570e-06   1.8958825251e-04   7.2050701660e-06   1.0912169501e-21   3.2901262739e-18   2.3138649068e-01   3.1809086312e-16   6.7409666323e-04   8.4186729864e-08   6.1987737552e-26   3.2895000631e-27   3.3960169959e-12   1.5539182095e-03   1.7194449290e-04   6.5909951863e-04   7.2498184941e-21   1.8554330414e-06   1.3017472643e-26   7.6554530574e-01  -1.2867483665e+04
  -5.8401631312e-01  -5.8517144018e-01   1.1192706919e+00   1.9198702538e-05   1.8507065921e-01   1.6665247654e-01   1.6665247654e-01   3.1326958347e+02   3.1059474330e-03   3.4074207866e-05   2.4783322503e-04   1.2863174260e-05   1.1928102018e-21   5.3523427358e-19   2.3034580644e-01   1.9406336627e-16   1.1327433097e-03   1.3987817209e-07  -3.8582935511e-24   1.6460975676e-27   2.8223721445e-12   2.5777368513e-03   2.8339776241e-04   1.0594831705e-03   7.1546833397e-21   2.9892763564e-06   5.7810824341e-26   7.6458484013e-01  -2.2408910478e+04
  -5.8145006617e-01  -5.8286118607e-01   1.0715204660e+00   1.9746349672e-05   4.4249879587e-01   3.2979935916e-01   3.2979935916e-01   3.2639778211e+02   6.1946396405e-03   1.3218544581e-05   2.8172847607e-04   1.9064721249e-05   1.3276693161e-21   2.9771654026e-20   2.2755353486e-01   9.0212977138e-17   2.2539463112e-03   2.8532850848e-07   8.1487245941e-27   4.5585843504e-28   1.7314483350e-12   5.0920916857e-03   5.7288466682e-04   2.2807478134e-03   7.2915056528e-21   6.4617530077e-06   8.8988541549e-25   7.6222098285e-01  -4.7761041709e+04
