# time = 0.075
# Grid points = 333
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2551782857e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05   2.3284501721e-19  -5.6166009117e-72  -6.4985717250e-74   3.0000000000e+02  -2.1502453731e-05   1.2663586192e-35   7.4847803286e-57   4.1912842068e-44   8.7037436432e-83   2.4781163682e-49   2.3300000000e-01   4.2169014217e-48   1.3151837351e-34   4.7116381874e-51 -9.6286482761e-103 -2.4846054285e-106   4.7079369535e-63   7.4775637044e-61   3.1885780848e-50   7.1409986630e-35   8.5195728421e-84   4.7213156513e-56  1.0468828062e-112   7.6700000000e-01   1.9075768848e+03
  -6.7608832025e-01  -7.0103565713e-01   1.1719839921e+00   1.8630700790e-05   1.9639712828e-18  -1.2130397540e-68  -2.0623946504e-70   3.0000000000e+02  -2.1502453731e-05   4.9559058051e-36   1.5260324684e-53   5.6873194496e-41   1.6333708193e-79   4.5739620299e-46   2.3300000000e-01   7.7500294999e-45   1.4428038516e-31   9.7247953950e-48   5.3582023794e-84   6.0302321510e-90   9.5987648730e-60   1.5344912541e-57   6.6745699733e-47   8.1933700778e-32   9.7880662809e-81   5.4226431141e-53  3.9495812135e-106   7.6700000000e-01   1.9075768848e+03
  -6.2619364648e-01  -6.5114098336e-01   1.1719839921e+00   1.8630700790e-05   1.1692630449e-17  -1.3105797125e-64  -2.6977483558e-66   3.0000000000e+02  -2.1502453731e-05   4.8546571906e-36   1.1703103014e-49   1.2824970809e-37   1.1694714592e-75   2.4187378839e-42   2.3300000000e-01   4.1509031823e-41   6.4878117416e-28   8.0929917805e-44   2.0976358754e-80  -1.2077680684e-78   7.3612676299e-56   1.1857805158e-53   5.6101821922e-43   5.2269659502e-28   6.2950022829e-77   3.4878769153e-49   1.6172948570e-98   7.6700000000e-01   1.9075768848e+03
  -5.7629897270e-01  -6.0124630959e-01   1.1719839921e+00   1.8630700790e-05   4.1108288903e-17  -1.0846640018e-60  -2.7021210621e-62   3.0000000000e+02  -2.1502453731e-05   1.2428562965e-35   6.8950221535e-46   2.2646731747e-34   8.1793675727e-72   9.8459850193e-39   2.3300000000e-01   1.7097082648e-37   2.0611602697e-24   5.1696378089e-40   4.5484143303e-87   2.3054436786e-88   4.3369782634e-52   7.0467455587e-50   3.6279388942e-39   2.3300821826e-24   2.8281876021e-73   1.5673045449e-45   3.9152994632e-91   7.6700000000e-01   1.9075768848e+03
  -5.2640429893e-01  -5.5135163582e-01   1.1719839921e+00   1.8630700790e-05   7.4927268573e-17  -6.0487666197e-57  -1.9215904936e-58   3.0000000000e+02  -2.1502453731e-05   1.5128355359e-65   2.7593519967e-42   2.8503524919e-31   4.7534386979e-66   2.7337534419e-35   2.3300000000e-01   4.7865342778e-34   3.6498590782e-21   2.2374666145e-36  -9.4892717496e-79   2.5823401241e-81   1.7356361329e-48   2.8543969290e-46   1.6020721496e-35   5.5870557306e-21   6.8310905955e-70   3.7854816380e-42   4.3804852244e-84   7.6700000000e-01   1.9075768848e+03
  -4.7650962516e-01  -5.0145696205e-01   1.1719839921e+00   1.8630700790e-05   1.7772669548e-16  -1.8269896379e-53  -9.1877314612e-55   3.0000000000e+02  -2.1502453731e-05   2.1147811524e-34   6.1665327183e-39   2.3261408528e-28   8.3737506140e-60   4.2858287543e-32   2.3300000000e-01   7.4593657177e-31   2.1788835446e-18   5.3566180303e-33  -3.8927820438e-72   8.9819971840e-75   3.8787458172e-45   6.5562512388e-43   4.0515912846e-32   3.6212096424e-18   4.6591415358e-67   2.4577563954e-39   1.5247426987e-77   7.6700000000e-01   1.9075768848e+03
  -4.2661495139e-01  -4.5156228827e-01   1.1719839921e+00   1.8630700790e-05   2.6585551482e-14  -1.6928321675e-50  -3.4436478214e-51   3.0000000000e+02  -2.1502453730e-05   1.6546095312e-30   5.3277682542e-36   1.2641263034e-25   2.7182361843e-54   2.6522348223e-29   2.3300000000e-01   4.0856785433e-28   4.6248935882e-16   4.6370826419e-30   8.2964234421e-68   4.2511771682e-69   3.3473799808e-42   6.5532305561e-40   4.8423330321e-29   7.8893522849e-16   2.7731748035e-63   5.3574957114e-37   7.2098224300e-72   7.6700000000e-01   1.9075768848e+03
  -3.7672027762e-01  -4.0166761450e-01   1.1719839921e+00   1.8630700790e-05   2.1583882804e-12  -5.2322060420e-47  -1.5800185790e-47   3.0000000000e+02  -2.1502453711e-05   3.4055989856e-27   1.8571137831e-32   8.5300827539e-23   3.1274796364e-48   3.3108815874e-26   2.3300000000e-01   4.5325117153e-25   3.7446447206e-14   1.0783146071e-26   1.9513574083e-61   1.0066391181e-62   7.2032304672e-39   1.5576304189e-36   1.3693655620e-25   6.4281476219e-14   2.4229252060e-58   4.3691318703e-35   1.7208547590e-65   7.6700000000e-01   1.9075768846e+03
  -3.2682560384e-01  -3.5177294073e-01   1.1719839919e+00   1.8630700791e-05   9.7666058102e-11  -1.1575414590e-43  -3.9782974788e-44   3.0000000004e+02  -2.1502452860e-05   3.6294127279e-24   5.9989744630e-27   4.3457415793e-20   2.5386321972e-42   3.2469613225e-23   2.3300000000e-01   4.2495880368e-22   1.6941357982e-12   1.7751715056e-23   2.7737044415e-55   1.4341072489e-56   1.0856734682e-35   2.4906529478e-33   2.5292509280e-22   2.9092809427e-12   1.0844913007e-53   2.0564034531e-33   2.4312879465e-59   7.6700000000e-01   1.9075768746e+03
  -2.7693093007e-01  -3.0187826696e-01   1.1719839872e+00   1.8630700847e-05   3.1880008594e-09  -1.1906545489e-40  -4.4612146613e-41   3.0000000125e+02  -2.1502425292e-05   2.9477826885e-21   1.2408630208e-21   1.1897558145e-17   5.0359528669e-37   1.5183683534e-20   2.3299999988e-01   1.9134829916e-19   5.5417816830e-11   1.3344103766e-20   8.5708977197e-50   4.4326123878e-51   7.4524924637e-33   1.8256308222e-30   2.1671178298e-19   9.4730970338e-11   3.9493374825e-49   1.4796327673e-31   7.5144356850e-54   7.6699999997e-01   1.9075765560e+03
  -2.2703625630e-01  -2.5198359319e-01   1.1719838521e+00   1.8630702443e-05   9.0910696364e-08  -5.3109118709e-38  -2.0791895542e-38   3.0000003573e+02  -2.1501642934e-05   1.8589746441e-18   5.0928537028e-17   1.7240689048e-15   1.9552631455e-32   3.0910265542e-18   2.3299999658e-01   3.7384782661e-17   1.5853810711e-09   4.1317061870e-18   4.7025225663e-45   2.4321151146e-46   2.0929363976e-30   5.6178738017e-28   8.0815081750e-17   2.6896810199e-09   1.9233385737e-44   3.6223807620e-29   4.1230428413e-49   7.6699999915e-01   1.9075676441e+03
  -1.7714158414e-01  -2.0208891942e-01   1.1719804674e+00   1.8630742416e-05   2.2841871046e-06  -1.0116469079e-35  -3.8552331828e-36   3.0000089964e+02  -2.1482086077e-05   5.8490731178e-16   4.2204214087e-13   1.3193705158e-13   1.5273966613e-28   2.7681769699e-16   2.3299991401e-01   3.2850309889e-15   3.9931455608e-08   5.1627189782e-16   4.6598663461e-41   2.4100830931e-42   2.3602602736e-28   6.9801891948e-26   1.2355191060e-14   6.7332279924e-08   2.3871699901e-40   5.2799296236e-27   4.0857571853e-45   7.6699997873e-01   1.9073475508e+03
  -1.2724713166e-01  -1.5219424886e-01   1.1719213431e+00   1.8631440707e-05   4.0548511485e-05  -4.2010508802e-34  -1.5911295727e-34   3.0001599098e+02  -2.1140867241e-05   1.8209807331e-13   4.7537454448e-10   4.2092798594e-12   1.6804016527e-25   9.2137876935e-15   2.3299847344e-01   1.0873902579e-13   7.0990273675e-07   1.9234932777e-14   5.5607296355e-38   2.8761885949e-39   8.5095848289e-27   2.5969176965e-24   4.8742049204e-13   1.1929500289e-06   3.0994014972e-37   2.0565969460e-25   4.8773907592e-42   7.6699962370e-01   1.9035334993e+03
  -9.1781954280e-02  -1.0230001446e-01   1.1712800951e+00   1.8639017468e-05   4.5491750914e-04  -1.7853807617e-32  -6.7082241750e-33   3.0017976072e+02  -1.7442927228e-05   3.0436766355e-11   1.7644133345e-07   8.3571039185e-11   5.9667129674e-23   1.7077278185e-13   2.3298286160e-01   2.0700247577e-12   7.9843450131e-06   4.3743292945e-13   2.1960001893e-35   1.1366000781e-36   1.7668807996e-25   5.8776955275e-23   1.4199209750e-11   1.3364252124e-05   1.9139598261e-34   5.0913251764e-24   1.9336800181e-39   7.6699578970e-01   1.8624845323e+03
  -7.6004854935e-02  -8.1263894102e-02   1.1681437495e+00   1.8676159937e-05   2.4722914939e-03  -1.4727093703e-30  -5.7612955963e-31   3.0098322943e+02   6.1611863396e-07   1.4330203709e-09   3.3314807539e-05   1.1119384926e-09   9.3134575868e-21   1.9174182547e-12   2.3290662588e-01   2.7916758411e-11   4.3881326211e-05   9.5016550710e-12   4.7636896047e-33   2.4736425801e-34   2.8545061142e-24   1.2338733993e-21   5.7741166937e-10   7.2297085358e-05   3.7144320756e-31   1.4776687555e-22   4.2755799803e-37   7.6697719398e-01   1.6653498005e+03
  -6.8116293614e-02  -7.0745815769e-02   1.1573626532e+00   1.8804932555e-05   9.3896488282e-03  -2.4155198393e-29  -9.8579508918e-30   3.0377734954e+02   6.2879150636e-05   4.9603744841e-09   2.2001036379e-03   8.3292698136e-09   5.2680414001e-19   1.2702807571e-11   2.3264381645e-01   2.2957529584e-10   1.7079935943e-04   1.0033491296e-10   3.4453329034e-31   1.8092154220e-32   2.5485974435e-23   1.2730053284e-20   7.8868100455e-09   2.7191537494e-04   2.5322138417e-28   1.7716327233e-21   3.3023130020e-35   7.6691345226e-01   1.0003108915e+03
  -6.4171956906e-02  -6.5486771460e-02   1.1494772545e+00   1.8900239704e-05   1.4490990898e-02  -4.8078132175e-29  -1.9746318362e-29   3.0585373040e+02   1.0895236295e-04   5.9342542286e-08   7.0384753746e-03   1.4872359210e-08   1.6646766252e-18   2.1915405975e-11   2.3244935421e-01   4.1612940916e-10   2.6593263496e-04   1.8835638385e-10   1.1291613950e-30   5.9781318576e-32   4.6591623833e-23   2.3817216641e-20   1.5367802435e-08   4.1829088747e-04   1.5547380230e-27   3.3821256996e-21   1.1355867716e-34   7.6686639140e-01   5.1360480798e+02
  -6.1542331149e-02  -6.2857142351e-02   1.1263934499e+00   1.9184732790e-05   2.9437864237e-02  -2.3070885340e-28  -1.0246690115e-28   3.1209503029e+02   2.4549892419e-04   2.2709799417e-07   6.1639555380e-02   4.0848138276e-08   1.3593799212e-17   5.3717114930e-11   2.3187309657e-01   1.2951157217e-09   5.6149259200e-04   6.3865536966e-10   1.0293434358e-29   5.5809878293e-31   1.4094512105e-22   7.9104361781e-20   6.4739540932e-08   8.3915722570e-04   5.4019840353e-26   1.2347876558e-20   1.1917164977e-33   7.6672614604e-01  -9.0262875955e+02
  -5.9214718652e-02  -6.0227519948e-02   1.0942751258e+00   1.9594882988e-05   5.0309175905e-02  -7.5770006525e-28  -3.7025889768e-28   3.2120691742e+02   4.4084727016e-04   1.2398117336e-06   3.2561820975e-01   8.4646784229e-08   7.3667883144e-17   1.0802344812e-10   2.3104876878e-01   3.1796276984e-09   1.0153883430e-03   1.5913734958e-09   5.4279907401e-29   3.0411738777e-30   3.1664702544e-22   1.9116558649e-19   1.9604322107e-07   1.4129259222e-03   9.0550902323e-25   3.2093056977e-20   7.6457034783e-33   7.6652263138e-01  -2.8939453183e+03
  -5.7188513940e-02  -5.8201917355e-02   1.0251582864e+00   2.0539409266e-05   9.4996589134e-02  -3.0198252486e-27  -1.8085295803e-27   3.4270275579e+02   8.8825702698e-04   1.3449731611e-05   2.7194523822e+00   1.8548812092e-07   8.2927896461e-16   3.4229574741e-10   2.2916093620e-01   1.0339422924e-08   2.1887497143e-03   4.8672727386e-09   4.0862491635e-28   2.4534204336e-29   8.0747618710e-22   5.0674859431e-19   7.3822231622e-07   2.6063390028e-03   4.0145628166e-23   9.2287231880e-20   8.7864363047e-32   7.6604303583e-01  -7.4680138212e+03
  -5.5708403226e-02  -5.6175110524e-02   8.9520286152e-01   2.2598472009e-05   1.8990654906e-01  -1.0804261865e-26  -8.0232249341e-27   3.9195762803e+02   1.9036475900e-03   1.7929027325e-04   2.0519223406e+01   3.2731882361e-07   1.2573488058e-14   1.4733379475e-09   2.2487611177e-01   3.3775683539e-08   5.0738162058e-03   1.5216282115e-08   7.7798330190e-27  -1.8936554011e-25   2.0175928982e-21   1.1431182275e-18   2.4651523764e-06   5.1097536355e-03   2.1686979971e-21   2.3125449757e-19   2.3304663039e-30   7.6493747545e-01  -1.8122273322e+04
  -5.4945399851e-02  -5.5241695929e-02   7.4983495572e-01   2.5514210283e-05   3.3170179090e-01  -3.0496000035e-26  -2.7494814903e-26   4.6702654129e+02   3.4755961220e-03   5.4415756745e-04   9.4166534836e+01   4.1733318514e-07   1.3479748926e-13   5.5491610686e-09   2.1824197990e-01   8.6716639738e-08   9.5006125239e-03   4.0707108793e-08   1.2421964181e-26   9.6032270992e-28   4.2586614563e-21   1.6398502772e-18   5.7418693788e-06   8.8808341481e-03   5.5859637854e-20   4.0960148636e-19   1.4799205800e-29   7.6337028125e-01  -3.3192494951e+04
  -5.4403671005e-02  -5.4649103773e-02   6.5883034005e-01   2.7818898043e-05   4.4639917897e-01  -5.6148486111e-26  -5.0211333767e-26   5.3062705695e+02   4.8923584458e-03   1.0357660464e-03   2.5364894580e+02   4.7597277173e-07   6.6152801492e-13   1.3568703200e-08   2.1226253442e-01   1.6784839411e-07   1.3380511115e-02   7.5287736466e-08  -1.2925185353e-24   2.8861222789e-27   6.9146628407e-21   1.8461833814e-18   8.6203515069e-06   1.2255942429e-02   4.1024650660e-19   5.6825718787e-19   7.4450577155e-29   7.6209165901e-01  -4.8033411057e+04
  -5.3946369316e-02  -5.4158238236e-02   5.8772020416e-01   2.9992164388e-05   5.5842469843e-01  -9.5899056325e-26  -7.7156129370e-26   5.9384337641e+02   6.3682842522e-03   1.7805607216e-03   6.0380147466e+02   5.2119650007e-07   2.6259265752e-12   2.9126503416e-08   2.0603312945e-01   3.0708902350e-07   1.7249327737e-02   1.2561845091e-07   8.9015721663e-26   7.6951673329e-27   1.0465818301e-20   1.9382053589e-18   1.1460126766e-05   1.5839111831e-02   2.1313691101e-18   8.0576208372e-19   3.0375812952e-28   7.6086598783e-01  -6.3701558448e+04
  -5.3543744860e-02  -5.3734500396e-02   5.3129108359e-01   3.2031003257e-05   6.6665688747e-01  -1.5175972470e-25  -1.0625539542e-25   6.5587840570e+02   7.8811608395e-03   2.7627044050e-03   1.3321580132e+03   5.5807282238e-07   9.0021624058e-12   5.7255183568e-08   1.9964753176e-01   5.4284594280e-07   2.1059784094e-02   1.9472484601e-07  -8.1495324686e-24   1.9346031731e-26   1.5310691059e-20   1.9961323437e-18   1.4210692950e-05   1.9588745246e-02   8.8814934186e-18   1.2124893030e-18   1.0918740215e-27   7.5968837530e-01  -7.9975578931e+04
  -5.3176668766e-02  -5.3352989323e-02   4.8497759356e-01   3.3976295256e-05   7.7256627019e-01  -2.2534101412e-25  -1.3723779253e-25   7.1742185163e+02   9.4434583425e-03   4.0273359133e-03   2.8250219903e+03   5.9007702477e-07   2.8214191266e-11   1.0736509335e-07   1.9305309947e-01   9.4680858288e-07   2.4852219756e-02   2.8732622446e-07   8.8477693509e-25  -3.4970988246e-23   2.2406131118e-20   2.0833566400e-18   1.6916119398e-05   2.3544247546e-02   3.2455544192e-17   1.9419455128e-18   3.7427948782e-27   7.5853158551e-01  -9.6938092083e+04
