# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527296456e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -3.8150416052e-17  -1.1472996829e-92   6.5391042765e-93   3.0000000000e+02  -2.1502453731e-05   1.9572453120e-35  -6.1636514464e-69   1.1605714008e-59   2.0768798924e-87   2.4774023368e-64   2.3300000000e-01   2.5725452284e-64   1.0164063274e-51   1.5298155504e-55 -8.7346077519e-106 -1.9357483622e-106   1.1510121432e-81   1.7292024461e-79   4.5172506489e-69   7.2439794550e-53  8.2392351763e-102   4.5660353378e-74  2.3317252505e-142   7.6700000000e-01   1.9075768848e+03
  -6.7557474433e-01  -7.0054592912e-01   1.1719839921e+00   1.8630700790e-05  -6.1672966531e-17  -5.1471146255e-88   2.9581777045e-88   3.0000000000e+02  -2.1502453731e-05   3.1624843858e-36  -6.1008688378e-69   1.1693157601e-55   3.7255715470e-86   1.7012291997e-62   2.3300000000e-01   2.1371639312e-61   2.0118151388e-47   2.7442308768e-54  8.3115510699e-102  -2.8269375544e-99   3.9491497639e-77   5.9846841493e-75   1.6961489208e-64   1.9255330865e-48   2.2050251847e-97   1.2219390347e-69  1.1197571165e-136   7.6700000000e-01   1.9075768848e+03
  -6.2563237476e-01  -6.5060355955e-01   1.1719839921e+00   1.8630700790e-05  -6.1485591187e-17  -2.1995184897e-83   1.2688628104e-83   3.0000000000e+02  -2.1502453731e-05   1.7439804597e-36   1.9938218026e-66   1.0634764514e-51   1.1065535673e-87   2.7687227548e-58   2.3300000000e-01   4.5961595296e-57   4.1198386998e-43   8.1464847728e-56  -3.7715072207e-96  8.2916075874e-101   1.2579935578e-72   1.9218249859e-70   5.9274289755e-60   5.6628410956e-44   6.5397519489e-93   3.6241367031e-65  3.3756563405e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569000519e-01  -6.0066118998e-01   1.1719839921e+00   1.8630700790e-05  -5.5708523349e-17  -8.1702887164e-79   4.7234874967e-79   3.0000000000e+02  -2.1502453731e-05   3.1012088324e-36   5.5686901104e-62   8.4599484953e-48   1.4959736553e-86   5.2738850599e-54   2.3300000000e-01   8.8322074655e-53   7.1770292526e-39   7.5889314552e-55   1.2047263062e-92  -4.0975507934e-90   3.5027140016e-68   5.3949925705e-66   1.8110253161e-55   1.4158706832e-39   1.6490586790e-88   9.1382589419e-61  1.7547287771e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574763562e-01  -5.5071882041e-01   1.1719839921e+00   1.8630700790e-05  -3.1003513595e-18  -2.6016109989e-74   1.5047821582e-74   3.0000000000e+02  -2.1502453731e-05   1.2404835329e-35   1.3374264580e-57   5.8106146006e-44   4.1854323214e-83   8.6662684162e-50   2.3300000000e-01   1.4649341830e-48   1.0451756053e-34   7.2683560551e-52   6.0900934170e-93  3.5623946080e-104   8.4124305160e-64   1.3064950652e-61   4.7738083896e-51   2.9568802953e-35   3.4729180471e-84   1.9245965735e-56  6.8436399020e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580526605e-01  -5.0077645084e-01   1.1719839921e+00   1.8630700790e-05  -6.0375559894e-17  -6.9600783080e-70   4.0199580483e-70   3.0000000000e+02  -2.1502453731e-05   6.9771205024e-36   2.7182736288e-53   3.3824528211e-40   4.0380825645e-79   1.2053572897e-45   2.3300000000e-01   2.0573699353e-44   1.2392697916e-30   1.6027693891e-47   1.5853372462e-97  -7.2763714270e-98   1.7097977903e-59   2.6778233976e-57   1.0651163941e-46   5.0216996905e-31   5.9480027053e-80   3.2962210885e-52  1.9205021643e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586289648e-01  -4.5083408127e-01   1.1719839921e+00   1.8630700790e-05  -5.8667891526e-17  -1.5196394066e-65   8.7436058159e-66   3.0000000000e+02  -2.1502453731e-05   7.7510242655e-37   4.5492186114e-49   1.6252626455e-36   4.8566108442e-75   1.3807983817e-41   2.3300000000e-01   2.3802888272e-40   1.1491439512e-26   2.9104254208e-43  -1.7320672237e-86   2.2036646838e-94   2.8614646616e-55   4.5199958196e-53   1.9572173161e-42   6.6564388847e-27   7.9507813657e-76   4.4061064959e-48   3.6693339392e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592052691e-01  -4.0089171170e-01   1.1719839921e+00   1.8630700790e-05  -4.0989913605e-17  -2.5925334492e-61   1.4809191811e-61   3.0000000000e+02  -2.1502453731e-05   7.7510242655e-37   6.0201473168e-45   6.2021840936e-33   4.1455935887e-70   1.2512976453e-37   2.3300000000e-01   2.1785217528e-36   7.8136708569e-23   4.1782964520e-39   6.0695253141e-85  -4.1181446395e-83   3.7866808070e-51   6.0341070194e-49   2.8446206106e-38   6.4459109610e-23   7.7637960052e-72   4.3024836857e-44   4.4001277162e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597815734e-01  -3.5094934213e-01   1.1719839921e+00   1.8630700790e-05  -4.3564426954e-17  -3.2209636627e-57   1.8153723749e-57   3.0000000000e+02  -2.1502453731e-05   5.2409390341e-34   5.9085046195e-41   1.7711712887e-29   7.5646303999e-63   8.4174618820e-34   2.3300000000e-01   1.4795382491e-32   3.4797078969e-19   4.4470623458e-35   3.3353188555e-77   1.7095645529e-78   3.7164564106e-47   5.9767362302e-45   3.0677229455e-34   4.0527124693e-19   4.9263821968e-68   2.7273285315e-40   2.9129633301e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603578777e-01  -3.0100697256e-01   1.1719839921e+00   1.8630700790e-05   3.0309158822e-14  -2.5537484551e-53   1.3967242575e-53   3.0000000000e+02  -2.1502453730e-05   2.5813110615e-28   3.8389916704e-37   3.4238061363e-26   8.5155208920e-56   3.7556965151e-30   2.3300000000e-01   6.6562884743e-29   8.0195584465e-16   3.1286001325e-31  -1.6752003517e-68   4.9919884173e-71   2.4135856655e-43   3.9213591199e-41   2.1918808716e-30   1.2804897976e-15   8.6347825370e-64   8.6832295731e-37   8.4775622723e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609341820e-01  -2.5106460299e-01   1.1719839920e+00   1.8630700790e-05   1.8306314465e-11  -9.0817001311e-50   4.3451381690e-50   3.0000000001e+02  -2.1502453491e-05   7.9165231959e-24   1.9835797251e-33   3.6923460242e-23   3.1959031613e-49   8.6656702076e-27   2.3300000000e-01   1.5403720352e-25   4.6984921587e-13   1.1228693442e-27   7.4206759604e-63  -3.4943265727e-64   8.0310690488e-40   1.3244090892e-37   8.0737194582e-27   7.9599470151e-13   1.0178669367e-57   5.4045283684e-34   6.5190043042e-67   7.6700000000e-01   1.9075768821e+03
