# time = 0.075
# Grid points = 164
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2525386789e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05   1.0317264458e-16  -2.4506322971e-84  -4.1182568923e-84   3.0000000000e+02  -2.1502453731e-05   7.0660045639e-36   2.9254585157e-68   1.9202307730e-53   1.9972091251e-87   4.7419387761e-60   2.3300000000e-01   7.6077421817e-59   1.6872976493e-45   1.4711229018e-55 -3.5565952611e-106  1.5552331188e-115   2.2278119897e-74   3.4661587651e-72   1.0775268298e-61   2.2761361716e-46   2.6288535810e-95   1.4568390578e-67  9.7493986249e-135   7.6700000000e-01   1.9075768848e+03
  -6.7562234459e-01  -7.0050773579e-01   1.1719839921e+00   1.8630700790e-05   2.4344957974e-17  -3.2648097173e-80  -5.4733607027e-80   3.0000000000e+02  -2.1502453731e-05   7.9185366573e-37   3.3305977056e-64   5.3010819187e-50   1.7730379427e-86   3.0830575059e-56   2.3300000000e-01   5.0186890343e-55   1.1656973389e-41   1.3038583624e-54 -1.4064476000e-100 -5.3785785083e-104   2.0949892326e-70   3.2791289694e-68   1.1074207578e-57   2.2505320256e-42   2.6210288512e-91   1.4525028171e-63  5.5597560162e-127   7.6700000000e-01   1.9075768848e+03
  -6.2585156220e-01  -6.5073695339e-01   1.1719839921e+00   1.8630700790e-05   9.2237796520e-17  -2.3299832052e-76  -3.8975881808e-76   3.0000000000e+02  -2.1502453731e-05   1.7566295991e-36   1.6945574645e-60   8.5174383310e-47   1.0286648042e-85   1.1003872714e-52   2.3300000000e-01   1.8163216548e-51   4.3853341226e-38   4.1235505230e-54   7.3561704348e-98  2.7495331753e-105   1.0658789418e-66   1.6780600401e-64   6.1405707802e-54   1.1975062682e-38   1.4059874913e-87   7.7915998731e-60  1.0202927900e-119   7.6700000000e-01   1.9075768848e+03
  -5.7608077981e-01  -6.0096617100e-01   1.1719839921e+00   1.8630700790e-05   5.9824903129e-17  -2.0446119689e-73  -3.4149446345e-73   3.0000000000e+02  -2.1502453731e-05   7.8085839403e-37   1.4596126241e-57   6.4245484620e-44   4.6082090465e-83   9.2030952018e-50   2.3300000000e-01   1.5163272552e-48   3.0884507850e-35   7.8936495584e-52  -2.1039149741e-87   9.1892904688e-97   9.1809831542e-64   1.4483503793e-61   5.3296264294e-51   8.5894504866e-36   1.0089040114e-84   5.5910162532e-57  7.4817991078e-114   7.6700000000e-01   1.9075768848e+03
  -5.2630999741e-01  -5.5119538861e-01   1.1719839921e+00   1.8630700790e-05   7.4530072429e-17  -3.5923008109e-69  -5.9853653454e-69   3.0000000000e+02  -2.1502453731e-05   4.8788560770e-36   1.8064926521e-53   2.2983083269e-40   2.7047651313e-79   7.8434400802e-46   2.3300000000e-01   1.3104962913e-44   2.5717199854e-31   1.0603521372e-47   9.6470452351e-85  -1.6628420148e-94   1.1362863223e-59   1.8044751732e-57   7.2204023301e-47   1.0238763217e-31   1.2127581490e-80   6.7204720665e-53  7.9522878503e-106   7.6700000000e-01   1.9075768848e+03
  -4.7653921502e-01  -5.0142460622e-01   1.1719839921e+00   1.8630700790e-05   3.3796043011e-18  -5.1967093255e-65  -8.6387467016e-65   3.0000000000e+02  -2.1502453731e-05   4.8788560770e-36   1.8421737103e-49   6.8084599934e-37   1.9702685496e-75   5.5098869839e-42   2.3300000000e-01   9.3326546742e-41   1.6830451595e-27   1.1741081304e-43  -7.9080358037e-81  -4.2298343314e-82   1.1587297562e-55   1.8528957979e-53   8.0629133229e-43   9.5664169605e-28   1.1424770213e-76   6.3315450941e-49   5.7465804908e-98   7.6700000000e-01   1.9075768848e+03
  -4.2676843263e-01  -4.5165382383e-01   1.1719839921e+00   1.8630700790e-05   9.5961775874e-18  -5.9616301274e-61  -9.8904322522e-61   3.0000000000e+02  -2.1502453731e-05   1.7566295991e-36   1.4916799376e-45   1.6161155442e-33   3.4954754308e-71   3.0757664230e-38   2.3300000000e-01   5.2783145968e-37   8.1780185367e-24   1.0318734366e-39  -4.6122334437e-82  -1.1788265945e-83   9.3826869893e-52   1.5115869825e-49   7.1547375519e-39   6.6031733140e-24   7.9513032275e-73   4.4063955755e-45   2.6220255333e-90   7.6700000000e-01   1.9075768848e+03
  -3.7699765024e-01  -4.0188304143e-01   1.1719839921e+00   1.8630700790e-05   5.2282627358e-17  -5.1049575324e-57  -8.4583496021e-57   3.0000000000e+02  -2.1502453731e-05   7.8085839403e-37   9.0418522582e-42   2.9254292226e-30   1.7595997156e-64   1.2872255139e-34   2.3300000000e-01   2.2352322585e-33   2.6725796994e-20   6.7823844298e-36   7.6334170205e-79   3.9523622122e-80   5.6873370689e-48   9.2421502228e-46   4.7609771226e-35   3.0312055132e-20   3.6799905860e-69   2.0390413751e-41   6.7132986325e-83   7.6700000000e-01   1.9075768848e+03
  -3.2722686785e-01  -3.5211225904e-01   1.1719839921e+00   1.8630700790e-05   2.6334306530e-15  -2.9357304072e-53  -4.8698074780e-53   3.0000000000e+02  -2.1502453731e-05   8.8874152324e-31   3.7101184349e-38   3.7518910751e-27   8.3868717429e-58   3.6589809348e-31   2.3300000000e-01   6.4065399441e-30   4.8272622959e-17   3.0103491533e-32   4.2546816392e-71   4.6483923821e-73   2.3335556441e-44   3.8386617177e-42   2.1564580258e-31   7.4314848217e-17   1.3031897649e-65   5.0357503708e-38   7.8830660722e-76   7.6700000000e-01   1.9075768848e+03
  -2.7745608545e-01  -3.0234147665e-01   1.1719839921e+00   1.8630700790e-05   1.6080170428e-12  -9.0745679347e-50  -1.5262268617e-49   3.0000000000e+02  -2.1502453717e-05   3.4219656544e-26   8.7893473884e-35   3.0916765535e-24   1.5332911784e-51   5.8266158882e-28   2.3300000000e-01   1.0136708850e-26   2.8301975712e-14   7.3494291879e-29   3.2411672037e-65   1.6156305757e-66   5.3158609755e-41   8.9928792033e-39   5.5681804820e-28   4.7293366115e-14   3.9841939360e-60   3.2102055832e-35   2.8397067618e-69   7.6700000000e-01   1.9075768846e+03
  -2.2768530306e-01  -2.5257069426e-01   1.1719839916e+00   1.8630700795e-05   3.0905907808e-10  -8.0306863670e-47  -1.6033778011e-46   3.0000000012e+02  -2.1502450978e-05   1.0436155512e-22   1.1538468665e-30   1.6912563238e-21   4.8695061236e-46   3.5697923305e-25   2.3299999999e-01   5.4416855485e-24   5.3651941834e-12   6.3789263364e-26   1.5101933893e-59   7.7884782893e-61   4.6043060115e-38   9.0867882466e-36   6.7709583412e-25   9.1995628567e-12   4.1573292854e-55   6.2478989128e-33   1.3209490416e-63   7.6700000000e-01   1.9075768527e+03
  -1.7791452067e-01  -2.0279991187e-01   1.1719839660e+00   1.8630701098e-05   1.7045406875e-08  -2.4792031534e-43  -5.6575222996e-43   3.0000000666e+02  -2.1502301701e-05   8.9448266377e-20   1.4950030363e-24   1.2139419764e-18   6.5619645848e-40   4.8199349438e-22   2.3299999936e-01   6.5616729792e-21   2.9533239940e-10   1.5974629499e-22   4.2082096160e-53   2.1729088751e-54   1.0653223343e-34   2.3116232215e-32   2.0422777451e-21   5.0827649355e-10   2.7766376471e-50   3.4572862427e-31   3.6845962644e-57   7.6699999984e-01   1.9075751046e+03
