# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527298879e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -3.1369870520e-17   1.6100940231e-91   1.2451465621e-91   3.0000000000e+02  -2.1502453731e-05   3.8359820575e-35  -6.1636514377e-69   1.1710781523e-59   1.3442621589e-87   1.7446633789e-64   2.3300000000e-01   1.8336177518e-64   1.0005088791e-51   9.9017434796e-56 -6.0481772916e-110  4.5555158699e-118   1.1565868880e-81   1.7378066758e-79   4.5377678002e-69   7.0684453541e-53  8.0380054319e-102   4.4544435670e-74  1.4723082492e-142   7.6700000000e-01   1.9075768848e+03
  -6.7557481528e-01  -7.0054597759e-01   1.1719839921e+00   1.8630700790e-05  -5.0835869016e-17   7.6971518291e-87   5.9252167181e-87   3.0000000000e+02  -2.1502453731e-05   7.1034619525e-36  -6.1001435901e-69   1.1826088985e-55   1.9846446433e-86   1.5354917519e-62   2.3300000000e-01   2.1408214411e-61   2.0294927269e-47   1.4618758080e-54 -6.9721878504e-102 -1.2992170446e-103   3.9947678441e-77   6.0539100944e-75   1.7157802979e-64   1.9424333113e-48   2.2242940295e-97   1.2326650525e-69  6.0200024201e-137   7.6700000000e-01   1.9075768848e+03
  -6.2563249065e-01  -6.5060365297e-01   1.1719839921e+00   1.8630700790e-05  -5.0822294091e-17   3.4499588631e-82   2.6453032891e-82   3.0000000000e+02  -2.1502453731e-05   6.9771330612e-36   2.0177017917e-66   1.0759646178e-51   1.1280159945e-85   2.8017006297e-58   2.3300000000e-01   4.6506098131e-57   4.1585918109e-43   8.3088461226e-54  -2.0822907637e-95  -9.9913644916e-95   1.2730141032e-72   1.9447930645e-70   5.9982973550e-60   5.7160786827e-44   6.6014706619e-93   3.6582113669e-65  4.4610479512e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569016603e-01  -6.0066132834e-01   1.1719839921e+00   1.8630700790e-05  -4.8438386692e-17   1.3513849971e-77   1.0318614206e-77   3.0000000000e+02  -2.1502453731e-05   3.1012144145e-36   5.6373904941e-62   8.5624738878e-48   1.2253862474e-86   5.3385929588e-54   2.3300000000e-01   8.9404880605e-53   7.2487923034e-39   5.5542319088e-55  -4.0168373222e-96  1.7672792443e-105   3.5459266359e-68   5.4615836911e-66   1.8333838945e-55   1.4300277172e-39   1.6654805267e-88   9.2296393237e-61  1.7982300974e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574784141e-01  -5.5071900372e-01   1.1719839921e+00   1.8630700790e-05  -2.9336482165e-17   4.5651016994e-73   3.4702973250e-73   3.0000000000e+02  -2.1502453731e-05   1.9377595543e-37   1.3544774668e-57   5.8832569887e-44   4.2378959720e-83   8.7762262469e-50   2.3300000000e-01   1.4835223086e-48   1.0562867524e-34   7.3602389465e-52  -1.2727567069e-89   5.5800511370e-99   8.5196815923e-64   1.3231530199e-61   4.8346772157e-51   2.9883346344e-35   3.5098652662e-84   1.9450716843e-56  7.0190709965e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580551679e-01  -5.0077667910e-01   1.1719839921e+00   1.8630700790e-05  -5.0316940650e-17   1.3046909723e-68   9.8715527651e-69   3.0000000000e+02  -2.1502453731e-05   6.9771330612e-36   2.7540861146e-53   3.4260337360e-40   4.0907511996e-79   1.2211690097e-45   2.3300000000e-01   2.0843800178e-44   1.2532750428e-30   1.6238909559e-47  -6.4098856528e-85  -1.0891135086e-90   1.7323238923e-59   2.7130907309e-57   1.0791424467e-46   5.0785347143e-31   6.0153177751e-80   3.3335308049e-52  1.9713990799e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586319217e-01  -4.5083435448e-01   1.1719839921e+00   1.8630700790e-05  -4.5486828272e-17   3.0689793361e-64   2.3104939881e-64   3.0000000000e+02  -2.1502453731e-05   7.7550341127e-37   4.6111438524e-49   1.6468096627e-36   4.9225791533e-75   1.3995164939e-41   2.3300000000e-01   2.4126042052e-40   1.1629444197e-26   2.9500679207e-43  -1.3991422563e-79  -4.6188687862e-82   2.9004157220e-55   4.5814764824e-53   1.9838330729e-42   6.7365882918e-27   8.0463680031e-76   4.4591652501e-48   3.7698397713e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592086755e-01  -4.0089202986e-01   1.1719839921e+00   1.8630700790e-05   1.8874843035e-17   5.7038502082e-60   4.2711430164e-60   3.0000000000e+02  -2.1502453731e-05   3.1012144145e-36   6.1047900087e-45   6.2865558506e-33   4.2532852984e-70   1.2688124878e-37   2.3300000000e-01   2.2090804954e-36   7.9133146412e-23   4.2371052884e-39   7.7748204897e-82  -2.8193874669e-79   3.8399211747e-51   6.1188480016e-49   2.8845591995e-38   6.5284739632e-23   7.8632452538e-72   4.3575990875e-44   4.5246271976e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597854292e-01  -3.5094970523e-01   1.1719839921e+00   1.8630700790e-05  -2.1296100792e-17   7.8496261685e-56   5.8427777861e-56   3.0000000000e+02  -2.1502453731e-05   5.0413352614e-34   5.9942452559e-41   1.7957594751e-29   7.7822142647e-63   8.5389139227e-34   2.3300000000e-01   1.5009451616e-32   3.5267290044e-19   4.5117011369e-35  -8.7366666466e-77  -1.4239786655e-74   3.7703873585e-47   6.0633352682e-45   3.1121670026e-34   4.1078969493e-19   4.9935526062e-68   2.7644720677e-40   2.9980050887e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603621830e-01  -3.0100738061e-01   1.1719839921e+00   1.8630700790e-05   3.0705377368e-14   7.1188440378e-52   5.2597079243e-52   3.0000000000e+02  -2.1502453730e-05   2.6476592901e-28   3.8963663150e-37   3.4716680846e-26   8.7662132162e-56   3.8112872927e-30   2.3300000000e-01   6.7551533622e-29   8.1330791349e-16   3.1754566817e-31  -6.6986231675e-68   5.8754141496e-71   2.4496406571e-43   3.9798306073e-41   2.2245770860e-30   1.2989032963e-15   8.8653988600e-64   8.8081353596e-37   8.7320037970e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609389368e-01  -2.5106505599e-01   1.1719839920e+00   1.8630700790e-05   1.8537380875e-11   3.2528945392e-48   2.3714565942e-48   3.0000000001e+02  -2.1502453488e-05   7.9937746434e-24   2.0238158701e-33   3.7419516748e-23   3.2901733278e-49   8.7944202692e-27   2.3300000000e-01   1.5633536007e-25   4.7572784828e-13   1.1399748801e-27   7.5184634106e-63  -1.4581419059e-64   8.1528331132e-40   1.3444498948e-37   8.1961510502e-27   8.0610628129e-13   1.0461782941e-57   5.4732040301e-34   6.7165753328e-67   7.6700000000e-01   1.9075768820e+03
  -1.7615156906e-01  -2.0112273137e-01   1.1719839848e+00   1.8630700875e-05   3.2225071880e-09   1.6322506119e-45   9.2747711294e-46   3.0000000185e+02  -2.1502411513e-05   1.4512559585e-20   1.1882345487e-28   1.5320716808e-20   5.3209797903e-44   3.7114246379e-24   2.3299999982e-01   6.0003678742e-23   8.1965694272e-11   6.0600222908e-25   1.5791102466e-57   8.1432808955e-59   4.3658216268e-37   8.0989427333e-35   5.6601036666e-24   1.4124363086e-10   7.0382211670e-53   9.5934144120e-32   1.3811411943e-61   7.6699999996e-01   1.9075763893e+03
