# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527292587e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -5.0893650941e-17  -1.1110410530e-91  -1.2934942721e-91   3.0000000000e+02  -2.1502453731e-05   0.0000000000e+00  -6.1636514345e-69   1.1715498116e-59   9.3342638468e-86   1.1166832196e-62   2.3300000000e-01   1.1361935918e-62   1.0118920033e-51   6.8755557602e-54 -5.7919044573e-109  2.6952054376e-123   1.1595337791e-81   1.7421295153e-79   4.5500800491e-69   7.1804189285e-53  8.1662183896e-102   4.5254958801e-74  1.0385685275e-140   7.6700000000e-01   1.9075768848e+03
  -6.7557470406e-01  -7.0054585174e-01   1.1719839921e+00   1.8630700790e-05  -4.9312563702e-17  -5.3251542484e-87  -6.1410732938e-87   3.0000000000e+02  -2.1502453731e-05   7.7131207898e-37  -6.1001797310e-69   1.1819510694e-55   3.3342316339e-86   1.8034778469e-62   2.3300000000e-01   2.1557011419e-61   2.0281296095e-47   2.4559722998e-54 -2.4193086423e-105 -2.5466481716e-109   3.9924943375e-77   6.0504350992e-75   1.7148068792e-64   1.9411302684e-48   2.2228414077e-97   1.2318381390e-69  1.0103862095e-136   7.6700000000e-01   1.9075768848e+03
  -6.2563240870e-01  -6.5060355638e-01   1.1719839921e+00   1.8630700790e-05  -4.1183979655e-18  -2.4004935425e-82  -2.7463887465e-82   3.0000000000e+02  -2.1502453731e-05   0.0000000000e+00   2.0165485792e-66   1.0753643837e-51   4.4066488642e-85   2.8008148415e-58   2.3300000000e-01   4.6480741942e-57   4.1556375284e-43   3.2459034804e-53  -1.2894840437e-97  4.5539937610e-120   1.2722887310e-72   1.9436752218e-70   5.9948892977e-60   5.7120198073e-44   6.5964469774e-93   3.6556137950e-65  7.4034901384e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569011334e-01  -6.0066126102e-01   1.1719839921e+00   1.8630700790e-05  -9.8884286373e-18  -9.4587627987e-78  -1.0731571269e-77   3.0000000000e+02  -2.1502453731e-05   3.1012180488e-36   5.6342138235e-62   8.5577430064e-48   1.6414578828e-86   5.3356894089e-54   2.3300000000e-01   8.9356072631e-53   7.2436571189e-39   8.6209042856e-55  8.1841878257e-108  2.2502076824e-114   3.5439285058e-68   5.4584772741e-66   1.8323529463e-55   1.4290151978e-39   1.6643013309e-88   9.2231045428e-61  1.7963320718e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574781798e-01  -5.5071896566e-01   1.1719839921e+00   1.8630700790e-05   2.2070960949e-17  -3.2148320519e-73  -3.6155995121e-73   3.0000000000e+02  -2.1502453731e-05   3.1012180488e-36   1.3537249348e-57   5.8800448733e-44   4.2357648115e-83   8.7715292763e-50   2.3300000000e-01   1.4827272109e-48   1.0555468595e-34   7.3575652567e-52   2.7237251522e-97  1.7509470159e-104   8.5149481556e-64   1.3224104413e-61   4.8319941881e-51   2.9862430083e-35   3.5074086385e-84   1.9437103215e-56  7.0116310909e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580552263e-01  -5.0077667031e-01   1.1719839921e+00   1.8630700790e-05  -3.1993822886e-17  -9.2461391672e-69  -1.0303845267e-68   3.0000000000e+02  -2.1502453731e-05   9.4964313795e-36   2.7525815368e-53   3.4241880214e-40   4.0885611055e-79   1.2205276877e-45   2.3300000000e-01   2.0832864591e-44   1.2524138571e-30   1.6230261677e-47   6.4600487429e-85  -7.8737635193e-91   1.7313775109e-59   2.7115921663e-57   1.0785529191e-46   5.0750492694e-31   6.0112364122e-80   3.3312430856e-52  1.9693212184e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586322727e-01  -4.5083437495e-01   1.1719839921e+00   1.8630700790e-05  -4.5783845905e-17  -2.1892953799e-64  -2.4163795639e-64   3.0000000000e+02  -2.1502453731e-05   1.0038451959e-64   4.6086726006e-49   1.6459343998e-36   4.9200003122e-75   1.3987968941e-41   2.3300000000e-01   2.4113681038e-40   1.1621666083e-26   2.9485285504e-43   4.3517742398e-80   9.3103863191e-87   2.8988613013e-55   4.5789913879e-53   1.9827685898e-42   6.7320919380e-27   8.0414095570e-76   4.4561891660e-48   3.7659175337e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592093191e-01  -4.0089207959e-01   1.1719839921e+00   1.8630700790e-05  -1.2818852286e-17  -4.0972785373e-60  -4.4763992435e-60   3.0000000000e+02  -2.1502453731e-05   7.7510473006e-37   6.1015858886e-45   6.2832525320e-33   4.2493959630e-70   1.2681745486e-37   2.3300000000e-01   2.2079767709e-36   7.9082047526e-23   4.2349430596e-39  -1.9321727438e-75  -5.2084657754e-76   3.8379057789e-51   6.1155938067e-49   2.8830414570e-38   6.5242737535e-23   7.8578976836e-72   4.3547958188e-44   4.5200048083e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597863655e-01  -3.5094978423e-01   1.1719839921e+00   1.8630700790e-05  -3.9163829194e-17  -5.6816030285e-56  -6.1387680296e-56   3.0000000000e+02  -2.1502453731e-05   4.8455033561e-34   5.9911651948e-41   1.7948201403e-29   7.7745066502e-63   8.5347115411e-34   2.3300000000e-01   1.5002132627e-32   3.5245480268e-19   4.5094509925e-35  -2.6845810527e-75   1.7578716703e-78   3.7684499968e-47   6.0601744382e-45   3.1105620991e-34   4.1053748418e-19   4.9904847660e-68   2.7627750531e-40   2.9950048375e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603634119e-01  -3.0100748887e-01   1.1719839921e+00   1.8630700790e-05   3.0684285583e-14  -5.1998274379e-52  -5.5450693413e-52   3.0000000000e+02  -2.1502453730e-05   2.6445114131e-28   3.8943981537e-37   3.4698265573e-26   8.7575517028e-56   3.8094373810e-30   2.3300000000e-01   6.7519143079e-29   8.1282607687e-16   3.1739040111e-31   1.1908960509e-69  -6.4403920945e-68   2.4484038431e-43   3.9777899873e-41   2.2234496174e-30   1.2981469852e-15   8.8568587515e-64   8.8030085244e-37   8.7234095983e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609404583e-01  -2.5106519351e-01   1.1719839920e+00   1.8630700790e-05   1.8524862040e-11  -2.4134821953e-48  -2.5200321385e-48   3.0000000001e+02  -2.1502453488e-05   7.9765338858e-24   2.0224270546e-33   3.7398297260e-23   3.2868541602e-49   8.7900623206e-27   2.3300000000e-01   1.5625892808e-25   4.7540545537e-13   1.1394174917e-27   7.6511059445e-63   3.9585534098e-64   8.1487038953e-40   1.3437591005e-37   8.1920032084e-27   8.0556718849e-13   1.0449678091e-57   5.4695447835e-34   6.7098913940e-67   7.6700000000e-01   1.9075768820e+03
  -1.7615175047e-01  -2.0112289815e-01   1.1719839848e+00   1.8630700875e-05   3.2190342066e-09  -1.5069315740e-45  -1.2107632981e-45   3.0000000185e+02  -2.1502411559e-05   1.4491267830e-20   1.1865168162e-28   1.5310002890e-20   5.3132682543e-44   3.7087791119e-24   2.3299999982e-01   5.9958634288e-23   8.1877464110e-11   6.0561303288e-25   1.5769439697e-57   8.1320629678e-59   4.3629683394e-37   8.0939005197e-35   5.6568033511e-24   1.4109123557e-10   7.0253494631e-53   9.5830631193e-32   1.3792030401e-61   7.6699999996e-01   1.9075763898e+03
