# time = 0.075
# Grid points = 212
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2535923487e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05   7.8607141329e-18   9.5637516066e-81   1.9116953270e-80   3.0000000000e+02  -2.1502453731e-05   1.2597710476e-35   1.3849623809e-64   2.1322737078e-50   1.0255960520e-86   1.2702920241e-56   2.3300000000e-01   2.0634821115e-55   4.2221671613e-42   7.5458253043e-55 -1.8208642595e-112 -5.0282694002e-114   8.7118198088e-71   1.3653853992e-68   4.6195703318e-58   8.1788164066e-43   9.5262519501e-92   5.2791897179e-64  9.7063662867e-128   7.6700000000e-01   1.9075768848e+03
  -6.7580065713e-01  -7.0071846975e-01   1.1719839921e+00   1.8630700790e-05   9.8645222448e-17   1.8515464508e-76   3.6869564223e-76   3.0000000000e+02  -2.1502453731e-05   7.0737997350e-36   1.8844380092e-60   8.3723459641e-47   1.1976151993e-85   1.1902706172e-52   2.3300000000e-01   1.9610920532e-51   4.0130045680e-38   5.4267630349e-54  5.1153231844e-105  2.7730619601e-106   1.1853140613e-66   1.8696870096e-64   6.8778234624e-54   1.1143349393e-38   1.3088259524e-87   7.2531630386e-60  1.2456559205e-119   7.6700000000e-01   1.9075768848e+03
  -6.2596503189e-01  -6.5088284451e-01   1.1719839921e+00   1.8630700790e-05   3.7440184338e-19   3.0109953777e-72   5.9726487327e-72   3.0000000000e+02  -2.1502453731e-05   6.0944899524e-65   2.1555515969e-56   2.7742801373e-43   3.2463435822e-82   9.3795095226e-49   2.3300000000e-01   1.5671025660e-47   3.0923242850e-34   1.2662792583e-50  -3.2188091333e-89  -2.5195322232e-92   1.3558448709e-62   2.1528744286e-60   8.6110182061e-50   1.2286719047e-34   1.4552085035e-83   8.0643750470e-56  1.1321856318e-111   7.6700000000e-01   1.9075768848e+03
  -5.7612940665e-01  -6.0104721927e-01   1.1719839921e+00   1.8630700790e-05   4.2713940334e-18   3.9592216041e-68   7.8481306567e-68   3.0000000000e+02  -2.1502453731e-05   7.0082454022e-36   2.0096601509e-52   7.5379517531e-40   2.1530248875e-78   6.0277650606e-45   2.3300000000e-01   1.0209385283e-43   1.8536682742e-30   1.2802026991e-46  -3.7559560155e-82   6.5164073999e-91   1.2640789540e-58   2.0210641959e-56   8.7901481976e-46   1.0507776131e-30   1.2549517437e-79   6.9542098590e-52  6.8470600044e-104   7.6700000000e-01   1.9075768848e+03
  -5.2629378141e-01  -5.5121159403e-01   1.1719839921e+00   1.8630700790e-05   2.9948191740e-17   3.6890485446e-64   7.6726431852e-64   3.0000000000e+02  -2.1502453731e-05   1.9464672967e-35   1.4660206008e-48   1.6199464470e-36   1.4670146821e-74   3.0343483952e-41   2.3300000000e-01   5.2068697600e-40   8.1364184680e-27   1.0134374717e-42  -3.9803574884e-85   5.6276760108e-93   9.2212894142e-55   1.4853206010e-52   7.0254615941e-42   6.5440437463e-27   7.8794915637e-76   4.3665996687e-48   2.5394270100e-96   7.6700000000e-01   1.9075768848e+03
  -4.7645815618e-01  -5.0137596879e-01   1.1719839921e+00   1.8630700790e-05   7.6326708755e-18  -1.7675878960e-60   1.2111383780e-60   3.0000000000e+02  -2.1502453731e-05   9.5371279532e-36   7.8588746676e-45   2.6147946090e-33   2.1675880769e-70   1.1249977776e-37   2.3300000000e-01   1.9533340293e-36   2.3637351280e-23   5.8893469754e-39  -4.2168928575e-75   5.2538301167e-86   4.9432427987e-51   8.0309313355e-49   4.1327070219e-38   2.6643243684e-23   3.2331048711e-72   1.7920247163e-44   5.0963091508e-89   7.6700000000e-01   1.9075768848e+03
  -4.2662253094e-01  -4.5154034356e-01   1.1719839921e+00   1.8630700790e-05   5.7925103472e-17  -4.4704340519e-55  -4.3259346488e-55   3.0000000000e+02  -2.1502453731e-05   1.7520613506e-36   2.7861569888e-41   2.9410945611e-30   4.8925227175e-64   2.7728140173e-34   2.3300000000e-01   4.8546682764e-33   3.7440897809e-20   2.2573503797e-35  -3.2830476860e-72  -1.4496679811e-74   1.7524964492e-47   2.8813899128e-45   1.6157505523e-34   5.6979281062e-20   6.9674348822e-69   3.8601390526e-41   4.4852617267e-82   7.6700000000e-01   1.9075768848e+03
  -3.7678690570e-01  -4.0170471832e-01   1.1719839921e+00   1.8630700790e-05   1.1657359602e-15  -3.6746004977e-50  -3.6711242180e-50   3.0000000000e+02  -2.1502453731e-05   2.1197426142e-32   5.3414556596e-38   2.0952500219e-27   6.4863102646e-58   3.7506192214e-31   2.3300000000e-01   6.5311360026e-30   2.0175138504e-17   4.6325933175e-32   1.2272844341e-71   6.8121895724e-73   3.3596929964e-44   5.6728462934e-42   3.4971039208e-31   3.3315956755e-17   5.8850671158e-66   2.2608993996e-38   1.1563295010e-75   7.6700000000e-01   1.9075768848e+03
  -3.2695128046e-01  -3.5186909308e-01   1.1719839921e+00   1.8630700790e-05   2.4276942882e-13  -2.3490998740e-45  -2.3490921030e-45   3.0000000000e+02  -2.1502453728e-05   2.2118088470e-28   3.8977640437e-35   9.6299198587e-25   1.5587876308e-52   1.9920621470e-28   2.3300000000e-01   3.1169530471e-27   4.2387790465e-15   3.3651179412e-29   4.6294555932e-66  -2.4148474470e-65   2.4299425603e-41   4.6981403377e-39   3.4274920661e-28   7.1868474306e-15   1.8686010506e-61   4.8798233655e-36   3.9919098157e-70   7.6700000000e-01   1.9075768848e+03
  -2.7711565522e-01  -3.0203346784e-01   1.1719839920e+00   1.8630700790e-05   2.4916715813e-11  -1.0873327488e-40  -1.0873329467e-40   3.0000000001e+02  -2.1502453509e-05   6.4687254350e-25   2.5086805489e-31   4.7641210677e-22   8.5407717474e-47   1.7074663023e-25   2.3300000000e-01   2.3624278904e-24   4.3273057530e-13   5.3236993952e-26   5.0748165904e-60   2.6232548748e-61   3.5722490190e-38   7.6878716933e-36   6.7092136191e-25   7.4141563753e-13   1.4554244305e-56   5.0368184439e-34   4.4474172917e-64   7.6700000000e-01   1.9075768822e+03
  -2.2728002998e-01  -2.5219784260e-01   1.1719839900e+00   1.8630700814e-05   1.3437382921e-09  -2.8017311909e-36  -2.8017312420e-36   3.0000000053e+02  -2.1502441745e-05   6.9841074982e-22   6.3664899954e-26   1.6952429334e-19   2.7210708086e-41   1.0436710000e-22   2.3299999995e-01   1.3777846947e-21   2.3295434418e-11   5.1890482088e-23   2.6646823404e-54   1.3780620636e-55   3.2177607142e-35   7.3229642677e-33   7.2967440715e-22   4.0047897992e-11   4.6360963211e-52   2.7424596365e-32   2.3361842757e-58   7.6699999999e-01   1.9075767447e+03
