# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527312868e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -5.0640521816e-17  -3.8556086648e-92   3.3851870788e-92   3.0000000000e+02  -2.1502453731e-05   7.8274049763e-37  -6.1636514571e-69   1.1518355533e-59   3.8206211264e-87   4.8262029017e-64   2.3300000000e-01   4.8050339516e-64   1.0210822466e-51   2.8142434163e-55 -3.4340396700e-106 -1.8424059429e-107   1.1440766557e-81   1.7185242921e-79   4.4899103273e-69   7.3018827359e-53  8.3057090868e-102   4.6029056278e-74  4.3240920379e-142   7.6700000000e-01   1.9075768848e+03
  -6.7557502814e-01  -7.0054625736e-01   1.1719839921e+00   1.8630700790e-05  -5.0702108839e-17  -1.8238041791e-87   1.5582388191e-87   3.0000000000e+02  -2.1502453731e-05   1.9664609532e-37  -6.1014283677e-69   1.1591460708e-55   7.3346745272e-86   2.1800515219e-62   2.3300000000e-01   2.1715036677e-61   2.0011408615e-47   5.4026716842e-54 -2.3427314679e-105 -1.0259555544e-105   3.9139551572e-77   5.9307221328e-75   1.6807699698e-64   1.9153297808e-48   2.1932928886e-97   1.2154631471e-69  2.1923837401e-136   7.6700000000e-01   1.9075768848e+03
  -6.2563256971e-01  -6.5060379893e-01   1.1719839921e+00   1.8630700790e-05  -5.0454355889e-17  -8.1764496712e-83   6.8251522508e-83   3.0000000000e+02  -2.1502453731e-05   1.7445736086e-36   1.9751798184e-66   1.0538020776e-51   2.5838614160e-85   2.7437758390e-58   2.3300000000e-01   4.5548505954e-57   4.0958015151e-43   1.9032506213e-53  1.1139654955e-102  2.1517896371e-105   1.2462677245e-72   1.9037123286e-70   5.8712675308e-60   5.6298221454e-44   6.5015868815e-93   3.6030024006e-65  5.5926068939e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569011127e-01  -6.0066134049e-01   1.1719839921e+00   1.8630700790e-05  -4.1972504974e-17  -3.2014531154e-78   2.6051264740e-78   3.0000000000e+02  -2.1502453731e-05   4.8453718170e-36   5.5144831575e-62   8.3796188841e-48   2.0016456614e-86   5.2234579106e-54   2.3300000000e-01   8.7488585865e-53   7.1313280322e-39   1.1346249226e-54  -5.5514550543e-92  -7.7076306025e-91   3.4686177548e-68   5.3419239041e-66   1.7931207433e-55   1.4068545761e-39   1.6384071726e-88   9.0800606573e-61  1.7210029444e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574765283e-01  -5.5071888205e-01   1.1719839921e+00   1.8630700790e-05   4.9045027191e-17  -1.0803657110e-73   8.5499950843e-74   3.0000000000e+02  -2.1502453731e-05   9.4963693616e-36   1.3238443965e-57   5.7531256244e-44   4.1439269157e-83   8.5796645874e-50   2.3300000000e-01   1.4504560426e-48   1.0379287693e-34   7.1957365067e-52   3.5262777130e-94  -1.5196597244e-91   8.3269991655e-64   1.2930952610e-61   4.7246113180e-51   2.9363617834e-35   3.4488169969e-84   1.9112398075e-56  6.7065680530e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580519439e-01  -5.0077642361e-01   1.1719839921e+00   1.8630700790e-05  -4.8367977303e-17  -3.0827355093e-69   2.3665589099e-69   3.0000000000e+02  -2.1502453731e-05   4.8453718170e-36   2.6895025367e-53   3.3476534805e-40   3.9958481836e-79   1.1927846407e-45   2.3300000000e-01   2.0361085589e-44   1.2299336862e-30   1.5857712334e-47  -8.5152839334e-87  -4.0087097861e-92   1.6917007345e-59   2.6492146886e-57   1.0536850111e-46   4.9838003436e-31   5.9031073013e-80   3.2713412764e-52  1.8804328147e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586273596e-01  -4.5083396518e-01   1.1719839921e+00   1.8630700790e-05  -4.0187570714e-17  -7.2359674377e-65   5.3721010056e-65   3.0000000000e+02  -2.1502453731e-05   7.7509966812e-37   4.4990823059e-49   1.6079194554e-36   4.8031698729e-75   1.3657858154e-41   2.3300000000e-01   2.3546078014e-40   1.1397567305e-26   2.8782630425e-43   5.8961809519e-81   1.6440351588e-90   2.8299288576e-55   4.4697411281e-53   1.9353605457e-42   6.6018921810e-27   7.8856546512e-76   4.3699958771e-48   3.5896324437e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592027752e-01  -4.0089150674e-01   1.1719839921e+00   1.8630700790e-05   4.7649928476e-17  -1.3412158813e-60   9.5921701768e-61   3.0000000000e+02  -2.1502453731e-05   0.0000000000e+00   5.9511335204e-45   6.1337920368e-33   4.0593851643e-70   1.2371397841e-37   2.3300000000e-01   2.1540264976e-36   7.7446044697e-23   4.1302307522e-39   4.7451368245e-76  -2.2750642591e-79   3.7432710357e-51   5.9643558720e-49   2.8115962988e-38   6.3886376102e-23   7.6950724961e-72   4.2642495847e-44   4.3007161064e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597781908e-01  -3.5094904830e-01   1.1719839921e+00   1.8630700790e-05  -3.7537437919e-17  -1.8394847200e-56   1.2598570424e-56   3.0000000000e+02  -2.1502453731e-05   4.8454717118e-34   5.8381484668e-41   1.7511202217e-29   7.3901297683e-63   8.3185947272e-34   2.3300000000e-01   1.4622455419e-32   3.4465391372e-19   4.3938752612e-35   3.2718192700e-77  -1.9197395834e-78   3.6722023182e-47   5.9050044954e-45   3.0307422619e-34   4.0137330728e-19   4.8789380609e-68   2.7010914599e-40   2.8446220829e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603536065e-01  -3.0100658986e-01   1.1719839921e+00   1.8630700790e-05   2.9966168652e-14  -1.6603603038e-52   1.0759071182e-52   3.0000000000e+02  -2.1502453730e-05   2.5360914610e-28   3.7916524617e-37   3.3846089529e-26   8.3136156830e-56   3.7101703622e-30   2.3300000000e-01   6.5758921002e-29   7.9382645119e-16   3.0898145744e-31   9.4939397708e-70   4.8733114590e-71   2.3838364397e-43   3.8726575044e-41   2.1645247925e-30   1.2672678366e-15   8.4611316820e-64   8.5935349269e-37   8.2719349432e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609290221e-01  -2.5106413143e-01   1.1719839920e+00   1.8630700790e-05   1.8143684118e-11  -7.5135622228e-49   4.3907462865e-49   3.0000000001e+02  -2.1502453493e-05   7.8836072146e-24   1.9506834411e-33   3.6517436044e-23   3.1197604160e-49   8.5598656716e-27   2.3300000000e-01   1.5216091399e-25   4.6571435157e-13   1.1086498157e-27   7.2537138650e-63   3.7508155259e-64   7.9302666989e-40   1.3076547878e-37   7.9708915124e-27   7.8885860062e-13   9.9645235111e-58   5.3560581177e-34   6.3587732078e-67   7.6700000000e-01   1.9075768821e+03
  -1.7615044377e-01  -2.0112167299e-01   1.1719839849e+00   1.8630700874e-05   3.2002768979e-09  -3.0881569168e-46  -1.8146562549e-46   3.0000000184e+02  -2.1502411805e-05   1.4380820028e-20   1.1492521555e-28   1.5063398473e-20   5.1460461643e-44   3.6479592529e-24   2.3299999982e-01   5.9043939179e-23   8.1400966299e-11   5.9431255563e-25   1.5240573048e-57   7.8594208154e-59   4.2818512314e-37   7.9347148159e-35   5.5407083098e-24   1.4026791921e-10   6.8777907762e-53   9.5271377525e-32   1.3328999666e-61   7.6699999996e-01   1.9075763927e+03
