# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527300900e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -2.1172498583e-17   1.8061740028e-91   9.2328751800e-92   3.0000000000e+02  -2.1502453731e-05   7.0470637718e-36  -6.1636514449e-69   1.1669342043e-59   7.1867489081e-86   6.9814985224e-63   2.3300000000e-01   9.0812127281e-63   9.9869151310e-52   5.2937107289e-54 -2.2740958310e-107 -1.2934084019e-109   1.1525351661e-81   1.7316543285e-79   4.5216716704e-69   7.0576298876e-53  8.0257515106e-102   4.4476569205e-74  7.8587874092e-141   7.6700000000e-01   1.9075768848e+03
  -6.7557483173e-01  -7.0054601801e-01   1.1719839921e+00   1.8630700790e-05  -2.1061526842e-17   8.6323425020e-87   4.3218526745e-87   3.0000000000e+02  -2.1502453731e-05   7.9467880707e-37  -6.1003881329e-69   1.1781680090e-55   1.1483297278e-85   2.6450301366e-62   2.3300000000e-01   2.2563545432e-61   2.0238654691e-47   8.4584633982e-54  -2.1610630974e-99  5.4367592605e-105   3.9793082973e-77   6.0302863883e-75   1.7090479255e-64   1.9370548988e-48   2.2182084348e-97   1.2292514498e-69  3.4710255049e-136   7.6700000000e-01   1.9075768848e+03
  -6.2563245918e-01  -6.5060364545e-01   1.1719839921e+00   1.8630700790e-05  -2.1110591902e-17   3.8687759736e-82   1.9031970498e-82   3.0000000000e+02  -2.1502453731e-05   1.7445796089e-36   2.0095399871e-66   1.0717561006e-51   6.2188037141e-86   2.7906121224e-58   2.3300000000e-01   4.6323879857e-57   4.1461943590e-43   4.5806853769e-54   9.9767371456e-99  2.2409896079e-115   1.2678803171e-72   1.9368899686e-70   5.9737936409e-60   5.6990514414e-44   6.5815504070e-93   3.6473127732e-65  3.9769305967e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569008663e-01  -6.0066127290e-01   1.1719839921e+00   1.8630700790e-05  -1.8680580537e-17   1.5152064241e-77   7.3164908707e-78   3.0000000000e+02  -2.1502453731e-05   7.7550192279e-37   5.6136973790e-62   8.5276033079e-48   1.0730988035e-86   5.3166067216e-54   2.3300000000e-01   8.9039042279e-53   7.2255497364e-39   4.4466325707e-55  -3.4196105738e-92  3.6638869049e-102   3.5310236344e-68   5.4384686975e-66   1.8255857036e-55   1.4254429061e-39   1.6600869646e-88   9.2000446182e-61  1.7833746120e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574771408e-01  -5.5071890035e-01   1.1719839921e+00   1.8630700790e-05   3.4547753884e-19   5.1174008732e-73   2.4228854917e-73   3.0000000000e+02  -2.1502453731e-05   4.8453884823e-36   1.3485456332e-57   5.8583319462e-44   4.2202594788e-83   8.7385213240e-50   2.3300000000e-01   1.4771837576e-48   1.0526430441e-34   7.3313992684e-52  -4.0290693530e-90  -7.3519137908e-92   8.4823702788e-64   1.3173216216e-61   4.8132687511e-51   2.9780187368e-35   3.4977475135e-84   1.9383564097e-56  6.9585133515e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580534153e-01  -5.0077652780e-01   1.1719839921e+00   1.8630700790e-05  -2.0491603022e-17   1.4621322259e-68   6.7797240058e-69   3.0000000000e+02  -2.1502453731e-05   4.8453884823e-36   2.7415225319e-53   3.4109552375e-40   4.0724117298e-79   1.2156991545e-45   2.3300000000e-01   2.0750871644e-44   1.2486253989e-30   1.6164972692e-47   3.1907282013e-96   1.7441958771e-97   1.7244213818e-59   2.7006436933e-57   1.0741692169e-46   5.0596601802e-31   5.9929666821e-80   3.3211401936e-52  1.9536565382e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586296898e-01  -4.5083415525e-01   1.1719839921e+00   1.8630700790e-05  -1.7979007463e-17   3.4381557403e-64   1.5591910443e-64   3.0000000000e+02  -2.1502453731e-05   3.1012084621e-36   4.5892435723e-49   1.6392964802e-36   4.8993497829e-75   1.3929863902e-41   2.3300000000e-01   2.4013907166e-40   1.1583075269e-26   2.9360761190e-43  -6.5528634922e-79  -4.5888736138e-83   2.8866404162e-55   4.5596068425e-53   1.9743220889e-42   6.7096433154e-27   8.0133234168e-76   4.4413272877e-48   3.7344868320e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592059642e-01  -4.0089178270e-01   1.1719839921e+00   1.8630700790e-05   3.6428221945e-18   6.3873403573e-60   2.8279944381e-60   3.0000000000e+02  -2.1502453731e-05   1.9377558350e-37   6.0746232486e-45   6.2569288995e-33   4.2153902642e-70   1.2626530599e-37   2.3300000000e-01   2.1983901571e-36   7.8794493273e-23   4.2161841710e-39  -4.1472937226e-75  -1.0424840687e-73   3.8209462418e-51   6.0884766260e-49   2.8701802779e-38   6.5003877809e-23   7.8296413145e-72   4.3388494851e-44   4.4804688929e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597822387e-01  -3.5094941015e-01   1.1719839921e+00   1.8630700790e-05   5.2556638724e-17   8.7856550238e-56   3.7875258424e-56   3.0000000000e+02  -2.1502453731e-05   4.6536285752e-34   5.9634629797e-41   1.7870749793e-29   7.7050736009e-63   8.4958845165e-34   2.3300000000e-01   1.4933996888e-32   3.5105801540e-19   4.4885329424e-35  -3.2521546785e-73  -1.6542368824e-71   3.7510252752e-47   6.0320765709e-45   3.0960523351e-34   4.0889153456e-19   4.9704277635e-68   2.7516954914e-40   2.9676107521e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603585132e-01  -3.0100703760e-01   1.1719839921e+00   1.8630700790e-05   3.0593618358e-14   7.9616981657e-52   3.3237890991e-52   3.0000000000e+02  -2.1502453730e-05   2.6252084181e-28   3.8756333295e-37   3.4547101471e-26   8.6767831704e-56   3.7914674075e-30   2.3300000000e-01   6.7200806580e-29   8.0937971178e-16   3.1585478538e-31   9.6972975199e-70   5.0887396646e-71   2.4366116195e-43   3.9585913417e-41   2.2126469684e-30   1.2925129331e-15   8.7842811470e-64   8.7647844842e-37   8.6404629842e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609347877e-01  -2.5106466505e-01   1.1719839920e+00   1.8630700790e-05   1.8459492452e-11   3.6315548414e-48   1.4380286081e-48   3.0000000001e+02  -2.1502453489e-05   7.9758353294e-24   2.0093350836e-33   3.7244879438e-23   3.2564961663e-49   8.7484191668e-27   2.3300000000e-01   1.5551818083e-25   4.7374215333e-13   1.1337770121e-27   7.5841514841e-63   3.9235451582e-64   8.1086769656e-40   1.3371471685e-37   8.1513329931e-27   8.0268009218e-13   1.0362854886e-57   5.4499325866e-34   6.6452810807e-67   7.6700000000e-01   1.9075768821e+03
