# time = 0.075
# Grid points = 184
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2523797510e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05   7.9032451120e-20  -2.5014116295e-83   1.2630768447e-83   3.0000000000e+02  -2.1502453731e-05   1.2523035641e-35   2.3274445171e-67   1.2743758439e-52  -3.3556057469e-83   3.1834882951e-59   2.3300000000e-01   5.0921463509e-58   9.8537561467e-45   1.1235997030e-53  -2.9424638493e-98 -1.2086996664e-103   1.5043016361e-73   2.3435386129e-71   7.2947578991e-61   1.3303881448e-45   1.5366526638e-94   8.5156717285e-67 -5.0401324568e-129   7.6700000000e-01   1.9075768848e+03
  -6.7553185813e-01  -7.0047595020e-01   1.1719839921e+00   1.8630700790e-05   4.7223835421e-18  -7.4815771819e-79   3.7108915954e-79   3.0000000000e+02  -2.1502453731e-05   4.8951638021e-36   5.0169869011e-63   7.6863071532e-49   5.3987927231e-86   4.5947891305e-55   2.3300000000e-01   7.4608784820e-54   1.4876207905e-40   3.9455472585e-54  -3.9685453927e-93  8.6697755632e-102   3.1556954257e-69   4.9470003755e-67   1.6742065098e-56   2.8830668928e-41   3.3581958044e-90   1.8609685500e-62  1.2901099380e-124   7.6700000000e-01   1.9075768848e+03
  -6.2564367397e-01  -6.5058776605e-01   1.1719839921e+00   1.8630700790e-05   6.6551894731e-17  -1.8584173059e-74   9.0475362199e-75   3.0000000000e+02  -2.1502453731e-05   6.9922849547e-36   8.7414961536e-59   3.8590754804e-45   2.9675397221e-84   5.5124891257e-51   2.3300000000e-01   9.0796962585e-50   1.8173358492e-36   6.2109269042e-53   4.9951336671e-94  7.3863262106e-104   5.4984129081e-65   8.6747624129e-63   3.1920775723e-52   5.0504640592e-37   5.9320849560e-86   3.2873998868e-58  2.7009619453e-116   7.6700000000e-01   1.9075768848e+03
  -5.7575548982e-01  -6.0069958190e-01   1.1719839921e+00   1.8630700790e-05   4.6014688580e-17  -3.7958723989e-70   1.8118881148e-70   3.0000000000e+02  -2.1502453731e-05   6.9922849547e-36   1.2525648738e-54   1.5984482806e-41   1.8778797435e-80   5.4397797710e-47   2.3300000000e-01   9.0867263062e-46   1.7590100177e-32   7.3505915087e-49   3.5489275765e-94  -5.5649274970e-94   7.8786500030e-61   1.2512229536e-58   5.0064403130e-48   6.9979053695e-33   8.2883961835e-82   4.5932034917e-54  3.8377232302e-108   7.6700000000e-01   1.9075768848e+03
  -5.2586730567e-01  -5.5081139774e-01   1.1719839921e+00   1.8630700790e-05   4.2518307517e-17  -6.2594897142e-66   2.9251025243e-66   3.0000000000e+02  -2.1502453731e-05   3.1079491679e-36   1.4493912710e-50   5.3743029296e-38   1.5498481757e-76   4.3366499806e-43   2.3300000000e-01   7.3440754002e-42   1.3105766999e-28   9.2357575006e-45  -3.6345105881e-82   7.5875009176e-90   9.1166907048e-57   1.4578542824e-54   6.3435301579e-44   7.4435186781e-29   8.8896667330e-78   4.9264405736e-50  3.5651863083e-100   7.6700000000e-01   1.9075768848e+03
  -4.7597912151e-01  -5.0092321359e-01   1.1719839921e+00   1.8630700790e-05   7.1910244982e-18  -8.0613553632e-62   3.6786280061e-62   3.0000000000e+02  -2.1502453731e-05   6.9922849547e-36   1.3104524478e-46   1.4249840666e-34   1.4664148413e-72   2.7033828064e-39   2.3300000000e-01   4.6385761909e-38   7.1302777344e-25   9.0631560736e-41  -9.6356730749e-78  -5.2042206903e-79   8.2427636269e-53   1.3279440651e-50   6.2850559266e-40   5.7521856925e-25   6.9259230000e-74   3.8384601119e-46   2.0263006100e-92   7.6700000000e-01   1.9075768848e+03
  -4.2609093736e-01  -4.5103502944e-01   1.1719839921e+00   1.8630700790e-05   3.1561598551e-17  -7.6672837348e-58   3.3980081900e-58   3.0000000000e+02  -2.1502453731e-05   4.1070331154e-66   8.7582805567e-43   2.8461078920e-31   1.6764668182e-66   1.2476513412e-35   2.3300000000e-01   2.1662205285e-34   2.5759641924e-21   6.5681304571e-37   2.2230498518e-77   3.7149515757e-82   5.5089702978e-49   8.9523003435e-47   4.6112701378e-36   2.9184895644e-21   3.5425924227e-70   1.9631793341e-42   6.3045300961e-85   7.6700000000e-01   1.9075768848e+03
  -3.7620275321e-01  -4.0114684528e-01   1.1719839921e+00   1.8630700790e-05   3.0814789123e-16  -4.8785624874e-54   2.0667644088e-54   3.0000000000e+02  -2.1502453731e-05   1.1754671321e-32   3.9232234300e-39   3.9900869571e-28   9.4403010078e-60   3.8727473977e-32   2.3300000000e-01   6.7797879950e-31   5.0960590200e-18   3.1824695236e-33  -4.0329723873e-70  -3.5398556352e-72   2.4677000355e-45   4.0594394159e-43   2.2802799385e-32   7.8333974655e-18   1.0017555049e-66   5.3079319035e-39   8.8228905088e-78   7.6700000000e-01   1.9075768848e+03
  -3.2631456905e-01  -3.5125866113e-01   1.1719839921e+00   1.8630700790e-05   1.8568071071e-13  -1.7054731996e-50   6.4051514385e-51   3.0000000000e+02  -2.1502453729e-05   5.4875628832e-28   9.7331325176e-36   3.5720397968e-25   2.0260021761e-53   6.6886801279e-29   2.3300000000e-01   1.1633746664e-27   3.2688848295e-15   8.4216245206e-30   4.1124739491e-67   2.1954877234e-68   6.0940620099e-42   1.0310680990e-39   6.3837531456e-29   5.4564917565e-15   5.3347243078e-62   3.7037081044e-36   3.7362498742e-71   7.6700000000e-01   1.9075768848e+03
  -2.7642638490e-01  -3.0137047698e-01   1.1719839920e+00   1.8630700790e-05   3.9297430983e-11  -2.3250355422e-47   2.1782415913e-48   3.0000000002e+02  -2.1502453381e-05   2.2127881220e-24   2.5974596983e-32   2.1148529763e-22   7.6019041150e-48   4.4533825438e-26   2.3300000000e-01   6.7955642984e-25   6.8252860335e-13   7.9383921755e-27  -4.1306337604e-60   1.2087775869e-62   5.7311291544e-39   1.1301513980e-36   8.4159367079e-26   1.1692783225e-12   6.5987916957e-57   7.9410298891e-34   2.0534385846e-65   7.6700000000e-01   1.9075768807e+03
  -2.2653820075e-01  -2.5148229282e-01   1.1719839883e+00   1.8630700835e-05   2.4882490711e-09  -9.4249854494e-44  -1.7177932587e-45   3.0000000097e+02  -2.1502431541e-05   2.4711911850e-21   2.6328368869e-26   1.6160876097e-19   1.1551580105e-41   6.3882137848e-23   2.3299999991e-01   8.7001574518e-22   4.3120819283e-11   2.1133999292e-23   7.3858431023e-55   3.8130029443e-56   1.4099150814e-35   3.0585511504e-33   2.7021205333e-22   7.4183977034e-11   5.3720918101e-52   5.0452361452e-32   6.4658872064e-59   7.6699999998e-01   1.9075766251e+03
  -1.7665001660e-01  -2.0159410867e-01   1.1719838645e+00   1.8630702296e-05   8.3139118785e-08  -2.4776006979e-40  -1.7761400985e-41   3.0000003256e+02  -2.1501711910e-05   1.6446498379e-18   2.7974526413e-20   9.2516254763e-17   1.1855066379e-35   7.0407253554e-20   2.3299999687e-01   9.1728262360e-19   1.4439242013e-09   3.9313001823e-20   1.3211504055e-48   6.8303881168e-50   2.3955551246e-32   5.5296038354e-30   5.6848031672e-19   2.4743686579e-09   2.1626605047e-47   1.8609318453e-30   1.1579904093e-52   7.6699999921e-01   1.9075682675e+03
  -1.2676185305e-01  -1.5170592453e-01   1.1719806817e+00   1.8630739886e-05   2.1444049968e-06  -3.4432219387e-37  -5.0963592033e-38   3.0000084497e+02  -2.1483303194e-05   1.9304472084e-14   6.7165884874e-15   2.8690429905e-14   2.7023166898e-30   3.5244436692e-17   2.3299991915e-01   4.3563215661e-16   3.7500194776e-08   3.5084640433e-17   4.9306867742e-43   2.5424035460e-44   1.8774508840e-29   4.8874766206e-27   6.6111143687e-16   6.3430709676e-08   1.7853097492e-42   2.8220482196e-28   4.3122061719e-47   7.6699997992e-01   1.9073598510e+03
