# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527292425e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -2.1119685807e-17  -4.8534267240e-92  -8.2220204927e-92   3.0000000000e+02  -2.1502453731e-05   7.8273544278e-37  -6.1636514520e-69   1.1542627605e-59   1.7448173065e-87   2.1309552192e-64   2.3300000000e-01   2.2992917847e-64   1.0266550369e-51   1.2852205385e-55 -1.6348661779e-107 -2.5819584107e-111   1.1476074020e-81   1.7238927892e-79   4.5045366107e-69   7.3539348556e-53  8.3654426092e-102   4.6359054656e-74  1.9888618112e-142   7.6700000000e-01   1.9075768848e+03
  -6.7557466324e-01  -7.0054584849e-01   1.1719839921e+00   1.8630700790e-05  -4.4678414828e-17  -2.3963933373e-87  -3.9121649999e-87   3.0000000000e+02  -2.1502453731e-05   1.7246653394e-36  -6.1013063339e-69   1.1613060307e-55   2.6272099099e-86   1.6122937878e-62   2.3300000000e-01   2.1131677435e-61   2.0028533540e-47   1.9351850073e-54  3.6727982708e-107  1.8733863351e-117   3.9216310480e-77   5.9427114696e-75   1.6842444056e-64   1.9169662361e-48   2.1951672234e-97   1.2165018520e-69  7.8629596958e-137   7.6700000000e-01   1.9075768848e+03
  -6.2563229272e-01  -6.5060347798e-01   1.1719839921e+00   1.8630700790e-05  -4.4617022977e-17  -1.1122616470e-82  -1.7673707144e-82   3.0000000000e+02  -2.1502453731e-05   1.7445797513e-36   1.9793492177e-66   1.0559128077e-51   2.1147650709e-85   2.7492586288e-58   2.3300000000e-01   4.5635832051e-57   4.0998070072e-43   1.5577174101e-53  1.9906218456e-102  7.5250518779e-112   1.2488902823e-72   1.9078337558e-70   5.8842514517e-60   5.6353225687e-44   6.5079404547e-93   3.6065232691e-65  5.1925900783e-131   7.6700000000e-01   1.9075768848e+03
  -5.7568992221e-01  -6.0066110747e-01   1.1719839921e+00   1.8630700790e-05  -4.2188163505e-17  -4.5115533989e-78  -6.9809633330e-78   3.0000000000e+02  -2.1502453731e-05   1.7445797513e-36   5.5268880293e-62   8.3975784852e-48   1.2403486553e-86   5.2346209755e-54   2.3300000000e-01   8.7669556873e-53   7.1393410890e-39   5.7313049099e-55  -5.8460746875e-94  2.5323194477e-103   3.4764204360e-68   5.3542646810e-66   1.7973479808e-55   1.4084353769e-39   1.6403306102e-88   9.0902651880e-61  1.7285741423e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574755170e-01  -5.5071873695e-01   1.1719839921e+00   1.8630700790e-05  -2.3094265471e-17  -1.5780309458e-73  -2.3789433896e-73   3.0000000000e+02  -2.1502453731e-05   6.9783190052e-36   1.3270153935e-57   5.7662546379e-44   4.1534052228e-83   8.5992640961e-50   2.3300000000e-01   1.4536747513e-48   1.0392564939e-34   7.2123144524e-52   9.4201078974e-97  4.9531602233e-104   8.3469447794e-64   1.2962710130e-61   4.7364418242e-51   2.9401220625e-35   3.4532331235e-84   1.9136877270e-56  6.7378726556e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580518118e-01  -5.0077636644e-01   1.1719839921e+00   1.8630700790e-05  -4.4063037772e-17  -4.6694828146e-69  -6.8613466631e-69   3.0000000000e+02  -2.1502453731e-05   6.9771202388e-36   2.6963397589e-53   3.3557506958e-40   4.0057804267e-79   1.1956859153e-45   2.3300000000e-01   2.0409344136e-44   1.2317108598e-30   1.5898038743e-47  -1.1151748554e-85   4.8305570714e-95   1.6960013565e-59   2.6561098611e-57   1.0564789838e-46   4.9910188123e-31   5.9116587007e-80   3.2760802022e-52  1.8897332204e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586281067e-01  -4.5083399593e-01   1.1719839921e+00   1.8630700790e-05  -4.0195980427e-17  -1.1373543385e-64  -1.6294767762e-64   3.0000000000e+02  -2.1502453731e-05   7.7550198607e-37   4.5111871472e-49   1.6120223492e-36   4.8160087858e-75   1.3693107262e-41   2.3300000000e-01   2.3605452153e-40   1.1416044085e-26   2.8860162659e-43  -1.6644537430e-81  -1.6607953531e-87   2.8375428192e-55   4.4820369211e-53   1.9407809275e-42   6.6126386029e-27   7.8984527744e-76   4.3771104493e-48   3.6084170383e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592044016e-01  -4.0089162541e-01   1.1719839921e+00   1.8630700790e-05   7.0786737477e-18  -2.1898987878e-60  -3.0592169617e-60   3.0000000000e+02  -2.1502453731e-05   7.7510239726e-37   5.9680361969e-45   6.1502115130e-33   4.0799555752e-70   1.2405161788e-37   2.3300000000e-01   2.1597839221e-36   7.7586025419e-23   4.1419861343e-39   5.2432306498e-85   2.5224665149e-86   3.7539028421e-51   5.9816551849e-49   2.8198945219e-38   6.4002619924e-23   7.7088065590e-72   4.2720100407e-44   4.3244850205e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597806964e-01  -3.5094925490e-01   1.1719839921e+00   1.8630700790e-05   4.6417255960e-17  -3.1267772005e-56  -4.2565856345e-56   3.0000000000e+02  -2.1502453731e-05   4.8454887728e-34   5.8556048600e-41   1.7559965544e-29   7.4320348264e-63   8.3425056753e-34   2.3300000000e-01   1.4663706895e-32   3.4534328896e-19   4.4070547027e-35  -3.9113108598e-71  -2.1433188141e-72   3.6831824077e-47   5.9230152806e-45   3.0401459790e-34   4.0218523743e-19   4.8882139563e-68   2.7065568554e-40   2.8611818008e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603569913e-01  -3.0100688439e-01   1.1719839921e+00   1.8630700790e-05   3.0038350679e-14  -2.9553356592e-52  -3.9107832282e-52   3.0000000000e+02  -2.1502453730e-05   2.5448015481e-28   3.8035348206e-37   3.3942418516e-26   8.3625679929e-56   3.7213182044e-30   2.3300000000e-01   6.5953230151e-29   7.9554838958e-16   3.0995394155e-31  -3.2894934956e-68   4.8992793738e-71   2.3913038587e-43   3.8850207275e-41   2.1715554445e-30   1.2700795548e-15   8.5003783146e-64   8.6126105108e-37   8.3223670474e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609332862e-01  -2.5106451387e-01   1.1719839920e+00   1.8630700790e-05   1.8177433667e-11  -1.4365728001e-48  -1.8253026217e-48   3.0000000001e+02  -2.1502453492e-05   7.8850763591e-24   1.9588668687e-33   3.6617634366e-23   3.1383682104e-49   8.5860113607e-27   2.3300000000e-01   1.5261882271e-25   4.6656979366e-13   1.1122488078e-27   7.2970167903e-63   3.7742145041e-64   7.9557961652e-40   1.3119432165e-37   7.9975314060e-27   7.9034165262e-13   1.0013306337e-57   5.3661323456e-34   6.3984405474e-67   7.6700000000e-01   1.9075768821e+03
