# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527296782e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -2.4062449838e-17  -7.0087939890e-92  -6.3939902459e-94   3.0000000000e+02  -2.1502453731e-05   7.8273723419e-37  -6.1636514617e-69   1.1523074325e-59   7.0245067363e-87   1.1647800823e-64   2.3300000000e-01   5.4929605003e-64   1.0086222467e-51   5.1742042164e-55 -7.5416238757e-104  5.4978751745e-108   1.1416103734e-81   1.7149830188e-79   4.4795192293e-69   7.1763479287e-53  8.1622511149e-102   4.5232159119e-74  7.8118509899e-142   7.6700000000e-01   1.9075768848e+03
  -6.7557476368e-01  -7.0054593564e-01   1.1719839921e+00   1.8630700790e-05   1.3450261564e-18  -3.4596842799e-87  -5.2126255216e-89   3.0000000000e+02  -2.1502453731e-05   3.1012473832e-36  -6.1013261844e-69   1.1610621804e-55   1.2041147155e-86   1.4104990860e-62   2.3300000000e-01   2.0960178230e-61   2.0050628928e-47   8.8694276195e-55 -5.6291704249e-109 -8.9174931256e-108   3.9203825375e-77   5.9406524113e-75   1.6835902580e-64   1.9190818321e-48   2.1975896802e-97   1.2178443128e-69  3.6103004283e-137   7.6700000000e-01   1.9075768848e+03
  -6.2563241976e-01  -6.5060359172e-01   1.1719839921e+00   1.8630700790e-05  -2.3154485885e-17  -1.5978473365e-82  -3.1489167126e-84   3.0000000000e+02  -2.1502453731e-05   1.9377580571e-37   1.9785829246e-66   1.0556246208e-51   2.5429125836e-86   2.7482463560e-58   2.3300000000e-01   4.5628742668e-57   4.1043276637e-43   1.8730494523e-54  -3.0420843802e-98  1.5705035538e-111   1.2484082829e-72   1.9070481290e-70   5.8815757916e-60   5.6415420042e-44   6.5151024521e-93   3.6105032420e-65  3.5412791547e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569007585e-01  -6.0066124780e-01   1.1719839921e+00   1.8630700790e-05   4.4785353334e-18  -6.4490684838e-78  -1.5696803384e-79   3.0000000000e+02  -2.1502453731e-05   7.7550281206e-37   5.5242839588e-62   8.3946184315e-48   1.3478303977e-86   5.2328988542e-54   2.3300000000e-01   8.7648404081e-53   7.1466796777e-39   6.5242091518e-55   5.5894602158e-98  2.9389276244e-105   3.4747824722e-68   5.3516180353e-66   1.7963809074e-55   1.4098839510e-39   1.6420174759e-88   9.0996134702e-61  1.7273072607e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574773193e-01  -5.5071890389e-01   1.1719839921e+00   1.8630700790e-05   3.4319052942e-17  -2.2446364227e-73  -6.4969933361e-75   3.0000000000e+02  -2.1502453731e-05   6.9771276702e-36   1.3262668739e-57   5.7637301940e-44   4.1513694240e-83   8.5956323411e-50   2.3300000000e-01   1.4531794645e-48   1.0402289946e-34   7.2075568047e-52  -6.7117374754e-87   7.2024328139e-96   8.3422365812e-64   1.2955136073e-61   4.7334635213e-51   2.9428729163e-35   3.4564925042e-84   1.9154779779e-56  6.7316800598e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580538801e-01  -5.0077655997e-01   1.1719839921e+00   1.8630700790e-05  -2.2966093299e-17  -6.6098381994e-69  -2.2152990696e-70   3.0000000000e+02  -2.1502453731e-05   6.9771276702e-36   2.6945505924e-53   3.3539828879e-40   4.0034594808e-79   1.1950621863e-45   2.3300000000e-01   2.0400248605e-44   1.2327297846e-30   1.5888108960e-47  -5.8014288304e-87   2.5705832052e-96   1.6948759683e-59   2.6543018959e-57   1.0557120502e-46   4.9951408467e-31   5.9165401739e-80   3.2787854090e-52  1.8876196220e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586304410e-01  -4.5083421606e-01   1.1719839921e+00   1.8630700790e-05  -1.9179040156e-17  -1.6023195706e-64  -6.0990744802e-66   3.0000000000e+02  -2.1502453731e-05   4.8453940385e-36   4.5077184578e-49   1.6110276667e-36   4.8125897087e-75   1.3684536787e-41   2.3300000000e-01   2.3592346989e-40   1.1424065469e-26   2.8839112971e-43   9.2329275739e-86  -3.4584038704e-83   2.8353610089e-55   4.4785287018e-53   1.9391724544e-42   6.6172625577e-27   7.9039812340e-76   4.3801704276e-48   3.6036198888e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592070018e-01  -4.0089187214e-01   1.1719839921e+00   1.8630700790e-05   1.3768054598e-17  -3.0707775149e-60  -1.3093216550e-61   3.0000000000e+02  -2.1502453731e-05   7.7510322283e-37   5.9627874486e-45   6.1458785736e-33   4.0745304492e-70   1.2396059139e-37   2.3300000000e-01   2.1583409312e-36   7.7629620092e-23   4.1385088496e-39   3.6964045987e-77  -2.5651852433e-76   3.7506013723e-51   5.9763329869e-49   2.8172529069e-38   6.4038133908e-23   7.7131037468e-72   4.2743795358e-44   4.3177818987e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597835626e-01  -3.5094952822e-01   1.1719839921e+00   1.8630700790e-05  -7.4966157820e-18  -4.3643835920e-56  -2.0673310231e-57   3.0000000000e+02  -2.1502453731e-05   4.4656494054e-34   5.8497850470e-41   1.7546258367e-29   7.4201762964e-63   8.3354776631e-34   2.3300000000e-01   1.4652242419e-32   3.4548356361e-19   4.4028511420e-35  -8.9458440863e-70   2.0558583539e-78   3.6795217390e-47   5.9170907156e-45   3.0369577681e-34   4.0234277308e-19   4.8911431254e-68   2.7076160631e-40   2.8560999818e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603601235e-01  -3.0100718431e-01   1.1719839921e+00   1.8630700790e-05   3.0130866042e-14  -4.1063185204e-52  -2.1631144729e-53   3.0000000000e+02  -2.1502453730e-05   2.5477547525e-28   3.7993257331e-37   3.3914561433e-26   8.3478005456e-56   3.7178133364e-30   2.3300000000e-01   6.5894752414e-29   7.9575038646e-16   3.0962325434e-31  -1.7584906681e-68   5.9543693167e-71   2.3886583480e-43   3.8807162858e-41   2.1690388246e-30   1.2703580650e-15   8.4960461537e-64   8.6144928662e-37   8.3057878094e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609366843e-01  -2.5106484039e-01   1.1719839920e+00   1.8630700790e-05   1.8185644361e-11  -1.9874326656e-48  -1.2087135582e-49   3.0000000001e+02  -2.1502453492e-05   7.9152728594e-24   1.9561033467e-33   3.6590996483e-23   3.1326625831e-49   8.5776200543e-27   2.3300000000e-01   1.5247708817e-25   4.6679047425e-13   1.1109780344e-27   7.1500253173e-63   3.7662599749e-64   7.9464128269e-40   1.3104042380e-37   7.9876951314e-27   7.9068921607e-13   1.0008399615e-57   5.3684884074e-34   6.3849593862e-67   7.6700000000e-01   1.9075768821e+03
  -1.7615132452e-01  -2.0112249647e-01   1.1719839849e+00   1.8630700875e-05   3.2066798142e-09  -1.7891541122e-45  -2.2174637154e-46   3.0000000184e+02  -2.1502411721e-05   1.4421720295e-20   1.1534960015e-28   1.5091161530e-20   5.1651066292e-44   3.6547537989e-24   2.3299999982e-01   5.9152841041e-23   8.1563667584e-11   5.9544965185e-25   1.5293774672e-57   7.8875633277e-59   4.2893419196e-37   7.9500238727e-35   5.5515016355e-24   1.4054903501e-10   6.9042865835e-53   9.5462324718e-32   1.3376943465e-61   7.6699999996e-01   1.9075763917e+03
  -1.2620898063e-01  -1.5118015256e-01   1.1719836846e+00   1.8630704421e-05   1.3684797106e-07  -9.0952330421e-42  -1.4016086107e-42   3.0000007850e+02  -2.1500660325e-05   2.0074448488e-17   1.5475247014e-22   1.1071187893e-17   6.7961551756e-38   4.8907757322e-21   2.3299999243e-01   6.8299343200e-20   3.4798885177e-09   1.5732438763e-21   4.3372455247e-51   2.2371657442e-52   1.0537262047e-33   2.2206705021e-31   1.8992380026e-20   6.0032179748e-09   3.4121169167e-48   4.0823682678e-30   3.7942157880e-55   7.6699999809e-01   1.9075557909e+03
  -8.8792733626e-02  -1.0123780870e-01   1.1719763158e+00   1.8630791450e-05   3.4019792980e-06  -2.7531390090e-38  -4.4210508694e-39   3.0000195952e+02  -2.1457807249e-05   3.2967363101e-14   1.8171463801e-16   6.5845533510e-15   7.6969455715e-32   5.6657308954e-18   2.3299981151e-01   7.5095311995e-17   8.6899408402e-08   3.1254913519e-18   8.6500557514e-45   4.4708452826e-46   1.9153125047e-30   4.3146523792e-28   4.2991831162e-17   1.4892744023e-07   1.1074483053e-43   1.1523624295e-28   7.5802967260e-49   7.6699995267e-01   1.9070581002e+03
