# time = 0.075
# Grid points = 249
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2597756349e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05   4.5028853265e-20   2.2953388575e-84  -1.8681965207e-84   3.0000000000e+02  -2.1502453731e-05   3.2346691789e-36   2.8951281574e-68   1.9057780775e-53   9.5003062704e-86   4.7178844558e-60   2.3300000000e-01   7.5486359951e-59   1.6757509641e-45   7.7645502591e-54  -7.3924966819e-99 -9.9625211029e-101   2.2098030035e-74   3.4381149596e-72   1.0687890697e-61   2.2604511449e-46   2.6106521647e-95   1.4467977978e-67 -5.0868800964e-130   7.6700000000e-01   1.9075768848e+03
  -6.7707004025e-01  -7.0195512698e-01   1.1719839921e+00   1.8630700790e-05   1.8635381121e-19   3.0102955270e-80  -2.4450452835e-80   3.0000000000e+02  -2.1502453731e-05   8.2286799593e-37   3.2623971462e-64   5.1966102789e-50   1.4992015324e-85   3.0205339722e-56   2.3300000000e-01   4.9170135151e-55   1.1454956448e-41   1.1040910311e-53  1.2716511377e-101  -1.1155150549e-99   2.0520909884e-70   3.2119102550e-68   1.0846821554e-57   2.2114051405e-42   2.5754537306e-91   1.4272469853e-63  5.3398285763e-127   7.6700000000e-01   1.9075768848e+03
  -6.2729986681e-01  -6.5218495353e-01   1.1719839921e+00   1.8630700790e-05   3.6178870179e-19   2.1167204189e-76  -1.7158675769e-76   3.0000000000e+02  -2.1502453731e-05   3.1227052390e-36   1.6407419389e-60   8.2730255840e-47   1.4989678082e-85   1.0661452684e-52   2.3300000000e-01   1.7597587244e-51   4.2563596494e-38   7.6868713201e-54  -4.5957975111e-93  9.0306527515e-102   1.0320289034e-66   1.6247399915e-64   5.9447564686e-54   1.1617408615e-38   1.3639820035e-87   7.5588163542e-60  9.5713195768e-120   7.6700000000e-01   1.9075768848e+03
  -5.7752969336e-01  -6.0241478009e-01   1.1719839921e+00   1.8630700790e-05   9.3742195919e-18   1.8937415466e-73  -1.5329069890e-73   3.0000000000e+02  -2.1502453731e-05   1.7566725846e-36   1.4434228731e-57   6.3561158231e-44   4.5590629643e-83   9.1019350297e-50   2.3300000000e-01   1.4996553987e-48   3.0597018961e-35   7.8091263772e-52  -3.3073653775e-90  6.1242074650e-100   9.0791494012e-64   1.4322753540e-61   5.2703966640e-51   8.5092905951e-36   9.9947649536e-85   5.5388324944e-57  7.3176110300e-114   7.6700000000e-01   1.9075768848e+03
  -5.2775951992e-01  -5.5264460664e-01   1.1719839921e+00   1.8630700790e-05   8.4856717914e-17   3.3145945475e-69  -2.6768936475e-69   3.0000000000e+02  -2.1502453731e-05   1.7566725846e-36   1.7858577250e-53   2.2732341252e-40   2.6745001791e-79   7.7546894202e-46   2.3300000000e-01   1.2956571235e-44   2.5465549755e-31   1.0482267881e-47  -3.1999770971e-84  -3.4008807179e-89   1.1233069253e-59   1.7838558455e-57   7.1377868502e-47   1.0138209572e-31   1.2007439394e-80   6.6544625330e-53  7.7725100853e-106   7.6700000000e-01   1.9075768848e+03
  -4.7798934647e-01  -5.0287443319e-01   1.1719839921e+00   1.8630700790e-05   4.3847207247e-17   4.7765169826e-65  -3.8489272438e-65   3.0000000000e+02  -2.1502453731e-05   3.1227052390e-36   1.8206009999e-49   6.7329120345e-37   1.9473837906e-75   5.4460264262e-42   2.3300000000e-01   9.2243611197e-41   1.6658176120e-27   1.1603381756e-43  -4.9836412633e-79   1.7538418353e-84   1.1451604922e-55   1.8311954673e-53   7.9683489831e-43   9.4679887400e-28   1.1309454652e-76   6.2663906157e-49   5.6134044263e-98   7.6700000000e-01   1.9075768848e+03
  -4.2821917303e-01  -4.5310425975e-01   1.1719839921e+00   1.8630700790e-05   7.6191892742e-18   5.4576808293e-61  -4.3887578184e-61   3.0000000000e+02  -2.1502453731e-05   0.0000000000e+00   1.4738200575e-45   1.5979990054e-33   3.4315749343e-71   3.0393783261e-38   2.3300000000e-01   5.2157653280e-37   8.0906670056e-24   1.0194937264e-39   1.3881447603e-76  -1.1156276481e-83   9.2703481023e-52   1.4934918991e-49   7.0689484681e-39   6.5321067091e-24   7.8664778647e-73   4.3589631178e-45   2.5599344633e-90   7.6700000000e-01   1.9075768848e+03
  -3.7844899958e-01  -4.0333408630e-01   1.1719839921e+00   1.8630700790e-05   3.6194407647e-17   4.6531580895e-57  -3.7361929383e-57   3.0000000000e+02  -2.1502453731e-05   1.9511878585e-37   8.9316106695e-42   2.8926760480e-30   1.7186100032e-64   1.2717655442e-34   2.3300000000e-01   2.2083268124e-33   2.6429448317e-20   6.6994578401e-36  -3.7118781028e-73   1.0838276014e-79   5.6179949659e-48   9.1295192038e-46   4.7028395532e-35   2.9971898105e-20   3.6384538330e-69   2.0161537199e-41   6.5516260801e-83   7.6700000000e-01   1.9075768848e+03
  -3.2867882614e-01  -3.5356391286e-01   1.1719839921e+00   1.8630700790e-05   2.6036287934e-15   2.6617044951e-53  -2.1383791239e-53   3.0000000000e+02  -2.1502453731e-05   8.7465974384e-31   3.6644399336e-38   3.7109303617e-27   8.1909526510e-58   3.6148850545e-31   2.3300000000e-01   6.3291077069e-30   4.7727418873e-17   2.9731325783e-32  -3.5355187218e-68  -1.0907303668e-69   2.3048264676e-44   3.7914449194e-42   2.1298629876e-31   7.3457082404e-17   1.2835026581e-65   4.9776002718e-38   7.6919130383e-76   7.6700000000e-01   1.9075768848e+03
  -2.7890865269e-01  -3.0379373941e-01   1.1719839921e+00   1.8630700790e-05   1.5920221307e-12   8.1472794276e-50  -6.6233522527e-50   3.0000000000e+02  -2.1502453717e-05   3.4009811643e-26   8.6796159044e-35   3.0607566055e-24   1.4987295698e-51   5.7587864967e-28   2.3300000000e-01   1.0018310224e-26   2.8024035555e-14   7.2600152250e-29   3.6228871239e-65  -2.5860484188e-64   5.2516416220e-41   8.8844388668e-39   5.5008187422e-28   4.6817637759e-14   3.8980997305e-60   3.1778981285e-35   2.7726348652e-69   7.6700000000e-01   1.9075768846e+03
  -2.2913847924e-01  -2.5402356597e-01   1.1719839916e+00   1.8630700795e-05   3.0788834294e-10   6.7352848652e-47  -6.4766304104e-47   3.0000000012e+02  -2.1502450986e-05   1.0381970228e-22   1.1347276613e-30   1.6777384954e-21   4.7866964147e-46   3.5380740895e-25   2.3299999999e-01   5.3955005224e-24   5.3449188992e-12   6.3166401233e-26   1.4826588330e-59   7.6459557445e-61   4.5593058363e-38   8.9963644911e-36   6.7028610550e-25   9.1646354435e-12   4.1063905651e-55   6.2241747960e-33   1.2969351709e-63   7.6700000000e-01   1.9075768529e+03
  -1.7936830580e-01  -2.0425339252e-01   1.1719839661e+00   1.8630701097e-05   1.7000887120e-08   1.9682402825e-43  -2.2130068632e-43   3.0000000664e+02  -2.1502302098e-05   8.9013802054e-20   1.4646228020e-24   1.2043018323e-18   6.4289921298e-40   4.7698685462e-22   2.3299999936e-01   6.4922393779e-21   2.9456129049e-10   1.5804070391e-22   4.1194533098e-53   2.1270614744e-54   1.0539978465e-34   2.2876895615e-32   2.0217597519e-21   5.0694756795e-10   2.7400227474e-50   3.4482062503e-31   3.6068590767e-57   7.6699999984e-01   1.9075751092e+03
  -1.2959813239e-01  -1.5448321908e-01   1.1719832279e+00   1.8630709814e-05   4.9779467857e-07   3.9732958155e-40  -5.2796050077e-40   3.0000019506e+02  -2.1498011414e-05   1.5193689561e-16   1.4092720530e-18   6.5559679235e-16   5.9727889184e-34   4.9990834570e-19   2.3299998124e-01   6.5090938013e-18   8.6506360228e-09   2.7895502254e-19   6.6563051315e-47   3.4412034705e-48   1.7008012965e-31   3.9237573093e-29   4.0205602160e-18   1.4809746065e-08   9.4027837432e-46   1.1336901704e-29   5.8341021574e-51   7.6699999529e-01   1.9075253753e+03
  -9.2289723283e-02  -1.0471304570e-01   1.1719628375e+00   1.8630950632e-05   1.3701612206e-05   3.1225318045e-37  -5.4170517600e-37   3.0000539966e+02  -2.1380142376e-05   1.8830572834e-13   2.8650589715e-13   1.7672216549e-13   1.1579919035e-28   2.3143502757e-16   2.3299948361e-01   2.8925913378e-15   2.3966519191e-07   2.1144581551e-16   2.0374598459e-41   1.0537219905e-42   1.1719484380e-28   2.9039843201e-26   3.5155628904e-15   4.0480773207e-07   6.9075844863e-41   1.6248453337e-27   1.7865287618e-45   7.6699987192e-01   1.9061944364e+03
  -7.3654734182e-02  -7.9866400863e-02   1.1716538134e+00   1.8634601046e-05   2.1360481068e-04   3.8269078405e-35  -1.1409233929e-34   3.0008429630e+02  -1.9596916410e-05   1.2423236809e-11   2.6929592402e-09   1.1893925618e-11   1.0212772161e-24   2.2506529871e-14   2.3299195503e-01   2.6902774630e-13   3.7421914619e-06   3.2712163805e-14   2.6281468330e-37   1.3597302126e-38   1.6261972177e-26   4.4565635502e-24   6.6536319154e-13   6.2865424658e-06   1.1333887489e-36   2.8688980517e-25   2.3089277984e-41   7.6699801622e-01   1.8862821246e+03
  -6.1231382671e-02  -6.7443067501e-02   1.1699024726e+00   1.8655316111e-05   1.3471168221e-03   1.0189343965e-33  -4.8825811735e-33   3.0053220338e+02  -9.4821992442e-06   2.6723321285e-10   1.2478093675e-06   2.1907831244e-10   4.3809756994e-22   4.7042838687e-13   2.3294925297e-01   5.5506977038e-12   2.3632827644e-05   1.0469319554e-12   1.5090303505e-34   7.8216120645e-36   4.5366557320e-25   1.4135350983e-22   2.7605773198e-11   3.9579226160e-05   1.5757276058e-33   1.1416667386e-23   1.3399712791e-38   7.6698753472e-01   1.7740556242e+03
  -5.1262526272e-02  -5.5019697841e-02   1.1634504215e+00   1.8732026502e-05   5.5124273999e-03   1.6119487703e-31  -8.7370035833e-32   3.0219371110e+02   2.7849394041e-05   1.2259078717e-08   1.2673351001e-04   2.5365655180e-09   4.0603367230e-20   4.2663611084e-12   2.3279165996e-01   5.5582186459e-11   9.7691185003e-05   1.4807457516e-11   1.7362461314e-32   9.0599455255e-34   5.2598467163e-24   1.9760791784e-21   6.0909502186e-10   1.6140278134e-04   1.6066788202e-30   1.8743473444e-22   1.6035525237e-36   7.6694924285e-01   1.3693558215e+03
  -4.5626341633e-02  -4.7505354702e-02   1.1407804771e+00   1.9006550962e-05   2.0280265026e-02   1.3008024164e-29  -1.6472754992e-30   3.0817786299e+02   1.6105443592e-04   1.7841660564e-07   1.0690434462e-02   2.1438802545e-08   2.7783776243e-18   2.9242327734e-11   2.3222943424e-01   5.2666118921e-10   3.6990419050e-04   2.1827433679e-10   1.7599782332e-30   9.4023097928e-32   5.8080387984e-23   2.8271362433e-20   1.4946208882e-08   5.8715750670e-04   2.5355808964e-27   3.5716585707e-21   1.8664085988e-34   7.6681346690e-01  -4.1457999855e+01
  -4.2808416375e-02  -4.3747328565e-02   1.1034622945e+00   1.9476191411e-05   4.5171332480e-02   1.8763420539e-28  -7.3241211523e-30   3.1855439780e+02   3.8866707994e-04   1.8340055614e-07   1.3799480575e-01   6.7545534434e-08   3.2982873586e-17   8.1007631643e-11   2.3126887813e-01   2.0321107495e-09   8.6383827743e-04   9.7539821730e-10   2.4497331154e-29   1.3598764519e-30   2.2073372220e-22   1.2483516987e-19   9.5354686831e-08   1.2881409092e-03   1.9606100760e-25   1.8513336197e-20   3.2624186205e-33   7.6657897669e-01  -2.4331540668e+03
  -4.0925679177e-02  -4.1869504185e-02   1.0886334628e+00   1.9669046628e-05   5.4072541320e-02   3.9275246520e-28  -1.2922717838e-29   3.2286639912e+02   4.7817886014e-04   4.4734849276e-06   3.0102611107e-01   1.0292964598e-07   7.6515497485e-17   1.1538305416e-10   2.3089128038e-01   3.1577805759e-09   1.0867496509e-03   1.4205973631e-09   5.1722955367e-29   2.9144440212e-30   3.0617643690e-22   1.8002079172e-19   1.5763356163e-07   1.5341253998e-03   7.5914215591e-25   2.6502644955e-20   7.5404603684e-33   7.6648757931e-01  -3.2525375386e+03
  -3.9292238763e-02  -3.9981854168e-02   9.6760573719e-01   2.1402194082e-05   1.3940405959e-01   6.3358065669e-27  -1.8204391200e-28   3.6293577151e+02   1.3172128650e-03   3.1246302522e-05   5.5120369346e+00   2.5932954002e-07   2.1820716877e-15   5.0436467179e-10   2.2735077035e-01   1.5722578600e-08   3.2827869448e-03   7.5828235040e-09  -7.2029815566e-26   1.0010403252e-28   1.2782707869e-21   8.4728903660e-19   1.2250497182e-06   3.7895338251e-03   1.8092753640e-22   1.5359129817e-19  -2.1292752602e-29   7.6557540069e-01  -1.2079926013e+04
  -3.8146884918e-02  -3.8602623358e-02   8.5396459953e-01   2.3349299005e-05   2.2669985698e-01   3.2391616457e-26  -1.3256570185e-27   4.1069344094e+02   2.2890831921e-03   1.8217953693e-04   3.0125807438e+01   3.6470566021e-07   2.3088618139e-14   2.0221557393e-09   2.2324954317e-01   4.2193849292e-08   6.1489147517e-03   2.0023059115e-08  -8.7660263157e-26   2.8690311999e-28   2.4908345799e-21   1.3233395139e-18   3.2147818469e-06   6.0588580671e-03   5.2616892013e-21   2.7858390277e-19  -1.8829779763e-28   7.6453904029e-01  -2.1696248696e+04
  -3.7397618681e-02  -3.7691146478e-02   7.2745035880e-01   2.6039671684e-05   3.5754546490e-01   9.7139896151e-26  -4.6770235436e-27   4.8120902144e+02   3.7844769710e-03   5.9770890325e-04   1.1771067625e+02   4.4022022506e-07   1.9481032404e-13   6.8488785833e-09   2.1693841329e-01   1.0003570949e-07   1.0373185510e-02   4.7079633794e-08   1.5063111841e-26   1.1853964278e-27   4.6071631523e-21   1.6982465728e-18   6.3370618580e-06   9.6098644626e-03   8.9193130132e-20   4.3862929305e-19   2.0694213170e-29   7.6307160549e-01  -3.6494516211e+04
