# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527305754e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05   1.9102552706e-17  -3.3138666717e-92  -2.6255487810e-92   3.0000000000e+02  -2.1502453731e-05   7.0470716847e-36  -6.1636514381e-69   1.1686930468e-59   9.9311909770e-88   1.4107122299e-64   2.3300000000e-01   1.6205061869e-64   1.0088093383e-51   7.3152478361e-56 -2.2473067974e-111 -4.3653936573e-116   1.1564280227e-81   1.7374700181e-79   4.5378088810e-69   7.1557759138e-53  8.1381128330e-102   4.5099203656e-74  1.1012368502e-142   7.6700000000e-01   1.9075768848e+03
  -6.7557490817e-01  -7.0054611508e-01   1.1719839921e+00   1.8630700790e-05   2.9921422336e-18  -1.6475377830e-87  -1.2897128985e-87   3.0000000000e+02  -2.1502453731e-05   3.1318023602e-36  -6.1003393456e-69   1.1790318216e-55   9.7017243931e-87   1.4180028580e-62   2.3300000000e-01   2.1245335572e-61   2.0238313568e-47   7.1462247055e-55  5.7907874095e-102  4.3151131160e-112   3.9824548423e-77   6.0352198296e-75   1.7104921549e-64   1.9370197212e-48   2.2181716879e-97   1.2292292719e-69  2.9371072376e-137   7.6700000000e-01   1.9075768848e+03
  -6.2563249435e-01  -6.5060370126e-01   1.1719839921e+00   1.8630700790e-05   4.0045617060e-17  -7.6366055055e-83  -5.9214418990e-83   3.0000000000e+02  -2.1502453731e-05   1.9397508308e-37   2.0112281541e-66   1.0725893846e-51   4.4436541895e-87   2.7926793252e-58   2.3300000000e-01   4.6357546613e-57   4.1462415572e-43   3.2727307401e-55  -4.4070991580e-95  1.9283565841e-104   1.2689421765e-72   1.9385644656e-70   5.9791213765e-60   5.6991089941e-44   6.5818203191e-93   3.6473500835e-65  3.4642758516e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569008053e-01  -6.0066128744e-01   1.1719839921e+00   1.8630700790e-05   2.6763081259e-17  -3.0933716801e-78  -2.3759659267e-78   3.0000000000e+02  -2.1502453731e-05   3.1012033372e-36   5.6187326774e-62   8.5347118952e-48   1.0935632522e-86   5.3210457811e-54   2.3300000000e-01   8.9109634159e-53   7.2261476883e-39   4.5944901948e-55   1.9007166720e-97  6.8708299308e-113   3.5341908439e-68   5.4434907285e-66   1.8273219007e-55   1.4255599374e-39   1.6602767129e-88   9.2008012004e-61  1.7863283821e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574766672e-01  -5.5071887362e-01   1.1719839921e+00   1.8630700790e-05   7.7348223573e-17  -1.0805553852e-73  -8.2218887361e-74   3.0000000000e+02  -2.1502453731e-05   1.2403215048e-35   1.3498444585e-57   5.8635743809e-44   4.2236871802e-83   8.7464075950e-50   2.3300000000e-01   1.4784590611e-48   1.0528188234e-34   7.3353884917e-52   1.6410443413e-93  7.3337675882e-109   8.4905399071e-64   1.3186243926e-61   4.8181630021e-51   2.9785168649e-35   3.4983331107e-84   1.9386809108e-56  6.9711023459e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580525290e-01  -5.0077645981e-01   1.1719839921e+00   1.8630700790e-05   3.8334725290e-18  -3.1933656695e-69  -2.4073446857e-69   3.0000000000e+02  -2.1502453731e-05   4.8453804750e-36   2.7443598409e-53   3.4142278372e-40   4.0764829021e-79   1.2168847673e-45   2.3300000000e-01   2.0770354547e-44   1.2489540462e-30   1.6181688537e-47   3.0888858989e-89  -2.3834045805e-94   1.7262060530e-59   2.7035065305e-57   1.0753381292e-46   5.0610003876e-31   5.9945573687e-80   3.3220204143e-52  1.9574988904e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586283908e-01  -4.5083404599e-01   1.1719839921e+00   1.8630700790e-05   5.1144498118e-17  -7.7688138787e-65  -5.8030464414e-65   3.0000000000e+02  -2.1502453731e-05   1.7439773695e-36   4.5943453204e-49   1.6409770021e-36   4.9047486135e-75   1.3944522276e-41   2.3300000000e-01   2.4038367325e-40   1.1587371810e-26   2.9393413794e-43  -2.8812628326e-78   8.5393283533e-81   2.8898494226e-55   4.5647866827e-53   1.9766212148e-42   6.7121579298e-27   8.0185746188e-76   4.4429925867e-48   3.7424373798e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592042526e-01  -4.0089163217e-01   1.1719839921e+00   1.8630700790e-05   2.3495282643e-17  -1.4941679549e-60  -1.1059411787e-60   3.0000000000e+02  -2.1502453731e-05   1.7445767259e-36   6.0818684854e-45   6.2637401148e-33   4.2240176309e-70   1.2640829503e-37   2.3300000000e-01   2.2008112748e-36   7.8833077440e-23   4.2212209308e-39  -1.4955595911e-76   2.3272369158e-85   3.8255035055e-51   6.0958816721e-49   2.8737543376e-38   6.5036197666e-23   7.8333130488e-72   4.3410077505e-44   4.4907531886e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597801145e-01  -3.5094921836e-01   1.1719839921e+00   1.8630700790e-05   2.8383586018e-17  -2.1312531699e-56  -1.5629137466e-56   3.0000000000e+02  -2.1502453731e-05   5.2409297475e-34   5.9710769294e-41   1.7891166578e-29   7.7231880314e-63   8.5061922205e-34   2.3300000000e-01   1.4951690207e-32   3.5127467113e-19   4.4942811461e-35   5.4136927400e-77  -1.5503701704e-76   3.7558144574e-47   6.0399147731e-45   3.1001679450e-34   4.0914992476e-19   4.9735970870e-68   2.7534353195e-40   2.9749216663e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603559763e-01  -3.0100680454e-01   1.1719839921e+00   1.8630700790e-05   2.9009135957e-14  -2.0127219786e-52  -1.4612239361e-52   3.0000000000e+02  -2.1502453730e-05   2.6279153544e-28   3.8809011077e-37   3.4587385742e-26   8.6983523499e-56   3.7963443250e-30   2.3300000000e-01   6.7285531116e-29   8.0997368555e-16   3.1628613638e-31  -2.2292886750e-66  -3.7416378607e-69   2.4399221455e-43   3.9640553746e-41   2.2157711369e-30   1.2935047703e-15   8.8003554891e-64   8.7715164679e-37   8.6631120982e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609318381e-01  -2.5106439072e-01   1.1719839920e+00   1.8630700790e-05   1.8411044122e-11  -9.7823635214e-49  -7.0026475627e-49   3.0000000001e+02  -2.1502453489e-05   7.9637589622e-24   2.0129618151e-33   3.7284953872e-23   3.2646726245e-49   8.7598392070e-27   2.3300000000e-01   1.5571782508e-25   4.7398053446e-13   1.1353862192e-27   7.5996900711e-63   3.9277996140e-64   8.1200714015e-40   1.3390529648e-37   8.1632448448e-27   8.0310827173e-13   1.0381698348e-57   5.4528432494e-34   6.6631614406e-67   7.6700000000e-01   1.9075768820e+03
