# time = 0.075
# Grid points = 164
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2525452221e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05   1.0267939523e-16   4.2623200190e-84  -8.3617023221e-85   3.0000000000e+02  -2.1502453731e-05   7.8487872482e-37   2.8782962149e-68   1.8953480323e-53   1.8224388047e-87   4.6794637490e-60   2.3300000000e-01   7.5078972406e-59   1.6695291190e-45   1.3423883577e-55 -3.2342737468e-101 -6.5200263896e-105   2.1981468386e-74   3.4200332318e-72   1.0631631974e-61   2.2521508642e-46   2.6011469625e-95   1.4414858197e-67  9.4409784358e-135   7.6700000000e-01   1.9075768848e+03
  -6.7562416355e-01  -7.0050904443e-01   1.1719839921e+00   1.8630700790e-05   8.3326792515e-17   5.5858054298e-80  -1.1100603222e-80   3.0000000000e+02  -2.1502453731e-05   7.7432831237e-37   3.2592899052e-64   5.1921023684e-50   1.9072901247e-86   3.0178038422e-56   2.3300000000e-01   4.9126520521e-55   1.1443130777e-41   1.4027917894e-54  -2.5175148242e-96  -2.7371557262e-97   2.0501365297e-70   3.2089449012e-68   1.0836739793e-57   2.2090807845e-42   2.5727330133e-91   1.4257466096e-63  5.3251888858e-127   7.6700000000e-01   1.9075768848e+03
  -6.2585440178e-01  -6.5073928266e-01   1.1719839921e+00   1.8630700790e-05   1.5798165677e-18   3.8803162861e-76  -7.8094630146e-77   3.0000000000e+02  -2.1502453731e-05   0.0000000000e+00   1.6276846565e-60   8.2192882666e-47   1.3000215284e-85   1.0580028263e-52   2.3300000000e-01   1.7463065076e-51   4.2205920595e-38   6.2432349721e-54   1.0272897735e-96  8.8346695325e-107   1.0238158551e-66   1.6118578984e-64   5.8972910102e-54   1.1516724339e-38   1.3521541873e-87   7.4932703559e-60  9.4225941698e-120   7.6700000000e-01   1.9075768848e+03
  -5.7608464001e-01  -6.0096952090e-01   1.1719839921e+00   1.8630700790e-05   3.2419012341e-17   3.5031201524e-73  -7.1203725871e-74   3.0000000000e+02  -2.1502453731e-05   4.8790561798e-36   1.4500979666e-57   6.3843938838e-44   4.5875095039e-83   9.1439960511e-50   2.3300000000e-01   1.5066070604e-48   3.0725501899e-35   7.9039963738e-52  -5.1572343276e-93   2.7621840881e-96   9.1211358298e-64   1.4389443087e-61   5.2949529051e-51   8.5451335317e-36   1.0036881323e-84   5.5621662742e-57  7.3852232285e-114   7.6700000000e-01   1.9075768848e+03
  -5.2631487825e-01  -5.5119975913e-01   1.1719839921e+00   1.8630700790e-05   6.2387217082e-17   6.0945673476e-69  -1.2589018496e-69   3.0000000000e+02  -2.1502453731e-05   1.7560981240e-36   1.7943629034e-53   2.2835815905e-40   2.6870321267e-79   7.7915570282e-46   2.3300000000e-01   1.3018370746e-44   2.5576906278e-31   1.0532611458e-47   3.3203224095e-85  -4.4945009390e-82   1.1286566940e-59   1.7924060466e-57   7.1720243744e-47   1.0182728659e-31   1.2060841855e-80   6.6836878663e-53  7.8466148688e-106   7.6700000000e-01   1.9075768848e+03
  -4.7654511648e-01  -5.0142999736e-01   1.1719839921e+00   1.8630700790e-05   7.0972008534e-17   8.7256087992e-65  -1.8343034064e-65   3.0000000000e+02  -2.1502453731e-05   9.5985026185e-67   1.8295196589e-49   6.7641481327e-37   1.9569003460e-75   5.4726208912e-42   2.3300000000e-01   9.2695633418e-41   1.6734173418e-27   1.1660713996e-43  -6.6888049307e-81   5.1704084209e-90   1.1507703407e-55   1.8402196463e-53   8.0076518625e-43   9.5114350958e-28   1.1359546744e-76   6.2951502421e-49   5.6684961086e-98   7.6700000000e-01   1.9075768848e+03
  -4.2677535471e-01  -4.5166023559e-01   1.1719839921e+00   1.8630700790e-05   6.3050150956e-17   9.8971976887e-61  -2.1227620347e-61   3.0000000000e+02  -2.1502453731e-05   1.9532322233e-37   1.4812130010e-45   1.6054865135e-33   3.4579960516e-71   3.0545428516e-38   2.3300000000e-01   5.2418876319e-37   8.1290625752e-24   1.0246537214e-39   2.2380064817e-79   3.0093935028e-84   9.3168498165e-52   1.5010250155e-49   7.1046441687e-39   6.5633672962e-24   7.9033633370e-73   4.3798278947e-45   2.5856540512e-90   7.6700000000e-01   1.9075768848e+03
  -3.7700559294e-01  -4.0189047383e-01   1.1719839921e+00   1.8630700790e-05   9.2318095909e-17   8.3624122682e-57  -1.8399628737e-57   3.0000000000e+02  -2.1502453731e-05   7.8048805510e-37   8.9772202232e-42   2.9061692760e-30   1.7355429881e-64   1.2782010215e-34   2.3300000000e-01   2.2195490997e-33   2.6559149975e-20   6.7340013204e-36  -2.3003930086e-76   9.5111061223e-80   5.6466834347e-48   9.1763758665e-46   4.7270136651e-35   3.0120926893e-20   3.6567774874e-69   2.0261814132e-41   6.6185436086e-83   7.6700000000e-01   1.9075768848e+03
  -3.2723583118e-01  -3.5212071206e-01   1.1719839921e+00   1.8630700790e-05   2.6497593181e-15   4.7172904373e-53  -1.0819856832e-53   3.0000000000e+02  -2.1502453731e-05   8.8378774936e-31   3.6832860756e-38   3.7276725515e-27   8.2716836692e-58   3.6331738253e-31   2.3300000000e-01   6.3612864818e-30   4.7964615528e-17   2.9885933066e-32  -2.4988015999e-70   4.5820053886e-73   2.3166796194e-44   3.8110299956e-42   2.1408887299e-31   7.3830906283e-17   1.2919149409e-65   5.0029436101e-38   7.7707784418e-76   7.6700000000e-01   1.9075768848e+03
  -2.7746606941e-01  -3.0235095029e-01   1.1719839921e+00   1.8630700790e-05   1.5988823192e-12   1.3907721915e-49  -3.5829977659e-50   3.0000000000e+02  -2.1502453717e-05   3.4068407098e-26   8.7245333090e-35   3.0731548072e-24   1.5128347877e-51   5.7866507150e-28   2.3300000000e-01   1.0067051985e-26   2.8142705137e-14   7.2968902023e-29   3.1729754957e-65   1.6513773023e-66   5.2779347514e-41   8.9290616194e-39   5.5285197103e-28   4.7021145587e-14   3.9340696108e-60   3.1917191885e-35   2.8000729522e-69   7.6700000000e-01   1.9075768846e+03
  -2.2769630764e-01  -2.5258118853e-01   1.1719839916e+00   1.8630700795e-05   3.0832415612e-10   7.3427147106e-47  -5.2602877416e-47   3.0000000012e+02  -2.1502450984e-05   1.0401704285e-22   1.1421449250e-30   1.6829048759e-21   4.8187936495e-46   3.5504883158e-25   2.3299999999e-01   5.4134652338e-24   5.3524614103e-12   6.3413382671e-26   1.4933326065e-59   7.7039751043e-61   4.5770393247e-38   9.0323068971e-36   6.7299383398e-25   9.1776457308e-12   4.1259140314e-55   6.2330121959e-33   1.3063155761e-63   7.6700000000e-01   1.9075768528e+03
