# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527298688e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05   1.9020799711e-17  -4.0322588286e-92   4.8181305966e-92   3.0000000000e+02  -2.1502453731e-05   3.1325686143e-36  -6.1665350280e-69   1.1641432321e-59  -4.8186843522e-73   2.3778178412e-64   2.3300000000e-01   2.4300414452e-64   1.0074552610e-51   1.3010281321e-55 -3.5809985796e-111 -5.1713019453e-116   1.1518717081e-81   1.7305639527e-79   4.5197694257e-69   7.1469198021e-53  8.1280587686e-102   4.5043486775e-74  2.0190212789e-142   7.6700000000e-01   1.9075768848e+03
  -6.7557482700e-01  -7.0054597377e-01   1.1719839921e+00   1.8630700790e-05   5.7783977338e-20  -1.8813426887e-87   2.2500100064e-87   3.0000000000e+02  -2.1502453731e-05   3.1165125369e-36   5.9702102646e-68   1.1742478710e-55   4.0337441546e-83   1.6770674345e-62   2.3300000000e-01   2.1404783459e-61   2.0201530022e-47   2.3118149585e-54  2.1270245412e-104 -1.6933475182e-113   3.9658450686e-77   6.0098601918e-75   1.7032920016e-64   1.9335057332e-48   2.2141092295e-97   1.2269989288e-69 -1.4646244801e-131   7.6700000000e-01   1.9075768848e+03
  -6.2563253345e-01  -6.5060368022e-01   1.1719839921e+00   1.8630700790e-05   6.3002173615e-20  -8.2922932295e-83   9.9254621218e-83   3.0000000000e+02  -2.1502453731e-05   1.9377619656e-37   2.0024784045e-66   1.0680711266e-51   3.5371771112e-85   2.7813440196e-58   2.3300000000e-01   4.6166951707e-57   4.1377868761e-43   2.6740038502e-53  2.0594471348e-106  1.0862735393e-107   1.2634481283e-72   1.9301147628e-70   5.9530160308e-60   5.6875006461e-44   6.5682041687e-93   3.6399197851e-65  6.6096348721e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569023990e-01  -6.0066138667e-01   1.1719839921e+00   1.8630700790e-05   2.4973812257e-18  -3.1911884083e-78   3.8231704192e-78   3.0000000000e+02  -2.1502453731e-05   1.7439857691e-36   5.5934545720e-62   8.4973625175e-48   3.9547796429e-83   5.2976645797e-54   2.3300000000e-01   8.8725540591e-53   7.2096630218e-39   1.2681189929e-54   3.7009896210e-94  -3.5165108207e-93   3.5182868225e-68   5.4188485450e-66   1.8190368688e-55   1.4223088252e-39   1.6564916383e-88   9.1798150799e-61  1.7705920175e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574794635e-01  -5.5071909313e-01   1.1719839921e+00   1.8630700790e-05   2.1612419478e-17  -1.0580630689e-73   1.2688375581e-73   3.0000000000e+02  -2.1502453731e-05   6.9783405135e-36   1.3435273935e-57   5.8369223613e-44  -4.7485569481e-73   8.7063472322e-50   2.3300000000e-01   1.4717944871e-48   1.0501408992e-34   7.3144606881e-52  -3.4321722051e-92  1.2011342177e-100   8.4508054833e-64   1.3124211873e-61   4.7954646246e-51   2.9709360838e-35   3.4894281345e-84   1.9337460267e-56  6.9070918032e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580565280e-01  -5.0077679958e-01   1.1719839921e+00   1.8630700790e-05   2.5007422561e-17  -2.9648310254e-69   3.5590810201e-69   3.0000000000e+02  -2.1502453731e-05   1.2404873094e-35   2.7310013239e-53   3.3981239637e-40   4.0573613924e-79   1.2110764681e-45   2.3300000000e-01   2.0672505081e-44   1.2454244553e-30   1.6103231597e-47  -8.9989522082e-83   4.0423007187e-92   1.7178035277e-59   2.6902876459e-57   1.0700734063e-46   5.0466731532e-31   5.9776288135e-80   3.3126148639e-52  1.9387707389e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586335925e-01  -4.5083450603e-01   1.1719839921e+00   1.8630700790e-05   9.3034396041e-18  -6.8295693146e-65   8.2070124325e-65   3.0000000000e+02  -2.1502453731e-05   1.9397601733e-37   4.5710864814e-49   1.6329594008e-36   4.8800690815e-75   1.3875200516e-41   2.3300000000e-01   2.3920126729e-40   1.1551112413e-26   2.9245077825e-43  -1.7307718751e-81   5.1110252032e-87   2.8752195814e-55   4.5415895944e-53   1.9665643802e-42   6.6910870807e-27   7.9921608809e-76   4.4290432234e-48   3.7051465743e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592106571e-01  -4.0089221248e-01   1.1719839921e+00   1.8630700790e-05   7.3356986469e-17  -1.2411036522e-60   1.4929573651e-60   3.0000000000e+02  -2.1502453731e-05   0.0000000000e+00   6.0498560729e-45   6.2321371221e-33   4.1838665532e-70   1.2575444021e-37   2.3300000000e-01   2.1895225300e-36   7.8560810595e-23   4.1990540737e-39   1.7247508021e-75  -6.1126020194e-73   3.8053676548e-51   6.0636946633e-49   2.8585622279e-38   6.4810363195e-23   7.8070846624e-72   4.3259314568e-44   4.4441817299e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597877216e-01  -3.5094991893e-01   1.1719839921e+00   1.8630700790e-05   1.6801617079e-17  -1.6662108109e-56   2.0061690773e-56   3.0000000000e+02  -2.1502453731e-05   5.4443380786e-34   5.9384241312e-41   1.7798516712e-29   7.6415680924e-63   8.4604996844e-34   2.3300000000e-01   1.4871884360e-32   3.4994115787e-19   4.4697384983e-35  -5.4505071815e-72   3.0776705098e-77   3.7352758139e-47   6.0068019014e-45   3.0831481784e-34   4.0758185175e-19   4.9545071837e-68   2.7428804166e-40   2.9428554645e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603647861e-01  -3.0100762538e-01   1.1719839921e+00   1.8630700790e-05   3.0542512081e-14  -1.4673481380e-52   1.7674487047e-52   3.0000000000e+02  -2.1502453730e-05   2.6095472358e-28   3.8589027979e-37   3.4406246399e-26   8.6036946790e-56   3.7752784274e-30   2.3300000000e-01   6.6913823959e-29   8.0664307383e-16   3.1449425349e-31   9.7908184213e-70   5.0461188216e-71   2.4260979431e-43   3.9415506855e-41   2.2031667340e-30   1.2880787755e-15   8.7234837856e-64   8.7347065317e-37   8.5664395113e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609418506e-01  -2.5106533184e-01   1.1719839920e+00   1.8630700790e-05   1.8402527581e-11  -6.4026268169e-49   7.6891345555e-49   3.0000000001e+02  -2.1502453489e-05   7.9586024740e-24   1.9975759421e-33   3.7097483030e-23   3.2289254578e-49   8.7108183668e-27   2.3300000000e-01   1.5484875145e-25   4.7229850137e-13   1.1288056012e-27  -6.5852258957e-61   3.8803809020e-64   8.0731295289e-40   1.3312985022e-37   8.1157827927e-27   8.0019706889e-13   1.0286355877e-57   5.4330684338e-34   6.5876703175e-67   7.6700000000e-01   1.9075768821e+03
  -1.7615189151e-01  -2.0112303829e-01   1.1719839849e+00   1.8630700875e-05   3.2154298616e-09  -1.4178899452e-46   1.1307763847e-46   3.0000000184e+02  -2.1502411606e-05   1.4473383410e-20   1.1742069280e-28   1.5228517459e-20   5.2580359902e-44   3.6887110111e-24   2.3299999982e-01   5.9660303008e-23   8.1785911310e-11   6.0182028144e-25   1.5591235973e-57   8.0403414804e-59   4.3354443445e-37   8.0400237810e-35   5.6173935564e-24   1.4093310149e-10   6.9825542782e-53   9.5723212786e-32   1.3636785776e-61   7.6699999996e-01   1.9075763904e+03
