# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527301422e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05   4.0911318475e-17  -9.1650672984e-92  -5.0109410388e-92   3.0000000000e+02  -2.1502453731e-05   3.1309528249e-36  -6.1636514515e-69   1.1543427233e-59   1.7857382898e-87   2.0756119789e-64   2.3300000000e-01   2.3477136480e-64   1.0270731007e-51   1.3153626112e-55 -2.5843227880e-105  1.3073978732e-116   1.1478238929e-81   1.7242371625e-79   4.5054794169e-69   7.3589540328e-53  8.3708144380e-102   4.6391005670e-74  2.0369641815e-142   7.6700000000e-01   1.9075768848e+03
  -6.7557484094e-01  -7.0054602844e-01   1.1719839921e+00   1.8630700790e-05  -2.1086104393e-17  -4.3587646309e-87  -2.3820235194e-87   3.0000000000e+02  -2.1502453731e-05   6.9886316392e-36  -6.1013040414e-69   1.1613635759e-55   3.6862180517e-86   1.6216133044e-62   2.3300000000e-01   2.1196533782e-61   2.0022443638e-47   2.7152430500e-54 -7.3106213391e-102 -3.4203505026e-102   3.9217749690e-77   5.9430260748e-75   1.6843270637e-64   1.9163835210e-48   2.1945008291e-97   1.2161321237e-69  1.1027764002e-136   7.6700000000e-01   1.9075768848e+03
  -6.2563246594e-01  -6.5060365344e-01   1.1719839921e+00   1.8630700790e-05  -2.1011054913e-17  -1.9666008929e-82  -1.0757747701e-82   3.0000000000e+02  -2.1502453731e-05   7.7510225783e-37   1.9794879447e-66   1.0560016252e-51   6.9656464058e-85   2.7496992398e-58   2.3300000000e-01   4.5640311800e-57   4.0987534858e-43   5.1308438950e-53   3.7988967133e-97  -1.1240765790e-97   1.2489775418e-72   1.9080006296e-70   5.8847410887e-60   5.6338761654e-44   6.5064840463e-93   3.6055977916e-65  9.4928510403e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569009093e-01  -6.0066127843e-01   1.1719839921e+00   1.8630700790e-05  -1.8645203956e-17  -7.7528920627e-78  -4.2483458274e-78   3.0000000000e+02  -2.1502453731e-05   6.9771189837e-36   5.5274389804e-62   8.3985423652e-48   1.3406946155e-86   5.2352905754e-54   2.3300000000e-01   8.7680311169e-53   7.1378303593e-39   6.4700533473e-55   3.1672557551e-93  7.3930116545e-102   3.4767669850e-68   5.3549002416e-66   1.7975529134e-55   1.4081382369e-39   1.6400025392e-88   9.0883479533e-61  1.7289727893e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574771593e-01  -5.5071890343e-01   1.1719839921e+00   1.8630700790e-05   2.2519752359e-18  -2.6353100857e-73  -1.4475786250e-73   3.0000000000e+02  -2.1502453731e-05   6.9783177499e-36   1.3271843185e-57   5.7670760759e-44   4.1540951861e-83   8.6006367281e-50   2.3300000000e-01   1.4539029181e-48   1.0390831147e-34   7.2140672088e-52   2.0331508668e-88  -9.0495189497e-88   8.3480073198e-64   1.2964625744e-61   4.7371174601e-51   2.9396348536e-35   3.4527778777e-84   1.9133707404e-56  6.7398227688e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580534092e-01  -5.0077652842e-01   1.1719839921e+00   1.8630700790e-05   5.2117076440e-17  -7.5772010978e-69  -4.1750477086e-69   3.0000000000e+02  -2.1502453731e-05   9.4977996251e-36   2.6967535619e-53   3.3563127574e-40   4.0064886225e-79   1.1959128275e-45   2.3300000000e-01   2.0413213319e-44   1.2315622531e-30   1.5900980589e-47   4.8508482494e-84   1.4485221476e-94   1.6962616391e-59   2.6565758983e-57   1.0566584437e-46   4.9904258947e-31   5.9112304505e-80   3.2756912761e-52  1.8903873322e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586296591e-01  -4.5083415342e-01   1.1719839921e+00   1.8630700790e-05  -1.3396185592e-17  -1.7928658060e-64  -9.9159592806e-65   3.0000000000e+02  -2.1502453731e-05   1.9377556446e-37   4.5119921690e-49   1.6123276647e-36   4.8170177899e-75   1.3696099516e-41   2.3300000000e-01   2.3610662819e-40   1.1415224909e-26   2.8866315902e-43   6.6373517247e-89  -2.4095438414e-86   2.8380491790e-55   4.4829423232e-53   1.9411612715e-42   6.6121840731e-27   7.8979161136e-76   4.3768100117e-48   3.6098635237e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592059091e-01  -4.0089177841e-01   1.1719839921e+00   1.8630700790e-05   3.8516953485e-17  -3.3513209885e-60  -1.8619895137e-60   3.0000000000e+02  -2.1502453731e-05   1.9377556446e-37   5.9692412816e-45   6.1514812391e-33   4.0817394110e-70   1.2408204707e-37   2.3300000000e-01   2.1603237091e-36   7.7584527779e-23   4.1429805742e-39  -1.1427661293e-80   6.4191790683e-86   3.7546608420e-51   5.9830139829e-49   2.8205170732e-38   6.4001707094e-23   7.7086976201e-72   4.2719496738e-44   4.3264423231e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597821590e-01  -3.5094940341e-01   1.1719839921e+00   1.8630700790e-05  -8.3573773150e-19  -4.6380088844e-56  -2.5916499710e-56   3.0000000000e+02  -2.1502453731e-05   5.4444262082e-34   5.8569079508e-41   1.7563729350e-29   7.4358064552e-63   8.3447427226e-34   2.3300000000e-01   1.4667742778e-32   3.4535583345e-19   4.4082207810e-35   3.3452964794e-77   1.6805178674e-78   3.6840020531e-47   5.9244944339e-45   3.0408853598e-34   4.0220352426e-19   4.8890484377e-68   2.7066804729e-40   2.8626066762e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603584090e-01  -3.0100702840e-01   1.1719839921e+00   1.8630700790e-05   3.0137900899e-14  -4.2285818808e-52  -2.3827777967e-52   3.0000000000e+02  -2.1502453730e-05   2.5446605748e-28   3.8044326143e-37   3.3949254050e-26   8.3669898459e-56   3.7223641666e-30   2.3300000000e-01   6.5972395188e-29   7.9561558733e-16   3.1004165580e-31   4.0907360731e-68   2.5136990584e-69   2.3918679722e-43   3.8860536042e-41   2.1721196581e-30   1.2702123762e-15   8.5035140045e-64   8.6135148090e-37   8.3267487801e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609346589e-01  -2.5106465340e-01   1.1719839920e+00   1.8630700790e-05   1.8176103306e-11  -1.9383993429e-48  -1.1147929766e-48   3.0000000001e+02  -2.1502453492e-05   7.8720750949e-24   1.9594842435e-33   3.6622248171e-23   3.1398771406e-49   8.5882235149e-27   2.3300000000e-01   1.5265985527e-25   4.6653151598e-13   1.1125581848e-27   7.2943094367e-63   3.7758458178e-64   7.9575604814e-40   1.3122820569e-37   7.9995703536e-27   7.9029028802e-13   1.0015350549e-57   5.3657855160e-34   6.4015798979e-67   7.6700000000e-01   1.9075768821e+03
  -1.7615109089e-01  -2.0112227839e-01   1.1719839849e+00   1.8630700874e-05   3.1979266100e-09  -8.7086638125e-46  -7.6365819357e-46   3.0000000183e+02  -2.1502411836e-05   1.4369031488e-20   1.1525789539e-28   1.5086666759e-20   5.1609619638e-44   3.6536140342e-24   2.3299999982e-01   5.9121766841e-23   8.1341357269e-11   5.9549918345e-25   1.5287731371e-57   7.8839760130e-59   4.2897502353e-37   7.9521291428e-35   5.5539083904e-24   1.4016469707e-10   6.8817905048e-53   9.5201264863e-32   1.3371209589e-61   7.6699999996e-01   1.9075763931e+03
