# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527306057e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -8.6119427372e-17   1.5047090346e-91  -8.6322316274e-92   3.0000000000e+02  -2.1502453731e-05   1.2527054417e-35  -6.1636514551e-69   1.1560425594e-59   5.0208077145e-86   7.2416645833e-63   2.3300000000e-01   8.6924251946e-63   1.0144041691e-51   3.6982930844e-54 -3.4351786442e-121  3.3118842183e-129   1.1462509670e-81   1.7219537380e-79   4.4981624972e-69   7.2284991701e-53  8.2217275060e-102   4.5562573423e-74  5.6243405210e-141   7.6700000000e-01   1.9075768848e+03
  -6.7557491728e-01  -7.0054612113e-01   1.1719839921e+00   1.8630700790e-05  -8.3023897836e-17   7.1337946350e-87  -4.1171427874e-87   3.0000000000e+02  -2.1502453731e-05   7.0356696792e-36  -6.1011347658e-69   1.1645436275e-55   1.0585155487e-86   1.3842030049e-62   2.3300000000e-01   2.0983635731e-61   2.0083270488e-47   7.7969537730e-55 -2.7279728570e-117 -2.3015972328e-116   3.9324227609e-77   5.9590024367e-75   1.6888261646e-64   1.9222001517e-48   2.2011609082e-97   1.2198235475e-69  3.1795271990e-137   7.6700000000e-01   1.9075768848e+03
  -6.2563250958e-01  -6.5060371343e-01   1.1719839921e+00   1.8630700790e-05   5.7625044325e-18   3.1976985316e-82  -1.8542395311e-82   3.0000000000e+02  -2.1502453731e-05   1.9377531077e-37   1.9849098405e-66   1.0589079725e-51   2.7326780457e-86   2.7568611199e-58   2.3300000000e-01   4.5769716117e-57   4.1116483982e-43   2.0128292829e-54   1.9061011643e-97  8.0186505943e-108   1.2523879216e-72   1.9131580811e-70   5.9005416765e-60   5.6515927957e-44   6.5268389849e-93   3.6169366818e-65  3.5794610829e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569010189e-01  -6.0066130574e-01   1.1719839921e+00   1.8630700790e-05  -7.9764765953e-17   1.2524833545e-77  -7.2980930506e-78   3.0000000000e+02  -2.1502453731e-05   9.4977871907e-36   5.5426140602e-62   8.4217637524e-48   6.3047869248e-87   5.2499990816e-54   2.3300000000e-01   8.7931615687e-53   7.1607796937e-39   1.2292380456e-55  -8.1253399999e-91   5.6087536507e-97   3.4863121307e-68   5.3694517479e-66   1.8024036183e-55   1.4126648456e-39   1.6453008987e-88   9.1175645928e-61  1.7386636648e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574769419e-01  -5.5071889804e-01   1.1719839921e+00   1.8630700790e-05  -2.7565410339e-17   4.2300940130e-73  -2.4771482551e-73   3.0000000000e+02  -2.1502453731e-05   1.5699396209e-35   1.3308532409e-57   5.7831153725e-44   4.1654591307e-83   8.6249561793e-50   2.3300000000e-01   1.4580931342e-48   1.0424988831e-34   7.2327366466e-52  -1.5937820717e-88   4.5565440081e-93   8.3710848913e-64   1.3000096124e-61   4.7499844155e-51   2.9492996015e-35   3.4639879935e-84   1.9196616396e-56  6.7778840966e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580528649e-01  -5.0077649034e-01   1.1719839921e+00   1.8630700790e-05  -8.4732788146e-17   1.2085246022e-68  -7.1134608820e-69   3.0000000000e+02  -2.1502453731e-05   7.7510124308e-37   2.7042680623e-53   3.3657087610e-40   4.0177054184e-79   1.1993195994e-45   2.3300000000e-01   2.0472431967e-44   1.2357013095e-30   1.5945474486e-47   1.6684835659e-84  -9.1799248151e-82   1.7009882701e-59   2.6639014007e-57   1.0595505128e-46   5.0072064883e-31   5.9309272514e-80   3.2867063839e-52  1.9011479582e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586287880e-01  -4.5083408264e-01   1.1719839921e+00   1.8630700790e-05  -7.8033978008e-17   2.8414047564e-64  -1.6813271751e-64   3.0000000000e+02  -2.1502453731e-05   1.7445771535e-36   4.5246755453e-49   1.6168724124e-36   4.8306391251e-75   1.3735433714e-41   2.3300000000e-01   2.3679659672e-40   1.1454431082e-26   2.8947789548e-43  -6.7717602237e-84   2.0028619688e-90   2.8460270398e-55   4.4954119747e-53   1.9465196322e-42   6.6349172098e-27   7.9250707392e-76   4.3918583707e-48   3.6305857813e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592047110e-01  -4.0089167495e-01   1.1719839921e+00   1.8630700790e-05  -7.6511638206e-18   5.2776163554e-60  -3.1401338090e-60   3.0000000000e+02  -2.1502453731e-05   1.7445771535e-36   5.9861816801e-45   6.1689372676e-33   4.1036435049e-70   1.2444151323e-37   2.3300000000e-01   2.1666869032e-36   7.7856622836e-23   4.1547846379e-39  -1.0075699238e-81  -3.0139230825e-85   3.7653163755e-51   5.9998147998e-49   2.8283759777e-38   6.4226565231e-23   7.7357819817e-72   4.2869590824e-44   4.3514999140e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597806340e-01  -3.5094926725e-01   1.1719839921e+00   1.8630700790e-05  -7.2864016018e-17   7.2572445029e-56  -4.3434915899e-56   3.0000000000e+02  -2.1502453731e-05   4.6535241280e-34   5.8737018574e-41   1.7613856746e-29   7.4793301754e-63   8.3691385568e-34   2.3300000000e-01   1.4711308467e-32   3.4659051922e-19   4.4209100649e-35  -1.3591945038e-71   2.8880629878e-73   3.6945654374e-47   5.9413032859e-45   3.0494456658e-34   4.0364593702e-19   4.9063846514e-68   2.7163880322e-40   2.8793421586e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603565570e-01  -3.0100685955e-01   1.1719839921e+00   1.8630700790e-05   3.0126013206e-14   6.5741859658e-52  -3.9613400402e-52   3.0000000000e+02  -2.1502453730e-05   2.5623856051e-28   3.8154657374e-37   3.4046371609e-26   8.4164058755e-56   3.7333425920e-30   2.3300000000e-01   6.6169930474e-29   7.9849813204e-16   3.1094392159e-31  -4.0276234438e-68  -8.3278570701e-69   2.3988011885e-43   3.8971998709e-41   2.1783020097e-30   1.2748433736e-15   8.5551116361e-64   8.6449223939e-37   8.3758900384e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609324801e-01  -2.5106445186e-01   1.1719839920e+00   1.8630700790e-05   1.8239745844e-11   2.9967501473e-48  -1.8241942039e-48   3.0000000001e+02  -2.1502453492e-05   7.9171180834e-24   1.9672923244e-33   3.6725710691e-23   3.1584724116e-49   8.6136304023e-27   2.3300000000e-01   1.5311803317e-25   4.6814243016e-13   1.1158232062e-27   7.3459210911e-63   3.7984652924e-64   7.9808112161e-40   1.3160766689e-37   8.0225362005e-27   7.9303326922e-13   1.0080275950e-57   5.3844113244e-34   6.4395533179e-67   7.6700000000e-01   1.9075768821e+03
  -1.7615084031e-01  -2.0112204416e-01   1.1719839849e+00   1.8630700875e-05   3.2070505623e-09   1.4282655311e-45  -9.8032816802e-46   3.0000000184e+02  -2.1502411716e-05   1.4423324791e-20   1.1584879181e-28   1.5124559460e-20   5.1874993131e-44   3.6630419824e-24   2.3299999982e-01   5.9273968991e-23   8.1572901340e-11   5.9705750925e-25   1.5366846405e-57   7.9244674699e-59   4.3009904647e-37   7.9730113093e-35   5.5685090363e-24   1.4056500796e-10   6.9192131711e-53   9.5473178040e-32   1.3440760976e-61   7.6699999996e-01   1.9075763917e+03
