# time = 0.075
# Grid points = 311
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2582629679e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -2.0791911708e-17  -4.1226213993e-81  -2.1965732156e-81   3.0000000000e+02  -2.1502453731e-05   8.0062302527e-37   2.7237957328e-65   4.3527176488e-51   2.0734564539e-87   2.5235099400e-57   2.3300000000e-01   4.1075742402e-56   9.5511909243e-43   1.5255291044e-55 -1.1195882616e-100 -2.4672731021e-108   1.7136588958e-71   2.6821820460e-69   9.0571995473e-59   1.8428967509e-43   2.1462603578e-92   1.1893990472e-64  3.7235855503e-129   7.6700000000e-01   1.9075768848e+03
  -6.7668635311e-01  -7.0165259358e-01   1.1719839921e+00   1.8630700790e-05  -1.1522364755e-17  -3.0042549083e-77  -1.5993804188e-77   3.0000000000e+02  -2.1502453731e-05   2.0337088675e-37   1.4232587396e-61   7.2096637000e-48   1.5462606447e-86   9.2558161751e-54   2.3300000000e-01   1.5276151367e-52   3.6909226712e-39   8.4663832135e-55   9.3088530548e-94  -2.9440172832e-95   8.9523171163e-68   1.4093485120e-65   5.1559041667e-55   1.0065605213e-39   1.1817724812e-88   6.5490360223e-61  7.2074545347e-122   7.6700000000e-01   1.9075768848e+03
  -6.2675387218e-01  -6.5172011264e-01   1.1719839921e+00   1.8630700790e-05   5.9918110648e-17  -2.8146954958e-74  -1.4977209567e-74   3.0000000000e+02  -2.1502453731e-05   1.9385236494e-37   1.3128315375e-58   5.7898330494e-45   4.1594266341e-84   8.2801149716e-51   2.3300000000e-01   1.3641966940e-49   2.7837322329e-36   7.1615555915e-53   2.1401757706e-97  -1.7033762458e-95   8.2577281336e-65   1.3026634964e-62   4.7932895403e-52   7.7396512444e-37   9.0906996367e-86   5.0378342343e-58  6.0595444006e-116   7.6700000000e-01   1.9075768848e+03
  -5.7682139124e-01  -6.0178763171e-01   1.1719839921e+00   1.8630700790e-05  -8.7721468414e-18  -5.0327862059e-70  -2.6760206754e-70   3.0000000000e+02  -2.1502453731e-05   1.7446712845e-36   1.6639796770e-54   2.1219056217e-41   2.4939187573e-80   7.2270051329e-47   2.3300000000e-01   1.2074055539e-45   2.3688241635e-32   9.7657359789e-49  -2.2541652643e-89   1.0552351336e-94   1.0466454682e-60   1.6621014329e-58   6.6503785278e-48   9.4271447775e-33   1.1165644640e-81   6.1876961799e-54  6.7545026735e-108   7.6700000000e-01   1.9075768848e+03
  -5.2688891031e-01  -5.5185515078e-01   1.1719839921e+00   1.8630700790e-05   2.9919491588e-17  -7.4791811593e-66  -3.9750234054e-66   3.0000000000e+02  -2.1502453731e-05   1.7452708794e-36   1.7547682048e-50   6.5031008216e-38   1.8763023885e-76   5.2505470098e-43   2.3300000000e-01   8.8926540025e-42   1.6034699408e-28   1.1182350204e-44   2.5099582609e-85  -2.0003040057e-83   1.1037515750e-56   1.7649575127e-54   7.6797689514e-44   9.1095656217e-29   1.0879480581e-77   6.0291182469e-50  5.2185534253e-100   7.6700000000e-01   1.9075768848e+03
  -4.7695642938e-01  -5.0192266984e-01   1.1719839921e+00   1.8630700790e-05  -1.7641279378e-17  -8.7996217719e-62  -4.6774794406e-62   3.0000000000e+02  -2.1502453731e-05   7.7580920687e-37   1.4679772358e-46   1.5957052544e-34   1.6619308280e-72   3.0284314817e-39   2.3300000000e-01   5.1966307251e-38   8.0515542091e-25   1.0153044705e-40   2.7131852895e-84   1.5338950009e-85   9.2335966748e-53   1.4875448098e-50   7.0403708031e-40   6.4968584542e-25   7.8231301592e-74   4.3353948488e-46   2.5411427259e-92   7.6700000000e-01   1.9075768848e+03
  -4.2702394844e-01  -4.5199018891e-01   1.1719839921e+00   1.8630700790e-05  -3.6017248402e-18  -7.7106307739e-58  -4.1054358061e-58   3.0000000000e+02  -2.1502453731e-05   3.7649393236e-66   9.1853596380e-43   2.9844085137e-31   1.8352311646e-66   1.3085546337e-35   2.3300000000e-01   2.2720545938e-34   2.7175584459e-21   6.8886171871e-37   1.0422972136e-73  -1.1535279449e-71   5.7776036156e-49   9.3886619979e-47   4.8359167840e-36   3.0794046998e-21   3.7384864454e-70   2.0714266057e-42   6.9330672874e-85   7.6700000000e-01   1.9075768848e+03
  -3.7709146751e-01  -4.0205770798e-01   1.1719839921e+00   1.8630700790e-05   3.3723863177e-16  -4.5168825112e-54  -2.4211874206e-54   3.0000000000e+02  -2.1502453731e-05   1.0436274424e-32   3.8883743848e-39   3.9548863458e-28   9.2622513182e-60   3.8388551354e-32   2.3300000000e-01   6.7207901430e-31   5.0718132230e-18   3.1542736503e-33   1.0585885321e-70   2.0228354111e-73   2.4457801766e-45   4.0231604583e-43   2.2597307453e-32   7.7964470361e-18   9.9676509542e-67   5.2828979159e-39   8.6677876318e-78   7.6700000000e-01   1.9075768848e+03
  -3.2715898658e-01  -3.5212522705e-01   1.1719839921e+00   1.8630700790e-05   1.7582174984e-13  -1.3966891842e-50  -7.7396969791e-51   3.0000000000e+02  -2.1502453729e-05   4.6152521377e-28   9.1821342899e-36   3.3718382899e-25   1.8053885381e-53   6.3143034774e-29   2.3300000000e-01   1.0984473201e-27   3.0967938676e-15   7.9472148877e-30   3.1837856130e-67   1.9634725916e-68   5.7505413004e-42   9.7273809850e-40   6.0211117243e-29   5.1681293375e-15   4.7743023920e-62   3.5079604540e-36   3.3288456534e-71   7.6700000000e-01   1.9075768848e+03
  -2.7722650565e-01  -3.0219274611e-01   1.1719839920e+00   1.8630700790e-05   3.5932096824e-11  -9.5272807448e-48  -8.0796396415e-48   3.0000000001e+02  -2.1502453410e-05   1.7801220487e-24   2.1995774506e-32   1.9113780436e-22   6.2097217360e-48   4.0246760577e-26   2.3300000000e-01   6.1476296611e-25   6.2412375936e-13   7.1604880543e-27   1.9154732260e-61   9.8785463919e-63   5.1693158882e-39   1.0186353810e-36   7.5802283259e-26   1.0690511210e-12   5.4578203664e-57   7.2603218428e-34   1.6754710289e-65   7.6700000000e-01   1.9075768811e+03
  -2.2729402471e-01  -2.5226026518e-01   1.1719839887e+00   1.8630700830e-05   2.2335609441e-09  -2.2591985374e-44  -2.9624501964e-44   3.0000000087e+02  -2.1502433811e-05   1.9558583732e-21   1.9840232272e-26   1.4062294133e-19   8.7035478416e-42   5.5441573163e-23   2.3299999992e-01   7.5512956206e-22   3.8708464084e-11   1.8323406572e-23   5.5581773907e-55   2.8697216447e-56   1.2225648805e-35   2.6521634653e-33   2.3427177963e-22   6.6587893025e-11   4.1849517448e-52   4.5284113845e-32   4.8662478564e-59   7.6699999998e-01   1.9075766517e+03
  -1.7736154378e-01  -2.0232778425e-01   1.1719838785e+00   1.8630702131e-05   7.4028659042e-08  -2.4321238512e-41  -6.4913698388e-41   3.0000002899e+02  -2.1501793180e-05   1.5825903082e-18   2.0068860945e-20   7.8610847041e-17   8.5066527594e-36   5.9635878996e-20   2.3299999721e-01   7.7687115468e-19   1.2856606463e-09   3.3181474964e-20   9.4551402647e-49   4.8885724527e-50   2.0244048626e-32   4.6669526843e-30   4.7779124512e-19   2.2034275985e-09   1.6198369154e-47   1.6483999832e-30   8.2877810593e-53   7.6699999930e-01   1.9075692100e+03
  -1.2742906902e-01  -1.5239530332e-01   1.1719807442e+00   1.8630739148e-05   2.1063363424e-06   1.1182509417e-35   1.1107983572e-35   3.0000082902e+02  -2.1483653161e-05   3.0087972743e-15   4.3579545320e-15   2.1959250776e-14   1.7625137586e-30   2.8530060102e-17   2.3299992063e-01   3.5690842259e-16   3.6789852940e-08   2.5909964948e-17   3.0846536806e-43   1.5952771654e-44   1.4379578490e-29   3.5580115408e-27   4.2979596976e-16   6.2321198753e-08   1.0800936973e-42   2.0730332660e-28   2.7044609598e-47   7.6699998026e-01   1.9073631999e+03
  -9.0195599025e-02  -1.0246283471e-01   1.1718901489e+00   1.8631809153e-05   6.0716446847e-05   6.4693439330e-30   6.4692939778e-30   3.0002395399e+02  -2.0960765586e-05   2.2159105857e-12   1.5885338697e-10   2.9235828979e-12   6.0316558404e-26   5.4630930802e-15   2.3299771305e-01   6.5401233503e-14   1.0633552525e-06   7.8446502581e-15   1.5369118035e-38   7.9495692094e-40   3.9105587420e-27   1.0687791255e-24   1.5887179320e-13   1.7881247671e-06   6.4195840038e-38   6.8635217416e-26   1.3482890887e-42   7.6699943547e-01   1.9015107531e+03
  -7.1794742681e-02  -7.7928363337e-02   1.1708521049e+00   1.8644078006e-05   7.3207732994e-04   7.7947988867e-25   7.7947988240e-25   3.0028916826e+02  -1.4970499557e-05   6.5437339788e-11   2.9145088121e-07   1.0652319246e-10   1.0243277172e-22   2.2731710027e-13   2.3297242334e-01   2.6837671388e-12   1.2839918570e-05   4.9636564854e-13   3.4834848873e-35   1.8037766245e-36   2.1631113594e-25   6.7040579036e-23   1.2977304496e-11   2.1514703444e-05   2.7476087986e-34   5.3755662225e-24   3.0753786722e-39   7.6699322191e-01   1.8349472351e+03
  -5.9527483217e-02  -6.5661122026e-02   1.1670328416e+00   1.8689355857e-05   3.1943788128e-03   2.5789922702e-20   2.5789922702e-20   3.0126892025e+02   7.0713337756e-06   2.4929459179e-09   3.1714902718e-05   1.2391055808e-09   1.0173321467e-20   2.1512414332e-12   2.3287937320e-01   2.7666899646e-11   5.6466356319e-05   7.1265912529e-12   4.2606531960e-33   2.2149899360e-34   2.5801267815e-24   9.5196222511e-22   2.8382256037e-10   9.3607033659e-05   2.0366413846e-31   8.9201903129e-23   3.8500573854e-37   7.6697055185e-01   1.5945092929e+03
  -5.0914577867e-02  -5.3393844409e-02   1.1501695276e+00   1.8891873292e-05   1.4093291003e-02   4.6916187024e-16   4.6916187024e-16   3.0567094134e+02   1.0523982179e-04   8.0660745494e-08   4.2955745334e-03   1.3478480808e-08   1.1085743242e-18   1.8811001271e-11   2.3246501367e-01   3.2876819115e-10   2.5581431635e-04   1.3279884538e-10   6.8920251435e-31   3.6462753005e-32   3.5959569724e-23   1.7227582610e-20   8.9087670635e-09   4.0879275809e-04   6.0201524834e-28   2.1501767646e-21   6.9020572543e-35   7.6687035639e-01   5.4954087909e+02
