# time = 0
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2503608890e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   3.1037598624e-36  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -6.7510781537e-01  -7.0007217780e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   3.1029321400e-36  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -6.2517909051e-01  -6.5014345294e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   7.7592593736e-37  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -5.7525036564e-01  -6.0021472807e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   4.8480377540e-36  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -5.2532164078e-01  -5.5028600321e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   4.8480377540e-36  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -4.7539291591e-01  -5.0035727834e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   4.8480377540e-36  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -4.2546419105e-01  -4.5042855348e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   1.1051423543e-66  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -3.7553546618e-01  -4.0049982861e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   1.9388153253e-37  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -3.2560674132e-01  -3.5057110375e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   1.7449337927e-36  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -2.7567801645e-01  -3.0064237889e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   4.8480377540e-36  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -2.2574929159e-01  -2.5071365402e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   9.5029935900e-36  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -1.7582056672e-01  -2.0078492916e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   1.2411616334e-35  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -1.2589184186e-01  -1.5085620429e-01   1.1719839921e+00   1.8630700790e-05   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   3.0000000000e+02  -2.1502453731e-05   1.2998668296e-28  -6.1636532767e-69   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   1.9075768848e+03
  -8.8445298762e-02  -1.0092747943e-01   1.1719839921e+00   1.8630700790e-05   7.7250017913e-13   0.0000000000e+00   0.0000000000e+00   3.0000000001e+02  -2.1502453619e-05   2.6588547170e-18   1.0565818607e-22  -8.5515207177e-19  -6.3279836528e-24  -3.7004677000e-19   2.3300000000e-01  -4.8633846213e-18   2.9640168101e-13  -1.3902151118e-18  -8.7946296538e-37  -5.0087743136e-38  -1.0414228653e-34  -6.3721414509e-34  -5.5488556755e-17   5.2408949172e-13  -9.0952797745e-32  -1.0201260324e-30   1.0123528526e-36   7.6700000000e-01   1.9075768829e+03
  -6.3480937432e-02  -7.5963118097e-02   1.1719822710e+00   1.8630721117e-05   5.0705931346e-08   0.0000000000e+00   0.0000000000e+00   3.0000043943e+02  -2.1492311523e-05   2.4921838066e-13   6.9352440351e-18  -5.6130900399e-14  -4.1535946591e-19  -2.4289292086e-14   2.3299995717e-01  -3.1922370185e-13   1.9455430180e-08  -9.1251543273e-14  -5.7726724836e-32  -3.2876897138e-33  -6.8357503073e-30  -4.1825829387e-29  -3.6421862694e-12   3.4400569041e-08  -5.9700097438e-27  -6.6959597340e-26   6.6449372687e-32   7.6699998894e-01   1.9074520080e+03
  -4.5930128208e-02  -5.0998756768e-02   1.1716047255e+00   1.8635181374e-05   1.1177631158e-05   0.0000000000e+00   0.0000000000e+00   3.0009686753e+02  -1.9266715367e-05   5.0867207861e-10   1.5281323926e-15  -1.2369588417e-11  -9.1534977082e-17  -5.3521745240e-12   2.3299055888e-01  -7.0315938599e-11   4.2887613135e-06  -2.0107274922e-11  -1.2723136654e-29  -7.2461582424e-31  -1.5065308192e-27  -9.2181316418e-27  -8.0264126822e-10   7.5832710314e-06  -1.3157015156e-24  -1.4756980411e-23   1.4644446512e-29   7.6699756064e-01   1.8800490192e+03
  -3.8327184664e-02  -4.0861499649e-02   1.1654799968e+00   1.8707839130e-05   1.9271402101e-04   0.0000000000e+00   0.0000000000e+00   3.0166987601e+02   1.7044004815e-05   3.1181395787e-08   2.6200727483e-14  -2.1261121424e-10  -1.5736647098e-15  -9.1916707577e-11   2.3283722538e-01  -1.2033576814e-09   7.3942765314e-05  -3.4529796912e-10  -2.1900047172e-28  -1.2472569711e-29  -2.5916876618e-26  -1.5860270917e-25  -1.3797850284e-08   1.3074333205e-04  -2.2629246615e-23  -2.5382406970e-22   2.5187390895e-28   7.6695794319e-01   1.4329704889e+03
