# time = 0.05
# Grid points = 160
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2527302313e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -2.4114611335e-17   2.6829407853e-92  -1.3856089654e-91   3.0000000000e+02  -2.1502453731e-05   1.2527052023e-35  -6.1636514597e-69   1.1585514775e-59   2.3526260527e-85   3.0144608590e-62   2.3300000000e-01   2.9531484418e-62   9.9884730703e-52   1.7329284776e-53 -2.0304099175e-106 -1.1586795373e-107   1.1453109767e-81   1.7207957369e-79   4.4939083846e-69   7.0730970056e-53  8.0436271097e-102   4.4576227862e-74  2.5783659230e-140   7.6700000000e-01   1.9075768848e+03
  -6.7557487510e-01  -7.0054604627e-01   1.1719839921e+00   1.8630700790e-05  -2.1210204440e-17   1.3263449386e-87  -6.6913146951e-87   3.0000000000e+02  -2.1502453731e-05   1.2466025316e-35  -6.1008899511e-69   1.1689381217e-55   1.3054398200e-86   1.4685813869e-62   2.3300000000e-01   2.1073977985e-61   2.0124147938e-47   9.6157806039e-55  9.4618865234e-107  7.9472480918e-118   3.9478215455e-77   5.9827324961e-75   1.6956261551e-64   1.9261065971e-48   2.2056351527e-97   1.2223028929e-69  3.9280170410e-137   7.6700000000e-01   1.9075768848e+03
  -6.2563253277e-01  -6.5060370394e-01   1.1719839921e+00   1.8630700790e-05   1.6536344815e-17   6.1277906131e-83  -3.0291842691e-82   3.0000000000e+02  -2.1502453731e-05   1.9397563841e-37   1.9931031752e-66   1.0631110452e-51   4.0607694652e-88   2.7677163117e-58   2.3300000000e-01   4.5945500627e-57   4.1211072611e-43   2.9868240370e-56  -1.7055118490e-99  1.8817534576e-103   1.2575415402e-72   1.9211555325e-70   5.9254726476e-60   5.6645859866e-44   6.5417378196e-93   3.6252530458e-65  3.3668537153e-131   7.6700000000e-01   1.9075768848e+03
  -5.7569019045e-01  -6.0066136161e-01   1.1719839921e+00   1.8630700790e-05   2.6773444983e-17   2.4772652072e-78  -1.1987210639e-77   3.0000000000e+02  -2.1502453731e-05   1.2404848863e-35   5.5664751463e-62   8.4567426070e-48   8.6695962743e-87   5.2717537451e-54   2.3300000000e-01   8.8287088677e-53   7.1788211424e-39   2.9569576834e-55   1.0593164861e-92  -1.0524868393e-92   3.5013207862e-68   5.3929118099e-66   1.8103610294e-55   1.4162237811e-39   1.6494621141e-88   9.1405368887e-61  1.7532745287e-122   7.6700000000e-01   1.9075768848e+03
  -5.2574784812e-01  -5.5071901928e-01   1.1719839921e+00   1.8630700790e-05   3.4630427592e-17   8.6454736932e-74  -4.0917459115e-73   3.0000000000e+02  -2.1502453731e-05   9.4964135176e-36   1.3368347983e-57   5.8081802591e-44   4.1836157906e-83   8.6623564903e-50   2.3300000000e-01   1.4642781805e-48   1.0453600467e-34   7.2648417663e-52  -5.4336435307e-92  2.3339811008e-101   8.4087089688e-64   1.3059344543e-61   4.7718532311e-51   2.9573988449e-35   3.4735266675e-84   1.9249338561e-56  6.8374030577e-114   7.6700000000e-01   1.9075768848e+03
  -4.7580550579e-01  -5.0077667696e-01   1.1719839921e+00   1.8630700790e-05  -2.2768255217e-17   2.5549396068e-69  -1.1819031188e-68   3.0000000000e+02  -2.1502453731e-05   7.7550286142e-37   2.7169358633e-53   3.3808912286e-40   4.0361557554e-79   1.2047504555e-45   2.3300000000e-01   2.0563329147e-44   1.2393809345e-30   1.6019840958e-47  -1.6197240654e-85   6.9355937059e-95   1.7089563340e-59   2.6765446972e-57   1.0646293148e-46   5.0221380849e-31   5.9485212099e-80   3.2965083882e-52  1.9185658847e-105   7.6700000000e-01   1.9075768848e+03
  -4.2586316347e-01  -4.5083433463e-01   1.1719839921e+00   1.8630700790e-05  -2.1109679615e-17   6.2203236589e-65  -2.8106201461e-64   3.0000000000e+02  -2.1502453731e-05   7.7510327216e-37   4.5467340109e-49   1.6244421919e-36   4.8539932749e-75   1.3800263123e-41   2.3300000000e-01   2.3789467926e-40   1.1491324675e-26   2.9088389952e-43  -1.3458554169e-83   6.2286848831e-93   2.8599018445e-55   4.5175996909e-53   1.9562205637e-42   6.6563426541e-27   7.9506650779e-76   4.4060420520e-48   3.6652391967e-97   7.6700000000e-01   1.9075768848e+03
  -3.7592082114e-01  -4.0089199230e-01   1.1719839921e+00   1.8630700790e-05   2.0300404455e-17   1.1981355548e-60  -5.2830212188e-60   3.0000000000e+02  -2.1502453731e-05   7.7510327216e-37   6.0165137820e-45   6.1988059043e-33   4.1409184067e-70   1.2505255569e-37   2.3300000000e-01   2.1771586484e-36   7.8127160320e-23   4.1757735296e-39   2.1761584256e-82  -8.0604794146e-80   3.7843953087e-51   6.0305707420e-49   2.8430141638e-38   6.4450710335e-23   7.7627828897e-72   4.3019220825e-44   4.3947088299e-89   7.6700000000e-01   1.9075768848e+03
  -3.2597847881e-01  -3.5094964998e-01   1.1719839921e+00   1.8630700790e-05  -1.3116699543e-17   1.7131211185e-56  -7.3583311585e-56   3.0000000000e+02  -2.1502453731e-05   5.0413316869e-34   5.9045890790e-41   1.7701551865e-29   7.5547870474e-63   8.4117873343e-34   2.3300000000e-01   1.4785220366e-32   3.4788546161e-19   4.4441063602e-35   3.4005560011e-77   1.7077686660e-78   3.7139935317e-47   5.9728888200e-45   3.0658136896e-34   4.0516556034e-19   4.9250976415e-68   2.7266163308e-40   2.9090313340e-81   7.6700000000e-01   1.9075768848e+03
  -2.7603613649e-01  -3.0100730765e-01   1.1719839921e+00   1.8630700790e-05   3.0285136237e-14   1.6247564434e-52  -6.7654206315e-52   3.0000000000e+02  -2.1502453730e-05   2.5818797050e-28   3.8362334966e-37   3.4218487590e-26   8.5037639932e-56   3.7529871423e-30   2.3300000000e-01   6.6513749559e-29   8.0166735705e-16   3.1263385386e-31   3.9646829844e-68   2.4589870521e-69   2.4118523609e-43   3.9186220142e-41   2.1903953410e-30   1.2799835158e-15   8.6263935451e-64   8.6797899299e-37   8.4652207780e-74   7.6700000000e-01   1.9075768848e+03
  -2.2609379416e-01  -2.5106496532e-01   1.1719839920e+00   1.8630700790e-05   1.8304368217e-11   7.9930247096e-49  -3.1557162429e-48   3.0000000001e+02  -2.1502453491e-05   7.9366983211e-24   1.9816655050e-33   3.6906284496e-23   3.1915510201e-49   8.6594793156e-27   2.3300000000e-01   1.5392411480e-25   4.6980661482e-13   1.1220260374e-27   7.4198037729e-63   3.8388180940e-64   8.0251201050e-40   1.3234537668e-37   8.0680149988e-27   7.9589706919e-13   1.0169943464e-57   5.4038618673e-34   6.5093933174e-67   7.6700000000e-01   1.9075768821e+03
