# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density        007_hr             008_H2              009_H              010_O             011_O2             012_OH            013_H2O            014_HO2            015_CH2         016_CH2(S)            017_CH3            018_CH4             019_CO            020_CO2            021_HCO           022_CH2O          023_CH2OH             024_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   1.2432411832e-03   4.1604211591e+02  -7.3879520241e+03   1.3497233215e-02   8.4781901570e-01   3.2842981906e-06   1.8948802226e-14   2.9476303732e-21   5.1995659902e-13   2.2608685404e-01   4.6164877737e-11   1.2630048221e-03   1.6311062358e-12  -1.1819945337e-29  -4.9272501650e-35  -3.4539403140e-29  -2.9815746652e-25   8.0272568083e-13   1.2234228392e-02  -1.1226904159e-29  -3.5135824242e-26  -1.3063127151e-39   7.5310905119e-01
   6.0000000000e-03   4.5184184423e-03   5.8323851129e+02  -2.5979009868e+04   3.3795424036e-02   6.0683223673e-01   1.0393122452e-04   6.4190582708e-14   4.5326214440e-19   7.2701246875e-12   2.1339060142e-01   4.8320352839e-10   3.8429955470e-03   1.1241733231e-11  -7.9705545308e-38  -7.2015535602e-39  -5.8013863091e-30  -1.3031635820e-25   2.4654309424e-12   2.9952428487e-02   6.4495183980e-32  -5.4275605739e-27  -2.3349258005e-40   7.5032475036e-01
   1.0000000000e-02   7.5621184296e-03   7.2516666466e+02  -4.4570067703e+04   5.1823966546e-02   4.8929195650e-01   7.5823978612e-04   1.3300599581e-13   8.8733181072e-18   1.9486037600e-11   2.0116674221e-01   3.1521748695e-09   6.5695713731e-03   2.1209358624e-11  -3.4365234213e-37  -3.5906416551e-38  -4.6341273770e-30  -2.8550468226e-26   4.9342852592e-12   4.5254395168e-02   2.2944524258e-30  -2.0733371170e-27  -1.2622155305e-39   7.4747792839e-01
   1.4000000000e-02   1.0489678595e-02   8.5278453728e+02  -6.3161125538e+04   6.8733785688e-02   4.1692364247e-01   4.0281155467e-03   3.1427202797e-13   9.6374616831e-17   4.9221091075e-11   1.8918747410e-01   1.4042458649e-08   9.4027407439e-03   3.8269581606e-11  -7.7149359466e-37  -7.9983434201e-38  -2.3717290094e-30  -2.4975741036e-27   1.2259182621e-11   5.9331044932e-02   6.3934319954e-29  -5.1484809846e-28  -9.8333028245e-39   7.4459691462e-01
   1.8000000000e-02   1.3348247282e-02   9.7081360237e+02  -8.1752183268e+04   8.4967541604e-02   3.6687681745e-01   2.1080174089e-02   1.2435468961e-12   9.0456473391e-16   1.5959758952e-10   1.7735162944e-01   5.3195332320e-08   1.2321535448e-02   1.3896254204e-10  -1.6125598178e-37  -1.7284564081e-38  -1.3685720135e-31  -8.1991343703e-29   4.9101576044e-11   7.2646006106e-02   3.4494302183e-27   1.9963486170e-29  -2.7058819038e-39   7.4169082415e-01
   2.2000000000e-02   1.6161485661e-02   1.0820847263e+03  -1.0034324120e+05   1.0074055877e-01   3.2965645194e-01   1.1413627575e-01   7.7553800430e-12   1.0909269201e-14   7.2859802947e-10   1.6560815197e-01   1.9988112678e-07   1.5312066372e-02   1.0630905217e-09  -1.8616348760e-38  -1.9667003679e-39  -4.1512778075e-33  -7.8769440909e-31   3.1551769145e-10   8.5428492078e-02   6.0364872815e-25   6.7033781576e-27   8.8535251307e-39   7.3876450644e-01
   2.6000000000e-02   1.8942308175e-02   1.1882480339e+03  -1.1893429904e+05   1.1616966695e-01   3.0061440734e-01   4.7059546758e-01   6.5241893322e-11   1.9144863493e-13   4.7817249596e-09   1.5393106264e-01   8.0061912473e-07   1.8363460562e-02   5.0769180256e-09  -6.7640752551e-40  -7.0838661408e-41  -3.7149470229e-35  -2.2553270301e-33   2.8696714142e-09   9.7806203457e-02   1.0146319450e-22   1.1171660523e-24   1.8475528691e-35   7.3582186485e-01
   3.0000000000e-02   2.1699107666e-02   1.2902234630e+03  -1.3752535688e+05   1.3132798749e-01   2.7719590871e-01   1.4343478018e+00   5.0975985856e-10   2.9107831990e-12   3.0587556684e-08   1.4230331505e-01   2.9185793053e-06   2.1467090976e-02   1.5714725806e-08   1.7001350964e-38   2.4780561877e-40   2.7776448237e-36   1.4663022995e-35   2.6134818713e-08   1.0986086987e-01   9.2956671018e-21   9.2737332111e-23   1.0179668674e-32   7.3286556257e-01
   3.4000000000e-02   2.4437822978e-02   1.3886418117e+03  -1.5611641471e+05   1.4626413449e-01   2.5783762155e-01   3.6304995517e+00   3.0721336989e-09   3.0654988863e-11   1.5203010969e-07   1.3071212568e-01   8.8330480494e-06   2.4615390906e-02   3.8442052349e-08   2.0786411132e-35   3.8219618255e-37   1.5961469468e-33   4.4208015529e-33   1.8446997291e-07   1.2164855605e-01   4.4044308095e-19   3.9790742988e-21   2.0501508976e-30   7.2989747960e-01
   3.8000000000e-02   2.7162919254e-02   1.4839445968e+03  -1.7470747255e+05   1.6101082821e-01   2.4152362132e-01   8.1389166696e+00   1.4458403118e-08   2.3010766689e-10   5.9093140943e-07   1.1914680719e-01   2.2588481130e-05   2.7800863628e-02   8.0232597132e-08   8.9287657504e-33   2.0082047621e-34   3.7148727080e-31   6.2110386079e-31   9.9471607372e-07   1.3320895540e-01   1.1908485864e-17   9.9344503597e-20   1.8903235105e-28   7.2691901417e-01
   4.2000000000e-02   2.9877907300e-02   1.5764271784e+03  -1.9329853038e+05   1.7558864692e-01   2.2756408272e-01   1.6855285930e+01   5.5598607072e-08   1.3110837886e-09   1.8747391932e-06   1.0759799956e-01   5.0364351511e-05   3.1015277916e-02   1.4823973331e-07   1.6769213646e-30   4.4876860203e-32   4.1980582769e-29   4.6896766836e-29   4.2857713863e-06   1.4456902764e-01   2.0564944231e-16   1.6160773236e-18   9.4721526189e-27   7.2393124730e-01
