# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density        007_hr             008_H2              009_H              010_O             011_O2             012_OH            013_H2O            014_HO2            015_CH2         016_CH2(S)            017_CH3            018_CH4             019_CO            020_CO2            021_HCO           022_CH2O          023_CH2OH             024_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   1.2446089150e-03   4.0145294260e+02  -2.5147520155e+04   1.3726892066e-02   8.7858306461e-01   7.9485400924e-05   3.1828890836e-13   5.9857019175e-20   2.2844459906e-12   2.2591118581e-01   2.1021132560e-10   1.4114723140e-03   8.0543058661e-12   2.5993611119e-34   1.8538349953e-35   3.1097768279e-26   3.4698168977e-22   2.1762643336e-11   1.2315419730e-02   9.1896422868e-32   2.4231540003e-24   1.3913887709e-37   7.5230889436e-01
   6.0000000000e-03   4.5897151165e-03   5.4742883080e+02  -6.9910823485e+04   3.4240089169e-02   6.4633812631e-01   1.7002889443e-03   1.0773877189e-12   5.5055516326e-18   3.0745824343e-11   2.1292233030e-01   1.4283576540e-09   4.2928916723e-03   5.3797576510e-11   1.3929110935e-33   1.2683906403e-34   3.4130426155e-26   2.1192740537e-22   6.4302464703e-11   2.9947197432e-02   2.1949256854e-29   5.6451557971e-24   3.3534901738e-36   7.4956190433e-01
   1.0000000000e-02   7.6994941736e-03   6.7219762151e+02  -1.1154320273e+05   5.2458927057e-02   5.2755659318e-01   1.0838399876e-02   2.1161232988e-12   8.9265271227e-17   1.0631732387e-10   2.0041751167e-01   6.0707913451e-09   7.3325313365e-03   1.3093214885e-10   5.8429681129e-33   5.7451798322e-34   3.8093814135e-26   1.0180632599e-22   1.1200866286e-10   4.5126395606e-02   5.6764848077e-28   5.5623901396e-24   3.0924516752e-35   7.4674950634e-01
   1.4000000000e-02   1.0690147885e-02   7.8495819155e+02  -1.5165831117e+05   6.9543712083e-02   4.5257614684e-01   4.2712533705e-02   3.5958054774e-12   6.9819753045e-16   2.2221741607e-10   1.8816946544e-01   2.1674269278e-08   1.0486996616e-02   2.0868750626e-10   1.6590588478e-32   1.6689932514e-33   3.1867368299e-26   3.3331435546e-23   1.7995206897e-10   5.9056715284e-02   6.7723159502e-27   2.8916584934e-24   1.4759103446e-34   7.4390282255e-01
   1.8000000000e-02   1.3609369089e-02   8.8950291472e+02  -1.9087524395e+05   8.5941623169e-02   3.9997177721e-01   1.4101698497e-01   6.5325612613e-12   3.9635849082e-15   4.6283586422e-10   1.7607620685e-01   6.5120872334e-08   1.3733562932e-02   3.0838397570e-10   2.3141384152e-32   2.3183025038e-33   1.4972811645e-26   6.4700340561e-24   3.1729359944e-10   7.2208059913e-02   6.7608618387e-26   7.6046431757e-25   3.0112526495e-34   7.4103208078e-01
   2.2000000000e-02   1.6481865064e-02   9.8800984291e+02  -2.2949553164e+05   1.0187451383e-01   3.6054332058e-01   4.2722003503e-01   1.4924276352e-11   1.8922798292e-14   1.0576838512e-09   1.6408292108e-01   1.7537745370e-07   1.7057847136e-02   4.8941213136e-10   1.4926090923e-32   1.4660618773e-33   3.5424693421e-27   6.7598656820e-25   6.9164605577e-10   8.4816665983e-02   7.3629097564e-25   9.8372316234e-26   2.6134165797e-34   7.3814196645e-01
   2.6000000000e-02   1.9321742781e-02   1.0819828064e+03  -2.6768325287e+05   1.1746650725e-01   3.2958359908e-01   1.2777728727e+00   4.3263994542e-11   8.6541980572e-14   2.6654473942e-09   1.5215897947e-01   4.4335813995e-07   2.0449148967e-02   1.1530287058e-09   4.3976292294e-33   4.1938658351e-34   4.0096913461e-28   3.6262140524e-26   1.9362202892e-09   9.7017356300e-02   1.0932664812e-23   7.9821728591e-26   9.8153196953e-35   7.3523566304e-01
   3.0000000000e-02   2.2137515549e-02   1.1723206221e+03  -3.0554128454e+05   1.3279206985e-01   3.0447101604e-01   3.8427669693e+00   1.4911484061e-10   4.3913343819e-13   7.5561728123e-09   1.4028720163e-01   1.0954986845e-06   2.3898734290e-02   3.7646098299e-09   5.9483194780e-34   5.4719285773e-35   2.1037676656e-29   9.6818576237e-28   6.7269853106e-09   1.0889332868e-01   2.5220154311e-22   2.3167177368e-24   4.5025488248e-35   7.3231587946e-01
   3.4000000000e-02   2.4935116137e-02   1.2595679523e+03  -3.4313757121e+05   1.4790128872e-01   2.8361293708e-01   1.0529686993e+01   5.8484608650e-10   2.6214878356e-12   2.4325329261e-08   1.2845557940e-01   2.7134952019e-06   2.7399561919e-02   1.1052659403e-08   3.5711897243e-35   3.1539146677e-36   4.8321274906e-31   1.2249867796e-29   2.7471946240e-08   1.2050169874e-01   6.8471906130e-21   7.1101879878e-23   5.1225117257e-33   7.2938454864e-01
