# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density        007_hr             008_H2              009_H              010_O             011_O2             012_OH            013_H2O            014_HO2            015_CH2         016_CH2(S)            017_CH3            018_CH4             019_CO            020_CO2            021_HCO           022_CH2O          023_CH2OH             024_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   1.2714382188e-03   3.5979234447e+02  -7.8426224521e+04   1.4697449858e-02   9.8029237913e-01   7.3376343249e-04   2.0899948390e-07   6.7677277273e-20   1.5930283848e-12   2.2543876336e-01   3.5677939595e-13   1.8040086443e-03   1.6843765531e-08   6.2793507439e-23   4.0130220221e-24   3.8459684055e-12   1.1975066510e-05   4.6748952027e-06   1.2888557319e-02   5.9564913801e-19   1.1403326725e-07   3.9114023152e-26   7.4998753811e-01
   6.0000000000e-03   4.8530972777e-03   4.3692203097e+02  -2.0170626434e+05   3.5577274493e-02   8.0938088624e-01   2.3639379203e-03   7.6529644880e-07   4.7914160379e-19   1.6481890504e-13   2.1220660873e-01   9.4043670767e-14   5.1706128666e-03   1.3299006105e-07   3.1539293182e-23   2.2694432985e-24   1.1085941753e-11   1.6260587126e-04   4.7742153826e-05   3.0358154176e-02   2.3772777083e-18   1.3152024188e-06   1.8876468597e-22   7.4740871024e-01
   1.0000000000e-02   8.1816233957e-03   4.9550241011e+02  -3.1246261027e+05   5.3198090976e-02   7.1487387174e-01   8.2773872022e-03   1.4954297539e-06   2.2585550760e-18   1.3093687150e-14   2.0018312286e-01  -5.1458385467e-13   8.3565924911e-03   2.8923161478e-07  -2.0349353891e-21  -1.6201237414e-22   2.4836111202e-11   4.8182006316e-04   1.2750293897e-04   4.4712500116e-02   1.7962136933e-17   3.6446921430e-06   1.7720842045e-20   7.4470105280e-01
   1.4000000000e-02   1.1373889076e-02   5.4087938013e+02  -4.1714986826e+05   6.8777484281e-02   6.5560717465e-01   2.6665539202e-02   2.3464959513e-06  -1.2499050071e-17   6.1706881551e-16   1.8911757909e-01  -1.1761955224e-12   1.1356489581e-02   4.5834944131e-07  -1.7906727289e-20  -1.4596354113e-21   5.5011064388e-11   9.6009577091e-04   2.3613068412e-04   5.7182517520e-02   5.0752369918e-17   6.8468118807e-06   3.0294399789e-19   7.4193850883e-01
   1.8000000000e-02   1.4475437951e-02   5.7554726294e+02  -5.1824442569e+05   8.2807959794e-02   6.1652781540e-01   1.0944891231e-01   3.2891853707e-06   7.8745256025e-17   1.6675405535e-15   1.7887016750e-01   8.3385703612e-13   1.4180358216e-02   6.2743704814e-07   5.4082492681e-21   4.2088112427e-22   1.0954399332e-10   1.5851837620e-03   3.6727678314e-04   6.8257035609e-02   8.2399745312e-17   1.0707834565e-05   2.0937318600e-18   7.3914387522e-01
   2.2000000000e-02   1.7510436156e-02   6.0113828008e+02  -6.1695240294e+05   9.5561576744e-02   5.9048100714e-01   2.2560529767e-01   4.3054878122e-06   1.5196823298e-16   2.4284005578e-15   1.6934223155e-01   8.0047211776e-13   1.6841262990e-02   7.9003151842e-07   7.8520378314e-21   5.8243095798e-22   2.1326494755e-10   2.3454402580e-03   5.1597200577e-04   7.8200036260e-02   2.2195515214e-16   1.5063980923e-05   8.2336494677e-18   7.3632710099e-01
   2.6000000000e-02   2.0494177157e-02   6.1889152407e+02  -7.1393011414e+05   1.0721751356e-01   5.7357775112e-01   4.4551660229e-01   5.3835581448e-06   2.9217878608e-16   3.2611639622e-15   1.6045688701e-01   1.0805531863e-12   1.9352097669e-02   9.4289715555e-07   1.4794893654e-20   1.0102270633e-21   3.7948446969e-10   3.2303821852e-03   6.7828778081e-04   8.7181744557e-02   4.6615125852e-16   1.9790144625e-05   2.2018123872e-17   7.3349343731e-01
   3.0000000000e-02   2.3437454455e-02   6.2977831157e+02  -8.0958906748e+05   1.1790686254e-01   5.6356164642e-01   7.7483500604e-01   6.5152714872e-06   5.3521904748e-16   4.8493094150e-15   1.5215121668e-01   1.4136427746e-12   2.1724708848e-02   1.0845457190e-06   3.3313062337e-20   2.1560731797e-21   6.2517504269e-10   4.2307071381e-03   8.5107439702e-04   9.5324564023e-02   8.3934454117e-16   2.4789645452e-05   4.4323607986e-17   7.3064603918e-01
   3.4000000000e-02   2.6348448889e-02   6.3458947619e+02  -9.0420104070e+05   1.2773204225e-01   5.5907020460e-01   1.2030427880e+00   7.6949364921e-06   8.5510052449e-16   6.2265643848e-15   1.4437225456e-01   1.7170505436e-12   2.3969720914e-02   1.2144641013e-06   6.6456568602e-20   4.0539588484e-21   9.7272133983e-10   5.3381860149e-03   1.0317734633e-03   1.0272285294e-01   1.3511392933e-15   2.9986634101e-05   7.1442037712e-17   7.2778699689e-01
   3.8000000000e-02   2.9233674453e-02   6.3399112631e+02  -9.9794315413e+05   1.3677657758e-01   5.5927244712e-01   1.7209422028e+00   8.9185615632e-06   1.2308849759e-15   7.1106369808e-15   1.3707456250e-01   1.9763216789e-12   2.6096586300e-02   1.3326841712e-06   1.2203731451e-19   6.9793525002e-21   1.4603040672e-09   6.5455332612e-03   1.2182834286e-03   1.0945278929e-01   2.0022637926e-15   3.5320656321e-05   9.5838476875e-17   7.2491780610e-01
   4.2000000000e-02   3.2098508279e-02   6.2856677775e+02  -1.0909143905e+06   1.4511060897e-01   5.6367360770e-01   2.3350476610e+00   1.0183411421e-05   1.6470196990e-15   7.4855495749e-15   1.3021861462e-01   2.1979419448e-12   2.8113701775e-02   1.4395415383e-06   2.1393066409e-19   1.1414278283e-20   2.1525495106e-09   7.8462855259e-03   1.4088617522e-03   1.1557786203e-01   2.8008635351e-15   4.0742753618e-05   1.0965483377e-16   7.2203960399e-01
   4.6000000000e-02   3.4947515314e-02   6.1885860422e+02  -1.1831305027e+06   1.5279429601e-01   5.7199460919e-01   3.0765122780e+00   1.1487718780e-05   2.1033672372e-15   7.5019061204e-15   1.2376964129e-01   2.3958139967e-12   3.0028532543e-02   1.5355536679e-06   3.6671898719e-19   1.8168211950e-20   3.1477518911e-09   9.2346952179e-03   1.6020526053e-03   1.2115222315e-01   3.7622993771e-15   4.6212651707e-05   1.0868629057e-16   7.1915329760e-01
   5.0000000000e-02   3.7784660906e-02   6.0541878556e+02  -1.2744948727e+06   1.5988008352e-01   5.8407567562e-01   4.0020775361e+00   1.2830472170e-05   2.6361946362e-15   7.4452262129e-15   1.1769676523e-01   2.5777321010e-12   3.1847720598e-02   1.6213758292e-06   6.2089722201e-19   2.8431553695e-20   4.5813981168e-09   1.0705639332e-02   1.7966327732e-03   1.2622289968e-01   4.8915995177e-15   5.1696744968e-05   9.4326140738e-17   7.1625963876e-01
   5.4000000000e-02   4.0613455406e-02   5.8888194165e+02  -1.3647385033e+06   1.6641433024e-01   5.9976454738e-01   5.2022479739e+00   1.4211216025e-05   3.4197112047e-15   7.8984294922e-15   1.1197232895e-01   2.7394784175e-12   3.3577168339e-02   1.6978042883e-06   1.0376992554e-18   4.3727961883e-20   6.6287800467e-09   1.2254538140e-02   1.9915707715e-03   1.3083137991e-01   6.1640065476e-15   5.7166695780e-05   7.2476539275e-17   7.1335927181e-01
   5.8000000000e-02   4.3437049610e-02   5.7006600571e+02  -1.4533243930e+06   1.7243856717e-01   6.1874930569e-01   6.8551845517e+00   1.5629797480e-05   5.2701466637e-15   1.0511257137e-14   1.0657135902e-01   2.8695744239e-12   3.5222091841e-02   1.7658039768e-06   1.7047572927e-18   6.5872432878e-20   9.5108507529e-09   1.3877276750e-02   2.1859957853e-03   1.3501484975e-01   7.5344164721e-15   6.2598543961e-05   5.0557369916e-17   7.1045276817e-01
   6.2000000000e-02   4.6258284824e-02   5.5009467248e+02  -1.5393265009e+06   1.7799054935e-01   6.4030103352e-01   9.4915994197e+00   1.7085980577e-05   1.2346815659e-14   2.1267206783e-14   1.0147113010e-01   2.9643921676e-12   3.6787043292e-02   1.8265460473e-06   2.7577064323e-18   9.7586938574e-20   1.3507234794e-08   1.5570117641e-02   2.3791739368e-03   1.3880724614e-01   9.0313361952e-15   6.7972279116e-05   3.5867745533e-17   7.0754065617e-01
   6.6000000000e-02   4.9079691850e-02   5.3050546626e+02  -1.6213241708e+06   1.8310516567e-01   6.6293112384e-01   1.5374842844e+01   1.8578857759e-05   4.6113736331e-14   6.2788274581e-14   9.6650818694e-02   3.0548156769e-12   3.8275909859e-02   1.8814456044e-06   4.5009918105e-18   1.4657692921e-19   1.8978954847e-08   1.7329592857e-02   2.5704897491e-03   1.4224018721e-01   1.1116057925e-14   7.3271840903e-05   4.3498419758e-17   7.0462344969e-01
   7.0000000000e-02   5.1903433110e-02   5.1329038804e+02  -1.6973683957e+06   1.8781521035e-01   6.8405423394e-01   3.4141667769e+01   2.0106038132e-05   1.9734627804e-13   2.0323682917e-13   9.2091241671e-02   3.2534585621e-12   3.9691911576e-02   1.9321927140e-06   7.9780200867e-18   2.4311555587e-19   2.6399043950e-08   1.9152367313e-02   2.7594307873e-03   1.4534376194e-01   1.5864456826e-14   7.8485473019e-05   1.3814128030e-16   7.0170167411e-01
   7.4000000000e-02   5.4731192139e-02   5.0089622549e+02  -1.7649817894e+06   1.9215198096e-01   6.9978414197e-01   8.9845920334e+01   2.1662666854e-05   6.8198038592e-13   5.4538193489e-13   8.7774674839e-02   3.7875079849e-12   4.1037622267e-02   1.9808006428e-06   1.6533874906e-17   4.8079374895e-19   3.6375181083e-08   2.1035075147e-02   2.9455739437e-03   1.4814712208e-01   2.8744032674e-14   8.3606307192e-05   5.0955991890e-16   6.9877588355e-01
   7.8000000000e-02   5.7564018537e-02   4.9645913019e+02  -1.8208725570e+06   1.9614575827e-01   7.0478007884e-01   1.7359263424e+02   2.3240281785e-05   1.4350550503e-12   9.5956546491e-13   8.3684710334e-02   4.7352221513e-12   4.2315003768e-02   2.0297972283e-06   3.4364061722e-17   9.5141147931e-19   4.9634945830e-08   2.2974125046e-02   3.1285735564e-03   1.5067894066e-01   5.2211868764e-14   8.8633171061e-05   1.2115360530e-15   6.9584666632e-01
   8.2000000000e-02   6.0402109885e-02   5.0475349766e+02  -1.8597912133e+06   1.9982633362e-01   6.9191835640e-01   1.6224044276e+02   2.4825287461e-05   1.3464866905e-12   8.5266587806e-13   7.9806091104e-02   5.7442498708e-12   4.3525380081e-02   2.0823720256e-06   5.3337513663e-17   1.3874020575e-18   6.7026635953e-08   2.4965437758e-02   3.3081536435e-03   1.5296797461e-01   6.6696990334e-14   9.3571805059e-05   1.3115531309e-15   6.9291464882e-01
   8.6000000000e-02   6.3244587452e-02   5.3257256516e+02  -1.8738711027e+06   2.0322322910e-01   6.5453002232e-01   9.0667417079e+01   2.6397751251e-05   5.0837491135e-13   3.5865171396e-13   7.6124555314e-02   7.8570891175e-12   4.4669404893e-02   2.1413201408e-06   7.6690412770e-17   1.9139405512e-18   8.9686354195e-08   2.7004180049e-02   3.4841030924e-03   1.5504332337e-01   7.6937162817e-14   9.8435309734e-05   6.0289846745e-16   6.8998049795e-01
