# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density        007_hr             008_H2              009_H              010_O             011_O2             012_OH            013_H2O            014_HO2            015_CH2         016_CH2(S)            017_CH3            018_CH4             019_CO            020_CO2            021_HCO           022_CH2O          023_CH2OH             024_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   1.1858220475e-03   3.6302874465e+02  -6.0666656399e+04   1.3261629004e-02   9.7127254752e-01   4.3996422494e+01   3.0204375646e-07   2.8699524682e-15   5.1922959073e-11   2.2596271287e-01   2.3743692340e-10   1.5204551100e-03   3.7958785171e-07   1.9746030404e-15   1.2841216436e-16   1.8468136882e-07   9.2591841792e-05   1.5008486320e-04   1.1590786987e-02   6.1283474240e-15   1.5447304887e-06   6.1239029267e-19   7.4975851590e-01
   6.0000000000e-03   4.6795048966e-03   4.3239334537e+02  -1.5777445072e+05   3.0786256647e-02   8.1719599650e-01   4.7681741260e+02   8.1285695658e-07   7.8593745957e-14   9.8572733929e-12   2.1480509561e-01   1.2377298636e-09   3.9327742806e-03   9.0331265969e-07   4.5900490028e-14   3.3799294992e-15   9.8903535248e-07   6.3741395390e-04   5.8980635096e-04   2.6262863159e-02   1.7558702433e-13   7.8467341978e-06   3.7690390881e-17   7.4749967111e-01
   1.0000000000e-02   7.9134298238e-03   4.7870873467e+02  -2.4548947463e+05   4.4812952358e-02   7.3893997996e-01   1.3329112280e+03   1.4194784732e-06   4.3231215818e-13   2.1542035353e-12   2.0515220364e-01   2.6402085535e-09   6.1022671937e-03   1.2254680390e-06   1.8188694513e-13   1.3905764717e-14   1.9687140624e-06   1.4159251416e-03   1.0645820395e-03   3.7644683646e-02   7.7720694357e-13   1.4903602513e-05   2.4937502735e-16   7.4495886753e-01
   1.4000000000e-02   1.1012331674e-02   5.1085911480e+02  -3.2865268258e+05   5.6773120074e-02   6.9278539325e-01   2.5201395103e+03   2.0932184110e-06   1.1746760018e-12   9.6752692909e-13   1.9651156292e-01   3.9019207193e-09   8.0965979965e-03   1.4223824911e-06   4.0831860108e-13   3.1281671386e-14   3.0572447120e-06   2.3680111386e-03   1.5497891919e-03   4.7124639667e-02   1.8576447578e-12   2.2111771308e-05   7.6612037961e-16   7.4230542081e-01
   1.8000000000e-02   1.4026449904e-02   5.3284578683e+02  -4.0912136482e+05   6.7276386829e-02   6.6426529050e-01   3.8845905517e+03   2.8184211225e-06   2.2005690364e-12   1.1211176906e-12   1.8863867938e-01   4.7883888631e-09   9.9518097343e-03   1.5337782339e-06   6.9404707139e-13   5.2285561730e-14   4.2210764263e-06   3.4600440612e-03   2.0348791034e-03   5.5286879571e-02   3.2725158036e-12   2.9208366678e-05   1.5921229077e-15   7.3958951320e-01
   2.2000000000e-02   1.6982494680e-02   5.4698785750e+02  -4.8780011245e+05   7.6658868195e-02   6.4695717884e-01   5.2670139228e+03   3.5857725713e-06   3.2881322237e-12   1.4787935655e-12   1.8138477059e-01   5.2755670586e-09   1.1690994193e-02   1.5839876989e-06   1.0039058516e-12   7.3502613344e-14   5.4379094918e-06   4.6701478212e-03   2.5144228678e-03   6.2449865362e-02   4.8218247414e-12   3.6063803639e-05   2.6137024212e-15   7.3683275648e-01
   2.6000000000e-02   1.9896965110e-02   5.5482316453e+02  -5.6518116050e+05   8.5133880351e-02   6.3753265470e-01   6.5335658217e+03   4.3893510270e-06   4.2142935375e-12   1.6711076278e-12   1.7464875741e-01   5.4216199179e-09   1.3330407459e-02   1.5899121112e-06   1.3077494249e-12   9.2304277863e-14   6.6908633655e-06   5.9827952321e-03   2.9853750059e-03   6.8813708535e-02   6.3185339334e-12   4.2614804805e-05   3.6592672111e-15   7.3404649765e-01
   3.0000000000e-02   2.2781049308e-02   5.5743246065e+02  -6.4157313985e+05   9.2849103274e-02   6.3413314436e-01   7.5859303996e+03   5.2252508376e-06   4.8128721815e-12   1.5858937679e-12   1.6835708970e-01   5.3024042463e-09   1.4882185452e-02   1.5642384175e-06   1.5816343069e-12   1.0695134745e-13   7.9663392707e-06   7.3863302494e-03   3.4459582103e-03   7.4515734361e-02   7.6085053448e-12   4.8835153091e-05   4.5532267420e-15   7.3123749167e-01
   3.4000000000e-02   2.5642836729e-02   5.5561653872e+02  -7.1717988421e+05   9.9912943775e-02   6.3567962694e-01   8.3627802216e+03   6.0908752057e-06   4.9868386784e-12   1.2577052808e-12   1.6245366901e-01   4.9889071301e-09   1.6355762641e-02   1.5169474944e-06   1.8071921288e-12   1.1646727522e-13   9.2530409952e-06   8.8716581742e-03   3.8951298602e-03   7.9655960399e-02   8.5754595076e-12   5.4720394236e-05   5.1511262769e-15   7.2841012801e-01
   3.8000000000e-02   2.8488462809e-02   5.4999733375e+02  -7.9213423373e+05   1.0640839675e-01   6.4154721432e-01   8.8369177399e+03   6.9845405283e-06   4.6921822964e-12   7.8893817638e-13   1.5689420453e-01   4.5417900366e-09   1.7758693242e-02   1.4561313315e-06   1.9710280005e-12   1.2049419086e-13   1.0541447761e-05   1.0431482371e-02   4.3322988700e-03   8.4310420102e-02   9.1433524275e-12   6.0278855817e-05   5.3553784670e-15   7.2556745018e-01
