# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density        007_hr             008_H2              009_H              010_O             011_O2             012_OH            013_H2O            014_HO2            015_CH2         016_CH2(S)            017_CH3            018_CH4             019_CO            020_CO2            021_HCO           022_CH2O          023_CH2OH             024_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   1.2538064029e-03   4.1255620691e+02  -7.3879520325e+03   1.2932343796e-02   8.5449900931e-01   1.1984828330e+03   1.8212689870e-07   1.0109398363e-12   1.1480789654e-07   2.2568180401e-01   5.8667557066e-08   1.6145669405e-03   3.5098909665e-07   4.8520434678e-27   7.0295128744e-29   4.2309032199e-22   3.0332104646e-20   4.5386287593e-05   1.1272208441e-02   2.9962037823e-18   6.9030815002e-16   7.3191300153e-28   7.5237565404e-01
   6.0000000000e-03   4.6626192171e-03   5.7777660148e+02  -2.5979009868e+04   3.2624968151e-02   6.1161056385e-01   1.8365778948e+04   6.1254754793e-07   7.7885395480e-11   7.7314369615e-07   2.1223727121e-01   5.4534422089e-07   4.9114822912e-03   1.3715363373e-06   3.3468422262e-27   3.1693083132e-28   2.2592493699e-22   9.3109314777e-20   1.3017744726e-04   2.7582695865e-02   6.0331784939e-16   1.9157420705e-15   2.9053992049e-25   7.4972425704e-01
   1.0000000000e-02   7.8526585303e-03   7.1995254356e+02  -4.4570067703e+04   5.0276897243e-02   4.9159497898e-01   1.0939930930e+05   1.1787818503e-06   1.3919843957e-09   2.6107381217e-06   1.9928694184e-01   2.2651325166e-06   8.3928573571e-03   3.1979720922e-06   3.5936781204e-26   3.6706502237e-27   6.6125639884e-22   1.5717538264e-19   2.1284480872e-04   4.1670016295e-02   1.5805493199e-14   3.8572313251e-15   1.1947406898e-23   7.4700624134e-01
   1.4000000000e-02   1.0934885183e-02   8.4880424213e+02  -6.3161125538e+04   6.6932767755e-02   4.1743084642e-01   4.7283100926e+05   1.8527678390e-06   1.3076560792e-08   7.5580158592e-06   1.8658862917e-01   7.7058582849e-06   1.2005762806e-02   5.7646039079e-06   3.2594401810e-25   3.4005925412e-26   1.8484171973e-21   2.2513064255e-19   2.9565588370e-04   5.4629496297e-02   1.8903587794e-13   8.0929271537e-15   2.2367610040e-22   7.4425092348e-01
   1.8000000000e-02   1.3954927042e-02   9.6839212752e+02  -8.1752183221e+04   8.2985051125e-02   3.6617536210e-01   1.4489141087e+06   2.6388100310e-06   7.0516044743e-08   2.0356683076e-05   1.7402939941e-01   2.3206088407e-05   1.5717860408e-02   7.7753216843e-06   2.3267391884e-24   2.4177281323e-25   4.4115323343e-21   3.0837677673e-19   3.8189108540e-04   6.6882660821e-02   1.2209363503e-12   1.6135342836e-14   2.1193871512e-21   7.4146819315e-01
   2.2000000000e-02   1.6935532551e-02   1.0809949898e+03  -1.0034324120e+05   9.8608924292e-02   3.2821590621e-01   3.2944105758e+06   3.6057029281e-06   2.5306761347e-07   4.8708144129e-05   1.6154686367e-01   5.9869499088e-05   1.9499838729e-02   8.5647610346e-06   1.4141451959e-23   1.4456994509e-24   1.0198588357e-20   4.4887849039e-19   4.7864420775e-04   7.8626835653e-02   5.0653999224e-12   2.6735606563e-14   1.0839806095e-20   7.3866338327e-01
   2.6000000000e-02   1.9887942202e-02   1.1876823889e+03  -1.1893429904e+05   1.1387581136e-01   2.9883485472e-01   6.0629787738e+06   4.9610175486e-06   6.8836054678e-07   1.0028138371e-04   1.4911366356e-01   1.3132181810e-04   2.3319760547e-02   8.6059845391e-06   8.3881447205e-23   8.3893802850e-24   2.6698955943e-20   7.9222200868e-19   6.0059873147e-04   8.9950491063e-02   1.5647859567e-11   3.9417201255e-14   3.7317852335e-20   7.3584070953e-01
   3.0000000000e-02   2.2817311640e-02   1.2887402719e+03  -1.3752535688e+05   1.2880273270e-01   2.7543700809e-01   9.6289889936e+06   7.1170942117e-06   1.5395364052e-06   1.7930786645e-04   1.3673260978e-01   2.4979845190e-04   2.7144152217e-02   8.3401206936e-06   5.5285218291e-22   5.3972258262e-23   8.9181268909e-20   1.8848890403e-18   7.7363979337e-04   1.0087782359e-01   3.9818304251e-11   5.8392453884e-14   1.0685435829e-19   7.3300307396e-01
   3.4000000000e-02   2.5724761939e-02   1.3841586352e+03  -1.5611641471e+05   1.4337215109e-01   2.5642696326e-01   1.3743791031e+07   1.0672207078e-05   2.9829810110e-06   2.8528051566e-04   1.2443565656e-01   4.2265851010e-04   3.0940551710e-02   7.9520497506e-06   4.3120281191e-21   4.1063860368e-22   3.9520905318e-19   6.2196438948e-18   1.0366967931e-03   1.1138423038e-01   8.9390130621e-11   9.4033073615e-14   2.9063345668e-19   7.3015253489e-01
