# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density        007_hr             008_H2              009_H              010_O             011_O2             012_OH            013_H2O            014_HO2            015_CH2         016_CH2(S)            017_CH3            018_CH4             019_CO            020_CO2            021_HCO           022_CH2O          023_CH2OH             024_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   1.2596606826e-03   3.9537071024e+02  -3.1067376196e+04   1.3545088295e-02   8.9179849306e-01   8.9156818183e+00   1.1375971145e-08   5.8497576667e-15   1.0320440133e-09   2.2559659548e-01   2.0321400636e-08   1.6860579764e-03   1.0499908988e-08  -2.8490042733e-27  -1.0210106245e-31  -1.7058763470e-24  -3.7454601672e-21   3.0013298725e-06   1.1856017612e-02   1.1611878258e-21   7.0534255026e-20  -3.5475047838e-34   7.5169256491e-01
   6.0000000000e-03   4.7121189096e-03   5.3442748190e+02  -8.4554761357e+04   3.3897073888e-02   6.6141255734e-01   1.1864247338e+02   3.8454529203e-08   3.3720894502e-13   1.0835845298e-08   2.1203933702e-01   1.1527106265e-07   5.1266599331e-03   4.9622886682e-08  -2.4172466478e-30  -2.1314960929e-31  -6.9110162938e-25  -1.4068393557e-21   8.6137083591e-06   2.8761761792e-02   1.8587019122e-19   2.3747467650e-19   1.3966748672e-31   7.4903734344e-01
   1.0000000000e-02   7.9344555526e-03   6.5474673969e+02  -1.3386758162e+05   5.2071796189e-02   5.4074674575e-01   5.6482015234e+02   7.4316702270e-08   4.1930566688e-12   4.3010943511e-08   1.9898432349e-01   3.5271143621e-07   8.7530664793e-03   1.2002954645e-07   9.5059279865e-29   9.0358673330e-30   1.0335555158e-23   8.4715709356e-22   1.4121526137e-05   4.3304533867e-02   3.5459483401e-18   5.6751335306e-19   5.9335622887e-30   7.4631414342e-01
   1.4000000000e-02   1.1040972377e-02   7.6436594876e+02  -1.8115737309e+05   6.9178680324e-02   4.6373261656e-01   2.0927798027e+03   1.1721313623e-07   3.1717464787e-11   1.3027774210e-07   1.8619711627e-01   9.2296482626e-07   1.2514060114e-02   2.3491805994e-07   9.2942055248e-28   9.0031102265e-29   4.0508367843e-23   3.1073798959e-21   1.9686380337e-05   5.6644816617e-02   3.5450089031e-17   1.3728304749e-18   1.1618086856e-28   7.4355516274e-01
   1.8000000000e-02   1.4078547237e-02   8.6653849578e+02  -2.2724959748e+05   8.5643025802e-02   4.0940140090e-01   6.7247213350e+03   1.6719792360e-07   1.7854671161e-10   3.5417392395e-07   1.7357237552e-01   2.2927517367e-06   1.6382416733e-02   3.9581312161e-07   5.9952521333e-27   5.7563216004e-28   1.0623475817e-22   5.5297324672e-21   2.5517477249e-05   6.9234924394e-02   2.4875108459e-16   3.4320992986e-18   1.5919388137e-27   7.4077137962e-01
   2.2000000000e-02   1.7071588639e-02   9.6311444780e+02  -2.7254629512e+05   1.0167480014e-01   3.6857845349e-01   1.8817533199e+04   2.2738993586e-07   7.9117461339e-10   9.0235097651e-07   1.6105239839e-01   5.5222499560e-06   2.0340497902e-02   5.7982443881e-07   3.3323621334e-26   3.1206373302e-27   2.4159921907e-22   8.5936147020e-21   3.2013930303e-05   8.1302060921e-02   1.3383603282e-15   8.3508165419e-18   1.6018015715e-26   7.3796782975e-01
   2.6000000000e-02   2.0034188463e-02   1.0553766600e+03  -3.1726623747e+05   1.1739009211e-01   3.3650706099e-01   4.6326042189e+04   3.0819570547e-07   2.9007096699e-09   2.1480126939e-06   1.4860342915e-01   1.2684666736e-05   2.4374407773e-02   7.6408131178e-07   1.7831661032e-25   1.6126904745e-26   5.4519266431e-22   1.3837065896e-20   4.0034219568e-05   9.2975341918e-02   5.9133055900e-15   1.9356844085e-17   1.2432798887e-25   7.3514775318e-01
   3.0000000000e-02   2.2974771459e-02   1.1441238125e+03  -3.6154659376e+05   1.3285474009e-01   3.1049753718e-01   1.0351534590e+05   4.3714608248e-07   9.2955178409e-09   4.7650651235e-06   1.3620591724e-01   2.7231155210e-05   2.8471249845e-02   9.5502130019e-07   1.0266959845e-24   8.9032147628e-26   1.3965124068e-21   2.6545813160e-20   5.1438760661e-05   1.0433161434e-01   2.3127708481e-14   4.6171562178e-17   8.6092501713e-25   7.3231390988e-01
   3.4000000000e-02   2.5898990655e-02   1.2297361680e+03  -4.0547795671e+05   1.4810700084e-01   2.8892943871e-01   2.1624498839e+05   6.7788140710e-07   2.7133961888e-08   9.9065015547e-06   1.2384703935e-01   5.4240137973e-05   3.2618244499e-02   1.1755995719e-06   7.1000979913e-24   5.8800619316e-25   4.5802281982e-21   6.8105505228e-20   7.0124514775e-05   1.1541795394e-01   8.5562177979e-14   1.2535489156e-16   6.1890918217e-24   7.2946836278e-01
   3.8000000000e-02   2.8810684680e-02   1.3123882183e+03  -4.4911936641e+05   1.6316454472e-01   2.7074482301e-01   4.2913967665e+05   1.1636104614e-06   7.3861099424e-08   1.9416030932e-05   1.1151985360e-01   1.0056795190e-04   3.6801112558e-02   1.4438877849e-06   6.3685518216e-23   5.0227297063e-24   2.0720405984e-20   2.4936995283e-19   1.0398084238e-04   1.2625828771e-01   3.1337630913e-13   4.0089045269e-16   4.9289473224e-23   7.2661264674e-01
   4.2000000000e-02   3.1712036170e-02   1.3920528391e+03  -4.9250381708e+05   1.7802426819e-01   2.5522932702e-01   8.1185506148e+05   2.1536542678e-06   1.8919365773e-07   3.5941060577e-05   9.9226379721e-02   1.7458081080e-04   4.1002006144e-02   1.7637389978e-06   7.7135625917e-22   5.7855669453e-23   1.3396490636e-19   1.3375511629e-18   1.6850642302e-04   1.3685160197e-01   1.1542652512e-12   1.4530422338e-15   4.2721078105e-22   7.2374794288e-01
   4.6000000000e-02   3.4603196111e-02   1.4684625394e+03  -5.3563655971e+05   1.9265720126e-01   2.4189458782e-01   1.4574358336e+06   4.1209528769e-06   4.5580103892e-07   6.2673856415e-05   8.6985109322e-02   2.8486743658e-04   4.5197152050e-02   2.1195549540e-06   1.2823203604e-20   9.1452133707e-22   1.2540768995e-18   1.0564191188e-17   2.9291586487e-04   1.4716301239e-01   4.2180071647e-12   5.5814053959e-15   3.9063387762e-21   7.2087517958e-01
   5.0000000000e-02   3.7481458745e-02   1.5410546026e+03  -5.7848538830e+05   2.0699972031e-01   2.3040946703e-01   2.4619758526e+06   7.8661456740e-06   1.0275664412e-06   1.0238219776e-04   7.4843406798e-02   4.3750549593e-04   4.9354577898e-02   2.4732312831e-06   2.9152241096e-19   1.9782576486e-20   1.6920609916e-17   1.2153264804e-16   5.2888256806e-04   1.5710839370e-01   1.4848280438e-11   2.1351889117e-14   4.0183089783e-20   7.1799509272e-01
   5.4000000000e-02   4.0340273764e-02   1.6089338454e+03  -6.2096063710e+05   2.2094409977e-01   2.2055484397e-01   3.8783989451e+06   1.4633551872e-05   2.1550612119e-06   1.5560850422e-04   6.2892475238e-02   6.3209267723e-04   5.3432784965e-02   2.7672751014e-06   8.8720120634e-18   5.7349604075e-19   3.2232164956e-16   1.9844639059e-15   9.6020281662e-04   1.6653647844e-01   4.8873723637e-11   7.8076902876e-14   6.2786572994e-19   7.1510826335e-01
   5.8000000000e-02   4.3168641081e-02   1.6709005259e+03  -6.6288330385e+05   2.3433396258e-01   2.1218813888e-01   5.6518114640e+06   2.6192177360e-05   4.1850613232e-06   2.1846109489e-04   5.1278861468e-02   8.5759050805e-04   5.7381528641e-02   2.9361320604e-06   3.4886813340e-16   2.1497348294e-17   8.3764880580e-15   4.4233252714e-14   1.7092222586e-03   1.7521701951e-01   1.4719957677e-10   2.7833631542e-13   1.8976168282e-17   7.1221514440e-01
   6.2000000000e-02   4.5951539791e-02   1.7255821536e+03  -7.0394471259e+05   2.4697089824e-01   2.0521131941e-01   7.5615320847e+06   4.4854586159e-05   7.5009145997e-06   2.8101595640e-04   4.0204548940e-02   1.0895975533e-03   6.1145663929e-02   2.9226971758e-06   1.6932789436e-14   9.9402383189e-16   2.8402011110e-13   1.2802156817e-12   2.9349511517e-03   1.8284542857e-01   4.0071535710e-10   1.4404274582e-12   8.7065456045e-16   7.0931608543e-01
   6.6000000000e-02   4.8671837065e-02   1.7716582859e+03  -7.4367130830e+05   2.5863430949e-01   1.9954285450e-01   9.2028460091e+06   7.3444726317e-05   1.2366979798e-05   3.2748930812e-04   2.9910835783e-02   1.2903309061e-03   6.4672409675e-02   2.6940495698e-06   9.6093008084e-13   5.3597110080e-14   1.1923584006e-11   4.5325176409e-11   4.8214357541e-03   1.8906701933e-01   9.8120720227e-10   2.8545795966e-11   4.7727237621e-14   7.0641136169e-01
   7.0000000000e-02   5.1313593351e-02   1.8080726200e+03  -7.8141342202e+05   2.6910481632e-01   1.9510063747e-01   1.0045169466e+07   1.1531421759e-04   1.8629443874e-05   3.3870240811e-04   2.0651996243e-02   1.4106692585e-03   6.7921824126e-02   2.2521386328e-06   5.9521481717e-11   3.1411138209e-12   5.8277180036e-10   1.8308068978e-09   7.5661114793e-03   1.9350156650e-01   2.1978394476e-09   1.1942443897e-09   2.7980084827e-12   7.0350120809e-01
   7.4000000000e-02   5.3865582187e-02   1.8339690964e+03  -8.1634525849e+05   2.7815715556e-01   1.9181321709e-01   9.6866697061e+06   1.7483231098e-04   2.5143354574e-05   2.9628585017e-04   1.2687823480e-02   1.3892378522e-03   7.0878225896e-02   1.6414636768e-06   3.5997292053e-09   1.7909925228e-10   3.0463926266e-08   7.7532307779e-08   1.1400024697e-02   1.9570407266e-01   6.4026044513e-09   5.3081123361e-08   1.5660677454e-10   7.0058585006e-01
   7.8000000000e-02   5.6319243391e-02   1.8477509985e+03  -8.4736955292e+05   2.8543345635e-01   1.8970870876e-01   1.0083762698e+07   2.6035108167e-04   2.8424136301e-05   1.8888604233e-04   6.3817420121e-03   1.1352543274e-03   7.3535255461e-02   9.7846821844e-07   1.6804589089e-07   7.8465030643e-09   1.4636321440e-06   3.0642912485e-06   1.6686160006e-02   1.9495168981e-01   7.2623021468e-08   1.8936014499e-06   6.6430506762e-09   6.9766550740e-01
   8.2000000000e-02   5.8662813998e-02   1.8443080822e+03  -8.7273647693e+05   2.8998215276e-01   1.8921099285e-01   2.4428482098e+07   3.8922624678e-04   2.0190342445e-05   4.6025316782e-05   2.5352985820e-03   5.4051503882e-04   7.5656920819e-02   5.4111742098e-07   3.1455707476e-06   1.3431648868e-07   4.5588651281e-05   9.1478101909e-05   2.3644222000e-02   1.9029178369e-01   6.0086438241e-07   3.3350920080e-05   1.0903987898e-07   6.9474032588e-01
   8.6000000000e-02   6.1106210139e-02   1.8238081308e+03  -8.8982381194e+05   2.9058945878e-01   1.9053193035e-01   1.7839071781e+07   4.9967958851e-04   5.7631837536e-06   2.5548342348e-06   1.4143006406e-03   1.0597839628e-04   7.6386782589e-02   3.7087783670e-07   4.7725515957e-06   1.8984086233e-07   2.9663478880e-04   1.1381642419e-03   2.8554220689e-02   1.8514877592e-01   4.6167882410e-07   1.0566674419e-04   1.5362520416e-07   6.9181040360e-01
   9.0000000000e-02   6.3705878819e-02   1.8074290940e+03  -8.9830514191e+05   2.8983065518e-01   1.9162595064e-01   4.1314509862e+06   5.5155195043e-04   1.8135530026e-06   3.2596571894e-07   1.0338737458e-03   2.9184325672e-05   7.6300449932e-02   1.7413080970e-07   1.6282580019e-06   6.2480183057e-08   3.3967403265e-04   3.2745683507e-03   3.0812722553e-02   1.8216593075e-01   1.3642852755e-07   9.1151511060e-05   5.1091690874e-08   6.8887605661e-01
