# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density        007_hr             008_H2              009_H              010_O             011_O2             012_OH            013_H2O            014_HO2            015_CH2         016_CH2(S)            017_CH3            018_CH4             019_CO            020_CO2            021_HCO           022_CH2O          023_CH2OH             024_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   1.3318021560e-03   3.6538242488e+02  -7.8426224521e+04   1.5401349261e-02   9.6560730910e-01   9.7308002025e-09   1.3182007375e-16   4.7065110955e-24   1.6649035311e-14   2.2548691989e-01   2.1682726112e-12   1.7111047651e-03   7.3237292293e-14  -2.1895018268e-37  -1.4246807472e-38  -2.2613062559e-27  -1.2585062919e-21   1.0797184957e-15   1.3690244496e-02  -1.5338667852e-34  -5.7298948140e-24  -6.9796297675e-41   7.5079879077e-01
   6.0000000000e-03   4.8872271629e-03   4.5441096826e+02  -2.0170626434e+05   3.7716243011e-02   7.7886178703e-01   2.3832723849e-07   4.5167749002e-16   3.2499135949e-22   1.7160252606e-13   2.1185375920e-01   1.5693421719e-11   5.1967622590e-03   4.2926771447e-13  -1.9334014016e-36  -1.4571696692e-37  -3.4347826762e-27  -8.4099013309e-22   3.1743707630e-15   3.2519480752e-02  -2.3587007987e-33  -1.1112364498e-23  -1.9775536376e-39   7.4801801250e-01
   1.0000000000e-02   8.1771034513e-03   5.3054335776e+02  -3.1246261027e+05   5.7390698089e-02   6.6849969644e-01   1.3826335996e-06   8.8897232558e-16   3.8476530022e-21   4.5137448994e-13   1.9873213414e-01   6.9807113013e-11   8.8525147358e-03   8.2578555555e-13  -1.0518147445e-35  -8.3622209622e-37  -4.6384201369e-27  -4.7181935087e-22   5.5360285696e-15   4.8538183353e-02  -1.2551231026e-32  -1.1877207583e-23  -2.1701164452e-38   7.4516753024e-01
   1.4000000000e-02   1.1330739266e-02   5.9963393812e+02  -4.1714986826e+05   7.5752232213e-02   5.9239573799e-01   4.4378393435e-06   1.4658699445e-15   2.1452076030e-20   7.1538164618e-13   1.8588786371e-01   2.3600871714e-10   1.2633319613e-02   1.0613146471e-12  -3.4190555312e-35  -2.7451628897e-36  -4.6497830456e-27  -2.0343844135e-22   8.9686632222e-15   6.3118912600e-02  -3.2550408662e-32  -8.0794177046e-24  -1.1556027562e-37   7.4228393727e-01
   1.8000000000e-02   1.4399802550e-02   6.6389949542e+02  -5.1824442569e+05   9.3307094874e-02   5.3569527520e-01   1.1272159643e-05   2.3750771331e-15   8.5783565970e-20   1.0230727632e-12   1.7322116100e-01   6.2934822713e-10   1.6514246943e-02   1.2925771439e-12  -5.7644411557e-35  -4.5543878232e-36  -2.9636317522e-27  -6.1977297012e-23   1.5892775293e-14   7.6792847931e-02  -4.1996285314e-32  -3.4620221943e-24  -2.8367018818e-37   7.3938074981e-01
   2.2000000000e-02   1.7411311639e-02   7.2450551948e+02  -6.1695240294e+05   1.1030868282e-01   4.9134764609e-01   2.6190016628e-05   4.3104307589e-15   2.9372734695e-19   1.4688965285e-12   1.6067709031e-01   1.4367457741e-09   2.0479607457e-02   1.6335839482e-12  -5.2366604141e-35  -3.9998125875e-36  -1.1618815946e-27  -1.2529147919e-23   3.3712946139e-14   8.9829075360e-02  -2.7833673958e-32  -9.1077584698e-25  -3.4823119880e-37   7.3646403453e-01
   2.6000000000e-02   2.0381621986e-02   7.8220050492e+02  -7.1393011433e+05   1.2690459382e-01   4.5544561173e-01   5.9859921262e-05   9.4483172338e-15   9.4521699983e-19   2.2044193311e-12   1.4822114305e-01   2.9860708877e-09   2.4518558848e-02   2.4389728573e-12  -2.6981053340e-35  -1.9660253866e-36  -2.7885461893e-28  -1.6131376824e-24   8.7396219427e-14   1.0238603497e-01  -3.0249177009e-33  -1.4449246096e-25  -2.3031133749e-37   7.3353686013e-01
   3.0000000000e-02   2.3321546019e-02   8.3749703047e+02  -8.0958906751e+05   1.4318924800e-01   4.2562336775e-01   1.4162976159e-04   2.4849487016e-14   3.0645485906e-18   3.5558575519e-12   1.3583000278e-01   5.9048271280e-09   2.8623065261e-02   6.3275201341e-12  -8.1992008617e-36  -5.6376597755e-37  -4.0878138158e-29  -1.2956641080e-25   2.6976084380e-13   1.1456618274e-01   1.0124892940e-31  -1.3576728513e-26  -8.6518940404e-38   7.3060094087e-01
   3.4000000000e-02   2.6238644364e-02   8.9077636050e+02  -9.0420104070e+05   1.5922687851e-01   4.0034625038e-01   3.6196880136e-04   7.6863311718e-14   1.1060191382e-17   6.3649362487e-12   1.2348726605e-01   1.1525501560e-08   3.2786831810e-02   2.6976223252e-11  -1.5207434650e-36  -9.7734304079e-38  -3.6554150887e-30  -6.3207366912e-27   9.6864788283e-13   1.2644004670e-01   2.7603003342e-30  -7.4004545228e-28  -1.9346869360e-38   7.2765734628e-01
