# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density        007_hr             008_H2              009_H              010_O             011_O2             012_OH            013_H2O            014_HO2            015_CH2         016_CH2(S)            017_CH3            018_CH4             019_CO            020_CO2            021_HCO           022_CH2O          023_CH2OH             024_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   1.2420360261e-03   4.1645333155e+02  -7.3879520210e+03   1.3571838744e-02   8.4704661798e-01   1.0059284887e-07   8.5276010269e-16   9.1060868852e-23   8.8956188149e-14   2.2614310214e-01   8.3421651949e-12   1.2122959975e-03   2.7333116407e-13  -3.4785839056e-28  -1.5576169180e-33  -8.1870917310e-28  -8.0918736704e-29   1.8963798689e-14   1.2359542746e-02  -3.3330623751e-28  -5.5757259751e-24  -3.8647263682e-38   7.5320298656e-01
   6.0000000000e-03   4.5001231470e-03   5.8381275666e+02  -2.5979009868e+04   3.3949075871e-02   6.0636365374e-01   3.6355030459e-06   2.9441500677e-15   1.5945631822e-20   9.3470629032e-13   2.1355076570e-01   1.3206760893e-10   3.6887836507e-03   1.4467304921e-12  -1.6590068534e-38   5.1928869717e-42  -7.2479519239e-33  -2.3044629654e-29   6.1499902971e-14   3.0260292221e-02  -5.1560149998e-35  -5.0511969995e-26  -1.2038509732e-43   7.5039931297e-01
   1.0000000000e-02   7.5250731137e-03   7.2560778725e+02  -4.4570067703e+04   5.2025424585e-02   4.8916111241e-01   3.0217321224e-05   6.8683860159e-15   3.5540778375e-19   2.3711199058e-12   2.0142743893e-01   1.0356837904e-09   6.3061360726e-03   2.5908253975e-12   1.3792101726e-38   5.3021406348e-40  -1.0735766261e-34  -1.9040111925e-30   1.6119161404e-13   4.5719288512e-02   3.1468893780e-33  -1.4980691142e-28   5.2186526852e-43   7.4753367341e-01
   1.4000000000e-02   1.0432822512e-02   8.5295193475e+02  -6.3161125538e+04   6.8965606669e-02   4.1703668148e-01   2.1914977602e-04   2.7802746558e-14   5.2814493967e-18   7.2216600056e-12   1.8954690725e-01   5.2122239014e-09   9.0259500532e-03   9.0210899235e-12   2.8336105720e-42   3.5568629239e-43  -9.3207302970e-36  -4.1472825991e-32   7.7834625918e-13   5.9939656615e-02   3.2748504753e-31  -1.5472253271e-31  -1.1142403295e-44   7.4463427456e-01
   1.8000000000e-02   1.3270759171e-02   9.7063078919e+02  -8.1752183276e+04   8.5217930719e-02   3.6716360948e-01   1.8914505894e-03   2.4753104533e-13   1.0959219685e-16   3.6210957848e-11   1.7780872682e-01   2.4693093356e-08   1.1828099632e-02   1.5801628576e-10  -5.6146091458e-38  -2.0978346311e-39   1.4558888607e-36   5.0665280689e-34   7.6581893350e-12   7.3389831078e-02   3.0995294557e-28   5.0233279751e-30  -9.0606445503e-42   7.4171012532e-01
   2.2000000000e-02   1.6062685338e-02   1.0815045037e+03  -1.0034324120e+05   1.0100072206e-01   3.3007036028e-01   1.1568848912e-02   3.9169168135e-12   4.7638079543e-15   3.7687828689e-10   1.6616217783e-01   1.4020271982e-07   1.4699250968e-02   1.2822112145e-09   1.4071941437e-37   6.3414780381e-39  -3.4933645548e-36  -2.2310194788e-33   1.3395375655e-10   8.6301470959e-02   2.6220992866e-25   3.5658305941e-27   5.9159138864e-39   7.3876599959e-01
   2.6000000000e-02   1.8821621146e-02   1.1872408935e+03  -1.1893429904e+05   1.1643265096e-01   3.0112337763e-01   4.5573459576e-02   5.2142961358e-11   1.4942377139e-13   4.0081524592e-09   1.5458140462e-01   7.1547394455e-07   1.7628952000e-02   5.1885561064e-09  -3.7711837163e-37  -2.0018676865e-38  -6.4732617546e-35   2.6363032784e-33   2.2283277742e-09   9.8803696675e-02   7.5853238010e-23   8.7154951713e-25   1.4513996931e-35   7.3580574696e-01
   3.0000000000e-02   2.1556032690e-02   1.2887725105e+03  -1.3752535688e+05   1.3158812290e-01   2.7777706319e-01   1.3790541798e-01   4.5572563221e-10   2.6023937870e-12   2.8696496835e-08   1.4304947756e-01   2.7589799607e-06   2.0608931604e-02   1.5409177997e-08  -2.5998677660e-36  -1.6896666921e-37   1.3847304876e-33   2.9876725670e-32   2.4030402718e-08   1.1097916681e-01   8.0798928326e-21   8.0475372654e-23   8.5241665202e-33   7.3283198830e-01
   3.4000000000e-02   2.4271912505e-02   1.3867394219e+03  -1.5611641471e+05   1.4651672312e-01   2.5847417196e-01   3.4897033269e-01   2.8143138626e-09   2.8246199772e-11   1.4607921844e-07   1.3155372820e-01   8.4473184834e-06   2.3631935932e-02   3.7357471921e-08  -2.6367269569e-36  -1.1458848684e-36   5.1360273527e-33   1.3733768969e-32   1.7618240895e-07   1.2288460819e-01   3.9638871286e-19   3.5361340232e-21   1.7393209397e-30   7.2984656811e-01
   3.8000000000e-02   2.6973765701e-02   1.4815908182e+03  -1.7470747255e+05   1.6125198190e-01   2.4220288049e-01   7.8271114374e-01   1.3311689175e-08   2.1344150872e-10   5.7107855718e-07   1.2008359797e-01   2.1657730187e-05   2.6690777886e-02   7.7797813167e-08   7.2339153298e-33   1.5299368656e-34   3.3208542770e-31   5.7461719119e-31   9.5806497118e-07   1.3456023263e-01   1.0792256343e-17   8.8602062707e-20   1.6028081434e-28   7.2685085458e-01
   4.2000000000e-02   2.9665135088e-02   1.5736295502e+03  -1.9329853038e+05   1.7581525993e-01   2.2827612560e-01   1.6228244513e+00   5.1202018448e-08   1.2171557200e-09   1.8148344902e-06   1.0862985348e-01   4.8319870871e-05   2.9777576679e-02   1.4371441737e-07   1.3836924772e-30   3.6846613329e-32   3.4451267337e-29   3.8118385108e-29   4.1329429520e-06   1.4603349910e-01   1.8636298464e-16   1.4391842185e-18   8.0009256655e-27   7.2384590318e-01
