# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density        007_hr             008_H2              009_H              010_O             011_O2             012_OH            013_H2O            014_HO2            015_CH2         016_CH2(S)            017_CH3            018_CH4             019_CO            020_CO2            021_HCO           022_CH2O          023_CH2OH             024_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   4.7594834589e-04   3.3842746479e+02  -7.3879517633e+03   4.8606247400e-03   1.0399845050e+00   5.9079638519e+02   1.6763663416e-09   1.6636447801e-14   1.3693042169e-15   2.3065848265e-01   3.8052756901e-10   2.0811454859e-04   2.7291685849e-07   5.9255486825e-14   3.6821649632e-15   3.2228233657e-06   9.8477931253e-04   3.4331045280e-04   4.3091980622e-03   9.7014500958e-14   1.1927432805e-05   1.2131985232e-17   7.4408168335e-01
   6.0000000000e-03   3.5477247825e-03   3.7547924466e+02  -2.5979009868e+04   1.0090135678e-02   9.3673226081e-01   2.5014037377e+03   4.8545120943e-09   1.6527341194e-13   6.2386053243e-15   2.2726774183e-01   1.1351720704e-09   5.0642974812e-04   4.7886102035e-07   3.9317925755e-13   2.7344736187e-14   8.3428149401e-06   3.1268583502e-03   8.2923471250e-04   8.7544663625e-03   6.7899413989e-13   2.4865415375e-05   1.5437517010e-16   7.4224611343e-01
   1.0000000000e-02   6.5140657342e-03   4.0141041476e+02  -4.4570067482e+04   1.4049403180e-02   8.7528303550e-01   4.9183184529e+03   8.8397377544e-09   5.1825116865e-13   1.4961985612e-14   2.2429451149e-01   1.9734405986e-09   7.7567572122e-04   6.0919256716e-07   9.7724113724e-13   7.2373198286e-14   1.3026070017e-05   5.3497381635e-03   1.2470832176e-03   1.2026635401e-02   1.7760932681e-12   3.4573615655e-05   5.6738361898e-16   7.4000255903e-01
   1.4000000000e-02   9.4351834405e-03   4.2167123564e+02  -6.3161125426e+04   1.7351707042e-02   8.3216337365e-01   7.6852889721e+03   1.3423955825e-08   1.0946907243e-12   2.8259981748e-14   2.2156200733e-01   2.8300170747e-09   1.0275859670e-03   7.0334186425e-07   1.7657848147e-12   1.3626361781e-13   1.7427843854e-05   7.6252881651e-03   1.6243598721e-03   1.4699747779e-02   3.3469776379e-12   4.2596340167e-05   1.3512256812e-15   7.3757135607e-01
   1.8000000000e-02   1.2333023946e-02   4.3833906963e+02  -8.1752183307e+04   2.0232280637e-02   7.9939131322e-01   1.0722277403e+04   1.8480010701e-08   1.8829152169e-12   4.6669886974e-14   2.1899671626e-01   3.6628778836e-09   1.2669438554e-03   7.7558428572e-07   2.7123025132e-12   2.1547033497e-13   2.1617274872e-05   9.9406470421e-03   1.9727684158e-03   1.6992549886e-02   5.3283527758e-12   4.9529997295e-05   2.5626246492e-15   7.3502785847e-01
   2.2000000000e-02   1.5218397138e-02   4.5246527684e+02  -1.0034324117e+05   2.2810651257e-02   7.7326651560e-01   1.3964735988e+04   2.3922218758e-08   2.8533873176e-12   7.0512521695e-14   2.1655874745e-01   4.4463998744e-09   1.4963500316e-03   8.3289171840e-07   3.7735458610e-12   3.0624274822e-13   2.5634154968e-05   1.2288405517e-02   2.2987736140e-03   1.9015503689e-02   7.6501672326e-12   5.5678741589e-05   4.2203477443e-15   7.3240815379e-01
   2.6000000000e-02   1.8097559735e-02   4.6467048947e+02  -1.1893429901e+05   2.5157572920e-02   7.5176418801e-01   1.7356211277e+04   2.9688548975e-08   3.9682024022e-12   9.9859515008e-14   2.1422317436e-01   5.1663028255e-09   1.7174430485e-03   8.7925736753e-07   4.9118377034e-12   4.0506906050e-13   2.9504593218e-05   1.4663739279e-02   2.6064734520e-03   2.0833626731e-02   1.0244553862e-11   6.1223145601e-05   6.3139027105e-15   7.2973278394e-01
   3.0000000000e-02   2.0974517268e-02   4.7535838229e+02  -1.3752535686e+05   2.7319159409e-02   7.3365432628e-01   2.0847367658e+04   3.5731770597e-08   5.1875948344e-12   1.3451996799e-13   2.1197299233e-01   5.8159767670e-09   1.9313528313e-03   9.1721143929e-07   6.0957565696e-12   5.0887665359e-13   3.3247148932e-05   1.7063256307e-02   2.8986973239e-03   2.2489073522e-02   1.3050216475e-11   6.6281220838e-05   8.8123768204e-15   7.2701474647e-01
   3.4000000000e-02   2.3852016826e-02   4.8480964379e+02  -1.5611641470e+05   2.9327525848e-02   7.1813367479e-01   2.4395637860e+04   4.2014565013e-08   6.4738772413e-12   1.7405143942e-13   2.0979588436e-01   6.3938463312e-09   2.1389075583e-03   9.4847396139e-07   7.2999056322e-12   6.1509307601e-13   3.6875747648e-05   1.9484441555e-02   3.1775159381e-03   2.4011060337e-02   1.6014056114e-11   7.0935380506e-05   1.1672031615e-14   7.2426287556e-01
   3.8000000000e-02   2.6732038557e-02   4.9322920072e+02  -1.7470747254e+05   3.1206150015e-02   7.0464897205e-01   2.7964721222e+04   4.8506595459e-08   7.7934933693e-12   2.1779366535e-13   2.0768253166e-01   6.9015149198e-09   2.3407414764e-03   9.7427649503e-07   8.5042521972e-12   7.2163278124e-13   4.0401253487e-05   2.1925355764e-02   3.4445102287e-03   2.5420849804e-02   1.9091266496e-11   7.5246044148e-05   1.4842247202e-14   7.2148349433e-01
   4.2000000000e-02   2.9616064282e-02   5.0077232346e+02  -1.9329853038e+05   3.2972841898e-02   6.9280323207e-01   3.1523939810e+04   5.5182646564e-08   9.1178391769e-12   2.6491840484e-13   2.0562564704e-01   7.3424843618e-09   2.5373566544e-03   9.9553664844e-07   9.6933213062e-12   8.2684849170e-13   4.3832395541e-05   2.4384458019e-02   3.7009265205e-03   2.6734503541e-02   2.2244661825e-11   7.9259182000e-05   1.8269862463e-14   7.1868130916e-01
   4.6000000000e-02   3.2505235571e-02   5.0756014590e+02  -2.1188958821e+05   3.4641512167e-02   6.8230219194e-01   3.5047552277e+04   6.2021377145e-08   1.0423347083e-11   3.1448695992e-13   2.0361938198e-01   7.7212904939e-09   2.7291609338e-03   1.0129599170e-06   1.0855394617e-11   9.2946962885e-13   4.7176351452e-05   2.6860494181e-02   3.9477724343e-03   2.7964516778e-02   2.5443693804e-11   8.3010812656e-05   2.1902156814e-14   7.1585993218e-01
   5.0000000000e-02   3.5400452313e-02   5.1368941982e+02  -2.3048064605e+05   3.6223285109e-02   6.7292188518e-01   3.8514092385e+04   6.9004452503e-08   1.1691169672e-11   3.6550780626e-13   2.0165894342e-01   8.0429326689e-09   2.9164925227e-03   1.0271025861e-06   1.1981785787e-11   1.0285397849e-12   5.0439133650e-05   2.9352423343e-02   4.1858792904e-03   2.9120844291e-02   2.8663402402e-11   8.6529835973e-05   2.5688808124e-14   7.1302220498e-01
   5.4000000000e-02   3.8302437099e-02   5.1923893416e+02  -2.4907170389e+05   3.7727231866e-02   6.6448805864e-01   4.1905768532e+04   7.6115919339e-08   1.2906674526e-11   4.1698882116e-13   1.9974033491e-01   8.3125082040e-09   3.0996366698e-03   1.0384124613e-06   1.3066217953e-11   1.1233590294e-12   5.3625856130e-05   3.1859367277e-02   4.4159445258e-03   3.0211574555e-02   3.1883436774e-11   8.9839900951e-05   2.9583011261e-14   7.1017040891e-01
   5.8000000000e-02   4.1211778967e-02   5.2427389360e+02  -2.6766276172e+05   3.9160870845e-02   6.5686260097e-01   4.5207937193e+04   8.3341748585e-08   1.4058875962e-11   4.6798081408e-13   1.9786017597e-01   8.5349868657e-09   3.2788373700e-03   1.0472562609e-06   1.4104309051e-11   1.2134339428e-12   5.6740924539e-05   3.4380574754e-02   4.6385614689e-03   3.1243388664e-02   3.5087190931e-11   9.2960681232e-05   3.3542168068e-14   7.0730640690e-01
   6.2000000000e-02   4.4128964036e-02   5.2884900664e+02  -2.8625381956e+05   4.0530520954e-02   6.4993429107e-01   4.8408648197e+04   9.0669487519e-08   1.5139873145e-11   5.1761089940e-13   1.9601557174e-01   8.7150797311e-09   3.4543058428e-03   1.0539386763e-06   1.5093152937e-11   1.2984350770e-12   5.9788175955e-05   3.6915395419e-02   4.8542409369e-03   3.2221883505e-02   3.8261079219e-11   9.5908776091e-05   3.7528023469e-14   7.0443174234e-01
   6.6000000000e-02   4.7054397560e-02   5.3301071684e+02  -3.0484487739e+05   4.1841556857e-02   6.4361232208e-01   5.1498258493e+04   9.8087991988e-08   1.6144330233e-11   5.6510596742e-13   1.9420401703e-01   8.8571703456e-09   3.6262267994e-03   1.0587159884e-06   1.6030984984e-11   1.3781623635e-12   6.2770983476e-05   3.9463260384e-02   5.0634272147e-03   3.3151804755e-02   4.1393944416e-11   9.8698361784e-05   4.1506773812e-14   7.0154770989e-01
   7.0000000000e-02   4.9988420169e-02   5.3679885555e+02  -3.2343593523e+05   4.3098598136e-02   6.3782165491e-01   5.4469103320e+04   1.0558721586e-07   1.7069014212e-11   6.0980680710e-13   1.9242332380e-01   8.9652861166e-09   3.7947632046e-03   1.0618060511e-06   1.6916918577e-11   1.4525166971e-12   6.5692336614e-05   4.2023667398e-02   5.2665101859e-03   3.4037219159e-02   4.4476579694e-11   1.0134167451e-04   4.5448814185e-14   6.9865540734e-01
   7.4000000000e-02   5.2931320131e-02   5.4024788661e+02  -3.4202699306e+05   4.4305651664e-02   6.3249961951e-01   5.7315216686e+04   1.1315804658e-07   1.7912394724e-11   6.5117449481e-13   1.9067156564e-01   9.0430948558e-09   3.9600599489e-03   1.0633957525e-06   1.7750736781e-11   1.5214772305e-12   6.8554903743e-05   4.4596169491e-02   5.4638346533e-03   3.4881643904e-02   4.7501346463e-11   1.0384937398e-04   4.9328544025e-14   6.9575577437e-01
   7.8000000000e-02   5.5883342726e-02   5.4338786451e+02  -3.6061805090e+05   4.5466221248e-02   6.2759337826e-01   6.0032095947e+04   1.2079217137e-07   1.8674303372e-11   6.8879047130e-13   1.8894703437e-01   9.0939168449e-09   4.1222467415e-03   1.0636467109e-06   1.8532731808e-11   1.5850833729e-12   7.1361081823e-05   4.7180365978e-02   5.6557076774e-03   3.5688146037e-02   5.0461883575e-11   1.0623082367e-04   5.3124013907e-14   6.9284962205e-01
   8.2000000000e-02   5.8844697435e-02   5.4624518116e+02  -3.7920910873e+05   4.6583393113e-02   6.2305800470e-01   6.2616498761e+04   1.2848196395e-07   1.9355646213e-11   7.2235178090e-13   1.8724820558e-01   9.1207451739e-09   4.2814403841e-03   1.0626996797e-06   1.9263578553e-11   1.6434203294e-12   7.4113035953e-05   4.9775895195e-02   5.8424043924e-03   3.6459419854e-02   5.3352870089e-11   1.0849430924e-04   5.6816658319e-14   6.8993765571e-01
   8.6000000000e-02   6.1815563824e-02   5.4884315415e+02  -3.9780016657e+05   4.7659903032e-02   6.1885500877e-01   6.5066269582e+04   1.3622040095e-07   1.9958165470e-11   7.5166291643e-13   1.8557371127e-01   9.1262704688e-09   4.4377466424e-03   1.0606780130e-06   1.9944236786e-11   1.6966077375e-12   7.6812731733e-05   5.2382428931e-02   6.0241726728e-03   3.7197847496e-02   5.6169838283e-11   1.1064721028e-04   6.0390945223e-14   6.8702049272e-01
   9.0000000000e-02   6.4796096079e-02   5.5120250027e+02  -4.1639122440e+05   4.8698190504e-02   6.1495118571e-01   6.7380192383e+04   1.4400098513e-07   2.0484241925e-11   7.7662545203e-13   1.8392231740e-01   9.1129071622e-09   4.5912617563e-03   1.0576904269e-06   2.0575876459e-11   1.7447907777e-12   7.9461961862e-05   5.4999667641e-02   6.2012369622e-03   3.7905547784e-02   5.8909044898e-11   1.1269613885e-04   6.3834085962e-14   6.8409867670e-01
   9.4000000000e-02   6.7786426697e-02   5.5334171726e+02  -4.3498228224e+05   4.9700442357e-02   6.1131771071e-01   6.9557860985e+04   1.5181768207e-07   2.0936731995e-11   7.9722637540e-13   1.8229290557e-01   9.0828194930e-09   4.7420736745e-03   1.0538332196e-06   2.1159818612e-11   1.7881330844e-12   8.2062367982e-05   5.7627336580e-02   6.3738013993e-03   3.8584415466e-02   6.1567350933e-11   1.1464705119e-04   6.7135729184e-14   6.8117268893e-01
