# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   2.0000000000e-03   3.4326527816e+02  -4.6734072323e+04   8.5743347773e-03   1.0222906120e+00   9.8939911165e-06   1.0462520406e-13   4.8788834102e-12   2.2574722972e-01   2.4120095215e-09   3.9415620930e-03   1.8237487499e-06   2.7775266900e-13   1.5954258494e-14   2.2729968870e-06   2.0179234079e-04   5.1419434507e-04   4.1086843481e-03   3.9720371823e-13   6.5439963129e-06   6.0989273356e-17   7.6546600000e-01
   6.0000000000e-03   6.0000000000e-03   4.2762785574e+02  -1.4399635438e+05   2.5671699391e-02   8.1745690196e-01   2.9867300644e-05   1.7880394287e-12   1.6262846175e-11   2.1128317066e-01   7.6360125162e-09   1.1800953628e-02   5.4282864482e-06   2.0710127435e-12   1.3779333855e-13   6.8427701040e-06   6.1518356243e-04   1.5438689499e-03   1.2297009513e-02   4.0824072435e-12   1.9667671040e-05   1.6128758817e-15   7.6239800000e-01
   1.0000000000e-02   9.9999999999e-03   5.0818497186e+02  -2.4116513731e+05   4.2615595759e-02   6.8523499974e-01   5.0387842575e-05   1.0723571690e-11   4.3223871945e-11   1.9694313182e-01   1.5577453505e-08   1.9589343029e-02   8.9404351480e-06   6.2556807014e-12   4.4016796860e-13   1.1498961256e-05   1.0579274078e-03   2.5772131001e-03   2.0398651787e-02   1.5606359141e-11   3.2889959613e-05   1.1473964733e-14   7.5933000000e-01
   1.4000000000e-02   1.4000000000e-02   5.8406427035e+02  -3.3808213447e+05   5.9305238086e-02   5.9392778679e-01   7.1791670952e-05   4.6250094530e-11   1.2881931474e-10   1.8280843953e-01   2.8127176544e-08   2.7260067612e-02   1.2337459039e-05   1.5075207534e-11   1.0682741902e-12   1.6312433869e-05   1.5494010601e-03   3.6160636915e-03   2.8357315111e-02   4.5370985238e-11   4.6243067072e-05   5.2061465181e-14   7.5626200000e-01
   1.8000000000e-02   1.8000000000e-02   6.5472148126e+02  -4.3443241030e+05   7.5642226623e-02   5.2780307244e-01   9.4373134104e-05   1.5691813774e-10   4.1073269147e-10   1.6895837362e-01   4.4899166225e-08   3.4767522287e-02   1.5605514236e-05   3.0927599391e-11   2.1401684965e-12   2.1358239679e-05   2.1086878584e-03   4.6613939750e-03   3.6118937227e-02   1.0912303624e-10   5.9702536984e-05   1.7690820517e-13   7.5319400000e-01
   2.2000000000e-02   2.2000000000e-02   7.1992848901e+02  -5.2973248976e+05   9.1531677046e-02   4.7816078096e-01   1.1837112352e-04   4.3734105676e-10   1.2662472677e-09   1.5546923920e-01   6.4074557933e-08   4.2067672592e-02   1.8724802733e-05   5.5819410661e-11   3.6953709782e-12   2.6715176419e-05   2.7544109376e-03   5.7130641949e-03   4.3632569136e-02   2.2716325919e-10   7.3166773880e-05   4.8996749333e-13   7.5012600000e-01
   2.6000000000e-02   2.6000000000e-02   7.7971777218e+02  -6.2334934091e+05   1.0688348875e-01   4.3980590400e-01   1.4395813097e-04   1.0457570442e-09   3.4892118836e-09   1.4241333001e-01   8.4677369979e-08   4.9118641134e-02   2.1657752079e-05   9.2662772610e-11   5.7866331156e-12   3.2466775246e-05   3.5045177808e-03   6.7696584707e-03   5.0851231011e-02   4.3042055835e-10   8.6449192907e-05   1.1848323842e-12   7.4705800000e-01
   3.0000000000e-02   3.0000000000e-02   8.3433884358e+02  -7.1450652102e+05   1.2161373154e-01   4.0944150513e-01   1.7123267402e-04   2.2191660690e-09   8.3152181945e-09   1.2985780337e-01   1.0766698835e-07   5.5881359631e-02   2.4340235351e-05   1.4767529913e-10   8.6143125559e-12   3.8705818264e-05   4.3760155037e-03   7.8284175936e-03   5.7732721638e-02   7.7318230571e-10   9.9284401344e-05   2.6215953320e-12   7.4399000000e-01
   3.4000000000e-02   3.4000000000e-02   8.8421813402e+02  -8.0229574136e+05   1.3564609527e-01   3.8486836522e-01   2.0021552224e-04   4.2702319684e-09   1.7092879010e-08   1.1786351408e-01   1.3526899936e-07   6.2320258810e-02   2.6676185236e-05   2.3258102228e-10   1.2589454804e-11   4.5541394477e-05   5.3846691940e-03   8.8852701055e-03   6.4240350833e-02   1.3441740796e-09   1.1134565339e-04   5.4298425883e-12   7.4092200000e-01
