# time = 0.825
# Grid points = 453
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.4733951484e-01  -7.5000000000e-01   3.3198904321e-01   4.3494099149e-05   5.3264975208e+00   3.8681200073e-01  -3.8681200073e-01   1.0453741585e+03   1.6731846232e-02   1.7022524448e-06   1.4230356381e+01   2.9003704907e-10   6.9498067991e-13   6.7790301241e-09   1.6226827484e-01   8.2459563733e-07   3.7347135289e-02   4.0991265091e-09  -1.0424592025e-20   2.3767230181e-24   1.2512993405e-18   7.4068759044e-17   4.9255709307e-07   4.6299192930e-02   2.0097197836e-20   9.1409635356e-18  -1.7232762886e-22   7.5408406862e-01  -7.8469842029e+04
  -7.4155624502e-01  -7.4467902969e-01   3.2703094361e-01   4.3911285793e-05   5.4329852447e+00   9.7586425360e-02  -9.7586425360e-02   1.0608996111e+03   1.7124049888e-02   6.6610038020e-06   2.1138585572e+01   3.5915915188e-10   1.0809139297e-12   1.0109679505e-08   1.6061225025e-01   1.0875670422e-06   3.8223640965e-02   4.7264379201e-09  -8.1443815605e-21   1.8622005821e-24   7.4021012874e-19   3.6194528382e-17   4.2626531278e-07   4.7380439399e-02   2.6420414667e-20   4.3229193529e-18  -1.3809644879e-22   7.5378214036e-01  -8.0333008085e+04
  -7.3672195525e-01  -7.3843346036e-01   3.1623716367e-01   4.4855360308e-05   5.6253283302e+00  -3.6088664510e-02   3.6088664510e-02   1.0963417166e+03   1.8026000343e-02   4.6392822899e-05   4.3950193295e+01   6.1732515312e-10   2.5267522002e-12   1.9728789402e-08   1.5680387742e-01   1.7860128199e-06   4.0239281055e-02   6.4320075637e-09   1.6541869403e-23   1.5064138282e-24   3.9317608564e-19   1.4078841553e-17   3.2827331090e-07   4.9866905978e-02   4.5911001505e-20   1.5627755037e-18   3.9584987789e-25   7.5308779448e-01  -8.4617801503e+04
  -7.3397453967e-01  -7.3501045013e-01   3.0332676999e-01   4.6054368294e-05   5.8701745338e+00  -2.2662145299e-01   2.2662145299e-01   1.1419629067e+03   1.9200428058e-02   1.0184740176e-04   7.6591561082e+01   1.0312130016e-09   5.1758917104e-12   3.3228380273e-08   1.5184497594e-01   2.8011426706e-06   4.2864201356e-02   8.2267526767e-09   1.2047624492e-23   1.0846499735e-24   1.8087817512e-19   4.9836046767e-18   2.3955190254e-07   5.3103972971e-02   6.6665016614e-20   5.2258554995e-19   3.2062005939e-25   7.5218376654e-01  -9.0193718611e+04
  -7.3203036731e-01  -7.3293862921e-01   2.9295399008e-01   4.7078322310e-05   6.0917924688e+00  -3.9438832982e-01   3.9438832982e-01   1.1814532292e+03   2.0229327967e-02   1.2981981612e-04   1.0233324301e+02   1.4650986628e-09   8.0010854234e-12   4.5258924527e-08   1.4750050854e-01   3.8043894122e-06   4.5163873818e-02   9.7368494667e-09  -5.1923907674e-21   1.3183992898e-24   7.8922962089e-20   1.7628361304e-18   1.8090094052e-07   5.5939801257e-02   7.6685923076e-20   1.8827695923e-19  -6.8556135768e-23   7.5139177462e-01  -9.5078091942e+04
  -7.3014328730e-01  -7.3112210541e-01   2.8345163833e-01   4.8068477143e-05   6.3193949762e+00  -5.3958903089e-01   5.3958903089e-01   1.2200963792e+03   2.1247256361e-02   1.2474188519e-04   1.2325697110e+02   1.9781717291e-09   1.1251114103e-11   5.7498776659e-08   1.4320231399e-01   4.9289702778e-06   4.7438947198e-02   1.1856891477e-08  -2.3241145860e-21   5.9563654960e-25   2.6521699190e-20   5.0943439815e-19   1.3778713510e-07   5.8745373859e-02   8.1944254881e-20   5.4325307226e-20  -3.1816277535e-23   7.5060822685e-01  -9.9910429378e+04
  -7.2789176483e-01  -7.2916446919e-01   2.7420060206e-01   4.9084701963e-05   6.5764510635e+00  -6.5793271744e-01   6.5793271744e-01   1.2602163613e+03   2.2315762322e-02   8.2542415822e-05   1.3823831227e+02   2.6377120645e-09   1.5324769985e-11   7.1194606755e-08   1.3869048076e-01   6.2849190673e-06   4.9826901169e-02   1.5700729212e-08  -6.4077234854e-22   1.6566244891e-25   5.5234512783e-21   9.2545931004e-20   1.0707669780e-07   6.1690401810e-02   8.9202576773e-20   1.0364598731e-20  -9.0366979690e-24   7.4978573472e-01  -1.0498339348e+05
  -7.2500156705e-01  -7.2661906047e-01   2.6689994778e-01   4.9926128655e-05   6.8200189707e+00  -7.2672224563e-01   7.2672224563e-01   1.2937826464e+03   2.3218914855e-02   1.9445804692e-05   1.4167369234e+02   3.3427858199e-09   1.9689396500e-11   8.4278181602e-08   1.3487677956e-01   7.6173815810e-06   5.1845116693e-02   2.1185461165e-08  -9.8749335650e-23   2.5681950571e-26   6.7453887137e-22   1.0148550672e-20   9.2403116905e-08   6.4179778539e-02   1.0503265897e-19   2.0618276263e-21  -1.4182154076e-24   7.4909050660e-01  -1.0927207728e+05
  -7.2176857241e-01  -7.2338407362e-01   2.6547994574e-01   5.0094067259e-05   6.8894860099e+00  -7.2653800028e-01   7.2653800028e-01   1.3005193568e+03   2.3401191033e-02   4.6422698331e-06   1.4112673296e+02   3.5138814021e-09   2.0774060263e-11   8.7319445516e-08   1.3410707553e-01   7.9184561904e-06   5.2252406451e-02   2.2628711167e-08  -4.9878019050e-23   1.2973485370e-26   3.2445918592e-22   4.7700593165e-21   9.0930783983e-08   6.4682203508e-02   1.1080648492e-19   1.5971579655e-21  -7.1854818548e-25   7.4895019164e-01  -1.1013773526e+05
  -7.1867301680e-01  -7.2015307121e-01   2.7128901773e-01   4.9415938638e-05   6.7189126500e+00  -6.4487305923e-01   6.4487305923e-01   1.2733927947e+03   2.2669287868e-02   5.8112244807e-05   1.4058862960e+02   2.8898077943e-09   1.6867949279e-11   7.5988988602e-08   1.3719767737e-01   6.7783284529e-06   5.0616951404e-02   1.7543883001e-08  -2.7829310114e-22   7.1890755421e-26   2.1795164206e-21   3.4938907029e-20   1.0007360216e-07   6.2664791773e-02   9.3573089416e-20   4.4479444214e-21  -3.9498830617e-24   7.4951360461e-01  -1.0666185891e+05
