# time = 1
# Grid points = 476
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.4673473147e-01  -7.5000000000e-01   2.7306807340e-01   4.9212874852e-05   5.8277960802e+00  -6.0130857153e-01   6.0130857153e-01   1.2653099352e+03   2.2451809512e-02   2.2847019460e-06   5.0066555272e+01   1.5442131114e-09   6.9042454136e-12   4.1476910817e-08   1.3811674261e-01   4.8725536970e-06   5.0132319583e-02   1.5650404130e-08   3.0095580757e-28  -9.0271523907e-27   5.8849464147e-25   1.1194069954e-23   3.6000763797e-08   6.2064858093e-02   1.7453364586e-20   1.9426797651e-22   4.6657069981e-30   7.4968111248e-01  -1.0562506315e+05
  -7.4017285309e-01  -7.4346946294e-01   2.6949588618e-01   4.9622769206e-05   5.9406661652e+00  -6.5507893213e-01   6.5507893213e-01   1.2816456351e+03   2.2890921947e-02   4.5589359837e-06   5.7370662836e+01   1.9249882194e-09   9.0566304514e-12   4.9667324840e-08   1.3626247930e-01   5.6220113516e-06   5.1113627801e-02   1.8765533837e-08  -2.7722645512e-27   2.9306008822e-30   2.0300105715e-25   3.6082944931e-24   4.0231816421e-08   6.3275046819e-02   2.5933989215e-20   2.9763415572e-22  -6.5053325088e-30   7.4934311347e-01  -1.0770935472e+05
  -7.3448993473e-01  -7.3687624323e-01   2.6430540773e-01   5.0234045731e-05   6.0778294431e+00  -7.1028240533e-01   7.1028240533e-01   1.3061441887e+03   2.3553235359e-02   2.0855086935e-05   8.5824679132e+01   2.9397020947e-09   1.5601873832e-11   7.1590663192e-08   1.3346543955e-01   7.2923678581e-06   5.2593635804e-02   2.4196115868e-08  -2.3995283412e-28   4.5924601268e-31   2.6385372472e-26   4.3181614928e-25   5.8295504854e-08   6.5100129214e-02   6.1618324859e-20   7.1009697755e-22   3.2827917916e-31   7.4883334603e-01  -1.1085155746e+05
  -7.3073195422e-01  -7.3210362623e-01   2.5732429327e-01   5.1087055206e-05   6.2587880870e+00  -7.7217772142e-01   7.7217772142e-01   1.3406027928e+03   2.4492496533e-02   6.3051066747e-05   1.6110512441e+02   5.4128984236e-09   3.4507204979e-11   1.2224590497e-07   1.2949837991e-01   1.0577878999e-05   5.4692311027e-02   3.3812172536e-08  -1.1208773050e-28   1.2696519570e-31   4.5009248276e-27   6.1275925185e-26   1.0506834282e-07   6.7687990059e-02   2.2235359002e-19   2.5222809009e-21   9.9169245543e-31   7.4811047456e-01  -1.1530531432e+05
  -7.2828203263e-01  -7.2936028220e-01   2.5063980465e-01   5.1939130131e-05   6.4612137061e+00  -8.3993536530e-01   8.3993536530e-01   1.3753368057e+03   2.5448358228e-02   1.0112929615e-04   2.4479840860e+02   9.1025099865e-09   6.7349995502e-11   1.9144956021e-07   1.2546087298e-01   1.4632245350e-05   5.6827783719e-02   4.6648095140e-08  -5.2639567686e-29   3.6581807592e-32   7.5309877457e-28   8.2899145279e-27   1.7261718842e-07   7.0321446251e-02   6.6885900123e-19   7.6692000738e-21   4.9538362664e-30   7.4737484492e-01  -1.1983703636e+05
  -7.2612201272e-01  -7.2720378305e-01   2.4442032958e-01   5.2765106177e-05   6.6604715639e+00  -9.0437148122e-01   9.0437148122e-01   1.4093022138e+03   2.6391987132e-02   1.0717478008e-04   3.0960590020e+02   1.4375478632e-08   1.2053689200e-10   2.8238115601e-07   1.2147462886e-01   1.9511271002e-05   5.8935501703e-02   6.2879483407e-08   8.8304478693e-32  -9.1148661345e-31   7.7543685656e-29   7.9150284219e-28   2.6832585795e-07   7.2921090021e-02   1.7702322952e-18   2.0749797216e-20   2.2043817767e-29   7.4664864006e-01  -1.2431032548e+05
  -7.2379563554e-01  -7.2504024239e-01   2.3864383980e-01   5.3562804708e-05   6.8488517066e+00  -9.6163782372e-01   9.6163782372e-01   1.4423775816e+03   2.7319495290e-02   8.5710258560e-05   3.3805624570e+02   2.2082493556e-08   2.0796261081e-10   4.0602148401e-07   1.1755592244e-01   2.5524771656e-05   6.1006590142e-02   8.2703016011e-08   5.1526471844e-33  -6.8072896610e-33   4.8529309815e-30   4.6926276902e-29   4.0995870280e-07   7.5476191079e-02   4.4175258301e-18   5.2849033151e-20   8.9028193664e-29   7.4593485060e-01  -1.2870681352e+05
  -7.2092707751e-01  -7.2255102869e-01   2.3310022781e-01   5.4357779295e-05   7.0310352996e+00  -1.0118810280e+00   1.0118810280e+00   1.4756036743e+03   2.8259938953e-02   5.4686615128e-05   3.1195238254e+02   3.3939660106e-08   3.5969253047e-10   5.8448468763e-07   1.1358179435e-01   3.3304753221e-05   6.3105677935e-02   1.0699912391e-07  -2.5896435989e-31   4.8349628744e-34   2.4447721205e-30   3.8342166609e-30   6.3347626659e-07   7.8066748978e-02   1.1012037632e-17   1.3351670920e-19   3.4915493633e-28   7.4521111472e-01  -1.3316426301e+05
  -7.1709367410e-01  -7.1930312634e-01   2.2809189279e-01   5.5102279354e-05   7.1914056810e+00  -1.0492623435e+00   1.0492623435e+00   1.5069561731e+03   2.9155570155e-02   3.0835933804e-05   2.5499195304e+02   5.1505092386e-08   6.1449832118e-10   8.3449296959e-07   1.0979603138e-01   4.2941677812e-05   6.5103544220e-02   1.3409089325e-07  -1.5098553726e-30   2.3297357603e-33   6.5206505996e-30   1.4218968617e-29   9.8050092422e-07   8.0533608945e-02   2.6718697139e-17   3.2413910875e-19   1.2594208252e-27   7.4452187257e-01  -1.3740900098e+05
  -7.1295014629e-01  -7.1488422187e-01   2.2391914122e-01   5.5742670554e-05   7.3112667813e+00  -1.0676601769e+00   1.0676601769e+00   1.5341048411e+03   2.9937857510e-02   4.2730896080e-05   3.3331242557e+02   7.5942839895e-08   1.0177806315e-09   1.1675301196e-06   1.0648814285e-01   5.4131117498e-05   6.6847072517e-02   1.6065802178e-07  -6.2984069962e-30   1.1067596644e-32   2.4588784558e-29   5.2394559251e-29   1.5040794262e-06   8.2687879691e-02   6.1506388923e-17   7.3364993716e-19   3.9757330062e-27   7.4391986460e-01  -1.4111617237e+05
  -7.0973222156e-01  -7.1101607070e-01   2.1916701689e-01   5.6495404684e-05   7.4411176164e+00  -1.0761386588e+00   1.0761386588e+00   1.5662269598e+03   3.0871921383e-02   1.0594074293e-04   9.1319256733e+02   1.2363069900e-07   1.9291223949e-09   1.7855094348e-06   1.0253655839e-01   7.1992964939e-05   6.8926428156e-02   1.9624258913e-07  -5.1148914092e-29   8.9789074412e-32   1.7714001633e-28   4.5949483139e-28   2.6170504037e-06   8.5259217665e-02   1.7712945110e-16   2.0318681468e-18   1.6241493142e-26   7.4320107847e-01  -1.4554170992e+05
  -7.0751091211e-01  -7.0844837243e-01   2.1441466094e-01   5.7274464503e-05   7.5975389587e+00  -1.0886241754e+00   1.0886241754e+00   1.5997107736e+03   3.1855287409e-02   2.0623752745e-04   1.8763943422e+03   1.9945227428e-07   3.6008108013e-09   2.6938339031e-06   9.8374695923e-02   9.5119752479e-05   7.1113060717e-02   2.3974158656e-07  -4.2983386718e-28   7.4977195041e-31   1.3052361272e-27   3.7532319249e-27   4.4581577224e-06   8.7965166092e-02   4.9624962629e-16   5.5114661417e-18   6.5191959153e-26   7.4244436273e-01  -1.5020043439e+05
