# time = 0.025                     12 17 23 24
# Grid points = 164
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2530310784e-01  -7.5000000000e-01   1.1719839921e+00   1.8630700790e-05  -5.3932682690e-17 -5.8505533959e-102  6.3967840247e-102   3.0000000000e+02  -2.1502453731e-05   3.1518410271e-36  -6.1636532767e-69   2.8929332017e-80   2.3251334373e-89   3.0104969486e-66   2.3300000000e-01   3.0732892558e-66   4.7438661788e-61   1.7126775928e-57  5.4288866012e-116 -6.8720710358e-115   5.0116115768e-91   4.4298428243e-89   2.2709876959e-78   8.3879767206e-61  1.0233958316e-109   5.6713793634e-82  3.2432447284e-152   7.6700000000e-01   1.9075768848e+03
  -6.7575712442e-01  -7.0060621567e-01   1.1719839921e+00   1.8630700790e-05  -5.3851957211e-17  -1.0638982982e-97   1.1505602527e-97   3.0000000000e+02  -2.1502453731e-05   4.9031785151e-36  -6.1636532767e-69   3.7975214405e-76   3.3936391775e-87   4.3963385803e-64   2.3300000000e-01   4.4863321551e-64   4.3535071577e-57   2.4997317074e-55  2.8744129584e-113  2.2064494962e-122   6.6213167718e-87   5.8714250536e-85   2.9972774467e-74   7.6977543852e-57  9.3950629541e-106   5.2064880246e-78  4.3442497486e-146   7.6700000000e-01   1.9075768848e+03
  -6.2605894192e-01  -6.5090803317e-01   1.1719839921e+00   1.8630700790e-05  -5.3950385323e-17  -6.3240455468e-94   6.6367154761e-94   3.0000000000e+02  -2.1502453731e-05   7.8314144081e-37  -6.1636532161e-69   2.1955402600e-72   1.8292591808e-85   2.3699590791e-62   2.3300000000e-01   2.4180160040e-62   1.1837871751e-53   1.3474199631e-53  1.6914780841e-114 -3.9055023123e-122   3.8912627228e-83   3.4791594202e-81   1.7574193893e-70   2.0931406756e-53  2.5560782760e-102   1.4165089887e-74  6.3705503473e-141   7.6700000000e-01   1.9075768848e+03
  -5.7636075941e-01  -6.0120985066e-01   1.1719839921e+00   1.8630700790e-05  -5.1629029704e-17  -6.3967892574e-89   6.6242621460e-89   3.0000000000e+02  -2.1502453731e-05   9.5913639869e-36  -6.1591878582e-69   1.5735423497e-67   2.6190577777e-87   1.3252784893e-64   2.3300000000e-01   1.5204418229e-64   5.5910585545e-49   1.9291802776e-55 -6.8108039410e-106  2.3076466558e-113   2.8087543021e-78   2.5203100970e-76   1.2673625939e-65   9.8859595038e-49   1.2077010062e-97   6.6927501735e-70  4.3095656392e-138   7.6700000000e-01   1.9075768848e+03
  -5.2666257691e-01  -5.5151166816e-01   1.1719839921e+00   1.8630700790e-05   2.2332881103e-18  -5.8273788991e-84   5.9534334764e-84   3.0000000000e+02  -2.1502453731e-05   7.0458517124e-36   2.8410747088e-67   1.0156627634e-62   4.6136975760e-88   4.3358367003e-62   2.3300000000e-01   2.4859571259e-60   2.3587778459e-44   3.3984184872e-56  8.7497091349e-102  4.5628737730e-109   1.8258092983e-73   1.6441941289e-71   8.2314927187e-61   4.1707276044e-44   5.0970040545e-93   2.8246327795e-65  3.8849729062e-134   7.6700000000e-01   1.9075768848e+03
  -4.7696439440e-01  -5.0181348565e-01   1.1719839921e+00   1.8630700790e-05  -5.2898882869e-17  -4.7214317290e-79   4.7578603180e-79   3.0000000000e+02  -2.1502453731e-05   4.8931207078e-36   1.6780469176e-62   5.8305143976e-58   8.2007484039e-87   2.4640712922e-57   2.3300000000e-01   1.4058048722e-55   8.7696219347e-40   6.0406159090e-55  -1.9230819740e-92   1.1775635927e-99   1.0554941692e-68   9.5390622688e-67   4.7549921288e-56   1.5506209848e-39   1.8957700564e-88   1.0505561199e-60  1.6643270995e-125   7.6700000000e-01   1.9075768848e+03
  -4.2726621189e-01  -4.5211530315e-01   1.1719839921e+00   1.8630700790e-05  -5.2714985498e-17  -3.3470912351e-74   3.3265942699e-74   3.0000000000e+02  -2.1502453731e-05   7.8314144081e-37   8.4871993578e-58   2.9286232840e-53   2.4999812439e-84   1.2267385718e-52   2.3300000000e-01   6.9558753213e-51   2.8215011540e-35   1.8414692077e-52   4.0617622479e-95  5.2886161576e-104   5.3384598792e-64   4.8417966109e-62   2.4033462909e-51   4.9889025182e-35   6.1014884487e-84   3.3812787790e-56  3.3115538481e-116   7.6700000000e-01   1.9075768848e+03
  -3.7756802939e-01  -4.0241712064e-01   1.1719839921e+00   1.8630700790e-05  -3.5197829760e-17  -2.0315310574e-69   1.9912611880e-69   3.0000000000e+02  -2.1502453731e-05   8.7135741052e-66   3.6749624362e-53   1.2595057821e-48   1.0693956391e-79   5.2291622769e-48   2.3300000000e-01   2.9469228602e-46   7.6651789130e-31   7.8770934412e-48   8.6683391421e-89  -7.4005797127e-95   2.3115563445e-59   2.1038686955e-57   1.0400352665e-46   1.3553363358e-30   1.6582100761e-79   9.1893487758e-52  5.0902133152e-107   7.6700000000e-01   1.9075768848e+03
  -3.2786984688e-01  -3.5271893814e-01   1.1719839921e+00   1.8630700790e-05  -5.3089055548e-17  -1.0243504740e-64   9.9020580277e-65   3.0000000000e+02  -2.1502453731e-05   3.1317586609e-36   1.3218605746e-48   4.5002935198e-44   3.8010821019e-75   1.8519454835e-43   2.3300000000e-01   1.0373325592e-41   1.6987805944e-26   2.7998571485e-43   2.4318845793e-89   3.2510616884e-95   8.3145208989e-55   7.5937335491e-53   3.7390637960e-42   3.0037381915e-26   3.6763406101e-75   2.0373334440e-47   5.6329650598e-98   7.6700000000e-01   1.9075768848e+03
  -2.7817166438e-01  -3.0302075563e-01   1.1719839921e+00   1.8630700790e-05  -5.3893075891e-17  -4.1047475890e-60   3.9131648905e-60   3.0000000000e+02  -2.1502453731e-05   3.1317586609e-36   3.7786765582e-44   1.2780748716e-39   1.0780238965e-70   5.2131620541e-39   2.3300000000e-01   2.9023999138e-37   2.9183762993e-22   7.9103024776e-39  -5.4845591539e-80  -5.8488918481e-83   2.3767926676e-50   2.1782204422e-48   1.0684218668e-37   5.1601945359e-22   6.3181070135e-71   3.5013228152e-43   4.0816410908e-89   7.6700000000e-01   1.9075768848e+03
  -2.2847348187e-01  -2.5332257313e-01   1.1719839921e+00   1.8630700790e-05   8.4834601685e-18  -1.2178604080e-55   1.1447062946e-55   3.0000000000e+02  -2.1502453731e-05   6.1458519935e-31   7.9999338534e-40   2.6882290098e-35   1.3230735664e-64   1.0866551824e-34   2.3300000000e-01   6.0129393323e-33   3.5795221654e-18   1.6550344952e-34   1.2106752635e-76   9.3174092917e-78   5.0319692184e-46   4.6277638728e-44   2.2613892594e-33   6.3292148829e-18   7.7558412133e-67   4.2962648110e-39   1.6744039930e-80   7.6700000000e-01   1.9075768848e+03
