# time = 0.475
# Grid points = 823
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2500916424e-01  -7.5000000000e-01   1.1719837700e+00   1.8630703413e-05   8.6991874326e-07   1.7008435061e-09  -1.7008435061e-09   3.0000005671e+02  -2.1501146397e-05   3.9388223959e-19   2.1428257667e-14   4.5751202934e-16   1.5309203706e-30   1.6498389463e-17   2.3299999448e-01   3.2729712977e-16   2.5039566490e-09   4.4914596941e-16   1.3208337282e-34   6.8313367343e-36   6.7147577386e-21   5.4664963286e-18   1.2174494697e-13   4.4176034432e-09   1.1646446704e-33   2.7235506650e-19   1.1580809338e-38   7.6699999860e-01   1.9075610579e+03
  -6.7503034839e-01  -7.0001832849e-01   1.1719829739e+00   1.8630712815e-05   4.0094343704e-06   1.0847064716e-08  -1.0847064716e-08   3.0000025996e+02  -2.1496457373e-05   1.3992182709e-18   4.3453587005e-13   3.0905423404e-15   4.7774909489e-29   9.1871182666e-17   2.3299997468e-01   1.6769097121e-15   1.1497628502e-08   2.9643203137e-15   5.0450551363e-33   2.6092988674e-34   5.0058878983e-20   4.7813068904e-17   8.2175848675e-13   2.0229531365e-08   4.2350711487e-32   1.9261606216e-18   4.4234262381e-37   7.6699999359e-01   1.9075042511e+03
  -6.2505438820e-01  -6.5004236828e-01   1.1719807713e+00   1.8630738828e-05   1.2632817970e-05   3.5107306824e-08  -3.5107306824e-08   3.0000082229e+02  -2.1483471876e-05   7.3409295729e-18   5.7294252802e-12   1.3538169702e-14   6.8633452007e-28   3.5139444783e-16   2.3299991986e-01   5.8844473692e-15   3.6446202370e-08   1.2793821115e-14   9.6226378765e-32   4.9768327660e-33   2.7209131336e-19   3.6857729271e-16   3.5942569452e-12   6.3914510819e-08   6.8712966475e-31   8.7916339396e-18   8.4370931787e-36   7.6699997977e-01   1.9073467527e+03
  -5.7507842809e-01  -6.0006640812e-01   1.1719761121e+00   1.8630793850e-05   3.0662533582e-05   2.2219604869e-08  -2.2219604869e-08   3.0000201177e+02  -2.1455973784e-05   2.5077031975e-17   4.6787527062e-11   4.3191406153e-14   5.6489054772e-27   1.0262717790e-15   2.3299980377e-01   1.5837622518e-14   8.9379208946e-08   4.0418718943e-14   1.2755003682e-30   6.5969257576e-32   1.3400457843e-18   2.8701549562e-15   1.1440530042e-11   1.5617664774e-07   6.5173944494e-30   2.9916345579e-17   1.1183857401e-34   7.6699995066e-01   1.9070127261e+03
  -5.2510246811e-01  -5.5009044805e-01   1.1719681028e+00   1.8630888425e-05   6.1066081023e-05  -3.3112375717e-07   3.3112375717e-07   3.0000405643e+02  -2.1408648019e-05   5.9397485535e-17   2.5390715659e-10   1.0881223981e-13   3.0451575054e-26   2.4325517540e-15   2.3299960398e-01   3.5003361826e-14   1.8066915132e-07   1.0044585931e-13   1.2837500176e-29   6.6396484089e-31   6.1024549823e-18   2.5325306926e-13   2.8557864207e-11   3.1451625840e-07   8.2041845983e-29   1.7464706473e-16   1.1256741382e-33   7.6699990081e-01   1.9064367716e+03
  -4.7512650826e-01  -5.0011448816e-01   1.1719566560e+00   1.8631023579e-05   1.0299281213e-04  -2.0331776327e-06   2.0331776327e-06   3.0000697854e+02  -2.1340818583e-05   1.0917402845e-16   1.0364393738e-09   5.2737630708e-13   1.2406182504e-25   4.8269688454e-15   2.3299931802e-01   6.6054444136e-14   3.1160867035e-07   2.0830849339e-13   1.1839100016e-28   6.1233413111e-30   2.9823420033e-17   9.7551478719e-11   6.5281595585e-11   5.4045189168e-07   3.0403020124e-26   3.7554739697e-14   1.0382006089e-32   7.6699982976e-01   1.9056099804e+03
  -4.2515054976e-01  -4.5013852835e-01   1.1719430986e+00   1.8631183438e-05   1.3948705444e-04  -1.7562699716e-05   1.7562699716e-05   3.0001043724e+02  -2.1252529066e-05   7.4065325149e-16   1.0210073820e-08   2.4071919607e-11   1.3635991165e-24   8.0759325094e-15   2.3299897552e-01   1.0760671107e-13   4.6841548668e-07   6.4133279606e-13   3.8467587188e-27   1.9896231942e-28   5.9484607966e-16   7.5509092939e-09   6.4603010759e-10   8.0766117475e-07   3.7731749967e-24   2.8655800286e-12   3.3736121820e-31   7.6699974018e-01   1.9045725865e+03
  -3.7517462362e-01  -4.0016257117e-01   1.1719263686e+00   1.8631375288e-05   4.6749686557e-05  -1.7893557074e-04   1.7893557074e-04   3.0001464892e+02  -2.0934189056e-05   1.5316371802e-13   2.8358756181e-07   6.6698454290e-10   4.0866556377e-23   1.1190974108e-14   2.3299846308e-01   1.4728851973e-13   6.9377681319e-07   8.7161358387e-12   1.2311265649e-25   6.3677462176e-27   1.3908909169e-14   2.1258724360e-07   1.5534372009e-08   1.1372691087e-06   1.4398221023e-22   7.9894826409e-11   1.0799200493e-29   7.6699947699e-01   1.9018426516e+03
  -3.3967848488e-01  -3.5018667606e-01   1.1718463895e+00   1.8632244226e-05  -8.4768626427e-04  -1.3795992868e-03   1.3795992868e-03   3.0003428152e+02  -1.7543234376e-05   8.4865298435e-11   4.5575459709e-06   9.2189873522e-09   6.7009271052e-22   1.4006121257e-14   2.3299521842e-01   1.7693672849e-13   2.0485291106e-06   1.1384784192e-10   1.9035200627e-24   9.8462608520e-26   1.7903946815e-13   2.9425721037e-06   2.1314645054e-07   2.7147289895e-06   2.3782290291e-21   1.0985086680e-09   1.6729486268e-28   7.6699685217e-01   1.8759129903e+03
  -3.2391619753e-01  -3.2917029369e-01   1.1711910773e+00   1.8639293107e-05  -5.8224555091e-03  -8.5824972601e-03   8.5824972601e-03   3.0019446765e+02   1.3131066923e-05   1.4079352362e-08   3.9530737554e-05   8.7733168413e-08   5.6504480876e-21   1.6512306487e-14   2.3296741385e-01   1.5658007688e-13   1.3565262861e-05   1.0740314802e-09   1.5227127886e-23   7.8809662202e-25   1.6199535257e-12   2.8019345319e-05   2.0271453537e-06   1.5649938241e-05   1.9953547904e-20   1.0410108851e-08   1.3622814421e-27   7.6697322524e-01   1.6437426451e+03
