# time = 1
# Grid points = 1634
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2532882316e-01  -7.5000000000e-01   1.1717648668e+00   1.8633026558e-05   5.9760528416e-05  -7.4991086478e-04   7.4991086478e-04   3.0005321672e+02  -9.9820398183e-06   4.0203116925e-13   6.6777382686e-07   3.0255160453e-08   9.7893866457e-23   2.3481162763e-15   2.3299024229e-01   7.8798113581e-15   3.9249864218e-06   3.0614004379e-10   2.3241177049e-26   1.2022558093e-27   4.9091405933e-14   9.5858021665e-06   6.9973720366e-07   4.4061434981e-06   2.8679484520e-22   2.9640962021e-09   2.1713097901e-30   7.6699110752e-01   1.8219274379e+03
  -6.8851640332e-01  -7.0065764632e-01   1.1717029869e+00   1.8633677460e-05  -3.9991503766e-03  -5.7741601742e-03   5.7741601742e-03   3.0006818623e+02  -6.4932708238e-06   9.1555774163e-13   6.9657932240e-07   3.9529863448e-08   9.9534220341e-23   2.4257875965e-15   2.3298738468e-01   6.1293412419e-15   5.0659732952e-06   3.9820823960e-10   2.0882291612e-26   1.0802878060e-27   5.6710945266e-14   1.2512484367e-05   9.1444830061e-07   5.6578465316e-06   2.9114770717e-22   3.8616925772e-09   2.0187741322e-30   7.6698842078e-01   1.7960889232e+03
  -6.7030453877e-01  -6.7637516033e-01   1.1716490588e+00   1.8634244705e-05  -1.3394493100e-02  -1.6922787112e-02   1.6922787112e-02   3.0008123334e+02  -3.4541194306e-06   3.6377667237e-12   6.9848282263e-07   4.7641815485e-08   9.6919790544e-23   2.4797133487e-15   2.3298488675e-01   4.9469528398e-15   6.0652605175e-06   4.7965344197e-10   1.8603605036e-26   9.6244971112e-28   6.2603143599e-14   1.5059535535e-05   1.1030708439e-06   6.7521495506e-06   2.8499517683e-22   4.6747638039e-09   1.8667875976e-30   7.6698608044e-01   1.7734856836e+03
  -6.6119860660e-01  -6.6423391722e-01   1.1715928778e+00   1.8634836141e-05  -2.6707109841e-02  -3.2497326400e-02   3.2497326400e-02   3.0009483362e+02  -3.2034919977e-07   1.2121695929e-12   7.0551650733e-07   5.6120402695e-08   9.5032561329e-23   2.5131962643e-15   2.3298226573e-01   4.1039689804e-15   7.1228846762e-06   5.6900087938e-10   1.6604936475e-26   8.5908961723e-28   6.7360529791e-14   1.7673386100e-05   1.3036801127e-06   7.9045062213e-06   2.8602307883e-22   5.6441223486e-09   1.7533660074e-30   7.6698366748e-01   1.7497809337e+03
  -6.5512798487e-01  -6.5816329597e-01   1.1715879866e+00   1.8634887649e-05  -2.7840804521e-02  -3.3822799800e-02   3.3822799800e-02   3.0009601793e+02  -4.8342175733e-08   1.2110038308e-11   7.0496562607e-07   5.6857659524e-08   9.4667031098e-23   2.5159242563e-15   2.3298203729e-01   4.0340134613e-15   7.2152370496e-06   5.7683942648e-10   1.6419149413e-26   8.4948100924e-28   6.7762395354e-14   1.7900013994e-05   1.3211785276e-06   8.0050753995e-06   2.8550052232e-22   5.7303552562e-09   1.7423806283e-30   7.6698345804e-01   1.7477157973e+03
  -6.4968508359e-01  -6.5209267377e-01   1.1714921459e+00   1.8635900206e-05  -5.0514367976e-02  -6.0209854250e-02   6.0209854250e-02   3.0011926821e+02   5.1017513173e-06   1.3492477634e-10   7.2776627905e-07   7.1049198573e-08   9.2964815857e-23   2.5418657210e-15   2.3297751759e-01   3.1370693235e-15   9.0776991503e-06   7.4137049488e-10   1.3895307996e-26   7.1896123465e-28   7.3752960177e-14   2.2139279061e-05   1.6685945421e-06   1.0024396674e-05   3.0210882951e-22   7.7715761767e-09   1.6670351500e-30   7.6697949288e-01   1.7070669167e+03
  -6.4607368840e-01  -6.4727749340e-01   1.1713022934e+00   1.8637944875e-05  -5.9283736114e-02  -7.1086735807e-02   7.1086735807e-02   3.0016582721e+02   1.3262739471e-05   1.4304780678e-08   9.3063753653e-07   9.5100098247e-08   1.1124606523e-22   2.5314821907e-15   2.3296822836e-01   2.6626641127e-15   1.3263696050e-05   1.1516020377e-09   1.2667378583e-26   6.5552189131e-28   7.9234893076e-14   2.8299888298e-05   2.3565568710e-06   1.4530040102e-05   4.9241060769e-22   1.4886596350e-08   3.9722981632e-30   7.6697321032e-01   1.6262539987e+03
  -6.4426781116e-01  -6.4486988339e-01   1.1701670252e+00   1.8650227802e-05  -6.9970860349e-02  -8.8791092649e-02   8.8791092649e-02   3.0044513906e+02   5.9633125706e-05   2.4573763023e-06   1.9562312164e-06   2.3402920865e-07   1.9890641244e-22   2.4409291464e-15   2.3291220854e-01   1.7348976237e-15   3.8927148341e-05   3.7068689741e-09  -4.9269305975e-24   8.6506573086e-28   1.0295972245e-13   6.2456917898e-05   6.4702953972e-06   4.2124115032e-05   1.3288422699e-21   6.1151748901e-08   2.2915302596e-29   7.6693751410e-01   1.1420889830e+03
  -6.4306296792e-01  -6.4366573892e-01   1.1590731865e+00   1.8771277464e-05  -4.7524714513e-02  -1.2670407814e-01   1.2670407814e-01   3.0320423653e+02   5.0912162235e-04   8.0489597557e-05   9.6326901264e-06   1.5883038380e-06   4.1108822474e-22   1.8022708117e-15   2.3235733258e-01   4.7508545977e-16   2.9456126069e-04   2.9273441459e-08  -4.9451993977e-25  -2.0361081948e-24   2.9169493236e-13   3.9046182104e-04   4.7063859550e-05   3.1693465403e-04   3.3020915496e-21   5.3047726758e-07  -4.3285951580e-25   7.6659149777e-01  -3.6428557540e+03
  -6.4221490921e-01  -6.4246019691e-01   1.1189370413e+00   1.9222839215e-05   7.2975867767e-02  -2.7792256905e-01   2.7792256905e-01   3.1362482927e+02   2.2070696799e-03   3.4744704809e-04   7.5704667437e-05   6.7070246640e-06   5.9509494515e-22   6.9196823508e-16   2.3025295570e-01   1.3904767134e-16   1.2650216848e-03   1.2633437440e-07  -1.0497417068e-24   3.8437914244e-28   9.1658178700e-13   1.6273503241e-03   2.0080668086e-04   1.3602991158e-03   4.4048997022e-21   2.3163685707e-06   4.1428964234e-26   7.6528441677e-01  -2.1783763941e+04
