# L (m)  = 0.004
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   1.0000000000e-05   4.4087688043e-03   4.8829339328e+02  -1.8978966147e+04   2.0538484396e-02   7.1658035035e-01   2.6969715753e-05   8.0228176267e-07   4.2646336390e-05   2.1564813560e-01   6.9301305107e-05   9.5940190418e-03   8.2116407708e-05   2.5898294547e-13   1.9626885804e-14   1.0954007205e-10   3.5405799376e-08   2.0597260329e-03   8.8577696051e-03   1.2969389820e-10   3.7020069969e-09   5.5696346268e-15   7.6361847433e-01
   3.0000000000e-05   9.5930815325e-03   6.9562665976e+02  -4.3540058187e+04   4.4644406193e-02   5.0008171911e-01   5.8548795261e-05   5.9106700213e-06   1.4185765363e-04   1.9526104354e-01   2.0585759758e-04   2.0832356340e-02   9.8730219876e-05   2.0819637832e-12   1.8719524605e-13   3.9279137955e-10   7.7051080130e-08   4.4852386974e-03   1.9268262360e-02   1.7701541033e-09   8.4414262714e-09   1.3273519699e-13   7.5964210646e-01
   5.0000000000e-05   1.4047053531e-02   8.5931939111e+02  -6.4641451854e+04   6.5279735006e-02   4.0271601973e-01   8.5285872941e-05   1.6480310551e-05   3.1473322742e-04   1.7771491552e-01   3.6533495474e-04   3.0421695775e-02   8.2756259726e-05   8.6510105251e-12   8.0829152876e-13   1.0080629566e-09   1.1326712123e-07   6.5838851155e-03   2.8188868242e-02   6.3977653340e-09   1.4093295202e-08   6.4134224389e-13   7.5622590994e-01
   7.0000000000e-05   1.8055160143e-02   9.9513959466e+02  -8.3630589250e+04   8.3758310057e-02   3.4604609248e-01   1.0958246106e-04   3.1537128286e-05   5.8086312482e-04   1.6185871712e-01   5.5323944994e-04   3.8976710592e-02   6.5454629331e-05   2.7140363983e-11   2.5585280635e-12   2.1637766077e-09   1.4781671414e-07   8.5020129427e-03   3.6170004062e-02   1.3991461040e-08   2.2313900901e-08   1.9446190717e-12   7.5315169217e-01
   9.0000000000e-05   2.1750687406e-02   1.1115446220e+03  -1.0113860031e+05   1.0068114297e-01   3.0833665930e-01   1.3384408216e-04   4.9728207613e-05   9.3078158218e-04   1.4717873517e-01   7.8981933390e-04   4.6775097587e-02   5.2321762157e-05   7.4219096634e-11   7.0227887684e-12   4.2037113837e-09   1.8533434821e-07   1.0317887955e-02   4.3454313344e-02   2.3461703257e-08   3.5135151839e-08   5.0734498562e-12   7.5031722276e-01
   1.1000000000e-04   2.5210774753e-02   1.2133348344e+03  -1.1753059927e+05   1.1637995249e-01   2.8115490165e-01   1.6072133576e-04   7.0313099677e-05   1.3298045391e-03   1.3342545905e-01   1.0880101080e-03   5.3966312389e-02   4.2793261847e-05   1.8897492330e-10   1.7911792315e-11   7.7849662257e-09   2.3382570311e-07   1.2087477608e-02   5.0165441157e-02   3.3980399682e-08   5.5870801703e-08   1.2711781405e-11   7.4766333576e-01
   1.3000000000e-04   2.8487910065e-02   1.3035967934e+03  -1.3305491571e+05   1.3106965806e-01   2.6048299032e-01   1.9290054346e-04   9.2983504295e-05   1.7351247993e-03   1.2046740865e-01   1.4488768532e-03   6.0646695901e-02   3.5715596930e-05   4.6822634084e-10   4.4269540829e-11   1.4356315872e-08   3.0767009909e-07   1.3859868723e-02   5.6370192893e-02   4.5805567252e-08   9.1183347630e-08   3.1922595034e-11   7.4514977298e-01
   1.5000000000e-04   3.1617403027e-02   1.3844535182e+03  -1.4787850868e+05   1.4488941475e-01   2.4414748287e-01   2.3276884623e-04   1.1745091524e-04   2.1089217173e-03   1.0824082121e-01   1.8630113582e-03   6.6881932104e-02   3.0250513959e-05   1.1664791410e-09   1.0932564523e-10   2.7266119572e-08   4.3297630747e-07   1.5680004930e-02   6.2094708871e-02   6.0676439232e-08   1.5537905903e-07   8.1824307417e-11   7.4274945188e-01
   1.7000000000e-04   3.4624301428e-02   1.4574491971e+03  -1.6211973819e+05   1.5793779289e-01   2.3086115524e-01   2.8222277447e-04   1.4327271175e-04   2.4238738281e-03   9.6711883880e-02   2.3130702618e-03   7.2724466697e-02   2.5866094932e-05   2.9804773794e-09   2.7486549329e-10   5.4384430626e-08   6.5919865282e-07   1.7590375614e-02   6.7340727800e-02   8.2796940258e-08   2.7968089919e-07   2.1530637806e-10   7.4044316080e-01
   1.9000000000e-04   3.7527177998e-02   1.5237617529e+03  -1.7586630922e+05   1.7029014503e-01   2.1980797727e-01   3.4268082105e-04   1.6983778243e-04   2.6627996163e-03   8.5859865745e-02   2.7765997380e-03   7.8220476026e-02   2.2234113993e-05   7.8761500577e-09   7.0898802714e-10   1.1466237409e-07   1.0845947336e-06   1.9630797517e-02   7.2096190662e-02   1.2163552969e-07   5.3344181994e-07   5.8051111207e-10   7.3821665448e-01
   2.1000000000e-04   4.0340319925e-02   1.5843248435e+03  -1.8918564592e+05   1.8200640672e-01   2.1044275905e-01   4.1529044327e-04   1.9639674235e-04   2.8158217311e-03   7.5671160870e-02   3.2286209403e-03   8.3411125223e-02   1.9153513557e-05   2.1556563917e-08   1.8780735651e-09   2.5521211590e-07   1.9116909616e-06   2.1837322676e-02   7.6342668380e-02   1.9890322037e-07   1.0740260033e-06   1.5956650647e-09   7.3605897462e-01
   2.3000000000e-04   4.3075058399e-02   1.6398986748e+03  -2.0213119155e+05   1.9313389881e-01   2.0238618112e-01   5.0125899892e-04   2.2207655076e-04   2.8773755921e-03   6.6138660625e-02   3.6431896978e-03   8.8331213858e-02   1.6504540754e-05   6.0968390064e-08   5.0990966272e-09   5.9706802980e-07   3.5677876843e-06   2.4240723737e-02   8.0060702215e-02   3.6499615925e-07   2.2636118571e-06   4.4459337719e-09   7.3396143021e-01
   2.5000000000e-04   4.5740614529e-02   1.6911081724e+03  -2.1474641534e+05   2.0370717090e-01   1.9536645931e-01   6.0222998619e-04   2.4586443339e-04   2.8440782039e-03   5.7263840139e-02   3.9935754119e-03   9.3006758135e-02   1.4224638680e-05   1.7710144052e-07   1.4129764165e-08   1.4599922085e-06   6.9651757107e-06   2.6864455152e-02   8.3233727631e-02   7.3543060816e-07   4.9333110127e-06   1.2470817476e-08   7.3191694866e-01
