# L (m)  = 2
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   5.0000000000e-03   1.8430732364e-03   3.0000000000e+02  -8.7860863381e+03   3.3034715713e-04   1.1700567560e+00   1.5095627190e-05   2.3858112466e-30  -1.2700566518e-24   2.3234549186e-01   9.7944311808e-25   1.0153626529e-04   1.9231887117e-11  -9.2739443179e-32   2.9617491416e-32   7.8576602331e-21   1.7377981255e-03   1.3143527974e-04   8.2279984904e-05  -5.7609401135e-32   1.1916729426e-11  -2.9059868872e-36   7.6558636283e-01
   1.5000000000e-02   5.5344866500e-03   3.0000000000e+02  -3.0203365381e+04   9.9189139979e-04   1.1662158323e+00   4.5325729716e-05   8.3849835369e-30  -1.7688257178e-24   2.3103466933e-01   1.1204759355e-24   3.0486999227e-04   5.7745002523e-11  -2.0116107814e-30   1.4712180118e-31   2.4524095594e-20   5.2183904415e-03   3.9464404681e-04   2.4705163100e-04  -1.1747259882e-30   3.5780842724e-11  -1.9327921522e-35   7.6275504874e-01
   2.5000000000e-02   9.2312595476e-03   3.0000000000e+02  -5.1649897669e+04   1.6541103800e-03   1.1623946961e+00   7.5586694450e-05   1.7703084730e-29   3.0808453513e-24   2.2972213838e-01   1.2933028103e-24   5.0841098771e-04   9.6296975324e-11   4.9031595503e-30  -2.1622268002e-31   4.3280048415e-20   8.7041271531e-03   6.5812141315e-04   4.1199128472e-04   2.8864457059e-30   5.9669279870e-11   3.3462603572e-33   7.5991962393e-01
   3.5000000000e-02   1.2933482680e-02   3.0000000000e+02  -7.3124975031e+04   2.3168288298e-03   1.1585932297e+00   1.0587053186e-04   2.6446625787e-29   1.2729246616e-24   2.2840799734e-01   1.4611359505e-24   7.1210530022e-04   1.3487731823e-10  -5.4995661783e-31  -2.4185474091e-31   6.5192198646e-20   1.2195154824e-02   9.2179773938e-04   5.7705525831e-04  -1.4550855360e-31   8.3575707515e-11   4.5471271047e-34   7.5708001878e-01
   4.5000000000e-02   1.6641248431e-02   3.0000000000e+02  -9.4627900624e+04   2.9798720603e-03   1.1548113143e+00   1.3616927878e-04   3.9875112282e-29   6.4302375456e-25   2.2709234374e-01   1.6722080418e-24   9.1589915686e-04   1.7347557905e-10   4.5961972626e-30   4.2617923427e-37   9.0719492640e-20   1.5691621466e-02   1.1856036162e-03   7.4220000847e-04   3.0166713589e-30   1.0749381326e-10   5.8040724262e-31   7.5423616245e-01
   5.5000000000e-02   2.0354650785e-02   3.0000000000e+02  -1.1615798898e+05   3.6430659933e-03   1.1510488298e+00   1.6647499984e-04   5.5535729739e-29   1.8366112615e-25   2.2577527432e-01   1.8316371344e-24   1.1197389728e-03   2.1208134287e-10  -2.8036829627e-29  -1.3214393662e-31   1.1949006797e-19   1.9193676497e-02   1.4494698765e-03   9.0738214413e-04  -1.6496251940e-29   1.3141730679e-10  -5.5212214219e-31   7.5138798285e-01
   6.5000000000e-02   2.4073785291e-02   3.0000000000e+02  -1.3771456603e+05   4.3062371900e-03   1.1473056553e+00   1.9677978874e-04   7.1533500126e-29   1.4631185682e-24   2.2445688502e-01   2.0668402987e-24   1.3235713605e-03   2.5068423400e-10  -3.5680547222e-31  -5.2628267006e-37   1.5253575141e-19   2.2701470696e-02   1.7133276071e-03   1.0725584337e-03  -8.0009112958e-32   1.5533992094e-10  -3.4532076083e-32   7.4853540668e-01
   7.5000000000e-02   2.7798749029e-02   3.0000000000e+02  -1.5929696913e+05   4.9692128790e-03   1.1435816690e+00   2.2707576952e-04   9.3498219941e-29  -2.1558944844e-24   2.2313727099e-01   2.2601831781e-24   1.5273431378e-03   2.8927391796e-10  -6.5664455865e-30  -3.8226619057e-32   1.8855671192e-19   2.6215156163e-02   1.9771081594e-03   1.2376858123e-03  -1.2067851508e-30   1.7925541269e-10   1.8151491096e-33   7.4567835949e-01
   8.5000000000e-02   3.1529640579e-02   3.0000000000e+02  -1.8090454708e+05   5.6318209831e-03   1.1398767479e+00   2.5735509775e-04   1.1747215224e-28  -6.0097687704e-25   2.2181652653e-01   2.4650601614e-24   1.7310013372e-03   3.2784010332e-10  -9.8309941784e-30   3.5161655157e-31   2.2810575556e-19   2.9734886272e-02   2.2407431603e-03   1.4027213879e-03  -3.9330142494e-30   2.0315756417e-10  -3.4136189570e-31   7.4281676568e-01
