# L (m)  = 0.7
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   1.7500000000e-03   1.5350027740e-03   3.0000063707e+02  -4.4180510434e+04   4.8179879952e-03   1.1689637071e+00   1.0621792439e-04   1.9108414915e-27   4.1521616587e-27   2.2909153562e-01   8.8445688328e-23   1.8967354982e-03   9.5067062715e-09   1.3664566483e-33  -5.9649077991e-34   2.0553063481e-20   2.6781377307e-04   1.1574201708e-03   1.6576144018e-03   3.9120455078e-31   2.3006024380e-10   7.4252293961e-32   7.6582265287e-01
   5.2500000000e-03   4.5961098736e-03   3.0000187056e+02  -1.3600669008e+05   1.4418214663e-02   1.1629861912e+00   3.1810823465e-04   1.7038214443e-26  -7.8793435290e-26   2.2130367013e-01   2.6275350800e-22   5.6754090151e-03   2.8417272715e-08   2.7444130208e-32   1.5519032141e-33   6.2383854382e-20   8.0330237886e-04   3.4659181463e-03   4.9587792667e-03   6.4142282769e-30   6.8832432134e-10   6.8753398309e-31   7.6347478373e-01
   8.7500000000e-03   7.6482269994e-03   3.0000301816e+02  -2.2731754896e+05   2.3967046538e-02   1.1570847264e+00   5.2958344424e-04   4.7205663922e-26  -8.3401406865e-27   2.1355767955e-01   4.3525140418e-22   9.4317071097e-03   4.7130868620e-08   4.7944911529e-32   1.5037953393e-32   1.0542794113e-19   1.3414157430e-03   5.7687137254e-03   8.2370422583e-03   2.7385636581e-29   1.1436932288e-09   1.9636463364e-30   7.6113380989e-01
   1.2250000000e-02   1.0691213802e-02   3.0000404877e+02  -3.1795092532e+05   3.3449095394e-02   1.1512568893e+00   7.4076363490e-04   9.2439251458e-26   9.2407511028e-27   2.0586615426e-01   6.0506353346e-22   1.3158199546e-02   6.5556159206e-08  -1.1562322839e-31  -1.8942908051e-33   1.4954143464e-19   1.8848441778e-03   8.0663549409e-03   1.1483777273e-02   7.5667826560e-29   1.5951532719e-09   3.9522555693e-30   7.5879983901e-01
   1.5750000000e-02   1.3724871729e-02   3.0000494099e+02  -4.0774817756e+05   4.2849244392e-02   1.1455005269e+00   9.5175548742e-04   1.5283694694e-25   5.0276098853e-26   1.9824144580e-01   7.7134093344e-22   1.6847618543e-02   8.3605162742e-08   8.6821781805e-36   3.8750442345e-40   1.9458971637e-19   2.4362007757e-03   1.0359266983e-02   1.4690603379e-02   1.6780107757e-28   2.0417203094e-09   6.7002830904e-30   7.5647302338e-01
   1.9250000000e-02   1.6748955535e-02   3.0000568244e+02  -4.9655514475e+05   5.2152727038e-02   1.1398137548e+00   1.1626508639e-03   2.2856050428e-25   5.6435055324e-26   1.9069559732e-01   9.3327702095e-22   2.0492898540e-02   1.0119390570e-07   7.1767690090e-36   5.7332152226e-40   2.4058236451e-19   2.9980208561e-03   1.2647739033e-02   1.7849438601e-02   3.2431830313e-28   2.4824470186e-09   1.0251540118e-29   7.5415355111e-01
   2.2750000000e-02   1.9763184766e-02   3.0000626873e+02  -5.8422307354e+05   6.1345204538e-02   1.1341949531e+00   1.3735255914e-03   3.1983230642e-25   9.5178196177e-26   1.8324027588e-01   1.0901053693e-21   2.4087214720e-02   1.1824303212e-07  -4.4859164695e-36   7.7511183979e-40   2.8762793776e-19   3.5727611395e-03   1.4931913284e-02   2.0952550943e-02   5.7130726752e-28   2.9164297186e-09   1.4646421080e-29   7.5184163728e-01
   2.6250000000e-02   2.2767255104e-02   3.0000670219e+02  -6.7060949866e+05   7.0412840406e-02   1.1286427615e+00   1.5844384581e-03   4.2692721802e-25   1.1061568783e-25   1.7588670751e-01   1.2411146764e-21   2.7624019735e-02   1.3467835914e-07  -1.2978982264e-35   9.9886936324e-40   3.3587925454e-19   4.1627987247e-03   1.7211776235e-02   2.3992605978e-02   9.4096531681e-28   3.3428146543e-09   1.9921650488e-29   7.4953751534e-01
   2.9750000000e-02   2.5760849432e-02   3.0000699051e+02  -7.5557906498e+05   7.9342371264e-02   1.1231560718e+00   1.7954304304e-03   5.5016928158e-25   1.6506531037e-25   1.6864561612e-01   1.3856473347e-21   3.1097078148e-02   1.5043137166e-07  -1.8237221350e-35   1.2438774780e-39   3.8550144345e-19   4.7704299415e-03   1.9487152332e-02   2.6962710353e-02   1.4727258946e-27   3.7608036531e-09   2.6110089412e-29   7.4724142849e-01
