# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   2.0000000000e-03   3.0030859651e+02  -3.2400054808e+04   2.8187108184e-03   1.1684603126e+00   1.8333256449e-05   3.1681163228e-16  -4.6775831592e-18   2.3036453403e-01   9.2168633235e-12   1.2999399662e-03   1.5729193238e-07   1.6273301027e-15   6.8901383283e-17   2.4340669337e-06   1.3455727573e-03   4.9696059729e-04   1.0034769985e-03   1.3029940477e-15   2.5910306526e-06   1.2792416510e-19   7.6546600000e-01
   6.0000000000e-03   6.0000000000e-03   3.0089456223e+02  -1.0101529901e+05   8.4532360035e-03   1.1615830069e+00   5.4983057888e-05   2.2402761036e-15   7.3113767853e-18   2.2509583833e-01   2.6802719150e-11   3.8984774307e-03   4.7165970626e-07   1.2413761352e-14   5.8062169437e-16   7.2959452388e-06   4.0373885073e-03   1.4903954726e-03   3.0093800423e-03   1.0018329627e-14   7.7695305814e-06   1.1134285399e-18   7.6239800000e-01
   1.0000000000e-02   1.0000000000e-02   3.0139714944e+02  -1.6963040600e+05   1.4079079203e-02   1.1550892741e+00   9.1582761583e-05   5.6168803670e-15   8.1568748652e-17   2.1983384512e-01   4.2462727259e-11   6.4929909234e-03   7.8594310743e-07   3.2705931652e-14   1.4852166832e-15   1.2139336901e-05   6.7312129940e-03   2.4823725557e-03   5.0121329623e-03   2.6543966873e-14   1.2937357314e-05   3.0492842695e-18   7.5933000000e-01
   1.4000000000e-02   1.4000000000e-02   3.0176778377e+02  -2.3824494445e+05   1.9690476966e-02   1.1491571497e+00   1.2809909102e-04   1.0067440684e-14   2.5774314179e-16   2.1458300284e-01   5.5869156688e-11   9.0808092235e-03   1.1010095098e-06   6.1003271077e-14   2.6517569025e-15   1.6952412897e-05   9.4283792830e-03   3.4719238684e-03   7.0096447831e-03   4.9757415770e-14   1.8087431449e-05   5.8327863571e-18   7.5626200000e-01
   1.8000000000e-02   1.8000000000e-02   3.0196014878e+02  -3.0685766353e+05   2.5281702545e-02   1.1439525936e+00   1.6449895222e-04   1.6037669177e-14   5.5844312854e-16   2.0934773078e-01   6.7346232867e-11   1.1659278201e-02   1.4184421839e-06   9.6142087718e-14   3.9845293364e-15   2.1723780176e-05   1.2130211654e-02   4.4580872430e-03   8.9998381490e-03   7.8733502548e-14   2.3212727272e-05   9.3803886953e-18   7.5319400000e-01
   2.2000000000e-02   2.2000000000e-02   3.0193210561e+02  -3.7546453814e+05   3.0847080364e-02   1.1396243655e+00   2.0074950582e-04   3.0497348293e-14   9.4086586258e-16   2.0413240794e-01   7.7800726259e-11   1.4225767553e-02   1.7405253696e-06   1.3837521720e-13   5.4551274559e-15   2.6442517449e-05   1.4838022279e-02   5.4399086144e-03   1.0980654690e-02   1.1360067503e-13   2.8306293775e-05   1.3936053161e-17   7.5012600000e-01
   2.6000000000e-02   2.6000000000e-02   3.0165433376e+02  -4.4404967907e+05   3.6381000263e-02   1.1362739707e+00   2.3681823834e-04   1.0355939802e-13   1.3101183346e-15   1.9894136196e-01   8.8732291048e-11   1.6777677438e-02   2.0702394709e-06   1.9054169776e-13   7.1324982690e-15   3.1098215604e-05   1.7553107953e-02   6.4164442812e-03   1.2950060306e-02   1.5656705657e-13   3.3361275320e-05   2.2005965743e-17   7.4705800000e-01
   3.0000000000e-02   3.0000000000e-02   3.0113323117e+02  -5.1256086862e+05   4.1877931480e-02   1.1338719763e+00   2.7267303225e-04   5.1381667454e-13   2.1644616672e-15   1.9377885833e-01   1.0241738803e-10   1.9312444981e-02   2.4112653296e-06   2.5988045471e-13   9.2350569837e-15   3.5681023974e-05   2.0276746870e-02   7.3867631242e-03   1.4906050343e-02   2.1399581189e-13   3.8370931853e-05   5.0159524504e-17   7.4399000000e-01
   3.4000000000e-02   3.4000000000e-02   3.0043536810e+02  -5.8088263255e+05   4.7332436283e-02   1.1321668207e+00   3.0828223467e-04   2.4485146881e-12   7.5099905719e-15   1.8864908978e-01   1.2249408143e-10   2.1827550622e-02   2.7679789338e-06   3.6156132340e-13   1.2254521987e-14   4.0181699248e-05   2.3010195477e-02   8.3499487765e-03   1.6846654650e-02   3.0184898421e-13   4.3328658533e-05   1.8313386709e-16   7.4092200000e-01
