# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density        007_hr             008_H2              009_H              010_O             011_O2             012_OH            013_H2O            014_HO2            015_CH2         016_CH2(S)            017_CH3            018_CH4             019_CO            020_CO2            021_HCO           022_CH2O          023_CH2OH             024_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.0000000000e-03   2.0000000000e-03   3.3936583310e+02  -6.7417402714e+04   9.9766090889e-03   1.0343830816e+00   5.1883676994e-04   4.0599030877e-09   5.7984942393e-20   1.4238547187e-12   2.2455735915e-01   9.0963035162e-13   4.4915908525e-03   9.8012795233e-09   2.2240718685e-23   1.2608609091e-24   4.7542328328e-13   2.1650485903e-08   2.2870517496e-06   5.4827271247e-03   3.6401635156e-21   3.0365509750e-10   4.4753968632e-27   7.6546600000e-01
   6.0000000000e-03   6.0000000000e-03   4.1654431850e+02  -2.0606736468e+05   2.9920960316e-02   8.4004877363e-01   6.5407996483e-03   4.1747789127e-08   1.9735042153e-18   5.5286986925e-12   2.0767930417e-01   3.9873105252e-12   1.3470869426e-02   3.5973547630e-08   3.2182119744e-21   2.0210740571e-22   1.9173903807e-11   1.6792623009e-06   7.8006530647e-06   1.6442248489e-02   1.2204507361e-18   2.0248859480e-08   2.4150042376e-24   7.6239800000e-01
   1.0000000000e-02   1.0000000000e-02   4.9085380782e+02  -3.4471731068e+05   4.9787950053e-02   7.1061096577e-01   4.5564940843e-02   3.0823359449e-07   2.4339470127e-17   3.4723016992e-12   1.9086413730e-01   9.1076656867e-12   2.2415915253e-02   1.0345665815e-07   3.7503046300e-20   2.4274586710e-21   1.0822576277e-10   1.7626000467e-05   2.0229883395e-05   2.7351496683e-02   2.6941274934e-17   1.8307018185e-07   3.3865906658e-22   7.5933000000e-01
   1.4000000000e-02   1.4000000000e-02   5.6048309289e+02  -4.8336713789e+05   6.9397664189e-02   6.2035183527e-01   2.4861143066e-01   1.2354325996e-06   2.1611880149e-16   7.5853227960e-13   1.7425758621e-01   1.6041024154e-11   3.1246591883e-02   2.6175920505e-07   2.0474964514e-19   1.3025618987e-20   3.4811798298e-10   8.1754051687e-05   5.1616355428e-05   3.8098220518e-02   2.1002486852e-16   7.3342509501e-07   3.9359423998e-20   7.5626200000e-01
   1.8000000000e-02   1.8000000000e-02   6.2311834893e+02  -6.2201559537e+05   8.8490331514e-02   5.5621224404e-01   9.9889108196e-01   3.3090064251e-06   1.3087059470e-15   1.9822585706e-13   1.5806938311e-01   2.4409695562e-11   3.9846620331e-02   5.3505096889e-07   8.4614429225e-19   5.1170751625e-20   9.3794831285e-10   2.4383946418e-04   1.1435954389e-04   4.8526042633e-02   9.6181449722e-16   1.9098995130e-06   1.3771594696e-18   7.5319400000e-01
   2.2000000000e-02   2.2000000000e-02   6.7663964390e+02  -7.6065178311e+05   1.0679466753e-01   5.1056998567e-01   3.2073577221e+00   6.8923163859e-06   5.9158274481e-15   3.9496997296e-13   1.4251787910e-01   3.5141784872e-11   4.8094087308e-02   9.1397773767e-07   3.1124019688e-18   1.7460861319e-19   2.3063799009e-09   5.5668367661e-04   2.1665715797e-04   5.8477030748e-02   3.3160562509e-15   3.8533731438e-06   1.8873313973e-17   7.5012600000e-01
   2.6000000000e-02   2.6000000000e-02   7.1952724590e+02  -8.9923109855e+05   1.2407745624e-01   4.7858288591e-01   8.6325241610e+00   1.2163668119e-05   2.1371372204e-14   9.2706806409e-13   1.2779017093e-01   4.8291459189e-11   5.5883819062e-02   1.3685441969e-06   1.0031922108e-17   5.1258266326e-19   5.2554996298e-09   1.0664018160e-03   3.6142734137e-04   6.7820046166e-02   9.5869722505e-15   6.5971628290e-06   1.3144052082e-16   7.4705800000e-01
   3.0000000000e-02   3.0000000000e-02   7.5098144233e+02  -1.0376302682e+06   1.4016655575e-01   4.5704332496e-01   2.0242795142e+01   1.9128394624e-05   6.6759592936e-14   1.9039530382e-12   1.1402378966e-01   6.7946681382e-11   6.3137891571e-02   1.8629084755e-06   3.3591873545e-17   1.5408806004e-18   1.1071344323e-08   1.8076853588e-03   5.4713236134e-04   7.6462403422e-02   2.4793001778e-14   1.0095182868e-05   5.5406651811e-16   7.4399000000e-01
   3.4000000000e-02   3.4000000000e-02   7.7089923804e+02  -1.1755768784e+06   1.5495508608e-01   4.4377526144e-01   4.1108141439e+01   2.7661154126e-05   1.7694929256e-13   3.3149992335e-12   1.0130355059e-01   8.8934825528e-11   6.9807660739e-02   2.3655279527e-06   9.6477263009e-17   3.9213353976e-18   2.1728405244e-08   2.8027191374e-03   7.6918586520e-04   8.4350578318e-02   5.6959721786e-14   1.4256847234e-05   1.5901221261e-15   7.4092200000e-01
