# L (m)  = 0.008
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   2.9100000000e+02  -7.1787158976e+03   1.2082309197e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   1.0000000000e-04   4.0281348391e-02   5.5912400358e+02  -8.2301136580e+04   6.2734514583e-01   1.6585579487e-06   7.3188196332e-10   1.9376987690e-06   2.0646302816e-01   6.2431310209e-06   1.2103495163e-02   3.8654973665e-06   1.6677068693e-06  -2.2244785483e-27  -1.8665467254e-30   9.8236527622e-26   2.5793331970e-27   1.1774218726e-22   1.8112295039e-20   1.1768205344e-04   2.1305198043e-02   3.1911384619e-15   1.7817058563e-15   2.6134987794e-24   4.9807145365e-22   3.3969626494e-21   2.9451508315e-32   2.9452914010e-22   8.3994482676e-30   4.8835504885e-24   2.3672957037e-29  -1.1513857670e-28   1.2121541504e-25   2.5040629176e-21   2.1939426022e-21   3.5561507059e-16   2.2408441347e-14   3.3439601950e-15   3.9306785280e-14   7.2875689299e-16   1.5638644525e-05   4.7685260194e-06   1.8905355986e-07   4.4607426049e-10   6.5402963140e-22   1.8382913030e-12   9.3426189255e-17   4.9713928744e-31   3.1149066469e-15   3.0724784340e-14   2.3114974797e-12   6.4057628934e-15   7.5997462481e-01   1.2661003291e-19   1.0540091362e-41   5.4023182439e-40   1.4535290577e-25  -6.9104132732e-27
   3.0000000000e-04   7.9728377201e-02   8.2206562802e+02  -1.1535601154e+05   4.2595980847e-01   3.4088661041e-06   1.6991528197e-08   7.1948104109e-06   1.8047195386e-01   1.9430323406e-05   2.2681833033e-02   1.0844042646e-05   2.6921927284e-06  -2.2278110423e-27   1.2623422737e-29   1.1445212260e-24   4.7850554718e-26   8.2787557604e-22   3.8718004846e-20   2.3829927153e-04   4.1888335333e-02   1.2431747462e-13   5.7164611207e-15   2.2961974322e-22   1.8563080948e-21   6.2562415117e-21   3.3296788147e-29   6.4460266220e-22   6.0190381889e-28   1.2633810374e-23   6.6302032109e-28  -5.3252113546e-30   1.4787596735e-24   5.8178521800e-21   4.6453157643e-21   2.9558487439e-15   3.2457683907e-13   9.2645000016e-15   7.7396979308e-14   1.1172068435e-13   3.3026262357e-05   6.7226978903e-06   3.7073902542e-07   1.1868574230e-09   2.4188202315e-19   3.6582237107e-12   3.8938220015e-17   1.0975733018e-30   6.3810079918e-15   6.3326056266e-14   4.7414349903e-12   3.4434566310e-14   7.5463586687e-01   2.4727461318e-19   2.7785981358e-41   1.4569360874e-39   2.0173818881e-24   7.6531911574e-27
   5.0000000000e-04   1.1318435556e-01   1.0228259668e+03  -1.4813962609e+05   3.4188855588e-01   4.9989438063e-06   1.1457325312e-07   2.2457855663e-05   1.5841467961e-01   5.2993155258e-05   3.1460637084e-02   1.5714085159e-05   2.8903852523e-06  -3.6333074670e-27   5.9775568249e-27   7.4757890533e-23   5.8412056813e-25   2.4409832637e-21   6.2795835821e-20   3.4726301280e-04   5.9363341741e-02   1.0945887082e-12   1.4615657040e-14   3.3638718295e-21   2.9425296140e-21   8.5382020882e-21   1.6524532787e-27   1.1858036506e-21   4.0107010997e-27   6.8855009412e-24   9.5201302609e-28   1.9685386389e-28   1.1850293853e-23   1.2279815436e-20   7.2766955484e-21   2.0741714913e-14   1.4680408799e-12   2.1396463730e-14   1.2097147192e-13   1.5698369262e-12   4.9879190366e-05   4.8604405656e-06   5.2383120456e-07   2.1685315332e-09   5.6050466819e-18   5.3919050513e-12   1.6548253795e-17   2.8808549168e-28   9.5427305605e-15   9.5165998630e-14   7.1089967130e-12   9.9631269743e-14   7.5025964391e-01   3.4397675002e-19   2.8621025110e-41   4.0113841515e-39   4.4362774729e-24   2.2751973834e-26
   7.0000000000e-04   1.4296063240e-01   1.1897103539e+03  -1.7867970981e+05   2.9357888669e-01   6.8206426532e-06   4.2219263178e-07   5.8266779560e-05   1.3875663851e-01   1.3497908933e-04   3.9151440911e-02   1.5509457792e-05   1.8996764512e-06   1.2233452779e-25   5.0876021902e-25   1.4758668584e-21   1.2245751796e-23   8.0951363199e-21   1.0891213746e-19   4.6322077320e-04   7.4930538000e-02   4.9051384766e-12   2.4622620735e-14   1.7222234077e-20   3.8281628326e-21   1.3679945317e-20   3.7948012503e-26   2.7370615970e-21   2.0526434484e-26   3.1391922050e-24   4.6313987148e-28   7.1770040882e-29   1.0106909991e-22   3.1865388994e-20   1.1470518128e-20   1.2745699225e-13   4.4679444495e-12   5.7901522188e-14   1.9669547866e-13   8.6462344470e-12   6.5390961919e-05   2.3767709963e-06   6.5737156407e-07   3.0692912520e-09   5.5658662399e-17   7.2820160654e-12   1.3251719784e-17   1.5590947269e-26   1.3217376685e-14   1.3401563675e-13   9.8023943122e-12   2.2440292368e-13   7.4641184736e-01   4.2448167484e-19   1.4276439123e-40   1.8382351559e-38   5.3575594442e-24   2.7909273350e-26
   9.0000000000e-04   1.7023103658e-01   1.3331564989e+03  -2.0833118228e+05   2.6169083309e-01   9.7581838833e-06   1.1270219687e-06   1.1910470907e-04   1.2072924787e-01   2.9296938481e-04   4.6067157912e-02   1.3255893613e-05   9.6047147162e-07   5.1595434597e-24   1.5229548939e-23   1.4015771657e-20   1.6433764713e-22   3.5482282841e-20   2.6391005470e-19   6.1979228739e-04   8.9155209293e-02   1.5726052318e-11   3.7923425710e-14   5.8672615657e-20   5.4537727261e-21   3.0014527326e-20   7.4642812860e-25   1.0120198801e-20   1.6101956823e-25   1.0005723964e-23   1.1980485750e-27   7.6971560272e-29   1.0216166490e-21   1.2065660123e-19   2.4006683226e-20   7.2165447804e-13   1.2374697111e-11   1.7992818348e-13   3.7515412494e-13   2.9790243542e-11   7.9062545836e-05   1.0684179321e-06   7.6862243144e-07   3.7712232417e-09   3.5021512301e-16   1.0004977190e-11   1.4467296393e-17   3.2362983884e-25   1.8919141114e-14   2.0044132909e-13   1.3757624957e-11   4.6229408596e-13   7.4291050953e-01   4.9305195365e-19   2.0209832691e-39   1.7377512480e-37   1.1087380716e-23   9.0580735295e-26
   1.1000000000e-03   1.9562231819e-01   1.4580681337e+03  -2.3791554155e+05   2.3899460238e-01   1.5271793163e-05   2.4653457686e-06   2.0320480940e-04   1.0396213967e-01   5.3521971862e-04   5.2357027714e-02   1.0979361507e-05   5.8446148993e-07   1.1865276615e-22   2.6549157312e-22   9.5453766145e-20   1.5230650145e-21   1.9395223338e-19   1.0260960546e-18   8.7621596973e-04   1.0227887136e-01   4.2782729891e-11   7.1738314934e-14   2.0341762476e-19   1.0706581639e-20   8.4007543233e-20   1.6464224599e-23   6.5687913598e-20   1.9234018482e-24   7.0673050706e-23   7.0623281866e-27   3.3285320421e-28   1.2812353916e-20   6.8960656943e-19   7.9364976779e-20   3.5247160880e-12   3.1227799426e-11   5.4828009776e-13   8.1893030572e-13   7.7669920436e-11   9.1423812580e-05   5.4974028455e-07   8.4240795514e-07   4.3526303519e-09   1.7600919673e-15   1.5630566860e-11   2.0790718924e-17   3.9890199085e-24   3.0596749489e-14   3.4084121037e-13   2.1543017640e-11   9.7144307384e-13   7.3966518352e-01   5.5226603420e-19   6.1662744250e-38   3.2665515820e-36   4.3020267355e-23   6.1777303975e-25
   1.3000000000e-03   2.1949412922e-01   1.5669724531e+03  -2.6798866349e+05   2.2210889596e-01   2.5065287033e-05   4.7274911732e-06   3.0526505778e-04   8.8293289944e-02   8.5064314096e-04   5.8101249235e-02   9.1514081634e-06   4.1794279494e-07   1.9802494838e-21   3.6046890875e-21   5.8893162136e-19   1.2333438250e-20   1.3394499927e-18   6.2778096809e-18   1.3186055525e-03   1.1435978469e-01   1.0749244666e-10   1.6874582787e-13   7.7955706844e-19   2.8807579995e-20   3.0743723787e-19   4.4288713142e-22   7.1608096806e-19   3.2498926096e-23   7.6540849641e-22   6.5628767773e-26   2.6401589377e-27   2.0164113100e-19   5.6428820139e-18   4.3777105072e-19   1.4279861826e-11   6.8930248788e-11   1.5129658601e-12   1.8527058238e-12   1.6900770397e-10   1.0294821847e-04   3.3285640390e-07   8.5874551553e-07   4.9052020419e-09   8.4814739100e-15   3.0434132566e-11   4.0693831332e-17   3.8722159907e-23   5.9517224780e-14   6.8523905882e-13   4.0250043924e-11   2.2864853894e-12   7.3662764998e-01   6.0385209384e-19   3.3962786648e-36   1.0900849882e-34   2.8038249740e-22   6.6639242719e-24
   1.5000000000e-03   2.4206229788e-01   1.6611829551e+03  -2.9890609855e+05   2.0922303942e-01   4.0916520954e-05   8.2531397869e-06   4.1650235522e-04   7.3678802523e-02   1.2154110813e-03   6.3346003651e-02   7.7432065584e-06   3.2958143973e-07   2.7308739351e-20   4.6219538283e-20   3.8549099890e-18   1.0724518673e-19   1.2863189245e-17   5.6704585653e-17   2.0550181107e-03   1.2534324575e-01   2.5516701210e-10   4.3438308060e-13   3.0636737904e-18   1.0032146999e-19   1.6560389310e-18   1.4384421009e-20   1.1873838768e-17   7.3337137305e-22   1.1899306650e-20   9.2996020866e-25   3.6220097718e-26   3.9737311240e-18   6.1970718127e-17   3.8766289483e-18   4.7432921624e-11   1.3207910749e-10   3.7470161108e-12   4.1075820380e-12   3.2388938674e-10   1.1386623920e-04   2.2510714360e-07   8.0891161231e-07   5.4913744350e-09   4.2912087497e-14   7.6004321338e-11   1.0841745183e-16   3.6375570427e-22   1.4325724598e-13   1.6614869414e-12   9.1395551814e-11   6.2673956005e-12   7.3377287994e-01   6.4905600747e-19   2.9388699067e-34   5.8304704384e-33   2.7582807004e-21   1.0136499591e-22
   1.7000000000e-03   2.6345526885e-01   1.7413642644e+03  -3.3085064698e+05   1.9927341646e-01   6.4778803425e-05   1.3386508522e-05   5.2450782163e-04   6.0150513488e-02   1.5959763227e-03   6.8117367521e-02   6.6385837495e-06   2.7696718597e-07   3.4138029261e-19   6.9922825262e-19   3.2657998185e-17   1.2752435855e-18   1.7955280514e-16   7.0677353844e-16   3.2082400297e-03   1.3510465673e-01   5.7054062469e-10   1.1074506042e-12   1.2425526765e-17   5.4568104075e-19   1.4633219335e-17   5.4112243280e-19   2.7116339850e-16   2.0966708378e-20   2.4850176955e-19   1.8747452388e-23   8.3537495264e-25   9.6549957410e-17   8.6474810281e-16   5.1270875555e-17   1.2942654407e-10   2.2286506494e-10   8.6792148056e-12   9.0803134390e-12   5.6303457611e-10   1.2427618425e-04   1.6278139276e-07   7.0646538645e-07   6.1496376940e-09   2.3244562754e-13   2.3826587690e-10   3.7747626348e-16   4.2068996406e-21   4.2985916073e-13   4.8059645192e-12   2.4776998864e-10   1.9882440694e-11   7.3108852488e-01   6.8882384737e-19   3.5902678945e-32   4.6021701009e-31   3.7659689785e-20   2.0062918520e-21
