# L (m)  = 0.12
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   2.9100000000e+02  -7.1787158976e+03   1.2082309197e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   1.5000000000e-03   4.4207241010e-02   5.9135110569e+02  -8.4996375795e+04   5.9307763732e-01   1.3935770547e-09   2.5780600675e-14   2.1721796111e-09   2.0375235537e-01   2.4634985225e-07   1.3347919125e-02   4.4555330833e-10   1.0279419112e-07   2.3874260186e-31   1.2233299926e-38  -1.7894938568e-30   5.8484099905e-34   2.5051187251e-30   1.7523383956e-30   7.9421783218e-08   2.3692022837e-02   7.3898370301e-23   1.4625757850e-24   9.1191530290e-35   4.6529209947e-32   3.5166459031e-28   1.4475942261e-40   1.4983999438e-29  -3.4683737230e-37   2.6653468844e-30  -3.5033489473e-34   5.3686888696e-36   1.1853236459e-31   6.0430408104e-26   8.0773378971e-27   1.5425075122e-23   2.0075114774e-20   1.0911455470e-16   1.2191083297e-15   3.5745805324e-20   1.0394455080e-04   3.9166844013e-06   4.1094021188e-08   3.4294414113e-13   4.3240857823e-28   6.4930092462e-19   4.5683748483e-27   2.2038435484e-38   2.0810131001e-21   1.8334757643e-17   3.2405686048e-16   2.5031444252e-21   7.5909936755e-01  -1.2357138185e-23  -6.2277443135e-31  -2.1390607114e-30   4.2022697455e-32   2.1297699102e-32
   4.5000000000e-03   8.5745912541e-02   8.7234470829e+02  -1.1352987740e+05   4.0137363795e-01   2.8667059947e-09   1.4902706035e-12   2.1683169579e-08   1.7626835465e-01   9.2871580163e-07   2.4498903315e-02   5.5103116661e-09   1.2069884902e-07   2.3842690972e-31   4.1955554022e-38   4.8402994659e-33   8.2485897761e-36   5.2508017717e-31   3.3853696272e-30   1.6538562279e-07   4.5672038269e-02   7.3094400016e-21   1.9011130401e-23   2.0683216286e-32   7.7006130757e-33   7.4527827884e-29   1.4191584343e-37   2.9279500185e-29   7.1191537304e-36   4.8447959688e-30  -4.8052483774e-34  -5.7513170615e-36   2.6020082759e-30   2.2342759069e-25   1.5139851224e-26   7.1841880690e-20   3.0647652561e-19   8.7668776500e-17   2.6722692047e-15   1.2202585207e-17   2.0564872025e-04   6.9512670803e-06   7.9113877960e-08   1.4800700962e-12   6.2380002062e-27   1.2068891725e-18   4.4128513664e-28   3.1318851248e-39   4.0064665435e-21   3.5298853806e-17   6.3328703822e-16   6.6466151068e-20   7.5334678000e-01  -2.3728161902e-23  -1.9038143307e-31  -1.0066307089e-31   1.0212583258e-27   2.0942804402e-31
   7.5000000000e-03   1.2098472009e-01   1.0874462208e+03  -1.4243766052e+05   3.2156441762e-01   5.0168469921e-09   1.5589141145e-11   7.9668863637e-08   1.5295216077e-01   3.4458277540e-06   3.3788440056e-02   2.7208137534e-08   3.8031994898e-08   4.7161635473e-30   1.6662837356e-37   1.0365263941e-32   5.3833954829e-35   8.8774866192e-31   8.0384938934e-30   2.8188786993e-07   6.4364893400e-02   1.2780940877e-19   3.7470389840e-22   2.4977818051e-32   6.2935487657e-33   6.7769517651e-30   7.7375568609e-36   4.7159491152e-29  -2.9448819315e-35   1.8238060546e-29  -2.3577381373e-36  -3.9387603322e-37   2.0524845375e-31   3.6189259168e-27   2.1215874051e-26   1.2899516821e-17   6.7843980551e-18   1.1721028981e-16   4.2567693958e-15   2.5379919369e-16   2.9354827084e-04   7.7103078825e-06   1.1114500766e-07   8.6858780098e-12   1.7100666531e-25   1.6866580045e-18   3.2450817417e-28   4.7528307818e-39   5.6397717757e-21   4.9691509912e-17   1.0183059275e-15   5.7376395181e-19   7.4858925818e-01  -3.3093045240e-23   4.3874024970e-34   1.3485603912e-30   5.9416269152e-33  -2.9280279039e-33
   1.0500000000e-02   1.5232449247e-01   1.2679082013e+03  -1.6890527726e+05   2.7549597898e-01   1.2251647917e-08   8.9171699651e-11   2.4057272609e-07   1.3221424493e-01   1.0959221406e-05   4.1976922355e-02   6.3447223212e-08   1.3329520846e-08  -1.6923313239e-31   2.0779122632e-35   2.7860331644e-31   2.6187394492e-33   1.1484558023e-29   3.8053110969e-29   5.8362021752e-07   8.1050352945e-02   1.7967024310e-18   9.4418746651e-21   4.9239729923e-30   1.7787504354e-31   2.2409343645e-29   1.5862180774e-34   8.3043967169e-29   3.2972548224e-35   3.6694388207e-30  -4.4661043911e-36  -6.0723065144e-37   3.1638173991e-32   1.1850995669e-28   2.6832731967e-26   4.5248819558e-16   9.3801152710e-17   2.4585085818e-16   7.0076114193e-15   2.1198881207e-15   3.7362552753e-04   5.6296153401e-06   1.3698646814e-07   2.8528330183e-11   2.0231840913e-24   2.2489908207e-18   4.3212743431e-28   6.5485843566e-37   7.1012480769e-21   6.2659783715e-17   2.0411022495e-15   3.3694044464e-18   7.4436721528e-01  -4.1127201713e-23   8.3961969959e-36   4.8285419503e-32   5.3973660091e-34  -4.5373105074e-35
   1.3500000000e-02   1.8100888881e-01   1.4258207739e+03  -1.9354354731e+05   2.4474934163e-01   4.2448623929e-08   5.3294181195e-10   7.8691368775e-07   1.1322758975e-01   3.0964549707e-05   4.9427095527e-02   1.0647503897e-07   1.0877108002e-08   2.9248530526e-33   4.1678437837e-33   4.9309577688e-30   7.0710188814e-32   1.2645152196e-28   2.5770128372e-28   1.7266613527e-06   9.6378207909e-02   3.0976449801e-17   2.3418732927e-19   5.6056402417e-28   9.3019799900e-30   2.5587795092e-28   2.1464079946e-33   1.7138833279e-28   1.9265234502e-35   1.5366516175e-31  -6.2711489986e-38  -3.8258599056e-40   1.5545045039e-31   3.2542157026e-29   3.2950215737e-26   8.9485156469e-15   1.1505064524e-15   8.4926610357e-16   1.6065777477e-14   1.6170050622e-14   4.4738116373e-04   3.2726980320e-06   1.5106911827e-07   6.9232148886e-11   2.1538956866e-23   3.5973028053e-18   1.2762658928e-27   1.5225525989e-34   8.4832211116e-21   7.5751145814e-17   5.9877264570e-15   2.2380776147e-17   7.4048266316e-01  -4.8185682523e-23   1.5022665808e-37   3.8771162567e-34   2.7912519647e-35  -9.2278149551e-38
   1.6500000000e-02   2.0774085704e-01   1.5672781084e+03  -2.1693212131e+05   2.2246410031e-01   1.6966865922e-07   3.3308773320e-09   2.6186646330e-06   9.5520608689e-02   7.8955240014e-05   5.6328513577e-02   2.0054370633e-07   1.3807204995e-08   1.5109670764e-30   1.6153195808e-30   7.4837619245e-29   1.5397329590e-30   1.3856047834e-27   2.0671390383e-27   6.6601133193e-06   1.1070707158e-01   6.2421530207e-16   5.5061465266e-18   5.4207317879e-26   6.5238627928e-28   8.6725166437e-27   2.4723259300e-32   4.3969038503e-28   1.1318122305e-35   2.0064385724e-33   1.2279763406e-39   2.2814939530e-40   3.2499730067e-30   1.0505145184e-28   4.5095938610e-26   1.3070911153e-13   1.3724487564e-14   5.2268692786e-15   6.0884194945e-14   1.1991946931e-13   5.1559119810e-04   2.2238384905e-06   1.5719660968e-07   1.8004953274e-10   3.8889917943e-22   9.3211620508e-18   8.7752164134e-27   3.6158209162e-32   1.0014368730e-20   9.7022454841e-17   2.5071229649e-14   1.8969601851e-16   7.3683721256e-01  -5.4471714044e-23   8.1424333178e-40   7.7949561653e-37  -1.1624316382e-36   2.3670249435e-35
   1.9500000000e-02   2.3296058071e-01   1.6956209175e+03  -2.3956858714e+05   2.0545404190e-01   6.6407684143e-07   1.9277674707e-08   8.0405404738e-06   7.8797667414e-02   1.7953152812e-04   6.2783596176e-02   3.6372744193e-07   2.0862327654e-08   7.2396140314e-27   5.7381229691e-28   1.8258365950e-27   6.7111190808e-29   3.9879487883e-26   4.1930055660e-26   2.7511295469e-05   1.2424160813e-01   1.1382710239e-14   1.0496894181e-16   3.6207828293e-24   4.0876425427e-26   3.7236041072e-25  -1.6011536631e-32  -8.5551812253e-29  -1.9018557924e-35  -1.5996499566e-35  -1.3480972209e-41  -1.1608146341e-40   6.6905441284e-29   9.4537591475e-28  -3.9720497613e-27   1.4594378192e-12   1.3955803393e-13   4.0437813154e-14   2.9514939286e-13   7.8725783876e-13   5.7980515269e-04   1.6514464584e-06   1.7769645243e-07   4.4212840350e-10   1.2002330874e-20   4.8091892464e-17   1.3584442443e-25   6.4477474561e-30   1.2941426295e-20   1.8428766107e-16   1.3096792511e-13   1.8025606822e-15   7.3337934204e-01  -6.0125806949e-23   1.3616603895e-42   4.6094635769e-40   2.5574099735e-31   2.9607409604e-33
   2.2500000000e-02   2.5695303409e-01   1.8125352106e+03  -2.6186809772e+05   1.9203920989e-01   2.2984260081e-06   9.2105624819e-08   2.0905790670e-05   6.2884493880e-02   3.5650718943e-04   6.8842910594e-02   5.7640838695e-07   3.1149417034e-08   1.2660653660e-24   1.0045779004e-25   1.5215019473e-25   7.6566153795e-27   2.6236354542e-24   1.8428964387e-24   1.0401670756e-04   1.3706067473e-01   1.5451676686e-13   1.4443061500e-15   1.4429201679e-22   1.7055641448e-24   1.1580403008e-23  -2.0902722899e-33  -4.3191388443e-30  -1.0048665097e-36  -1.4424258215e-36  -9.1372050696e-43  -1.7038742910e-42   3.1594603312e-27   4.9858179013e-27  -1.0670926067e-28   1.1918914371e-11   1.0759535863e-12   2.7276521821e-13   1.3449141998e-12   4.1402983510e-12   6.4086897725e-04   1.2598828016e-06   2.1116736140e-07   9.6990281733e-10   3.4853741677e-19   4.3711324438e-16   3.5081621707e-24   6.2781783147e-28   2.4750648819e-20   7.2449322673e-16   6.7371545365e-13   1.4803511063e-14   7.3008515219e-01  -6.5239969168e-23   8.3965211876e-46   1.0612832412e-43   1.0023938765e-33   7.7089561040e-36
   2.5500000000e-02   2.7988249806e-01   1.9183412328e+03  -2.8414443548e+05   1.8127774048e-01   6.8785390819e-06   3.5320640664e-07   4.4749249662e-05   4.7740153985e-02   6.1750944788e-04   7.4518369609e-02   7.8901798937e-07   4.2688204170e-08   9.7924256505e-23   8.3356232483e-24   1.1452503251e-23   6.1857315636e-25   1.2861149977e-22   6.8776003478e-23   3.3980840214e-04   1.4907736040e-01   1.4988480204e-12   1.4294827958e-14   3.5197737813e-21   4.4742915487e-23   2.4165691469e-22   1.6086462634e-31   1.2774860120e-28   9.4557798803e-35   1.8299269844e-34   2.1304227629e-40   1.0427810726e-41   2.1460509333e-25   2.5335089277e-25   3.9067069951e-28   7.0215104577e-11   6.0780515456e-12   1.4402869674e-12   5.2370676864e-12   1.7104647721e-11   6.9878988193e-04   9.7104531540e-07   2.4119420748e-07   1.9255979065e-09   6.7960461387e-18   4.3411309609e-15   8.8020406995e-23   3.2437910279e-26   9.5254253508e-20   3.7746162272e-15   2.9030492311e-12   9.0416335092e-14   7.2695398112e-01  -6.9857188623e-23   2.3111938294e-49   1.2041167363e-47   1.0926397689e-31   4.6858891263e-34
