# L (m)  = 0.1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   2.9100000000e+02  -7.1787158976e+03   1.2082309197e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   1.2500000000e-03   1.2500000000e-02   3.8708102019e+02  -1.6239854319e+04   9.0690921602e-01   5.5317372068e-34   4.6265759403e-45   6.9163734483e-32   2.2474643587e-01   7.7786709803e-22   4.3898371001e-03   2.7839362164e-21   1.9763753499e-20  7.5017865020e-145  6.9624587957e-147  4.5242593555e-138  2.0592340643e-143  2.0058835653e-124  2.1348619212e-114   1.6548955687e-36   5.3619855937e-03   3.6886240533e-75   1.3320265396e-74  2.0382193296e-105  2.0543605944e-110  5.6947510242e-100  4.0287888102e-196  1.2651755689e-170  4.9873688640e-198  6.7465992727e-185  7.8315560009e-212  6.5658745515e-205  2.0434655806e-147  9.2243346444e-137  4.3534341305e-154   7.3578863960e-62   3.1803785280e-64   1.0419195764e-60   3.5774488798e-48   2.9836895733e-52   8.9674799221e-13   4.5827947178e-09   7.0164776457e-16   9.8746636637e-34  9.7068360071e-110   1.0706707533e-87  1.0248383932e-121  9.3696420703e-135   1.6955170458e-96   7.4041459872e-72   1.3773069859e-57   2.8260044166e-72   7.6550173685e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00  1.0540491830e-164  1.4401820965e-158
   3.7500000000e-03   3.7500000000e-02   5.7311680940e+02  -3.4362131163e+04   6.1062029709e-01   8.0181842135e-23   6.9421537924e-30   6.1199053369e-21   2.0823922699e-01   1.5079817192e-14   1.3169511300e-02   3.0488706114e-15   2.3547447248e-15   1.2328425084e-95   2.3178822731e-97   5.2825285279e-92   1.0332888310e-95   1.3423919412e-83   8.2281756172e-78   1.3652672919e-23   1.6085956781e-02   4.8728369844e-50   1.3813009648e-50   1.0462771798e-71   2.0469273112e-75   5.7161540911e-69  3.4638328373e-130  5.5523845905e-114  8.8308659833e-133  5.4344906563e-125  1.7028172436e-143  6.0936023087e-140   1.4321800374e-98   2.8873540261e-92  5.0087893149e-104   4.1374309400e-41   5.1979966093e-43   3.3268426618e-41   1.3613733653e-33   8.4823045869e-36   8.6138032448e-09   1.2304897021e-07   2.4303906346e-12   1.3974863064e-23   9.5399319327e-73   1.1957134620e-58   4.6020214557e-82   3.4300131336e-91   1.0191414954e-65   4.2110228853e-49   1.7547347619e-39   9.4726580056e-49   7.6250517326e-01   0.0000000000e+00  6.6321148935e-205  2.9343714342e-201  1.6158810384e-111  2.8516944304e-108
   6.2500000000e-03   6.2499999996e-02   7.4950397343e+02  -5.2484408020e+04   4.6547179554e-01   2.5375046675e-17   2.0657563190e-22   1.4415963788e-15   1.9173139111e-01   5.6333510489e-11   2.1949185470e-02   2.6144864011e-12   6.8685401814e-13   1.6738114174e-71   4.3862519849e-73   2.0115896738e-69   2.4448689683e-72   1.3576894295e-63   6.5550486928e-60   2.8690775564e-17   2.6809927969e-02   9.6473909872e-38   7.5857071609e-39   3.3640676224e-55   2.6617843400e-58   8.0530476905e-54   7.4057242399e-98   3.3454197316e-86  8.2361418863e-101   1.1843574537e-95  4.9604393930e-110  3.8737937299e-108   1.2566550625e-74   1.8479893256e-70   1.7849442721e-79   6.3141437966e-31   1.3171186986e-32   1.1953065064e-31   1.8435583966e-26   9.6758615649e-28   7.5099514438e-07   5.8037651389e-07   1.3006899121e-10   1.2504933527e-18   1.2729683008e-54   2.0976552831e-44   1.2247998438e-62   7.9256387454e-70   1.2396518199e-50   5.8216407456e-38   1.3018343349e-30   3.2062251641e-37   7.5950816389e-01   0.0000000000e+00  1.0578491092e-157  9.3218207584e-156   1.7962584854e-85   1.1853294881e-83
   8.7500000000e-03   8.7499999998e-02   9.1589771498e+02  -7.0606684858e+04   3.7973224306e-01   4.9369269997e-14   5.7726763426e-18   2.1424918853e-12   1.7521861710e-01   7.3820366174e-09   3.0728855742e-02   1.3909596140e-10   2.0100413696e-11   3.2440819448e-57   1.0577171648e-58   4.9713473081e-56   1.7666581334e-58   1.0418425282e-51   2.9313846652e-49   1.6197525163e-13   3.7533899156e-02   1.8972976735e-30   7.1669521878e-32   2.1812518816e-45   3.8826964240e-48   8.3198468420e-45   1.1010964550e-78   1.0658478078e-69   7.9153351153e-82   3.2652368338e-78   3.8465753285e-90   3.2339848486e-89   2.0407061434e-60   1.6969461102e-57   6.9808807331e-65   6.6552460341e-25   1.9104238781e-26   5.5934988178e-26   3.2773489134e-22   5.7339530446e-23   1.0283890376e-05   1.3930485948e-06   1.3572522899e-09   1.0542918503e-15   6.8437659541e-44   6.0497582564e-36   4.1619571296e-51   3.7218648983e-57   1.1125597865e-41   2.3954511457e-31   2.4776533504e-25   2.2001418974e-30   7.5650694216e-01   0.0000000000e+00  1.2429895623e-129  1.1172506020e-128   5.3624969466e-70   5.2358578531e-69
   1.1250000000e-02   1.1250000000e-01   1.0735873550e+03  -8.8728961696e+04   3.2295970274e-01   7.9516711001e-12   5.3300430521e-15   2.6690947587e-10   1.5868582924e-01   1.8766868760e-07   3.9508433814e-02   1.9020067324e-09   1.9123168782e-10   9.9260508022e-48   3.8228709767e-49   4.0805240191e-47   2.9441419788e-49   8.8562779294e-44   3.9061354943e-42   5.1106201041e-11   4.8257870263e-02   1.3631886221e-25   3.2588137314e-27   7.7426126920e-39   2.3535427368e-41   8.9443053288e-39   6.3168506663e-66   1.0832443803e-58   3.5897424851e-69   1.4536568297e-66   7.3551271065e-77   1.4593004251e-76   5.9700844882e-51   7.6579052138e-49   3.8105863235e-55   6.5209980960e-21   2.3574075779e-22   3.3434754020e-22   2.3089012156e-19   8.5151595503e-20   5.6944884934e-05   2.3972899085e-06   6.3605606365e-09   9.1677439769e-14   9.1565507612e-37   2.6464456964e-30   2.0204262433e-43   1.0092463184e-48   1.0217275101e-35   6.1432980157e-27   8.3916000670e-22   7.7655194611e-26   7.5348832806e-01   0.0000000000e+00  7.0764031877e-111  1.4494979677e-110   1.1397248102e-59   3.2395996031e-59
   1.3750000000e-02   1.3750000000e-01   1.2241625811e+03  -1.0685123854e+05   2.8236556495e-01   3.1664329200e-10   7.2826624644e-13   8.2813833563e-09   1.4210646949e-01   1.9000153289e-06   4.8287195135e-02   1.2109099494e-08   9.6484762705e-10   6.3269013469e-41   2.7988436877e-42   1.0578931691e-40   1.2652676944e-42   4.6636456616e-38   5.6283416316e-37   3.2221898332e-09   5.8981836468e-02   4.2659562185e-22   7.5432819275e-24   4.1420167242e-34   1.8479083419e-36   2.0836564943e-34   9.5345503136e-57   9.4103878694e-51   4.8013881892e-60   3.8010809217e-58   2.8925189303e-67   2.1018864132e-67   3.9164845714e-44   1.3584250323e-42   4.0387079956e-48   4.6727266524e-18   2.0262098064e-19   1.7490739636e-19   2.6825483603e-17   1.6123735405e-17   1.8957031664e-04   3.4056028595e-06   1.8977704534e-08   2.2386659444e-12   1.1934579724e-31   3.0894606441e-26   6.9941211502e-38   1.1742816958e-42   2.0014049299e-31   9.2401527057e-24   2.9913771258e-19   1.4416387526e-22   7.5042957909e-01   0.0000000000e+00   2.5499384791e-97   1.8666252720e-97   3.2409985156e-52   3.9205131813e-52
   1.6250000000e-02   1.6250000000e-01   1.3683045742e+03  -1.2497351538e+05   2.5184647392e-01   5.2712745805e-09   3.0178590101e-11   1.0755702493e-07   1.2545140732e-01   1.0800721060e-05   5.7062099773e-02   4.7576181000e-08   3.2573654585e-09   8.6599809330e-36   4.3299481973e-37   7.6443678557e-36   1.3362870876e-37   1.0420357798e-33   4.8788721563e-33   7.4694996218e-08   6.9705695358e-02   1.9006548275e-19   2.7426046468e-21   1.6292430499e-30   9.7144812897e-33   4.4843866086e-31   8.5731226061e-50   1.0139050693e-44   4.1114035722e-53   9.7817307706e-52   5.8265587686e-60   2.0403924726e-60   5.7884138419e-39   7.7052815040e-38   8.8112072324e-43   6.5561787972e-16   3.3120525114e-17   2.0082657860e-17   1.0160196792e-15   8.4629955350e-16   4.5796200259e-04   4.2606437122e-06   4.2534143620e-08   2.4732628430e-11   8.7425156308e-28   3.7944951987e-23   1.1196580102e-33   4.5971815176e-38   3.5703867693e-28   2.3802528664e-21   2.6259668802e-17   4.2767347988e-20   7.4730749324e-01   0.0000000000e+00   5.4043923762e-87   1.8719892116e-87   1.5072328933e-46   9.8361409109e-47
   1.8750000000e-02   1.8750000000e-01   1.5064595411e+03  -1.4309579223e+05   2.2804922427e-01   4.9079299946e-08   5.6349244767e-10   7.7697089634e-07   1.0869957917e-01   4.1619709815e-05   6.5825028495e-02   1.3440570304e-07   8.3515294474e-09   9.1983574414e-32   5.1517520789e-33   5.1157857269e-32   1.2018968460e-33   2.8577157445e-30   6.5646595864e-30   8.9134085000e-07   8.0428383440e-02   2.3161419737e-17   2.9161039534e-19   1.1297893652e-27   8.4609288758e-30   1.9851661712e-28   2.5655877222e-44   5.9348040393e-40   1.2320959107e-47   1.1752020577e-46   3.5476772426e-54   7.1982795228e-55   6.8847945236e-35   4.4477082986e-34   1.4571031816e-38   3.0948738581e-14   1.7894867556e-15   8.3998614770e-16   1.8279769278e-14   1.8879491602e-14   8.8908109878e-04   4.8509866928e-06   7.8327716159e-08   1.6048757103e-10   9.4542388369e-25   1.0457960603e-20   2.3260463030e-30   1.8849651162e-34   1.2908973036e-25   1.8961312970e-19   9.0770419716e-16   3.7400750885e-18   7.4410951790e-01   0.0000000000e+00   8.2394156645e-79   1.6303891649e-79   4.5661548741e-42   1.8853366682e-42
   2.1250000000e-02   2.1250000000e-01   1.6389162096e+03  -1.6121806907e+05   2.0897259571e-01   3.0480395403e-07   6.0125882062e-09   3.6918319323e-06   9.1846607217e-02   1.2155092980e-04   7.4559984767e-02   2.9821968344e-07   1.7506327786e-08   1.6378543782e-28   1.0236451213e-29   6.5284124189e-29   1.9435107330e-30   1.8251971485e-27   2.4316924758e-27   6.7057557463e-06   9.1143219084e-02   1.1429493912e-15   1.3187582374e-17   2.3388091274e-25   2.1063099317e-27   2.9307710910e-26   7.1929059160e-40   4.6009496332e-36   3.5980530852e-43   1.6881484227e-42   1.9065831046e-49   2.5561529414e-50   1.4183520903e-31   5.2539052314e-31   4.0073352417e-35   6.7890032976e-13   4.4486706896e-14   1.7349572807e-14   1.9614813428e-13   2.3122540748e-13   1.4712605403e-03   5.1061751650e-06   1.2479579659e-07   7.1381467360e-10   2.6953157289e-22   1.0213505459e-18   1.1675512469e-27   1.6017545791e-31   1.5291495791e-23   6.6650015935e-18   1.6399667191e-14   1.3922644467e-16   7.4084112165e-01   0.0000000000e+00   4.1012616092e-72   5.3025163217e-73   2.0737845075e-38   6.0711542804e-39
