# L (m)  = 0.02
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   2.9100000000e+02  -7.1787158976e+03   1.2082309197e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   2.5000000000e-04   4.1877393693e-02   5.7422822059e+02  -8.2106741123e+04   6.1082856604e-01   1.6298565092e-07   2.8724305537e-11   2.2939061322e-07   2.0534076532e-01   2.4873256110e-06   1.2624479109e-02   3.1962097708e-07   7.1145159601e-07  -1.9134216226e-27  -2.3608420266e-32   1.4024039169e-26  -4.1812565735e-28  -4.8002483173e-23  -2.2489467191e-20   1.2662644105e-05   2.2356029460e-02   1.3289172351e-17   1.4831313134e-18  -2.0811876261e-27  -1.6486910421e-24  -7.8584219216e-22   2.8968055700e-34   4.6844307000e-24  -3.9396345377e-31   1.0662101221e-23   1.1978584544e-26   1.1108713996e-23   6.4613366068e-29   1.8739702047e-24   6.7474945247e-22   8.3727737187e-19   1.8169897383e-16   1.0567236253e-15   9.9420222211e-15   3.3567818650e-17   2.1212145330e-05   4.8894353353e-06   2.0279158187e-07   4.6920279875e-11   1.2638951849e-25   6.4417258318e-16   3.9200461766e-21   1.2134191641e-33   4.3508594006e-17   1.5815634563e-16   4.4038658169e-14   2.2695712311e-17   7.5963584630e-01   1.2597424663e-20   8.2204439165e-26   1.7828082844e-24   3.4162179947e-28   5.6608966168e-26
   7.5000000000e-04   8.2085996601e-02   8.4629300883e+02  -1.1127339517e+05   4.1377858857e-01   3.3311196249e-07   6.8080721247e-10   9.8408448292e-07   1.7878266656e-01   7.5115980695e-06   2.3424458191e-02   1.1747937918e-06   9.7137695969e-07   7.4833340012e-28  -5.4380998791e-32  -2.9960193696e-26  -2.8556522747e-27  -1.3304935431e-22  -1.0972043663e-20   2.5663101573e-05   4.3542796833e-02   5.2531196646e-16   7.1961399815e-18   1.4135143036e-27  -1.2524846051e-24  -7.3238065644e-22   2.5484805578e-31   8.9419933999e-24   3.0017360546e-28   5.0247486407e-23   8.6116820076e-26   2.6640024259e-23   7.4402903692e-28   3.2163847857e-24   1.0504306134e-21   1.0712725545e-17   3.3335944939e-15   2.3473850190e-15   2.0042349118e-14   4.9946492970e-15   4.3341297864e-05   7.7898188892e-06   3.9451297845e-07   1.0313039499e-10   4.1161649890e-23   1.2103249069e-15   3.3391883368e-22  -4.1366596315e-33   8.4651093566e-17   3.0769860073e-16   8.6009824427e-14   2.4981735278e-16   7.5416191572e-01   2.4751037356e-20  -5.5705495572e-27   3.2494044641e-25   4.2213851929e-26   1.7380745413e-25
   1.2500000000e-03   1.1619007383e-01   1.0547512756e+03  -1.4033192959e+05   3.3157226725e-01   5.0197464899e-07   5.0106719711e-09   3.1954413320e-06   1.5625305393e-01   2.1111961374e-05   3.2407947483e-02   2.1193595412e-06   8.4807358499e-07   3.7422072902e-27   1.0866322291e-31  -1.7479371687e-26  -6.1459117197e-27  -1.1980465997e-22  -3.9984829478e-21   3.8334540443e-05   6.1547373176e-02   5.2100322538e-15   2.7222380725e-17   2.8739538236e-25  -2.2327982067e-25  -2.9756939833e-22   9.9760631048e-30   1.3285986860e-23   4.9265149406e-27   1.0452831657e-22   8.9309883328e-25   8.2410023929e-23   3.7530955624e-27   2.9841177939e-26   1.1048514569e-21   1.9880031375e-16   2.1154933526e-14   4.0898225236e-15   3.3648736494e-14   7.5006588708e-14   6.4115852515e-05   6.9913338148e-06   5.5683128413e-07   2.3204493111e-10   9.5474899147e-22   1.6907566107e-15   1.5268405915e-22  -7.0436790344e-33   1.1974734716e-16   4.3534489156e-16   1.2485308792e-13   8.5290172580e-16   7.4965384248e-01   3.4922165597e-20   7.4845094518e-26  -3.3355601041e-24  -1.3089396742e-25  -1.4144646375e-25
   1.7500000000e-03   1.4652650679e-01   1.2294648851e+03  -1.6679105443e+05   2.8414060291e-01   7.5928117979e-07   2.1110059382e-08   8.5562442347e-06   1.3620256390e-01   5.7988467037e-05   4.0309474741e-02   2.3555859378e-06   3.8495480910e-07  -1.2518782003e-26   6.9119012301e-29   1.0306597633e-24   2.7358251357e-27  -4.2122682907e-23  -8.3317281748e-22   5.4598829213e-05   7.7606496712e-02   2.8915506615e-14   7.0786605252e-17   2.9073023690e-24   3.3822090529e-25  -3.5451350212e-23   1.1450990387e-28   1.5040375596e-23  -1.5918749718e-27  -4.8609896572e-24   3.5527437330e-27   1.4998111454e-25   2.3718764716e-26   6.8262504386e-24   5.4221047603e-22   3.9262706126e-15   1.0065165996e-13   9.3092523157e-15   6.0241079920e-14   4.6763173647e-13   8.3930659146e-05   4.0948939300e-06   6.9901612630e-07   4.0103074669e-10   1.0074601147e-20   2.1730115161e-15   1.3750458960e-22   1.8866292924e-30   1.5261967780e-16   5.5914998710e-16   1.7030800079e-13   2.0112870937e-15   7.4566807637e-01   4.3822296812e-20  -1.5697119983e-28  -7.0837050754e-26  -7.9842079308e-27   1.2676908699e-28
   2.2500000000e-03   1.7430179690e-01   1.3818162990e+03  -1.9154134385e+05   2.5256035789e-01   1.3457669521e-06   6.8671979844e-08   1.9376219774e-05   1.1782976321e-01   1.3560610090e-04   4.7471502332e-02   2.2035408568e-06   2.0194848445e-07   5.3805762071e-26   2.7944495015e-27   1.1160676932e-23   1.3909695541e-25   3.8550497287e-23  -6.9583737602e-23   8.4338845195e-05   9.2334029657e-02   1.3041446579e-13   2.4667154496e-16   2.6584008921e-23   1.6420919618e-24   3.7752727729e-23   1.1858989377e-27   2.7459455619e-23  -4.7255863805e-28  -3.9532934558e-25   1.7416310497e-28   4.1901481154e-27   1.9555837408e-25   1.6469117200e-23   6.4548484845e-22   5.4985057327e-14   4.9985264774e-13   3.0075321689e-14   1.3625504679e-13   1.9555875164e-12   1.0184501344e-04   1.9215253837e-06   8.1735032587e-07   5.9948469990e-10   7.0581412444e-20   2.9079354384e-15   1.7963493492e-22   5.6298125999e-29   1.8929306043e-16   7.2256114932e-16   2.4500651947e-13   4.4868528513e-15   7.4201697642e-01   5.1830495620e-20  -6.5049443167e-30  -1.6885798002e-27  -5.9899015518e-28   5.3505564705e-28
   2.7500000000e-03   2.0018924106e-01   1.5173423015e+03  -2.1526671265e+05   2.2978243152e-01   2.7570813869e-06   1.9579299159e-07   3.8966637328e-05   1.0069581133e-01   2.7026402748e-04   5.4068137779e-02   2.0561575338e-06   1.4262943396e-07  -9.1615579529e-26   6.8944537066e-26   8.1004739905e-23   1.4031283917e-24   2.6391275105e-22   1.0208604119e-22   1.5028569384e-04   1.0604167406e-01   5.7224277897e-13   1.2331028440e-15   2.9478449798e-22   1.0594780190e-23   1.3525200338e-22   1.0332158738e-26   6.5482720916e-23   3.4350218239e-29  -1.7709108415e-26   3.3566481388e-30   6.0193776959e-29   1.6865363709e-24   4.0898659125e-23   1.0890388572e-21   5.5734208826e-13   2.2085376243e-12   1.1885235980e-13   3.8222103734e-13   6.6440407605e-12   1.1797710733e-04   9.4262550850e-07   8.9220947031e-07   8.5681502359e-10   4.4350736132e-19   4.7455085435e-15   3.4905452975e-22   1.0173166512e-27   2.4427360005e-16   1.0532421506e-15   4.1074376708e-13   1.1138193297e-14   7.3860989776e-01   5.9175575540e-20  -1.4542353772e-31  -2.0297239679e-29   4.5831043599e-29   2.6866157522e-29
   3.2500000000e-03   2.2459491645e-01   1.6388138019e+03  -2.3855397643e+05   2.1254379938e-01   5.9058466595e-06   5.1206573545e-07   7.1411640759e-05   8.4556794166e-02   4.7634354040e-04   6.0188346117e-02   1.9951175140e-06   1.1902354461e-07  -1.8730169491e-25   1.5180560326e-24   5.2613074484e-22   1.1610334749e-23   1.3905572044e-21   5.0970177727e-22   2.9945021186e-04   1.1886256166e-01   2.5195784237e-12   6.6971175828e-15   3.2443797359e-21   8.1457884642e-23   5.0693432555e-22   6.6626161842e-26   1.5434677047e-22   4.1055522134e-28   1.1429021925e-27   4.5668026843e-32   4.8263031107e-31   1.5198077473e-23   1.5747040804e-22   8.9003287225e-22   4.1747041319e-12   7.8304956228e-12   4.4871657652e-13   1.1048982193e-12   1.9762679592e-11   1.3292710053e-04   5.4484590482e-07   8.9600303412e-07   1.2000268579e-09   3.0042749429e-18   1.0866901414e-14   1.0768947829e-21   1.6055793296e-26   3.5875442422e-16   1.9700620319e-15   8.2364105427e-13   3.1590664882e-14   7.3540218937e-01   6.5957531001e-20  -1.8152623649e-33  -1.3032104634e-31   5.9896693558e-28   8.0737699337e-30
   3.7500000000e-03   2.4776132949e-01   1.7472469384e+03  -2.6193520672e+05   1.9914158866e-01   1.2416991375e-05   1.2400752696e-06   1.2003410548e-04   6.9312294347e-02   7.6037660226e-04   6.5867267340e-02   2.0038033895e-06   1.0950232213e-07   1.6279128404e-23   3.3596957948e-23   3.6376155854e-21   9.7614262442e-23   8.2918411966e-21   3.2391286467e-21   6.2173281898e-04   1.3077719046e-01   1.0671776549e-11   3.4252061253e-14   3.1500274602e-20   6.3027383237e-22   2.5227589312e-21   2.2242931907e-24   2.3496275565e-21   1.0636184518e-26   4.5949485116e-26   4.5445238908e-31   1.9712622071e-32   3.1175188703e-22   2.8375829529e-21   5.8010300710e-21   2.3161680579e-11   2.2194276184e-11   1.4268005459e-12   2.8734966745e-12   5.2733422286e-11   1.4706242247e-04   3.5707681149e-07   8.1993015849e-07   1.6594149025e-09   2.2294825580e-17   3.6458331981e-14   5.2203308793e-21   2.4090050064e-25   6.7121213026e-16   5.0361599040e-15   1.8380200022e-12   9.2449578242e-14   7.3237709500e-01   7.2327675723e-20  -1.2899600856e-35  -4.8083096174e-34   1.2211245742e-26   2.6490144924e-28
   4.2500000000e-03   2.6980761496e-01   1.8423076854e+03  -2.8589875283e+05   1.8862973790e-01   2.4963730189e-05   2.7688523099e-06   1.8419490243e-04   5.5002522288e-02   1.1108286618e-03   7.1100325730e-02   2.0375984894e-06   1.0625324638e-07   4.4705818176e-22   6.7487019112e-22   3.0729866976e-20   9.7661122597e-22   6.8999267363e-20   4.3122708345e-20   1.2720025873e-03   1.4160028989e-01   4.1543059741e-11   1.5587287074e-13   2.5674250998e-19   4.4848882304e-21   1.5493439957e-20   1.3118707265e-22   7.5452140643e-20   5.4459269963e-25   2.1757033072e-24   2.7033919969e-29   1.0105814538e-30   1.4084285645e-20   8.9255578883e-20   7.7000411882e-20   9.5980276053e-11   5.1968797995e-11   3.7897934151e-12   6.5580088356e-12   1.2671500657e-10   1.6050843070e-04   2.5056125808e-07   6.9227905475e-07   2.2738604365e-09   1.8516423153e-16   1.7728418105e-13   3.7829304361e-20   3.2759355336e-24   1.7730072512e-15   1.7419627980e-14   4.2539155996e-12   2.5850311260e-13   7.2953850281e-01   6.9835583804e-20  -5.3371389038e-38  -1.0873549543e-36   4.7694470447e-25   1.4183034868e-26
