# L (m)  = 0.16
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   2.9100000000e+02  -7.1787158976e+03   1.2082309197e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   2.0000000000e-03   4.0160425779e-02   4.9043868072e+02  -1.5563649289e+05   7.1544749110e-01   1.4472805389e-08   3.6802156198e-16   9.7585219434e-12   2.0641432679e-01   2.1184702686e-08   1.1884936377e-02   6.5275638997e-12   2.0239890711e-08   1.7266785196e-30   9.3779689573e-33   2.9153165517e-23   2.2028830890e-24   2.9184952561e-17   8.6912280463e-15   2.7640918060e-08   2.1810413922e-02   2.8291537864e-23   1.6412708026e-16   1.0467875952e-23   6.5848494778e-21   4.8649448376e-16   1.4833440885e-29   3.7158134016e-16   2.0677762078e-26   7.9928054000e-18   1.0399158270e-25   1.2013432445e-20   2.4062590249e-25   1.6324806626e-18   1.4231075174e-17   2.1291224357e-24   6.1471972438e-20   6.5889774537e-15   3.4138770128e-13   1.5353571937e-22   1.2449006139e-04   2.9829543686e-06   2.9100953869e-08   5.9812129693e-14   6.8570488109e-27   3.3878069385e-14   7.5695985858e-23   3.9798798951e-33   8.0763034119e-16   1.3182582950e-15   4.9138980042e-15   9.1479374785e-22   7.5976273712e-01   2.0228324202e-23   1.1061372054e-26   1.0837481887e-24   1.4441858025e-24   1.1629465825e-22
   6.0000000000e-03   8.2197035212e-02   6.5796572348e+02  -3.2452503694e+05   5.3240688362e-01   5.8158263814e-08   1.8649606544e-14   3.7934796552e-11   1.7858472226e-01   4.2805318329e-08   2.3193167756e-02   5.9400381625e-11   2.6509463843e-08   7.7973194200e-31   3.6044665933e-30   1.2191380861e-21   9.6002767578e-23   7.1914571026e-16   1.0926208495e-13   6.1002391294e-08   4.4173019740e-02   1.2654029736e-21   2.7089737804e-15   4.1917249395e-22   1.4754997823e-19   7.2269731387e-15   3.4406954313e-26   4.4046251712e-15   2.9811707600e-24   1.3638710843e-16   5.2690734089e-24   3.0575323455e-19   1.2811303290e-23   2.4453591732e-17   1.4681926440e-16   5.2189504845e-23   4.6150070937e-19   2.9385791457e-14   2.9714861714e-12   4.5852032107e-20   2.5934044322e-04   5.7262269435e-06   5.7538945436e-08   2.0902586760e-13   5.9853595546e-24   3.3148822974e-13   3.0192215819e-22   7.1442687660e-31   8.5540775712e-15   1.0881842395e-14   5.3468983412e-14   5.6819733521e-20   7.5378377754e-01   4.1650047435e-23   1.0755618136e-25   3.7639511512e-23   2.2675080358e-22   2.9474696429e-21
   1.0000000000e-02   1.1729929898e-01   7.4658746143e+02  -5.1285096348e+05   4.6860978974e-01   1.6574849294e-07   1.6040427076e-13   7.9829867896e-11   1.5534656295e-01   6.0872800542e-08   3.2457107062e-02   2.0203072174e-10   2.5328025776e-08   4.2926848632e-30   1.6488120035e-28   2.0332622641e-20   1.4626557338e-21   8.4046768755e-15   9.1845653762e-13   1.1996184705e-07   6.2833940186e-02   2.3681436159e-20   2.8902592757e-14   7.2816290130e-21   1.3474947595e-18   6.9214425468e-14   2.1575292793e-24   3.5170614814e-14   9.2211971037e-23   1.5547130668e-15   1.4733018088e-22   5.2294317797e-18   2.5885697001e-22   2.5168377932e-16   9.6179118583e-16   1.7050948408e-21   1.9313898073e-18   8.2395563135e-14   1.7386973933e-11   7.0957180790e-19   3.7196324233e-04   7.8643263821e-06   7.9609925181e-08   8.0456090842e-13   2.1705976892e-22   2.1158058794e-12   2.7891054656e-21   2.5409938026e-29   5.9809398048e-14   5.7849739787e-14   3.9792102013e-13   8.6281945729e-19   7.4898211030e-01   5.9437227044e-23   3.5026491149e-25   8.7247499977e-22   7.2167179033e-21   5.0797942689e-20
   1.4000000000e-02   1.4856196385e-01   7.9176037282e+02  -7.1562878156e+05   4.4139301616e-01   4.2465756155e-07   7.7328476957e-13   1.6611455250e-10   1.3465224870e-01   7.9650517654e-08   4.0641323062e-02   5.3788233378e-10   2.3335450202e-08   6.6021992949e-30   3.5924029101e-27   2.3285552529e-19   1.4644345544e-20   6.7940463196e-14   6.4625953276e-12   2.9930145001e-07   7.9485620541e-02   3.0687563839e-19   2.3901932592e-13   9.2066805009e-20   1.0824287544e-17   5.4866008638e-13   4.2775062577e-23   2.3946505694e-13   1.6707595032e-21   1.4855995680e-14   3.2590175508e-21   7.5359635016e-17   3.9385725122e-21   2.2329778772e-15   5.0235955968e-15   1.6981853303e-20   1.1757430173e-17   2.8971327601e-13   8.5238276372e-11   4.3568203798e-18   4.7040120070e-04   1.0315409444e-05   9.9640663562e-08   3.2585692300e-12   2.8909963523e-21   1.1075693171e-11   2.7080600818e-20   5.4138865318e-28   3.4751033355e-13   2.4694425843e-13   2.5131803252e-12   7.6550812350e-18   7.4473916376e-01   7.5115846174e-23   3.2970359178e-24   1.6918391253e-20   1.2971845207e-19   7.4465989337e-19
   1.8000000000e-02   1.7737007941e-01   8.1154127020e+02  -9.2671388577e+05   4.3021007338e-01   1.0329321558e-06   2.9058885638e-12   3.4810204141e-10   1.1558696791e-01   1.0160210901e-07   4.8161872961e-02   1.3627799826e-09   2.4500784674e-08   1.2404420091e-29   5.9079677273e-26   2.2949623043e-18   1.2285785839e-19   4.6390875024e-13   4.1110111049e-11   9.2980248499e-07   9.4852640701e-02   3.2808196668e-18   1.6744177100e-12   1.0014850942e-18   8.9294091120e-17   3.9201714446e-12   5.1554451421e-22   1.5178755122e-12   2.3815465390e-20   1.2937830365e-13   6.5383763974e-20   9.9883319295e-16   5.4207044223e-20   1.8609073141e-14   2.2593196269e-14   1.0268011362e-19   9.1073487172e-17   1.1755773501e-12   3.7679728626e-10   1.7996613335e-17   5.5633801122e-04   1.4719078066e-05   1.2808027121e-07   1.3663887746e-11   2.4533825154e-20   5.1386713531e-11   2.4835931687e-19   9.8811090336e-27   1.8174881171e-12   9.0358339948e-13   1.4489877398e-11   5.2767078847e-17   7.4082524210e-01   8.9362264763e-23   5.0331066201e-23   3.0058463215e-19   1.8126017578e-18   1.0234709123e-17
   2.2000000000e-02   2.0444680200e-01   8.1677874115e+02  -1.1405049753e+06   4.2705068665e-01   2.4364310532e-06   9.4646872009e-12   6.5121263528e-10   9.7676614043e-02   1.2646390342e-07   5.5234930148e-02   3.3465983285e-09   3.1042127864e-08   2.9306746729e-29   8.6207899016e-25   2.0600649874e-17   9.1758430436e-19   2.8636425358e-12   2.4506597047e-10   3.2119626490e-06   1.0929189628e-01   3.1458690812e-17   1.0606364267e-11   9.8173094618e-18   7.4714195205e-16   2.5913433838e-11   4.8515223309e-21   9.3562480415e-12   2.9842283004e-19   1.0679581493e-12   1.2519607085e-18   1.2712021557e-14   6.8612764302e-19   1.5162081035e-13   9.0595684134e-14   4.8461236827e-19   7.5667729009e-16   5.0012534575e-12   1.5482661183e-09   5.9912919873e-17   6.2737107349e-04   2.4108374037e-05   2.0137445927e-07   5.7320019311e-11   1.6186886280e-19   2.1879518350e-10   2.3129067881e-18   1.7297503437e-25   8.8724205816e-12   2.8934153780e-12   7.8622933268e-11   3.1577701199e-16   7.3713906665e-01   1.0251329434e-22   9.6234374636e-22   5.1263321145e-18   2.2420991195e-17   1.3948707761e-16
   2.6000000000e-02   2.3024810272e-01   8.1443105567e+02  -1.3527668915e+06   4.2787853517e-01   5.6211694846e-06   2.7185428286e-11   1.0193611531e-09   8.0630593405e-02   1.4982479549e-07   6.1996082199e-02   7.6424808774e-09   4.3961955712e-08   3.7835003018e-30   1.1776774925e-23   1.6643794740e-16   6.0196429672e-18   1.6231732420e-11   1.3914360068e-09   1.1528872384e-05   1.2300304423e-01   2.7734670859e-16   6.2790359578e-11   8.6031517023e-17   6.0000097897e-15   1.5851913923e-10   3.9483557436e-20   5.7198113296e-11   3.4095141565e-18   8.4990185238e-12   2.2965735214e-17   1.5820404566e-13   7.8710679240e-18   1.2290198521e-12   3.2967995843e-13   2.0870300881e-18   6.1831702520e-15   2.0518442382e-11   5.9776130164e-09   1.6972767613e-16   6.7802531853e-04   4.2410371094e-05   4.5033691405e-07   2.2704663768e-10   8.9576378356e-19   8.6778619845e-10   2.2055796742e-17   2.9869358129e-24   4.0966234833e-11   8.0734817874e-12   4.0492308680e-10   1.6918052178e-15   7.3363203229e-01   1.1475789666e-22   1.9912704704e-20   8.5916234011e-17   2.5530958543e-16   1.9459915674e-15
   3.0000000000e-02   2.5511974781e-01   8.0933139958e+02  -1.5602061694e+06   4.3014055687e-01   1.2691459279e-05   7.1044260350e-11   1.4128500496e-09   6.4249140433e-02   1.6864941726e-07   6.8538520609e-02   1.6046470739e-08   6.3896831155e-08  -1.4548954847e-28   1.6313153581e-22   1.2176223333e-15   3.4691293903e-17   8.4653978172e-11   7.5386576321e-09   4.1521090007e-05   1.3610219012e-01   2.3114400534e-15   3.4958099254e-10   6.7753093446e-16   4.4516810628e-14   8.8562221981e-10   2.9869734703e-19   3.4770711659e-10   3.6947355127e-17   6.5301349492e-11   4.0715759464e-16   1.9140487623e-12   8.5827720186e-17   9.9015960285e-12   1.1012568920e-12   9.7505749365e-18   4.9943841332e-14   7.7234938829e-11   2.1657495362e-08   4.3250477886e-16   7.0246048258e-04   6.9733095072e-05   1.3301466240e-06   8.3422220082e-10   4.4235087708e-18   3.2158672895e-09   2.0604951958e-16   5.4387165895e-23   1.7826395550e-10   1.9136605698e-11   1.9665744325e-09   8.3347270908e-15   7.3028212531e-01   1.2621280652e-22   4.1060999949e-19   1.4207222844e-15   2.7777842672e-15   2.7959496317e-14
   3.4000000000e-02   2.7932250169e-01   8.0533149228e+02  -1.7591041379e+06   4.3177674662e-01   2.7887534189e-05   1.9315679556e-10   2.1805888931e-09   4.8432876427e-02   1.9291069459e-07   7.4896522231e-02   3.4044026919e-08   9.2298252375e-08   1.8367095669e-27   2.7985330662e-21   8.6770106923e-15   1.8672987780e-16   4.0342157614e-10   3.8563895678e-08   1.4579315150e-04   1.4861509727e-01   2.0143739924e-14   1.8134577688e-09   5.1335035566e-15   3.1338201561e-13   4.3978347214e-09   2.3542331923e-18   2.0799154235e-09   4.2176264028e-16   4.7897486409e-10   7.4833817818e-15   2.1849734948e-11   1.0146887189e-15   7.7786219536e-11   3.4046195539e-12   6.5272700656e-17   4.5183721137e-13   2.7006034069e-10   7.2839578615e-08   1.1544435782e-15   6.9864932251e-04   9.3955231457e-05   4.3018678257e-06   3.1278881816e-09   2.1943782874e-17   1.1069564968e-08   1.9237148752e-15   1.2808955312e-21   7.1762828863e-10   3.6621593606e-11   8.8350323666e-09   4.0793103186e-14   7.2708445051e-01   1.3695002903e-22   8.3245486031e-18   2.2921081354e-14   3.2208936498e-14   4.0797965742e-13
