# L (m)  = 0.2
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   8.3333333333e-04   7.2868662082e-03   6.2976190897e+02  -5.0142280628e+04   5.5506994495e-01   2.0698018474e-09   3.4935860010e-13   1.2400222708e-08   2.0218686849e-01   5.6150570530e-07   1.6364726138e-02   3.0437592605e-09   1.6557277767e-07   6.4627602743e-29   2.2350838287e-34   9.0143155410e-27   1.9121043826e-29   9.4994710042e-24   6.9979573371e-22   3.9782369324e-07   1.9988634743e-02   4.8723355466e-21   8.5503749719e-22   1.6268864127e-28   6.7181867979e-26   2.4917852104e-22   4.0070200307e-29   7.9209578536e-19   5.0500783023e-30   1.2055088480e-25   2.6358016784e-34   9.1641599317e-33   3.4784194936e-25   4.9544799444e-20   8.5726713113e-17   4.7305731350e-22   6.1280803946e-19   1.1805178288e-15   1.4626565203e-14   6.8591504879e-19   8.4380966816e-05   3.7997808117e-06   5.5988420774e-08   1.7447770107e-12   3.4017835159e-24   2.6045762881e-14   6.1394448094e-22   4.3760923875e-35   1.6264063629e-14   6.0266347629e-14   1.6488690277e-13   5.4179289050e-18   7.6137039148e-01   0.0000000000e+00   1.9585501719e-39   7.0866222484e-38   1.4570312152e-27   7.8387498538e-30
   2.5000000000e-03   1.4394614823e-02   9.0114327933e+02  -1.2528844227e+05   3.8573320092e-01   3.8147716682e-09   8.7883679807e-12   6.6155936960e-08   1.7213244980e-01   1.8729195015e-06   3.2326856558e-02   2.1049205434e-08   1.9511710843e-07  -1.6844417590e-28   3.3833205811e-31   6.8337985120e-25   2.0695397574e-27   1.9058487854e-22   3.9679382285e-21   7.3890233013e-07   3.9486005017e-02   2.0004591405e-19   7.3762533417e-21   4.9688195151e-27   2.6547407722e-25   1.3574023890e-21   6.2818905894e-26   4.6849127084e-18   8.0841958991e-28   8.0603794869e-25   1.4608503991e-32   8.5166717096e-32   1.8543118760e-23   3.1359342936e-19   5.0083423754e-16   3.7516629690e-19   6.5150178719e-18   2.5570683014e-15   6.3112248614e-14   8.0418786760e-17   1.6491607808e-04   6.4546435176e-06   1.0631099689e-07   5.0231948220e-12   1.8537601327e-21   1.3583813058e-13   1.7991572030e-22   2.3616611698e-32   8.3966892828e-14   3.0482337242e-13   7.9132943018e-13   2.3449879336e-16   7.5588031361e-01   0.0000000000e+00   5.3160100439e-40   7.1514118130e-37   9.8738200126e-26   6.9861434875e-29
   4.1666666667e-03   2.0496033170e-02   1.0983273169e+03  -2.1075945082e+05   3.1496468741e-01   7.1849398137e-09   4.8361695947e-11   1.5330019247e-07   1.4633469724e-01   5.7020909155e-06   4.6027655677e-02   5.9855471617e-08   7.5992230426e-08   1.4780261113e-28   4.7816626962e-29   1.3244838644e-23   8.1541733273e-26   1.8934998051e-21   1.7634794489e-20   1.0715313551e-06   5.6222833265e-02   1.6306305920e-18   4.0011696685e-20   9.8002938776e-26   1.1766960229e-24   5.5213403065e-21   5.4019342790e-24   1.9291576457e-17   1.6576021387e-26   4.1070215150e-24   1.8621923657e-31   7.4074798966e-31   3.4168160042e-22   1.4371140124e-18   1.9566952754e-15   2.6789883369e-17   5.1557377364e-17   6.7182127624e-15   2.0317782031e-13   8.0395310801e-16   2.3155650072e-04   6.7347760763e-06   1.4467618602e-07   1.6827306080e-11   8.8269542722e-20   4.8222429985e-13   2.5242248204e-22   1.9843093841e-30   2.9242499654e-13   1.0457960251e-12   2.6938841855e-12   2.7058375058e-15   7.5116930783e-01   0.0000000000e+00   2.3402152833e-39   6.5105881720e-36   2.9483004590e-25   3.7018888842e-28
   5.8333333333e-03   2.5966398838e-02   1.2516489588e+03  -3.0448058093e+05   2.7519906680e-01   1.8748375536e-08   1.7420175036e-10   3.2072267785e-07   1.2320616488e-01   1.4264957810e-05   5.8308593137e-02   9.8769218755e-08   2.7852166377e-08  -7.7036605500e-28   4.3519318613e-27   1.9807088062e-22   1.9489588418e-24   1.6228285120e-20   9.0065956879e-20   1.6737081552e-06   7.1228140483e-02   1.0368670187e-17   2.2901916372e-19   1.7755794145e-24   7.9518869747e-24   2.3962104700e-20   1.4744543288e-22   7.0863067090e-17   1.9793851467e-25   2.3530205192e-23   1.5714006369e-30   1.0240996384e-29   4.3634437294e-21   5.9712251636e-18   6.2688381248e-15   4.6062665306e-16   3.2061806542e-16   2.0799044396e-14   5.6810690516e-13   3.9826373326e-15   2.8757197609e-04   5.0749003432e-06   1.7390158593e-07   3.8922995851e-11   1.5900112073e-18   1.4403305311e-12   6.1183234669e-22   9.2351370807e-29   8.4074876360e-13   2.9749961982e-12   8.0635247182e-12   1.5849281662e-14   7.4694787573e-01   0.0000000000e+00   3.9928813045e-38   8.9197694653e-35   6.8217142744e-25   2.2058300318e-27
   7.5000000000e-03   3.1009180398e-02   1.3766628399e+03  -4.0362277836e+05   2.4922315356e-01   5.7149655143e-08   6.6243111283e-10   7.2031095150e-07   1.0188493785e-01   3.1592566419e-05   6.9624339977e-02   1.3272348367e-07   2.0483471218e-08   4.9927393848e-27   1.7994079273e-25   3.0744130005e-21   4.2143468440e-23   1.5736253798e-19   6.0876873006e-19   3.2535549363e-06   8.5058967058e-02   7.6644205743e-17   1.6152246058e-18   3.6660226745e-23   7.6259851628e-23   1.3295548613e-19   2.4831007585e-21   2.7065845333e-16   2.4876122122e-24   1.9586333841e-22   2.0611309536e-29   2.7599778619e-28   5.5649094355e-20   2.6813230545e-17   1.7734255006e-14   4.7353386426e-15   1.9638412511e-15   6.6184283241e-14   1.4360203490e-12   1.8489584176e-14   3.3330632332e-04   3.2080285814e-06   1.9520222788e-07   7.6401243386e-11   1.8173186635e-17   3.9950426095e-12   2.4285995133e-21   4.0238674488e-27   2.1383488618e-12   7.4893772364e-12   2.2877403456e-11   7.3507826357e-14   7.4305926799e-01   0.0000000000e+00   1.6456441014e-36   2.2668726800e-33   2.9215083224e-24   2.9668626448e-26
   9.1666666667e-03   3.5741224893e-02   1.4830070190e+03  -5.0488008904e+05   2.3049773755e-01   1.8914350976e-07   2.8117040365e-09   1.7130047192e-06   8.1875021584e-02   6.5220865026e-05   8.0232725410e-02   1.9052356610e-07   2.2100681133e-08   1.4593004287e-25   9.9229715747e-24   5.3196286812e-20   9.4994770869e-22   1.9151248220e-18   5.8855964659e-18   8.1109894839e-06   9.8032233015e-02   7.1873920905e-16   1.4192665292e-17   9.4528300955e-22   9.9813022697e-22   9.9608693998e-19   3.7890561034e-20   1.2554271146e-15   4.1606268433e-23   2.7986822302e-21   6.7242818931e-28   1.5124943036e-26   8.5033357286e-19   1.4271414951e-16   4.6409363733e-14   3.8979953491e-14   1.2814417850e-14   2.1120229347e-13   3.3974272136e-12   9.0106302195e-14   3.6861427002e-04   2.1135368612e-06   2.1230946128e-07   1.6162602436e-10   1.7447159129e-16   1.1349793649e-11   1.4454477921e-20   1.6928500374e-25   4.9909888040e-12   1.7147345473e-11   6.4758622329e-11   3.2462284585e-13   7.3941363016e-01   0.0000000000e+00   1.5603941898e-34   1.1682451461e-31   2.2489759065e-23   8.3861415529e-25
   1.0833333333e-02   4.0233018508e-02   1.5773633804e+03  -6.0456186678e+05   2.1594773616e-01   6.8603688630e-07   1.3705019403e-08   4.3068078088e-06   6.2878118510e-02   1.3020594556e-04   9.0281583136e-02   2.9637141334e-07   2.9618006082e-08   8.6099339191e-24   6.8419456361e-22   1.1923745909e-18   2.7231012196e-20   3.4797296322e-17   9.7522777509e-17   2.5277204634e-05   1.1032710557e-01   9.0660818164e-15   1.7051022026e-16   3.5531709289e-20   2.0315438747e-20   1.1719222028e-17   7.1280306284e-19   8.4879702360e-15   1.1778826733e-21   7.5914583615e-20   6.5737998536e-26   1.6863537426e-24   1.9832465144e-17   1.1045721381e-15   1.1996700440e-13   2.9679365652e-13   9.4003534191e-14   7.0638191068e-13   8.0063826091e-12   4.8696419499e-13   3.9376617395e-04   1.5272916841e-06   2.3688178109e-07   3.8451456821e-10   1.7565397777e-15   3.7384014382e-11   1.3394125487e-19   8.8459048117e-24   1.1002690605e-11   3.6094368330e-11   1.9323354909e-10   1.5138552770e-12   7.3595684606e-01   0.0000000000e+00   3.4725357065e-32   1.2983152582e-29   3.4574102312e-22   4.3635727124e-23
   1.2500000000e-02   4.4529187602e-02   1.6644388941e+03  -6.9866227486e+05   2.0394984098e-01   2.8718839771e-06   8.1809673579e-08   1.1697464182e-05   4.4722074559e-02   2.5962014294e-04   9.9841343398e-02   4.9009098927e-07   4.5299100508e-08   6.9811900072e-22   9.8935911755e-20   5.4240554000e-17   1.5919035908e-18   1.3631790337e-15   3.4935947091e-15   9.6874246854e-05   1.2199982121e-01   1.6862851632e-13   3.7509029418e-15   2.8823127461e-18   9.3714203746e-19   3.1102407447e-16   2.4408566576e-17   1.1388128614e-13   8.1043539971e-20   4.0948640330e-18   1.8840575188e-23   3.8424117667e-22   1.0785158926e-15   1.9563199304e-14   3.7371709447e-13   2.3259143355e-12   8.8047289626e-13   2.8042830373e-12   2.1272842929e-11   3.1556881149e-12   4.0901607090e-04   1.1177378792e-06   2.8478784731e-07   1.0814489406e-09   2.2910490340e-14   1.6597408646e-10   2.2549163853e-18   9.6179964037e-22   2.4146597110e-11   7.1639545682e-11   6.4987026800e-10   8.2248344819e-12   7.3265465925e-01   0.0000000000e+00   1.8355649572e-29   3.1442030703e-27   1.5459019136e-20   3.9543451925e-21
   1.4166666667e-02   4.8659776374e-02   1.7459597007e+03  -7.8288256907e+05   1.9373448020e-01   1.4461551620e-05   6.1614564113e-07   3.3512590707e-05   2.7436055631e-02   5.1621964475e-04   1.0887361966e-01   8.6198237534e-07   7.3404233247e-08   2.5558076531e-19   5.0448212222e-17   8.3234433374e-15   2.9278625279e-16   1.3946260251e-13   2.8336126049e-13   4.5183241554e-04   1.3277310149e-01   4.8884752200e-12   2.3718062934e-13   6.3440917309e-16   1.1801898228e-16   2.1990685724e-14   2.1000424890e-15   4.0877132561e-12   1.6821406616e-17   4.5018080202e-16   1.3877961216e-20   1.8166013056e-19   1.7626123174e-13   9.7789734099e-13   2.3285178877e-12   1.9706275935e-11   1.1352773505e-11   1.6849528071e-11   8.2931462212e-11   2.5421354130e-11   4.1463770867e-04   6.9399410857e-07   3.4258630002e-07   3.7568011747e-09   4.6011248842e-13   1.1846975268e-09   8.2494339625e-17   3.6904389259e-19   6.4875784844e-11   1.5657336447e-10   2.6770229414e-09   5.6994143480e-11   7.2948396311e-01   0.0000000000e+00   2.2433049320e-26   1.6194659654e-24   2.5972070785e-18   6.2730230273e-19
