# L (m)  = 0.002
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   8.3333333333e-06   3.1726537695e-03   3.0015283305e+02  -1.2716590124e+04   1.1684264755e+00   7.6635063576e-08   1.2106792334e-23   1.5950955611e-18   2.3225764485e-01   6.3328416307e-16   1.8995165110e-06   7.6242090304e-12   8.5713364139e-11   2.0357723026e-25  -1.2015336824e-31   7.5324476635e-25   3.9737461766e-26   1.7134871204e-11   3.1713675081e-03   1.0096697830e-06   1.1617507389e-06   9.8019712352e-23   2.1016012697e-08   1.6654349835e-24   5.2265459215e-16   2.3547926073e-09   1.9108114060e-33   6.7281002471e-08   5.6500315355e-25   9.9039106425e-08   1.0134887295e-17   6.0435946653e-08   2.6665879637e-23   1.3847500124e-08   6.8779588558e-11  -8.3717087753e-23   2.5670144121e-24   7.4036967942e-17   6.2244902124e-11   4.5204000616e-32   7.5764340736e-10   2.6954207872e-10   1.5129565417e-12   1.2040189437e-16  -5.1857736800e-32   6.4698477518e-10   5.1067068975e-17  -1.6154350392e-31   4.7179703524e-11   2.9177816633e-13   1.6888401760e-10   1.6781799112e-20   7.6456657367e-01   1.2076004999e-33   9.1835309046e-13   1.6998235421e-10   8.6836505601e-23   1.2396522227e-10
   2.5000000000e-05   9.5395660011e-03   3.0045500152e+02  -4.2065545097e+04   1.1613605617e+00   2.3037084486e-07   1.0895959239e-22   4.7934137506e-18   2.3076788166e-01   1.9028203773e-15   5.7100914779e-06   2.2917989075e-11   2.5766091242e-10   1.9063890562e-26  -1.4505253787e-30   6.9552991511e-24   3.4829877869e-25   5.1508119871e-11   9.5356994011e-03   3.0351443599e-06   3.4923113103e-06   8.8296353103e-22   6.3175736965e-08   1.4936624600e-23   1.6250445356e-15   7.0786861392e-09   4.5409131224e-32   2.0225182396e-07   5.1194634538e-24   2.9771910609e-07   3.1692020641e-17   1.8167506520e-07   2.2870459930e-22   4.1626641319e-08   2.0675668792e-10  -3.1631012965e-22   8.9651715229e-24   2.2256085669e-16   1.8711292224e-10   3.8868795461e-31   2.2775330390e-09   8.1026529506e-10   4.5480627338e-12   3.6193733870e-16   2.8041948768e-31   1.9448855697e-09   1.5351151218e-16  -4.2642547224e-31   1.4182578646e-10   8.7710741724e-13   5.0767823514e-10   5.0438916366e-20   7.5968315019e-01   3.6301391881e-33   2.7606312585e-12   5.1097991872e-10   4.5789465114e-22   3.7264891111e-10
   4.1666666667e-05   1.5928125851e-02   3.0075062856e+02  -7.1517276838e+04   1.1543733491e+00   3.8446542871e-07   3.0450734576e-22   7.9963435053e-18   2.2927305994e-01   3.1711611026e-15   9.5295599139e-06   3.8244883195e-11   4.3000977777e-10   5.6303695476e-26  -2.5380035132e-30   1.8756981162e-23   9.4148578867e-25   8.5959959694e-11   1.5921672891e-02   5.0653461739e-06   5.8283111560e-06   2.4683087893e-21   1.0543385808e-07   4.1697317090e-23   2.8687371596e-15   1.1813604726e-08  -1.0283240205e-32   3.3753765263e-07   1.4417198684e-23   4.9686280324e-07   5.6401828840e-17   3.0319714525e-07   6.3692560063e-22   6.9470615996e-08   3.4505581080e-10  -7.6873458426e-22   1.8155814789e-23   3.7143159528e-16   3.1227237072e-10   1.0931484917e-30   3.8009677374e-09   1.3522538590e-09   7.5902525323e-12   6.0403668236e-16   3.2265036429e-30   3.2458155229e-09   2.5619507166e-16   1.1341838322e-30   2.3669276306e-10   1.4638027630e-12   8.4726316130e-10   8.4152207278e-20   7.5478312299e-01   6.0583318190e-33   4.6071872468e-12   8.5277333463e-10   1.1613917648e-21   6.2191300048e-10
   5.8333333333e-05   2.2338372153e-02   3.0103799180e+02  -1.0107383265e+05   1.1474703879e+00   5.3881179812e-07   6.0249823679e-22   1.1199800499e-17   2.2777317500e-01   4.4332336399e-15   1.3355269241e-05   5.3592759180e-11   6.0264027190e-10  -1.8347667887e-25   2.0502701324e-31   3.5843661624e-23   1.7940815277e-24   1.2046551383e-10   2.2329328606e-02   7.0988652734e-06   8.1681279505e-06   4.8639246803e-21   1.4776102859e-07   8.2075535147e-23   4.3147577846e-15   1.6556260019e-08  -1.1446661908e-30   4.7304453396e-07   2.8617762853e-23   6.9633189486e-07   8.5562451707e-17   4.2491779283e-07   1.2557536967e-21   9.7360086837e-08   4.8358091007e-10  -5.9250248273e-22   3.0956333242e-23   5.2054589995e-16   4.3763632569e-10   2.1751892419e-30   5.3268882133e-09   1.8951333287e-09   1.0637413172e-11   8.4653191535e-16  -7.0105584003e-30   4.5488711546e-09   3.5904644814e-16  -5.0860369251e-31   3.3171474927e-10   2.0514567503e-12   1.1874029586e-09   1.1788513226e-19   7.4986646228e-01   8.4904920383e-33   6.4567258667e-12   1.1951252306e-09   2.2307848152e-21   8.7158437930e-10
   7.5000000000e-05   2.8770378481e-02   3.0131550952e+02  -1.3073733032e+05   1.1406565017e+00   6.9330377426e-07   1.0086620871e-21   1.4400461651e-17   2.2626821403e-01   5.6841928952e-15   1.7184587658e-05   6.8949693932e-11   7.7543364326e-10   2.4394152962e-25  -3.8348587600e-30   5.7274122876e-23   2.8807967104e-24   1.5500016788e-10   2.8758741903e-02   9.1343027447e-06   1.0510152073e-05   8.0719331952e-21   1.9012813095e-07   1.3606902566e-22   6.0076230928e-15   2.1303389416e-08  -1.1530575986e-29   6.0867924918e-07   4.7829704659e-23   8.9598916092e-07   1.2008016670e-16   5.4675327448e-07   2.0869770003e-21   1.2527586793e-07   6.2223669048e-10  -6.6339459739e-22   4.7846046487e-23   6.6980127543e-16   5.6311854606e-10   3.6726687641e-30   6.8542435610e-09   2.4385320598e-09   1.3687448431e-11   1.0892563498e-15   1.4908347560e-29   5.8531560579e-09   4.6199490065e-16   1.0857972038e-29   4.2682637697e-10   2.6396651163e-12   1.5278636356e-09   1.5160221021e-19   7.4493311162e-01   1.0924946698e-32   8.3079629435e-12   1.5378000939e-09   3.6810039031e-21   1.1214912917e-09
   9.1666666667e-05   3.5224251415e-02   3.0158173572e+02  -1.6050995020e+05   1.1339358350e+00   8.4783602180e-07   1.5070612048e-21   1.7593189408e-17   2.2475815650e-01   6.9200488493e-15   2.1014904265e-05   8.4303969001e-11   9.4827208355e-10   1.1692252886e-25  -3.8881622605e-30   8.3262347820e-23   4.1768846714e-24   1.8953957079e-10   3.5210021131e-02   1.1170270792e-05   1.2852786687e-05   1.2088519049e-20   2.3250627884e-07   2.0357955378e-22   7.9800334255e-15   2.6051756246e-08   5.8511891789e-29   7.4434932027e-07   7.2117941506e-23   1.0956984715e-06   1.6059063044e-16   6.6862052202e-07   3.1306968398e-21   1.5319892581e-07   7.6092861432e-10  -1.1733567758e-21   6.9137570995e-23   8.1909602117e-16   6.8863347577e-10   5.5023987802e-30   8.3819913124e-09   2.9820812259e-09   1.6738278741e-11   1.3320446285e-15  -2.5702789672e-30   7.1577809482e-09   5.6497025021e-16   1.4725382277e-30   5.2196279736e-10   3.2280268105e-12   1.8684130603e-09   1.8526893363e-19   7.3998298928e-01   1.3360035946e-32   1.0159625385e-11   1.8805642829e-09   5.5203587071e-21   1.3714633472e-09
   1.0833333333e-04   4.1700128775e-02   3.0183535529e+02  -1.9039392713e+05   1.1273118979e+00   1.0023040467e-06   2.1212458075e-21   2.0774548330e-17   2.2324297456e-01   8.1378905048e-15   2.4843629021e-05   9.9644066521e-11   1.1210387250e-09   7.9016145549e-26  -1.7297527340e-29   1.1286212038e-22   5.6588540794e-24   2.2405963430e-10   4.1683305862e-02   1.3205392705e-05   1.5194447722e-05   1.6905933135e-20   2.7486681670e-07   2.8444714898e-22   1.0256177976e-14   3.0798149687e-08   6.5236788139e-29   8.7996300795e-07   1.0151287906e-22   1.2953247843e-06   2.0754302835e-16   7.9043713067e-07   4.3858198938e-21   1.8111037904e-07   8.9956289880e-10  -5.7564185072e-22   9.5055273723e-23   9.6832922994e-16   8.1409624236e-10   7.7878381474e-30   9.9090974159e-09   3.5254148110e-09   1.9787841146e-11   1.5747327209e-15   1.8131350220e-30   8.4618636466e-09   6.6790287834e-16   1.7154954378e-29   6.1705967974e-10   3.8161439856e-12   2.2088209549e-09   2.1885192379e-19   7.3501598954e-01   1.5794113189e-32   1.2010451156e-11   2.2231860222e-09   7.7564412421e-21   1.6213315160e-09
   1.2500000000e-04   4.8198177929e-02   3.0207517908e+02  -2.2039154308e+05   1.1207876101e+00   1.1566041893e-06   2.8327317554e-21   2.3941394242e-17   2.2172263344e-01   9.3358455781e-15   2.8668192567e-05   1.1495866517e-10   1.2936176325e-09   1.9839639765e-25   2.4944861691e-29   1.4442413363e-22   7.3050192603e-24   2.5853653086e-10   4.8178765205e-02   1.5238302764e-05   1.7533563739e-05   2.2515179581e-20   3.1718131767e-07   3.7848091888e-22   1.2854070581e-14   3.5539384547e-08   1.5987877271e-25   1.0154293049e-06   1.3601928967e-22   1.4947341350e-06   2.6125864165e-16   9.1212135327e-07   5.8505032190e-21   2.0899149692e-07   1.0380465095e-09  -9.9665105178e-23   1.2577075016e-22   1.1174007813e-15   9.3942265086e-10   1.0419725259e-29   1.1434536163e-08   4.0681695831e-09   2.2834089160e-11   1.8171579113e-15   1.9503361292e-29   9.7645290116e-09   7.7072372218e-16  -5.1183888675e-31   7.1205320679e-10   4.4036219702e-12   2.5488588798e-09   2.5231875778e-19   7.3003198404e-01   1.8225544976e-32   1.3859189177e-11   2.5654353866e-09   1.0393793619e-20   1.8709281169e-09
   1.4166666667e-04   5.4718594147e-02   3.0230013905e+02  -2.5050511997e+05   1.1143653429e+00   1.3106336117e-06   3.6537722939e-21   2.7089364261e-17   2.2019709184e-01   1.0512904263e-14   3.2486045907e-05   1.3023663629e-10   1.4658937898e-09   3.7032242951e-25  -4.2762248419e-29   1.8015868246e-22   9.0957879286e-24   2.9294669057e-10   5.4696596156e-02   1.7267646073e-05   1.9868575770e-05   2.8905371344e-20   3.5942158027e-07   4.8548158217e-22   1.5787206839e-14   4.0272300891e-08   4.5023608689e-25   1.1506579257e-06   1.7562297337e-22   1.6937936212e-06   3.2197172431e-16   1.0335920909e-06   7.5224938686e-21   2.3682369728e-07   1.1762871504e-09   4.1951036050e-22   1.6141841096e-22   1.2662113313e-15   1.0645291737e-09   1.3475503289e-29   1.2957290064e-08   4.6099850550e-09   2.5874992522e-11   2.0591587788e-15  -2.6085304679e-29   1.1064908846e-08   8.7336426610e-16   6.6493845083e-30   8.0688006738e-10   4.9900692225e-12   2.8883002071e-09   2.8563800594e-19   7.2503082300e-01   2.0652710806e-32   1.5704599184e-11   2.9070842746e-09   1.3435403621e-20   2.1200867993e-09
