# L (m)  = 0.2
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   8.3333333333e-04   7.5201349099e-03   6.5708283545e+02  -3.3044249132e+04   5.3189216367e-01   4.0017529631e-09   1.2489829219e-12   2.6910364301e-08   2.0119891745e-01   8.8764279680e-07   1.6888380665e-02   8.0980030278e-09   2.3752196305e-07   1.5624114341e-28   2.2737960949e-34   6.8190743094e-28   1.8102635770e-31   1.4343695453e-27  -7.1649609361e-27   6.4527886059e-07   2.0628146355e-02   2.7280716016e-20   5.3047746414e-22  -2.7605810269e-32  -1.0183600191e-29  -2.7520567945e-26   3.7599955136e-35   2.6453741475e-25   6.1616273078e-36   6.3413343650e-33  -4.0418983033e-37  -1.2632401707e-33   3.3896677727e-31   3.1479813858e-26   5.4110430923e-23   1.7756120528e-21   1.2779306270e-18   5.6156297871e-16   5.2536310529e-15   3.0554154401e-18   8.8830015904e-05   4.7477261220e-06   6.5401004402e-08   4.0381341482e-12   6.6291536731e-27   2.0179994936e-17   7.8789558172e-25  -3.4171208062e-36   1.5730989556e-18   1.3793666390e-16   1.1003829823e-14   6.5633075951e-19   7.6118910293e-01   0.0000000000e+00  -5.4935952811e-48  -7.6866056331e-51   2.6176926684e-33   3.9624617608e-36
   2.5000000000e-03   1.4671105255e-02   9.6356906200e+02  -6.6280284424e+04   3.6066413250e-01   8.6432065834e-09   4.1242457930e-11   1.6785037794e-07   1.7095853582e-01   3.6506102483e-06   3.2946777117e-02   6.4105382927e-08   2.6271984894e-07  -2.6473282106e-28  -1.6617060696e-28  -3.9696587982e-27  -9.1363588318e-30  -7.1229155598e-26  -1.5630766168e-26   1.3213561696e-06   4.0243555711e-02   1.5494630643e-18   4.8559199253e-21  -3.7115546139e-30  -1.3729745155e-28  -5.2632279584e-25   2.6713711610e-32   5.2945350796e-25   3.9183316401e-34   1.5309737528e-32  -3.9770509903e-36  -2.3704994236e-33   8.2132813914e-30   8.9527794994e-26   1.0557458532e-22   2.7592694408e-18   2.9113642979e-17   6.2396981302e-16   1.2297383182e-14   4.7069123323e-16   1.7423144093e-04   7.8333038201e-06   1.2758666453e-07   1.5005902939e-11   1.7572748467e-24   3.9382889496e-17   9.5148567605e-26  -2.2928680330e-30   3.0690575292e-18   2.6910713415e-16   2.1783896800e-14   1.4332433882e-17   7.5566346368e-01   0.0000000000e+00  -1.6835999842e-49  -5.2066516037e-51   5.1385610802e-32   2.6084807409e-35
   4.1666666667e-03   2.0813891623e-02   1.2048691319e+03  -9.4830516494e+04   2.8704056339e-01   2.3100691083e-08   2.9543038097e-10   5.2713015293e-07   1.4497907800e-01   1.4581557304e-05   4.6736647972e-02   1.6045324980e-07   6.0780459696e-08   1.2507960260e-30   4.1949257639e-33   3.6069125374e-28   2.8394398123e-30   1.2271169870e-26   4.6143210831e-26   2.2392052670e-06   5.7092944817e-02   1.8869379242e-17   6.5026567335e-20   6.7898065178e-29   7.1023937504e-30  -1.4278141719e-27   1.3889613563e-30   9.2667556215e-25   3.9090517675e-33   5.2518224678e-32  -5.3889611427e-37  -8.5364989521e-35   9.1448013937e-29   1.7750480345e-25   1.5013888017e-22   3.3796974885e-16   3.6332641145e-16   1.1095003581e-15   2.2118017327e-14   6.2164517361e-15   2.5018165444e-04   6.5141343988e-06   1.8031046642e-07   4.9915492226e-11   4.8932969358e-23   5.6612631450e-17   6.1950643149e-26   6.4834028362e-35   4.3574071164e-18   3.8227200197e-16   3.4649035675e-14   8.2507252186e-17   7.5091686053e-01   0.0000000000e+00  -4.5603466288e-51  -7.3509194628e-53   3.6509972359e-32   4.2673296717e-35
   5.8333333333e-03   2.6302451257e-02   1.4072916915e+03  -1.2034005574e+05   2.4469426555e-01   8.9625287877e-08   1.6102286856e-09   1.6125648490e-06   1.2175731802e-01   4.6633491236e-05   5.9045492746e-02   2.1053178635e-07   2.7689781443e-08   2.5970200498e-29   6.6962174727e-31   8.3964120785e-27   1.1581865210e-28   1.7250001208e-25   2.9252459055e-25   4.6686299099e-06   7.2145290603e-02   2.0793778444e-16   1.1980938501e-18   5.8189936258e-27   2.6351849883e-28   1.3238016213e-25   2.7202100340e-29   1.8248526724e-24   2.9396427041e-32   2.0711081480e-31   2.0446650506e-38  -1.0383479397e-36   9.5786736561e-28   3.5603626842e-25   1.9315920319e-22   1.1245763386e-14   3.9678799896e-15   3.2022055419e-15   4.7339108191e-14   4.7289809371e-14   3.1942157317e-04   3.2216193091e-06   2.2102205644e-07   1.0304795255e-10   6.0961817404e-22   7.9710465307e-17   9.5492963093e-26   1.2067382108e-32   5.5307442733e-18   4.8836539020e-16   6.1237911952e-14   3.0686405742e-16   7.4667579016e-01   0.0000000000e+00  -3.8257361602e-53   1.0885210577e-50   4.7970984787e-32   8.8970679709e-35
   7.5000000000e-03   3.1340393436e-02   1.5833601452e+03  -1.4375523043e+05   2.1662169859e-01   3.8205629418e-07   9.3478201882e-09   5.0951525854e-06   1.0042112925e-01   1.2649816774e-04   7.0314890845e-02   3.1962298599e-07   2.6247494054e-08  -1.2841073986e-27   6.6593853964e-29   1.3571135798e-25   2.7461472302e-27   1.7561885162e-24   1.9626210674e-24   1.3794849784e-05   8.5950985083e-02   2.9555338193e-15   2.3550406726e-17   4.4231904907e-25   8.0805336263e-27   6.5322586320e-25   3.8281065386e-28   4.6973735599e-24   2.7043091726e-31   1.1814179983e-30   2.8808789782e-37   2.3457923030e-38   1.3273366180e-26   9.5227171953e-25   2.5454479318e-22   2.3210674598e-13   4.5383619408e-14   1.6831974433e-14   1.6242624962e-13   3.3916142997e-13   3.8199212081e-04   1.7082051141e-06   2.3999776714e-07   2.3150067493e-10   7.3152784710e-21   1.4808256753e-16   3.5251151954e-25   8.3233811504e-31   6.7188993084e-18   6.1892022163e-16   1.3873847152e-13   1.2851540878e-15   7.4278292881e-01   0.0000000000e+00   2.2145112402e-51   7.7916675905e-49   1.5998286321e-31   5.5460183899e-34
   9.1666666667e-03   3.6045973144e-02   1.7396053388e+03  -1.6562566205e+05   1.9642380190e-01   1.6232251565e-06   5.5724115259e-08   1.5747771477e-05   8.0461110066e-02   3.0358087323e-04   8.0777498199e-02   5.7058346874e-07   3.6132579293e-08   7.6216641683e-26   1.1120851665e-26   1.9087614710e-24   5.1340077257e-26   1.5801601595e-23   1.2652917636e-23   5.1382705053e-05   9.8800227492e-02   5.0053575778e-14   4.5439016941e-16   3.1561999725e-23   4.1962724505e-25   5.7940570067e-24   6.7218115674e-27   2.1858212000e-23   4.3139198549e-30   1.5217118135e-29   7.7379901989e-36   5.9926874035e-37   2.6980023173e-25   4.7258043928e-24   4.7759956428e-22   3.5311092812e-12   4.6881305973e-13   1.2861037132e-13   7.8489789020e-13   2.3387875021e-12   4.3986792157e-04   1.1540191375e-06   2.5034988001e-07   5.6788961413e-10   1.2898469890e-19   4.9000807576e-16   3.2031095912e-24   8.9662627690e-29   8.4345669174e-18   9.7044407256e-16   4.3069193370e-13   7.0920182488e-15   7.3914689435e-01   0.0000000000e+00   1.5718428451e-48   1.8298556084e-46   1.4072646896e-30   1.9041220749e-32
   1.0833333333e-02   4.0494763382e-02   1.8792142875e+03  -1.8630259622e+05   1.8115682699e-01   6.2626282011e-06   2.9427000541e-07   4.2700495700e-05   6.1589308921e-02   6.3471684987e-04   9.0549690207e-02   9.2152849915e-07   5.3896033324e-08   2.0054648889e-23   2.2358644673e-24   2.9869309123e-23   1.0502140829e-24   1.8864430461e-22   1.1939148977e-22   1.9884948162e-04   1.1077240701e-01   7.5598659532e-13   7.2148711595e-15   1.5820372349e-21   2.0683223653e-23   1.3487961524e-22   3.1676973789e-25   3.6474808123e-22   2.2307395114e-28   8.5987646372e-28   1.0197887285e-33   6.0676612705e-35   1.3073118541e-23   9.1761758924e-23   2.5025617427e-21   3.7129811176e-11   3.9455892704e-12   9.5109078498e-13   3.8799195972e-12   1.3716602635e-11   4.9436841914e-04   8.3780581353e-07   2.7735633808e-07   1.3142077405e-09   2.8895971219e-18   3.0816982478e-15   5.9140075596e-23   1.0050320485e-26   1.3733741510e-17   2.7995641196e-15   1.7010740610e-12   4.5741648683e-14   7.3570930974e-01   0.0000000000e+00   3.4700778092e-45   1.2835595440e-43   5.4061190119e-29   2.5780971062e-30
   1.2500000000e-02   4.4739810679e-02   2.0027467179e+03  -2.0603258082e+05   1.6932153470e-01   2.1003399711e-05   1.2623474283e-06   9.4208404641e-05   4.3763440008e-02   1.1365740819e-03   9.9677107321e-02   1.2523850109e-06   7.3988812635e-08   2.1744996874e-21   2.5720322840e-22   1.0263315087e-21   4.7033981438e-23   6.3156099952e-21   4.0137588153e-21   7.0151719356e-04   1.2162759313e-01   8.6958956005e-12   8.6402390502e-14   5.1106784161e-20   7.1086698905e-22   3.4987983289e-21   5.2736604907e-23   2.7700046618e-20   4.5837092314e-26   1.6962076068e-25   4.5416542175e-31   2.0988813325e-32   2.6488107990e-21   8.3219058139e-21   5.1155159231e-20   2.5589383756e-10   2.4659258203e-11   5.6446047918e-12   1.6891287001e-11   6.3547192535e-11   5.4551146776e-04   6.1496222245e-07   3.0304164639e-07   2.8000578721e-09   5.7867474689e-17   2.8537549340e-14   1.4921340371e-21   6.9802677542e-25   4.5352898013e-17   1.3100282058e-14   6.9816986515e-12   2.6964179738e-13   7.3242953507e-01   0.0000000000e+00   1.7639271187e-41   2.1297954139e-40   9.8144413400e-27   7.1524243225e-28
   1.4166666667e-02   4.8822528103e-02   2.1072093375e+03  -2.2500809410e+05   1.6019959167e-01   6.2784708053e-05   4.4271598494e-06   1.6416310788e-04   2.7360963436e-02   1.7341589694e-03   1.0812804808e-01   1.3888625663e-06   8.7920056981e-08   1.0822998493e-19   1.8576100989e-20   1.2320319324e-19   6.5076648237e-21   7.5300046534e-19   6.4390214309e-19   2.1943994071e-03   1.3048166343e-01   7.6271197414e-11   8.0506554154e-13   1.1548699708e-18   1.7574165166e-20   8.9218628186e-20   2.0820745892e-20   6.2847020496e-18   2.4912910705e-23   7.2521644304e-23   4.1270058868e-28   1.6718706132e-29   1.2106852683e-18   1.8743856952e-18   3.4308194206e-18   1.1550181568e-09   1.1378607998e-10   2.6675817291e-11   6.5034917343e-11   2.3535106447e-10   5.8961996445e-04   4.3364542121e-07   2.9640042098e-07   5.5519871988e-09   9.5238585555e-16   3.1235712028e-13   4.0577132433e-20   3.3939400326e-23   4.0007569791e-16   6.7895405144e-14   2.6846870832e-11   1.3076930159e-12   7.2927755765e-01   0.0000000000e+00   1.4091447744e-37   6.7563805973e-37   4.4581827350e-24   3.1607388986e-25
