# L (m)  = 0.008
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2            013_CH2         014_CH2(S)            015_CH3            016_CH4             017_CO            018_CO2            019_HCO           020_CH2O          021_CH2OH             022_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   1.6000000000e-05   3.8964986503e-03   4.5700925393e+02  -4.2622522980e+04   7.6785073087e-01   1.0997451024e-05   2.5640523396e-07   1.0776694803e-05   2.1701699556e-01   2.9483750779e-05   7.2421617736e-03   8.3449109051e-05   2.7417847397e-15   2.0486484967e-16   2.6126160489e-12   9.0073494278e-10   8.1216292782e-04   1.1805368952e-02   1.5065402407e-11   6.3388901728e-11   2.6054671605e-17   7.6298943235e-01
   4.8000000000e-05   8.5498861495e-03   6.4622991287e+02  -7.3456133794e+04   5.4192394747e-01   2.4836015122e-05   1.7515341185e-06   3.9886422577e-05   1.9799373996e-01   9.6908330693e-05   1.5128437168e-02   9.3323283958e-05   2.4164442302e-14   2.1644427357e-15   9.2723625819e-12   1.9915943465e-09   1.8105067572e-03   2.5736133701e-02   2.0804750472e-10   1.4509005702e-10   6.9329913847e-16   7.5907338908e-01
   8.0000000000e-05   1.2509733291e-02   7.9218646129e+02  -1.0382547814e+05   4.4133429002e-01   3.6660568552e-05   4.6268176001e-06   9.6942926323e-05   1.8180592052e-01   1.7441389367e-04   2.1630747974e-02   7.6405212961e-05   9.7009607380e-14   9.0321662169e-15   2.2504563243e-11   2.9385594164e-09   2.6769653750e-03   3.7592376742e-02   7.4383067676e-10   2.5114772887e-10   3.6720222766e-15   7.5590602165e-01
   1.1200000000e-04   1.6046194156e-02   9.1332530128e+02  -1.3227578619e+05   3.8221758089e-01   4.7242342573e-05   8.6745639280e-06   1.9338389590e-04   1.6732179845e-01   2.5767040420e-04   2.7313216131e-02   6.0356234952e-05   2.7494867571e-13   2.5627764884e-14   4.4220042970e-11   3.8421056653e-09   3.4737649284e-03   4.8180888905e-02   1.6758094087e-09   4.1059793852e-10   1.1824325076e-14   7.5314191306e-01
   1.4400000000e-04   1.9296381042e-02   1.0175304373e+03  -1.5966833177e+05   3.4258161696e-01   5.7188559801e-05   1.3625758970e-05   3.3173503322e-04   1.5397937127e-01   3.5480965249e-04   3.2441177229e-02   4.8302445239e-05   6.7645701295e-13   6.2392205025e-14   7.8907348685e-11   4.8188222401e-09   4.2382412164e-03   5.7891786299e-02   2.9626613010e-09   6.5459532225e-10   3.1148688926e-14   7.5064483918e-01
   1.7600000000e-04   2.2336026215e-02   1.1090914433e+03  -1.8677596502e+05   3.1385977126e-01   6.7075564447e-05   1.9295046680e-05   5.0320731622e-04   1.4148151381e-01   4.7448282800e-04   3.7152888228e-02   3.9471215545e-05   1.5862096528e-12   1.4424814364e-13   1.3643800994e-10   6.0559609394e-09   4.9977245433e-03   6.6930754954e-02   4.5130731325e-09   1.0347900895e-09   7.6200396013e-14   7.4833249010e-01
   2.0800000000e-04   2.5210018106e-02   1.1906810094e+03  -2.1383003426e+05   2.9194924583e-01   7.7499728034e-05   2.5577128021e-05   6.9175351797e-04   1.2967234487e-01   6.2125440877e-04   4.1527639461e-02   3.2909407761e-05   3.7002913865e-12   3.3115507391e-13   2.3774616010e-10   7.8871568580e-09   5.7765254753e-03   7.5412192042e-02   6.2410484928e-09   1.6566312487e-09   1.8456816201e-13   7.4616337308e-01
   2.4000000000e-04   2.7946725380e-02   1.2641136054e+03  -2.4085354471e+05   2.7461284412e-01   8.9071472847e-05   3.2392229340e-05   8.8004760770e-04   1.1846671657e-01   7.9514994250e-04   4.5614375902e-02   2.7905578804e-05   8.8022375299e-12   7.7363738391e-13   4.2926020060e-10   1.0927631472e-08   6.5986861617e-03   8.3396175555e-02   8.1046212191e-09   2.7455513164e-09   4.5753164505e-13   7.4409837206e-01
   2.7200000000e-04   3.0565442794e-02   1.3306966992e+03  -2.6776849447e+05   2.6051535013e-01   1.0238662850e-04   3.9646344842e-05   1.0537052243e-03   1.0781903433e-01   9.9232422204e-04   4.9448070226e-02   2.3971135191e-05   2.1662003542e-11   1.8650802306e-12   8.1727561504e-10   1.6360460190e-08   7.4892115533e-03   9.0910692933e-02   1.0124154046e-08   4.7886452311e-09   1.1773151425e-12   7.4212201010e-01
   3.0400000000e-04   3.3080353675e-02   1.3914177841e+03  -2.9442147302e+05   2.4880419823e-01   1.1798899996e-04   4.7216641239e-05   1.2027522184e-03   9.7699998669e-02   1.2059712417e-03   5.3055877974e-02   2.0779696792e-05   5.5442037197e-11   4.6629501080e-12   1.6518858542e-09   2.6575900696e-08   8.4739576830e-03   9.7960393407e-02   1.2400918825e-08   8.8572517173e-09   3.1491533299e-12   7.4021392994e-01
   3.3600000000e-04   3.5502593064e-02   1.4470527379e+03  -3.2060586391e+05   2.3890555948e-01   1.3635530552e-04   5.4955893164e-05   1.3212450876e-03   8.8091467000e-02   1.4274440630e-03   5.6462294580e-02   1.8116485853e-05   1.4740325322e-10   1.2073334717e-11   3.5398996850e-09   4.6627997299e-08   9.5795464093e-03   1.0453697579e-01   1.5174453939e-08   1.7375051522e-08   8.7087386786e-12   7.3837260083e-01
   3.6800000000e-04   3.7841289112e-02   1.4982316460e+03  -3.4607875698e+05   2.3041663724e-01   1.5789874833e-04   6.2697870299e-05   1.4060602091e-03   7.8979072861e-02   1.6472457690e-03   5.9688589592e-02   1.5839565345e-05   4.0544966177e-10   3.2237131528e-11   8.0003332041e-09   8.7596187714e-08   1.0832638453e-02   1.1062086784e-01   1.8985721069e-08   3.5994496982e-08   2.4711129757e-11   7.3658785419e-01
   4.0000000000e-04   4.0104063291e-02   1.5454799855e+03  -3.7057085338e+05   2.2304493369e-01   1.8300642469e-04   7.0262124641e-05   1.4557973078e-03   7.0354268913e-02   1.8558053053e-03   6.2754757840e-02   1.3854986249e-05   1.1484997663e-09   8.8345071313e-11   1.8948632675e-08   1.7446783301e-07   1.2259863662e-02   1.1618803378e-01   2.5107199377e-08   7.8274702523e-08   7.1437476574e-11   7.3486513565e-01
   4.3200000000e-04   4.2297249759e-02   1.5892449175e+03  -3.9378995811e+05   2.1657211968e-01   2.1208617109e-04   7.7449229219e-05   1.4699394287e-03   6.2211486004e-02   2.0437489131e-03   6.5677053814e-02   1.2100245835e-05   3.3357768604e-09   2.4737346155e-10   4.6744233811e-08   3.6481380635e-07   1.3887190446e-02   1.2120839172e-01   3.6637735173e-08   1.7751972331e-07   2.0913792321e-10   7.3319884076e-01
   4.6400000000e-04   4.4425959258e-02   1.6299119967e+03  -4.1542009179e+05   2.1083161396e-01   2.4563521422e-04   8.4035955976e-05   1.4484635998e-03   5.4551476708e-02   2.2019192146e-03   6.8469425045e-02   1.0535752735e-05   9.8933905435e-09   7.0477210220e-10   1.1943796017e-07   7.9325509622e-07   1.5740068512e-02   1.2565113951e-01   6.1255605326e-08   4.1702108852e-07   6.1677959216e-10   7.3159698212e-01
   4.9600000000e-04   4.6494062737e-02   1.6678146724e+03  -4.3511931096e+05   2.0569430390e-01   2.8429717504e-04   8.9763713654e-05   1.3916154375e-03   4.7380170110e-02   2.3210146436e-03   7.1140432290e-02   9.1404493275e-06   2.9827836441e-08   2.0341865008e-09   3.1450432197e-07   1.7767604714e-06   1.7842446439e-02   1.2948180270e-01   1.1796137888e-07   1.0070246526e-06   1.8229142411e-09   7.3005498461e-01
   5.2800000000e-04   4.8504163115e-02   1.7032362920e+03  -4.5252020460e+05   2.0105954574e-01   3.2892018657e-04   9.4333573810e-05   1.2999842599e-03   4.0712124698e-02   2.3912609229e-03   7.3694518584e-02   7.9126041598e-06   9.0849247355e-08   5.9157507880e-09   8.4918810601e-07   4.0598778785e-06   2.0215930916e-02   1.3266803938e-01   2.5269726300e-07   2.4754361110e-06   5.3656908323e-09   7.2858031784e-01
   5.6000000000e-04   5.0457691113e-02   1.7364006586e+03  -4.6723872030e+05   1.9685016961e-01   3.8055220257e-04   9.7401053115e-05   1.1747171842e-03   3.4570144910e-02   2.4020459224e-03   7.6128293188e-02   6.8732677058e-06   2.7657240239e-07   1.7180862455e-08   2.3359950120e-06   9.3665300559e-06   2.2875915061e-02   1.3517800618e-01   5.7023317013e-07   6.1073466574e-06   1.5580306471e-08   7.2716627865e-01
   5.9200000000e-04   5.2355406017e-02   1.7674413992e+03  -4.7889870179e+05   1.9301136648e-01   4.4034622934e-04   9.8588237041e-05   1.0182679546e-03   2.8987568660e-02   2.3423073986e-03   7.8431477551e-02   6.0693214746e-06   8.2588135562e-07   4.9036926166e-08   6.4772140117e-06   2.1571402336e-05   2.5825066726e-02   1.3699009681e-01   1.2823494875e-06   1.4807270737e-05   4.3918276306e-08   7.2581623779e-01
   6.2400000000e-04   5.4198796091e-02   1.7963343819e+03  -4.8717964760e+05   1.8951404706e-01   5.0922640281e-04   9.7506216707e-05   8.3589792953e-04   2.4005732311e-02   2.2023807005e-03   8.0582586577e-02   5.5608607084e-06   2.3476436613e-06   1.3384829601e-07   1.7768511914e-05   4.8954630350e-05   2.9038793741e-02   1.3809744761e-01   2.7246686361e-06   3.4240562227e-05   1.1709454404e-07   7.2451749844e-01
   6.5600000000e-04   5.5992841622e-02   1.8227863705e+03  -4.9189219916e+05   1.8636221063e-01   5.8726293057e-04   9.3806176951e-05   6.3834929661e-04   1.9669505913e-02   1.9791513249e-03   8.2550325632e-02   5.3724953387e-06   6.0990407706e-06   3.3585012191e-07   4.6847563554e-05   1.0788389169e-04   3.2444841684e-02   1.3852676135e-01   5.1871041147e-06   7.2729017728e-05   2.8462913727e-07   7.2326633810e-01
   6.8800000000e-04   5.7749522874e-02   1.8461347018e+03  -4.9308632136e+05   1.8359814717e-01   6.7278169398e-04   8.7263904010e-05   4.4417706291e-04   1.6013643060e-02   1.6843178445e-03   8.4292252968e-02   5.4173574867e-06   1.3829240020e-05   7.3910613209e-07   1.1436260137e-04   2.2722099422e-04   3.5902644677e-02   1.3835060421e-01   8.4210785177e-06   1.3638415447e-04   6.0423440268e-07   7.2204425304e-01
   7.2000000000e-04   5.9488960736e-02   1.8654291839e+03  -4.9120196003e+05   1.8129035675e-01   7.6181709444e-04   7.7957996959e-05   2.7719665612e-04   1.3044234286e-02   1.3503719528e-03   8.5766101105e-02   5.4878623747e-06   2.6276632628e-05   1.3668480234e-06   2.4891086669e-04   4.5042799586e-04   3.9212275953e-02   1.3770221497e-01   1.1273447958e-05   2.1916175461e-04   1.0782818721e-06   7.2084493039e-01
   7.5200000000e-04   6.1234528950e-02   1.8798387876e+03  -4.8721240445e+05   1.7949493833e-01   8.4867403876e-04   6.6509514430e-05   1.5545619081e-04   1.0721613855e-02   1.0231272203e-03   8.6943823047e-02   5.3901095296e-06   4.0926747984e-05   2.0744728544e-06   4.7053809406e-04   8.3086086599e-04   4.2170376853e-02   1.3675684360e-01   1.2412976925e-05   3.0007171157e-04   1.5861911099e-06   7.1964863001e-01
   7.8400000000e-04   6.3004375862e-02   1.8891339984e+03  -4.8255105214e+05   1.7821523395e-01   9.2775485845e-04   5.4128379181e-05   8.0536944671e-05   8.9616507624e-03   7.4123104665e-04   8.7829490782e-02   5.0801517533e-06   5.2497052170e-05   2.5945299735e-06   7.6833141181e-04   1.4196367402e-03   4.4646874647e-02   1.3569438478e-01   1.1595184126e-05   3.5819123152e-04   1.9360014368e-06   7.1844517027e-01
   8.1600000000e-04   6.4807130290e-02   1.8937702462e+03  -4.7869318162e+05   1.7739780682e-01   9.9528189465e-04   4.2218912372e-05   4.0346894962e-05   7.6551808623e-03   5.2154032758e-04   8.8455493387e-02   4.6301347400e-06   5.6944827403e-05   2.7462580893e-06   1.0985447470e-03   2.2521847723e-03   4.6613633236e-02   1.3464964369e-01   9.6321856846e-06   3.8726569670e-04   2.0142843829e-06   7.1721161384e-01
   8.4800000000e-04   6.6643775769e-02   1.8945811421e+03  -4.7668463121e+05   1.7695963326e-01   1.0499038195e-03   3.1850369749e-05   2.0460154049e-05   6.6926634405e-03   3.6173456831e-04   8.8871474245e-02   4.1243723918e-06   5.4148862807e-05   2.5510396995e-06   1.4075987017e-03   3.3402254259e-03   4.8120295978e-02   1.3369878020e-01   7.4301223942e-06   3.9265339388e-04   1.8509059688e-06   7.1594333822e-01
   8.8000000000e-04   6.8511321229e-02   1.8924563580e+03  -4.7696465900e+05   1.7681490041e-01   1.0922096518e-03   2.3515616342e-05   1.0834054409e-05   5.9797633201e-03   2.5053506164e-04   8.9126920340e-02   3.6168370397e-06   4.6803599419e-05   2.1569890823e-06   1.6560660003e-03   4.6710320415e-03   4.9250352594e-02   1.3286434702e-01   5.4977647223e-06   3.8222596665e-04   1.5560465166e-06   7.1463148431e-01
   9.1200000000e-04   7.0405379111e-02   1.8881749812e+03  -4.7947824034e+05   1.7688869643e-01   1.1239507869e-03   1.7213808866e-05   6.0747574576e-06   5.4432461301e-03   1.7527637914e-04   8.9266173830e-02   3.1374273575e-06   3.8001548153e-05   1.7159892115e-06   1.8279635952e-03   6.2132181041e-03   5.0091384652e-02   1.3214066581e-01   3.9970164810e-06   3.6236845628e-04   1.2357730996e-06   7.1328545900e-01
   9.4400000000e-04   7.2321524718e-02   1.8823546488e+03  -4.8389314835e+05   1.7712128279e-01   1.1472708426e-03   1.2656009199e-05   3.6170278688e-06   5.0298387408e-03   1.2511342594e-04   8.9322713011e-02   2.7032315030e-06   2.9813838742e-05   1.3214240032e-06   1.9270179716e-03   7.9258071415e-03   5.0717603324e-02   1.3150725470e-01   2.9081585781e-06   3.3764910709e-04   9.5299632741e-07   7.1190467636e-01
   9.7600000000e-04   7.4255938261e-02   1.8754555228e+03  -4.8978874624e+05   1.7746778717e-01   1.1642486047e-03   9.4527819618e-06   2.2824508576e-06   4.7026616641e-03   9.1800103453e-05   8.9322530486e-02   2.3233849924e-06   2.3118237907e-05   1.0074768095e-06   1.9678631478e-03   9.7674539479e-03   5.1186985491e-02   1.3094430417e-01   2.1458745499e-06   3.1121933868e-04   7.2945259069e-07   7.1050095590e-01
