# L (m)  = 0.12
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2            013_CH2         014_CH2(S)            015_CH3            016_CH4             017_CO            018_CO2            019_HCO           020_CH2O          021_CH2OH             022_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   2.4000000000e-04   3.9598261711e-03   4.7126816340e+02  -4.4142498131e+04   7.4497012612e-01   3.8782833486e-08   2.3471559877e-12   2.9189935301e-08   2.1628280102e-01   6.2865852266e-07   7.5986321010e-03   8.0944217952e-08   8.2430519788e-30   1.3386324673e-31   8.1610056508e-26   3.7652437348e-23   2.3831379259e-06   1.3418467753e-02   3.9486744093e-19   1.0924602250e-19   3.7945185687e-31   7.6269702434e-01
   7.2000000000e-04   8.5455924695e-03   6.7445615057e+02  -7.0835115698e+04   5.1984729665e-01   8.6380895348e-08   3.9601569624e-11   1.4903466643e-07   1.9692278083e-01   1.7626223513e-06   1.5636549803e-02   2.2307695218e-07   4.9658830866e-30   7.3329354534e-31   1.7445030061e-25   2.1943171627e-23   5.2443400866e-06   2.8769821197e-02   1.3281561989e-17   3.4704779911e-19   3.2026812412e-29   7.5866329713e-01
   1.2000000000e-03   1.2438326851e-02   8.3387288139e+02  -9.5552185122e+04   4.2002739831e-01   1.2834396572e-07   2.6654857268e-10   4.4387585165e-07   1.8048792792e-01   3.8804970035e-06   2.2304118211e-02   4.1844809041e-07   4.6898311928e-30   1.3381795827e-30   1.5213802919e-25   9.2550220005e-24   7.7870316139e-06   4.1798120438e-02   1.2189253382e-16   9.7271657321e-19   6.1990314613e-28   7.5539726065e-01
   1.6800000000e-03   1.5903872511e-02   9.6933849706e+02  -1.1648115406e+05   3.6101052173e-01   1.7026910197e-07   1.1015767990e-09   1.0936941544e-06   1.6585506150e-01   8.5802365243e-06   2.8166704879e-02   5.7752148333e-07   2.9890872215e-29   2.0332085812e-30   1.0466671191e-25   3.6042111806e-24   1.0300863276e-05   5.3414240443e-02   6.1983732742e-16   2.2586233403e-18   5.5387416055e-27   7.5254318419e-01
   2.1600000000e-03   1.9076963267e-02   1.0889951737e+03  -1.3498945797e+05   3.2109363760e-01   2.2238484228e-07   3.2818053969e-09   2.3358317695e-06   1.5245429078e-01   1.8581536059e-05   3.3491114960e-02   6.4063401356e-07   3.3530286567e-29   2.8747665351e-30   6.9264587916e-26   1.5474743480e-24   1.3182963926e-05   6.4070685708e-02   2.1786252857e-15   4.2953781945e-18   2.8299436005e-26   7.4994902740e-01
   2.6400000000e-03   2.2033841000e-02   1.1971142719e+03  -1.5204383194e+05   2.9188711177e-01   3.0627072578e-07   8.1202108736e-09   4.4651649577e-06   1.3996233672e-01   3.7200014479e-05   3.8421558053e-02   6.5848360847e-07  -1.3936393711e-29   1.7833420259e-30   2.4238375091e-26   3.7136229516e-25   1.7194806451e-05   7.4020057105e-02   6.3399235296e-15   9.0216870130e-18   1.3069245273e-25   7.4753613017e-01
   3.1200000000e-03   2.4822299770e-02   1.2962528441e+03  -1.6806104157e+05   2.6938615258e-01   4.6164741195e-07   1.8167474969e-08   7.9146963310e-06   1.2817657039e-01   6.7924105414e-05   4.3044889549e-02   6.8057097891e-07  -4.6445819132e-29   6.1099052189e-31   6.9011285222e-27   7.4724996216e-26   2.3795601409e-05   8.3418114709e-02   1.7272480490e-14   2.4591784578e-17   7.0416974678e-25   7.4525971586e-01
   3.6000000000e-03   2.7474581060e-02   1.3880601165e+03  -1.8333255786e+05   2.5141206325e-01   7.5328941351e-07   3.8344356677e-08   1.3297744787e-05   1.1696041745e-01   1.1455500820e-04   4.7416949071e-02   7.2439169287e-07   1.2089943244e-28   4.0240499748e-30   7.7851195933e-27   1.7805482776e-26   3.5615838978e-05   9.2366591035e-02   4.7095947081e-14   7.8851343343e-17   4.1962860281e-24   7.4309097294e-01
   4.0800000000e-03   3.0013582290e-02   1.4736367548e+03  -1.9807891812e+05   2.3666962479e-01   1.2829777121e-06   7.7868733567e-08   2.1435993598e-05   1.0621796308e-01   1.8131856689e-04   5.1574859753e-02   7.9435654965e-07   1.1173846662e-27   4.6776841238e-29   5.2127395364e-26   4.4210218281e-26   5.7219548718e-05   1.0093307917e-01   1.3113879310e-13   2.6644332109e-16   2.5271014726e-23   7.4101205382e-01
