# L (m)  = 0.004
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2            013_CH2         014_CH2(S)            015_CH3            016_CH4             017_CO            018_CO2            019_HCO           020_CH2O          021_CH2OH             022_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   1.0000000000e-05   4.7346761630e-03   4.7812750553e+02  -4.5053847165e+04   7.3299666656e-01   2.4160221299e-05   1.2490806606e-06   2.1377890533e-05   2.1437568341e-01   7.0693961062e-05   8.5849612093e-03   1.4168097983e-04   5.4144561769e-12   4.1013859245e-13   2.2165815003e-09   8.2393353562e-07   2.3080685237e-03   1.1944766463e-02   2.6940107427e-10   5.3417774922e-08   1.1217136479e-13   7.6252613804e-01
   3.0000000000e-05   1.0187037705e-02   6.7989038940e+02  -7.6784109548e+04   5.1373714301e-01   5.3507548081e-05   5.7771940068e-06   7.9539124154e-05   1.9309809944e-01   1.9220744538e-04   1.7511102457e-02   1.1810722319e-04   4.4530268749e-11   4.0038761324e-12   8.7892500309e-09   1.7875902429e-06   5.0527022569e-03   2.5528243959e-02   2.4462287498e-09   1.2491559597e-07   1.9632808134e-12   7.5835912907e-01
   5.0000000000e-05   1.4833227846e-02   8.3265921362e+02  -1.0997534559e+05   4.1828413566e-01   7.8652018867e-05   1.2316059668e-05   1.8395987507e-04   1.7497287712e-01   2.9550848068e-04   2.4878431744e-02   8.5369962425e-05   1.6099302579e-10   1.4844818900e-11   2.2138012449e-08   2.6274145699e-06   7.4433378592e-03   3.7081839001e-02   7.6431207512e-09   2.2850628973e-07   8.4393888777e-12   7.5496448218e-01
   7.0000000000e-05   1.8991878138e-02   9.5821650739e+02  -1.4170356479e+05   3.6253078051e-01   1.0142038484e-04   2.0000885732e-05   3.4014709643e-04   1.5873015101e-01   3.9596331983e-04   3.1335086365e-02   6.3693780181e-05   4.3391147043e-10   3.9641260175e-11   4.4978203008e-08   3.4327579740e-06   9.6451119104e-03   4.7366576476e-02   1.7245509048e-08   3.9091825446e-07   2.4109169674e-11   7.5199830130e-01
   9.0000000000e-05   2.2821779116e-02   1.0656608060e+03  -1.7248376134e+05   3.2517536532e-01   1.2314675877e-04   2.8296305365e-05   5.3689286101e-04   1.4376402200e-01   5.1352807212e-04   3.7176906277e-02   4.9493115938e-05   1.0544538888e-09   9.4538256340e-11   8.3095578679e-08   4.3055466415e-06   1.1752089676e-02   5.6739567292e-02   3.3792772239e-08   6.4217655445e-07   5.9184409285e-11   7.4931065250e-01
   1.1000000000e-04   2.6407895106e-02   1.1598722171e+03  -2.0266766842e+05   2.9804992162e-01   1.4500044571e-04   3.6917770753e-05   7.5067460523e-04   1.2978224983e-01   6.5779991031e-04   4.2554600145e-02   3.9700045389e-05   2.4687822012e-09   2.1636563050e-10   1.4770436642e-07   5.4043463860e-06   1.3829213323e-02   6.5375499762e-02   6.1853007350e-08   1.0326121655e-06   1.3848324585e-10   7.4682203328e-01
   1.3000000000e-04   2.9799429492e-02   1.2438521728e+03  -2.3214714110e+05   2.7727824439e-01   1.6814700774e-04   4.5672975694e-05   9.5481395008e-04   1.1664433902e-01   8.2903550728e-04   4.7552543331e-02   3.2614512385e-05   5.7327298894e-09   4.8920062928e-10   2.6176911617e-07   6.9954298000e-06   1.5930425034e-02   7.3354139113e-02   1.0997004204e-07   1.6614967011e-06   3.2393200470e-10   7.4447889545e-01
   1.5000000000e-04   3.3027159707e-02   1.3196085169e+03  -2.6067075230e+05   2.6075939768e-01   1.9379356661e-04   5.4352869731e-05   1.1265213382e-03   1.0428594679e-01   1.0208497511e-03   5.2222896316e-02   2.7288307737e-05   1.3447476499e-08   1.1119044117e-09   4.7465700637e-07   9.5340114174e-06   1.8105882264e-02   8.0699782567e-02   1.9515324564e-07   2.7297600822e-06   7.7319972787e-10   7.4225007539e-01
   1.7000000000e-04   3.6111881808e-02   1.3885613434e+03  -2.8787690142e+05   2.4724531182e-01   2.2317603223e-04   6.2689325188e-05   1.2498190021e-03   9.2679997206e-02   1.2219371314e-03   5.6600847982e-02   2.3180448172e-05   3.2206006959e-08   2.5661206646e-09   8.9446141451e-07   1.3818549451e-05   2.0403832606e-02   8.7401364715e-02   3.5181751416e-07   4.6403171533e-06   1.8917687181e-09   7.4011307521e-01
   1.9000000000e-04   3.9068605294e-02   1.4517509071e+03  -3.1332869026e+05   2.3594376814e-01   2.5753529295e-04   7.0357678576e-05   1.3153994542e-03   8.1820948217e-02   1.4172576222e-03   6.0712117119e-02   1.9993313909e-05   7.8970572899e-08   6.0292085314e-09   1.7617981614e-06   2.1290517609e-05   2.2869974260e-02   9.3426790673e-02   6.4837621740e-07   8.1951166031e-06   4.7191933769e-09   7.3805797862e-01
   2.1000000000e-04   4.1908686842e-02   1.5099450589e+03  -3.3655419561e+05   2.2632803345e-01   2.9808739824e-04   7.6996145225e-05   1.3191430198e-03   7.1717297741e-02   1.5890464719e-03   6.4574501493e-02   1.7590702823e-05   1.9756385540e-07   1.4376947698e-08   3.6227293038e-06   3.4598305449e-05   2.5544120247e-02   9.8732397727e-02   1.2159139469e-06   1.4973258924e-05   1.1877160501e-08   7.3607584681e-01
   2.3000000000e-04   4.4641108429e-02   1.5636839689e+03  -3.5708833974e+05   2.1803893135e-01   3.4597696970e-04   8.2229103296e-05   1.2608150159e-03   6.2390909327e-02   1.7178560416e-03   6.8197935732e-02   1.5953258073e-05   4.9981876964e-07   3.4534139571e-08   7.7351252579e-06   5.8612256410e-05   2.8454615778e-02   1.0327326830e-01   2.2888076245e-06   2.7983983158e-05   2.9755975999e-08   7.3416359368e-01
   2.5000000000e-04   4.7273708928e-02   1.6132756133e+03  -3.7451642644e+05   2.1083290638e-01   4.0215045493e-04   8.5685285044e-05   1.1438448892e-03   5.3875772485e-02   1.7839879600e-03   7.1581803510e-02   1.5135629997e-05   1.2585973646e-06   8.2476428744e-08   1.6990016946e-05   1.0213253516e-04   3.1608528156e-02   1.0701197198e-01   4.2311610805e-06   5.2523745379e-05   7.2946565643e-08   7.3231349023e-01
   2.7000000000e-04   4.9814978641e-02   1.6587482405e+03  -3.8851970302e+05   2.0455485307e-01   4.6709159199e-04   8.7012520111e-05   9.7671267898e-04   4.6216592324e-02   1.7703691493e-03   7.4713198457e-02   1.5185408028e-05   3.0744494690e-06   1.9157557569e-07   3.7788662987e-05   1.8046136757e-04   3.4977914666e-02   1.0993105334e-01   7.4559499594e-06   9.6489668413e-05   1.7090497092e-07   7.3051957455e-01
   2.9000000000e-04   5.2276622412e-02   1.6997826517e+03  -3.9892274009e+05   1.9912299953e-01   5.4037338778e-04   8.5890527556e-05   7.7548386785e-04   3.9461247553e-02   1.6679266753e-03   7.7564764295e-02   1.6000515298e-05   7.0290939091e-06   4.1873303651e-07   8.3018172743e-05   3.1855494486e-04   3.8483447832e-02   1.1204520539e-01   1.2083450471e-05   1.6807716644e-04   3.7084717754e-07   7.2876976986e-01
   3.1000000000e-04   5.4675998563e-02   1.7357005704e+03  -4.0575148631e+05   1.9451333765e-01   6.2016250916e-04   8.2074249426e-05   5.6513043989e-04   3.3647452665e-02   1.4828686500e-03   8.0097986788e-02   1.7201143906e-05   1.4440864117e-05   8.2724047074e-07   1.7434152355e-04   5.5340840908e-04   4.1987018372e-02   1.1341515790e-01   1.7383965959e-05   2.6870365873e-04   7.1918676065e-07   7.2705545947e-01
   3.3000000000e-04   5.7036126594e-02   1.7656379373e+03  -4.0932627664e+05   1.9073096898e-01   7.0301433794e-04   7.5522646557e-05   3.7512945249e-04   2.8783042495e-02   1.2407811618e-03   8.2272221724e-02   1.8205295996e-05   2.5723041918e-05   1.4231353239e-06   3.3837239924e-04   9.3309139377e-04   4.5309111018e-02   1.1415137204e-01   2.1667748093e-05   3.8469954118e-04   1.2082317311e-06   7.2536507688e-01
   3.5000000000e-04   5.9381562682e-02   1.7889408584e+03  -4.1037294689e+05   1.8776813956e-01   7.8438354743e-04   6.6610584916e-05   2.2809932903e-04   2.4829916199e-02   9.8052455654e-04   8.4061988129e-02   1.8553533566e-05   3.8926979248e-05   2.0851467069e-06   5.9212196714e-04   1.5103616657e-03   4.8278235647e-02   1.1440317701e-01   2.3321615136e-05   4.8973865056e-04   1.7292187918e-06   7.2369056304e-01
   3.7000000000e-04   6.1732420082e-02   1.8055480654e+03  -4.1001445576e+05   1.8557173136e-01   8.5976026678e-04   5.6222001911e-05   1.2997633913e-04   2.1700880368e-02   7.3882281430e-04   8.5470108780e-02   1.8157167712e-05   5.0051439884e-05   2.5993308569e-06   9.2583762597e-04   2.3322586210e-03   5.0783998954e-02   1.1432849839e-01   2.2082481980e-05   5.6149407805e-04   2.1134704068e-06   7.2201680063e-01
   3.9000000000e-04   6.4101180805e-02   1.8160440568e+03  -4.0952394086e+05   1.8404304941e-01   9.2579772976e-04   4.5527982661e-05   7.1844381277e-05   1.9273779790e-02   5.3763804745e-04   8.6530135366e-02   1.7208822329e-05   5.5618824052e-05   2.8034637019e-06   1.3011600307e-03   3.4304073387e-03   5.2798259216e-02   1.1406402748e-01   1.8958510456e-05   5.9431825641e-04   2.2460330274e-06   7.2033060532e-01
