# L (m)  = 0.2
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2            013_CH2         014_CH2(S)            015_CH3            016_CH4             017_CO            018_CO2            019_HCO           020_CH2O          021_CH2OH             022_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   5.0000000000e-04   4.7251484998e-03   4.8615775424e+02  -7.0892381987e+04   7.2199741194e-01   5.4958237269e-09   2.5177260191e-13   7.7758847515e-09   2.1305042108e-01   2.6262038088e-07   8.9943735944e-03   1.9127455419e-08   2.4597564207e-31   5.3659451635e-32  -5.3552674059e-29  -7.1363387192e-27   4.1836878472e-07   1.6075647439e-02   7.5715055937e-21   6.2947506244e-22   2.4027015984e-34   7.6187884442e-01
   1.5000000000e-03   1.0016432751e-02   6.9333876093e+02  -1.2843794572e+05   5.0551422317e-01   1.1942679826e-08   3.9887345220e-12   3.9071430277e-08   1.9071049934e-01   7.2561759621e-07   1.8170489640e-02   5.1279979104e-08  -1.3983181694e-33  -1.5744119608e-34  -9.1305476398e-29  -8.9937653877e-27   8.6935534678e-07   3.3833538522e-02   2.3006350864e-19   2.1879975264e-21   2.1572151371e-32   7.5728377532e-01
   2.5000000000e-03   1.4491192011e-02   8.4869332182e+02  -1.8596917678e+05   4.1250817012e-01   1.7552328207e-08   2.2972420784e-11   9.9964358932e-08   1.7181767785e-01   1.6237579920e-06   2.5764035437e-02   8.6480808656e-08  -6.0060383295e-33  -4.3661691824e-34  -1.1557049128e-28  -6.7441971771e-27   1.2341101586e-06   4.8844484132e-02   1.7841422550e-18   6.5186132483e-21   4.0817489425e-31   7.5357074060e-01
   3.5000000000e-03   1.8470883445e-02   9.7478762720e+02  -2.4280653137e+05   3.5880177357e-01   2.3450123132e-08   7.9855237442e-11   1.9804141092e-07   1.5501452099e-01   3.5700990991e-06   3.2441966402e-02   1.0543347478e-07  -3.5894356859e-33  -4.4135468047e-34  -1.3546764394e-29  -3.6829042901e-27   1.5803443953e-06   6.2214544829e-02   7.6760412959e-18   1.5404656194e-20   3.4485163779e-30   7.5032349042e-01
   4.5000000000e-03   2.2116490753e-02   1.0812354161e+03  -3.0037116875e+05   3.2320260946e-01   3.1887964352e-08   2.1183489301e-10   3.5680756418e-07   1.3962103910e-01   7.3314132098e-06   3.8516480532e-02   1.1145475067e-07   8.0662759703e-32   6.1317498585e-33   5.1289968111e-28   2.8812988536e-27   2.0075254452e-06   7.4486181010e-02   2.4925838445e-17   4.0213070544e-20   2.3463264136e-29   7.4736645998e-01
   5.5000000000e-03   2.5517853296e-02   1.1734148197e+03  -3.5910381738e+05   2.9758360633e-01   4.7457588314e-08   5.0398755316e-10   6.2073708165e-07   1.2525761381e-01   1.3757517254e-05   4.4155125885e-02   1.1833146915e-07   1.7645489181e-28   1.5543445198e-29  -7.6730349251e-27   2.5681238873e-26   2.6960806314e-06   8.5958887466e-02   7.5527678338e-17   1.4105242913e-19   1.8776642911e-28   7.4461113230e-01
   6.5000000000e-03   2.8730411075e-02   1.2548034538e+03  -4.1876768484e+05   2.7808447795e-01   7.9072299346e-08   1.1681910016e-09   1.0656643354e-06   1.1168983674e-01   2.3968866654e-05   4.9457907461e-02   1.3360530868e-07   5.5153164166e-28  -9.2906851287e-30   3.6241503798e-26   8.9856429689e-26   3.9908312873e-06   9.6816065743e-02   2.4090496227e-16   5.7718541735e-19   1.6656104349e-27   7.4200695076e-01
   7.5000000000e-03   3.1790858691e-02   1.3278664678e+03  -4.7890383062e+05   2.6260973025e-01   1.4479159896e-07   2.7489524129e-09   1.8306482883e-06   9.8762389838e-02   3.9665048448e-05   5.4488497762e-02   1.6220821603e-07  -6.8058429778e-27  -6.1493317769e-29  -2.4931649762e-26   4.4701329009e-25   6.5955128121e-06   1.0717807676e-01   8.5525426541e-16   2.5376704635e-18   1.6079862768e-26   7.3952263477e-01
   8.5000000000e-03   3.4724646277e-02   1.3944562571e+03  -5.3892600768e+05   2.4991357612e-01   2.8409344873e-07   6.7128844258e-09   3.1792697267e-06   8.6367502614e-02   6.3520012996e-05   5.9288474372e-02   2.1016536109e-07   5.4473286513e-26   1.1699140843e-27   8.7583455655e-25   3.9884038561e-24   1.2053521598e-05   1.1712684148e-01   3.4346905062e-15   1.1830648837e-17   1.6981546799e-25   7.3713792768e-01
   9.5000000000e-03   3.7549880244e-02   1.4560024679e+03  -5.9817193842e+05   2.3920769377e-01   5.8796544266e-07   1.7193809872e-08   5.6123156397e-06   7.4429072665e-02   9.9672042362e-05   6.3884034519e-02   2.8630590803e-07  -6.7782950470e-26  -4.0624334581e-28   6.5453369574e-24   4.5657333398e-23   2.3940127015e-05   1.2671709747e-01   1.5564217089e-14   5.8501421753e-17   1.9791246036e-24   7.3483967947e-01
