# L (m)  = 0.0046
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2            013_CH2         014_CH2(S)            015_CH3            016_CH4             017_CO            018_CO2            019_HCO           020_CH2O          021_CH2OH             022_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   9.2000000000e-06   2.2958358237e-03   3.1214205885e+02  -1.0481168460e+04   1.1244603169e+00   1.5390324613e-06   2.7646211452e-16   7.4206683866e-15   2.3105503924e-01   4.7046603785e-11   5.3568329561e-04   8.0418624606e-08   1.7102366925e-15   8.9312135962e-17   6.3020855201e-07   1.8835675235e-03   3.7937158377e-04   8.0987273747e-04   3.9730494752e-15   5.0209686983e-06   1.9271445330e-19   7.6532011955e-01
   2.7600000000e-05   6.6099575593e-03   3.3491909018e+02  -3.3401654976e+04   1.0446208857e+00   4.4688472706e-06  -9.5345017636e-16   2.1488934294e-14   2.2742247777e-01   1.3635357870e-10   1.5312963155e-03   2.3206676455e-07   1.2364519874e-14   7.1623954338e-16   1.8167381636e-06   5.4261111448e-03   1.0955717249e-03   2.3268806298e-03   3.2899561774e-14   1.4365568588e-05   2.1524557553e-18   7.6218578188e-01
   4.6000000000e-05   1.0708720137e-02   3.5638181778e+02  -5.4912532482e+04   9.7872378453e-01   7.2810644588e-06  -2.4617262136e-14   3.3806763175e-14   2.2397709815e-01   2.2629622721e-10   2.4679327670e-03   3.7651479575e-07   3.0186791267e-14   1.8612450973e-15   2.9430042535e-06   8.7947867183e-03   1.7778854169e-03   3.7627186489e-03   8.9713144970e-14   2.3160932563e-05   5.8860472104e-18   7.5917679929e-01
   6.4400000000e-05   1.4628270001e-02   3.7668258640e+02  -7.5287446575e+04   9.2329273300e-01   9.9933101264e-06  -1.0943668444e-13   4.3078238258e-14   2.2070404280e-01   3.2336342987e-10   3.3556009777e-03   5.1514635265e-07   5.4451387239e-14   3.5255412026e-15   4.0169212801e-06   1.2019782398e-02   2.4313746944e-03   5.1301629092e-03   1.7897259491e-13   3.1495141995e-05   5.3579264579e-18   7.5632196732e-01
   8.2800000000e-05   1.8396079034e-02   3.9594609874e+02  -9.4725148128e+04   8.7593273954e-01   1.2618299281e-05  -2.7910653567e-13   4.7329477614e-14   2.1756368782e-01   4.3271573852e-10   4.2015111123e-03   6.4909135659e-07   8.5727573335e-14   5.7761442160e-15   5.0442560112e-06   1.5122909021e-02   3.0596971332e-03   6.4384144364e-03   3.0953831450e-13   3.9431588767e-05  -1.3271544217e-17   7.5354706240e-01
   1.0120000000e-04   2.2033562687e-02   4.1427583647e+02  -1.1337440978e+05   8.3493793363e-01   1.5167402788e-05  -5.1087746122e-13   4.3953185950e-14   2.1455334840e-01   5.5717454666e-10   5.0116595047e-03   7.7936710160e-07   1.2490667718e-13   8.6984716520e-15   6.0301187609e-06   1.8122723043e-02   3.6660441291e-03   7.6952925206e-03   4.9296836639e-13   4.7023329300e-05  -6.3309872931e-17   7.5089084427e-01
   1.1960000000e-04   2.5557792838e-02   4.3175872828e+02  -1.3134967419e+05   7.9905888564e-01   1.7648162861e-05  -7.3827579155e-13   3.0610955942e-14   2.1164290459e-01   6.9705387316e-10   5.7902385403e-03   9.0673742222e-07   1.7263845479e-13   1.2360033456e-14   6.9780064659e-06   2.1032055945e-02   4.2525812721e-03   8.9061853888e-03   7.4206044475e-13   5.4307206689e-05  -1.4369711745e-16   7.4828725528e-01
   1.3800000000e-04   2.8982619603e-02   4.4846860015e+02  -1.4874091927e+05   7.6735850455e-01   2.0068751786e-05  -8.7877984148e-13   7.2277364647e-15   2.0883569889e-01   8.5083256420e-10   6.5412688037e-03   1.0319459177e-06   2.2914292365e-13   1.6793689989e-14   7.8916040489e-06   2.3863679049e-02   4.8215554522e-03   1.0076458482e-02   1.0701434512e-12   6.1318935510e-05  -2.3145727683e-16   7.4577990728e-01
   1.5640000000e-04   3.2319465867e-02   4.6446876661e+02  -1.6562039016e+05   7.3911945280e-01   2.2433658304e-05  -8.6067574183e-13  -2.1507342855e-14   2.0610695645e-01   1.0157083511e-09   7.2672838155e-03   1.1555033280e-06   2.9415171597e-13   2.1989478751e-14   8.7730940808e-06   2.6625375931e-02   5.3742732148e-03   1.1209367286e-02   1.4905509640e-12   6.8080608982e-05  -2.8526260095e-16   7.4330739171e-01
   1.7480000000e-04   3.5577873119e-02   4.7981400571e+02  -1.8204705113e+05   7.1378278195e-01   2.4749303501e-05  -6.3620066992e-13  -4.4142984005e-14   2.0346327656e-01   1.1885002460e-09   7.9712370804e-03   1.2779841973e-06   3.6706051138e-13   2.7903471396e-14   9.6253822472e-06   2.9326779964e-02   5.9124648373e-03   1.2308947786e-02   2.0168749090e-12   7.4618470760e-05  -2.5612757631e-16   7.4091587321e-01
   1.9320000000e-04   3.8765913482e-02   4.9455208666e+02  -1.9806983900e+05   6.9090612052e-01   2.7018195661e-05  -1.8070657569e-13  -4.1809448538e-14   2.0088320839e-01   1.3658829308e-09   8.6546544679e-03   1.3997306998e-06   4.4698558260e-13   3.4461853606e-14   1.0449815980e-05   3.1972537112e-02   6.4368918825e-03   1.3377135698e-02   2.6627413488e-12   8.0945528880e-05  -9.8203177749e-17   7.3854687888e-01
   2.1160000000e-04   4.1890481245e-02   5.0872496499e+02  -2.1372987874e+05   6.7013451066e-01   2.9245762343e-05   5.1494716773e-13   1.0973282584e-14   1.9837520669e-01   1.5450010388e-09   9.3198768883e-03   1.5212077161e-06   5.3298367908e-13   4.1578900833e-14   1.1248854419e-05   3.4570486142e-02   6.9489881859e-03   1.4417204356e-02   3.4425313485e-12   8.7082503974e-05   2.2452142522e-16   7.3624796275e-01
   2.3000000000e-04   4.4957525356e-02   5.2236972994e+02  -2.2906220694e+05   6.5117961983e-01   3.1433127634e-05   1.4535947585e-12   1.4455403014e-13   1.9592005915e-01   1.7232444048e-09   9.9677682265e-03   1.6426301729e-06   6.2403175072e-13   4.9157455095e-14   1.2023273983e-05   3.7123161866e-02   7.4491422601e-03   1.5430206089e-02   4.3708920002e-12   9.3036351376e-05   7.3675981129e-16   7.3396267182e-01
   2.4840000000e-04   4.7972216589e-02   5.3551936330e+02  -2.4409695785e+05   6.3380465185e-01   3.3585153805e-05   2.6391056132e-12   3.9220694475e-13   1.9352730621e-01   1.8986897086e-09   1.0600304348e-02   1.7643814999e-06   7.1922936182e-13   5.7106712566e-14   1.2775273006e-05   3.9637350351e-02   7.9386142688e-03   1.6418962711e-02   5.4637643295e-12   9.8824438613e-05   1.4543140446e-15   7.3173931372e-01
   2.6680000000e-04   5.0939087759e-02   5.4820335254e+02  -2.5886034802e+05   6.1781320077e-01   3.5701935742e-05   4.0805522628e-12   7.8855837795e-13   1.9117933963e-01   2.0696091593e-09   1.1217885391e-02   1.8865704831e-06   8.1767020015e-13   6.5333882720e-14   1.3505214457e-05   4.2114070163e-02   8.4175210191e-03   1.7383896344e-02   6.7373487977e-12   1.0444943516e-04   2.3881018538e-15   7.2952291111e-01
   2.8520000000e-04   5.3862135057e-02   5.6044819190e+02  -2.7337534950e+05   6.0304089787e-01   3.7788027461e-05   5.7948333338e-12   1.3688537378e-12   1.8888633698e-01   2.2349260859e-09   1.1822266219e-02   2.0095156977e-06   9.1864789205e-13   7.3761784300e-14   1.4215146974e-05   4.4559492375e-02   8.8870218323e-03   1.8327559552e-02   8.2095528310e-12   1.0992663737e-04   3.5488895799e-15   7.2736216328e-01
   3.0360000000e-04   5.6744907250e-02   5.7227779448e+02  -2.8766228804e+05   5.8934905956e-01   3.9842718862e-05   7.8059356288e-12   2.1686349165e-12   1.8663190153e-01   2.3935953597e-09   1.2413504349e-02   2.1332336055e-06   1.0214432039e-12   8.2312807259e-14   1.4905120752e-05   4.6973485900e-02   9.3470253430e-03   1.9249900856e-02   9.8982400347e-12   1.1525553356e-04   4.9503501811e-15   7.2520323235e-01
   3.2200000000e-04   5.9590569909e-02   5.8371383447e+02  -3.0173924465e+05   5.7661980143e-01   4.1870416668e-05   1.0145513485e-11   3.2243941566e-12   1.8442657046e-01   2.5451518630e-09   1.2993221713e-02   2.2579900029e-06   1.1255664098e-12   9.0928890765e-14   1.5577104465e-05   4.9361878204e-02   9.7986352421e-03   2.0153315623e-02   1.1823316240e-11   1.2045014939e-04   6.6124246382e-15   7.2309498252e-01
   3.4040000000e-04   6.2401964767e-02   5.9477603287e+02  -3.1562243746e+05   5.6475223199e-01   4.3869754498e-05   1.2849476510e-11   4.5734843276e-12   1.8225490329e-01   2.6890107103e-09   1.3561211162e-02   2.3837194032e-06   1.2304789723e-12   9.9549453436e-14   1.6230903269e-05   5.1723625897e-02   1.0241593881e-02   2.1037380819e-02   1.4004074066e-11   1.2550752364e-04   8.5614595632e-15   7.2098449826e-01
   3.5880000000e-04   6.5181651884e-02   6.0548239815e+02  -3.2932647221e+05   5.5365946085e-01   4.5845096448e-05   1.5958820271e-11   6.2551486531e-12   1.8012761928e-01   2.8251186023e-09   1.4119017804e-02   2.5106444557e-06   1.3358888838e-12   1.0813535063e-13   1.6868450959e-05   5.4064388483e-02   1.0676978443e-02   2.1904406226e-02   1.6462171134e-11   1.3044093335e-04   1.0832294713e-14   7.1892066433e-01
   3.7720000000e-04   6.7931950652e-02   6.1584942985e+02  -3.4286459709e+05   5.4326622007e-01   4.7794522580e-05   1.9514538147e-11   8.3091811583e-12   1.7803006040e-01   2.9531853610e-09   1.4666222233e-02   2.6386261170e-06   1.4414131122e-12   1.1664158099e-13   1.7489355032e-05   5.6382370193e-02   1.1104393838e-02   2.2753666777e-02   1.9217830938e-11   1.3524547609e-04   1.3465807534e-14   7.1685133996e-01
   3.9560000000e-04   7.0654968332e-02   6.2589229213e+02  -3.5624886362e+05   5.3350695997e-01   4.9722424326e-05   2.3559984612e-11   1.0776765434e-11   1.7597301100e-01   3.0734275650e-09   1.5204329663e-02   2.7678520909e-06   1.5469308417e-12   1.2504576757e-13   1.8095544020e-05   5.8683180278e-02   1.1524910058e-02   2.3587433889e-02   2.2294002804e-11   1.3993403241e-04   1.6510912963e-14   7.1482533626e-01
   4.1400000000e-04   7.3352629292e-02   6.3562496230e+02  -3.6949030433e+05   5.2432430865e-01   5.1626401410e-05   2.8134276594e-11   1.3697174045e-11   1.7394247248e-01   3.1857362217e-09   1.5732744923e-02   2.8981169787e-06   1.6521872760e-12   1.3331594096e-13   1.8686461434e-05   6.0964381995e-02   1.1938015104e-02   2.4404729510e-02   2.5711128105e-11   1.4450012479e-04   2.0020040502e-14   7.1279118143e-01
   4.3240000000e-04   7.6026694788e-02   6.4506035878e+02  -3.8259903883e+05   5.1566781940e-01   5.3510920529e-05   3.3277050057e-11   1.7108961351e-11   1.7194921518e-01   3.2904997215e-09   1.6252958297e-02   3.0295808962e-06   1.7572051902e-12   1.4144362595e-13   1.9264049943e-05   6.3231615544e-02   1.2344784883e-02   2.5207818567e-02   2.9492810940e-11   1.4895648039e-04   2.4052193632e-14   7.1079754979e-01
   4.5080000000e-04   7.8678784402e-02   6.5421045171e+02  -3.9558440239e+05   5.0749294184e-01   5.5373155079e-05   3.9020054651e-11   2.1044800195e-11   1.6997981049e-01   3.3877132954e-09   1.6764225157e-02   3.1619786194e-06   1.8618303041e-12   1.4940693022e-13   1.9827613428e-05   6.5481883198e-02   1.2744605640e-02   2.5995505900e-02   3.3658837744e-11   1.5329531951e-04   2.8666551995e-14   7.0879356254e-01
   4.6920000000e-04   8.1310390048e-02   6.6308635915e+02  -4.0845501702e+05   4.9976017416e-01   5.7217680313e-05   4.5394928388e-11   2.5534214526e-11   1.6804496015e-01   3.4778695301e-09   1.7268038055e-02   3.2954495054e-06   1.9662005473e-12   1.5720814862e-13   2.0379120971e-05   6.7720913483e-02   1.3138568202e-02   2.6770071796e-02   3.8232731912e-11   1.5752938575e-04   3.3927545020e-14   7.0682771314e-01
   4.8760000000e-04   8.3922892061e-02   6.7169843095e+02  -4.2121888776e+05   4.9243435736e-01   5.9041284159e-05   5.2422326607e-11   3.0596717711e-11   1.6613173859e-01   3.5610161337e-09   1.7763522409e-02   3.4296746768e-06   2.0702344027e-12   1.6483247844e-13   2.0917754385e-05   6.9945206581e-02   1.3525968551e-02   2.7530130979e-02   4.3232679361e-11   1.6164980586e-04   3.9896367998e-14   7.0484965966e-01
   5.0600000000e-04   8.6517569288e-02   6.8005632235e+02  -4.3388345118e+05   4.8548408701e-01   6.0848673735e-05   6.0123220956e-11   3.6247167998e-11   1.6425074042e-01   3.6377035005e-09   1.8252185041e-02   3.5647792897e-06   2.1741578551e-12   1.7229004628e-13   2.1445516383e-05   7.2160620651e-02   1.3907918670e-02   2.8277994207e-02   4.8681407176e-11   1.6566945874e-04   4.6638848687e-14   7.0290768226e-01
   5.2440000000e-04   8.9095611428e-02   6.8816905859e+02  -4.4645564925e+05   4.7888121766e-01   6.2636283314e-05   6.8504743436e-11   4.2486950906e-11   1.6238949227e-01   3.7079973129e-09   1.8733036304e-02   3.7003969184e-06   2.2779366851e-12   1.7957049836e-13   2.1961479309e-05   7.4363198289e-02   1.4283633259e-02   2.9012107028e-02   5.4594603504e-11   1.6957854115e-04   5.4214234090e-14   7.0095193545e-01
   5.4280000000e-04   9.1658126398e-02   6.9604509211e+02  -4.5894196327e+05   4.7260044559e-01   6.4408968263e-05   7.7575612826e-11   4.9312753701e-11   1.6055845419e-01   3.7724737800e-09   1.9207605745e-02   3.8366450033e-06   2.3818626138e-12   1.8668943347e-13   2.2467683101e-05   7.6558957547e-02   1.4654249776e-02   2.9734821144e-02   6.0993628884e-11   1.7339014969e-04   6.2686584680e-14   6.9903046170e-01
   5.6120000000e-04   9.4206149980e-02   7.0369235304e+02  -4.7134847171e+05   4.6661895359e-01   6.6162834512e-05   8.7327945757e-11   5.6705256825e-11   1.5874556488e-01   3.8311934186e-09   1.9674800256e-02   3.9731157811e-06   2.4859295281e-12   1.9363903598e-13   2.2963099576e-05   7.8743517499e-02   1.5018908805e-02   3.0444429504e-02   6.7890938621e-11   1.7709368157e-04   7.2109911436e-14   6.9709388015e-01
