# L (m)  = 0.0052
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2            013_CH2         014_CH2(S)            015_CH3            016_CH4             017_CO            018_CO2            019_HCO           020_CH2O          021_CH2OH             022_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   1.0400000000e-05   3.8080990754e-03   4.4488219986e+02  -3.6848140022e+04   7.8834479993e-01   1.8336836809e-05   8.4213183039e-07   1.5796225102e-05   2.1791781498e-01   5.4513113363e-05   6.9232002377e-03   1.3169260366e-04   1.9145141286e-12   1.3782270459e-13   9.4259342412e-10   3.6514384174e-07   1.7132831264e-03   9.8662547655e-03   1.2434013067e-10   2.2983755750e-08   2.8129852280e-14   7.6336070934e-01
   3.1200000000e-05   8.4811383574e-03   6.2252569788e+02  -6.5458176196e+04   5.6180881236e-01   4.1993284361e-05   3.9438617558e-06   5.5151845347e-05   1.9955200972e-01   1.5381036717e-04   1.4681832754e-02   1.2874645879e-04   1.4092439662e-11   1.2363623913e-12   3.3126047047e-09   8.1922684463e-07   3.8750719648e-03   2.1829380776e-02   1.1882251091e-09   5.3279099972e-08   5.2825019144e-13   7.5967435203e-01
   5.2000000000e-05   1.2466605481e-02   7.5958569615e+02  -9.4198279482e+04   4.5935345946e-01   6.2300157165e-05   8.5974017619e-06   1.2235933668e-04   1.8390921562e-01   2.4363439014e-04   2.1090652031e-02   9.9715496020e-05   4.8481624437e-11   4.4559037452e-12   7.9081508679e-09   1.2116533035e-06   5.7510448820e-03   3.2023639763e-02   3.6536405694e-09   9.1420407999e-08   2.3015527002e-12   7.5669035699e-01
   7.2800000000e-05   1.6032884558e-02   8.7351354769e+02  -1.2135715595e+05   3.9859719940e-01   8.0536705387e-05   1.4301888664e-05   2.2405758732e-04   1.6989856013e-01   3.2474453562e-04   2.6707746379e-02   7.7000829898e-05   1.2140469703e-10   1.1209944042e-11   1.5315982145e-08   1.5750597142e-06   7.4651123247e-03   4.1125936586e-02   7.8268844516e-09   1.4619773668e-07   6.3712999246e-12   7.5407743048e-01
   9.3600000000e-05   1.9315573061e-02   9.7186614515e+02  -1.4733293657e+05   3.5754790429e-01   9.7552736401e-05   2.0663466607e-05   3.6011461199e-04   1.5698825791e-01   4.0891740031e-04   3.1795310513e-02   6.1157209259e-05   2.6479220447e-10   2.4214742845e-11   2.6606115468e-08   1.9370611331e-06   9.0853075007e-03   4.9462644026e-02   1.4136446117e-08   2.2536951163e-07   1.4510352685e-11   7.5172070028e-01
   1.1440000000e-04   2.2390014377e-02   1.0587503908e+03  -1.7265582883e+05   3.2757985842e-01   1.1401046643e-04   2.7432291160e-05   5.2287103650e-04   1.4488944212e-01   5.0598741361e-04   3.6490861536e-02   4.9877826192e-05   5.4470875883e-10   4.9087565613e-11   4.3739883864e-08   2.3314615143e-06   1.0654852948e-02   5.7205529399e-02   2.3313861135e-08   3.3862301175e-07   3.0254912492e-11   7.4953357077e-01
   1.3520000000e-04   2.5301388928e-02   1.1367107472e+03  -1.9757409056e+05   3.0454552224e-01   1.3051667039e-04   3.4462665477e-05   6.9950310284e-04   1.3344894504e-01   6.2106015306e-04   4.0875185795e-02   4.1547197267e-05   1.0932746322e-09   9.6854638648e-11   7.0097384332e-08   2.8080284849e-06   1.2206691253e-02   6.4452123577e-02   3.6636921593e-08   5.0138332846e-07   6.0956609333e-11   7.4748937484e-01
   1.5600000000e-04   2.8078402491e-02   1.2074631341e+03  -2.2207471993e+05   2.8617695703e-01   1.4766808806e-04   4.1653098194e-05   8.7544219541e-04   1.2257760930e-01   7.5508326113e-04   4.4997068101e-02   3.5184665951e-05   2.1779985911e-09   1.8924975387e-10   1.1175947203e-07   3.4432395133e-06   1.3768676325e-02   7.1253212672e-02   5.6370771560e-08   7.4075485861e-07   1.2219611861e-10   7.4554122258e-01
   1.7680000000e-04   3.0740301931e-02   1.2722334714e+03  -2.4606763141e+05   2.7111830947e-01   1.6608077850e-04   4.8905437336e-05   1.0372769097e-03   1.1223161263e-01   9.0593002567e-04   4.8890405563e-02   3.0185082508e-05   4.3570936041e-09   3.7028578134e-10   1.8010164383e-07   4.3565892905e-06   1.5367378558e-02   7.7634317672e-02   8.6628534605e-08   1.1055162116e-06   2.4757036553e-10   7.4368499994e-01
