# L (m)  = 0.0048
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2            013_CH2         014_CH2(S)            015_CH3            016_CH4             017_CO            018_CO2            019_HCO           020_CH2O          021_CH2OH             022_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   9.6000000000e-06   3.7537091895e-03   4.3928482449e+02  -3.5052771992e+04   7.9823748920e-01   2.0572670333e-05   8.6678164312e-07   1.6057794641e-05   2.1835437918e-01   5.3553173745e-05   6.7867251800e-03   1.3314681667e-04   7.5898737499e-12   5.3876212094e-13   3.7367764638e-09   1.4583372025e-06   2.0387685305e-03   9.0784656698e-03   2.0842192518e-10   9.6704532466e-08   1.1793706380e-13   7.6351640091e-01
   2.8800000000e-05   8.4190459431e-03   6.1233569202e+02  -6.2774362737e+04   5.7088926823e-01   4.7442930054e-05   3.8865214524e-06   5.4341876005e-05   2.0030494789e-01   1.4850751344e-04   1.4505931881e-02   1.3335778181e-04   5.3385370890e-11   4.6331574408e-12   1.2815953036e-08   3.2944640163e-06   4.6409951001e-03   2.0220235622e-02   1.8937487968e-09   2.2373368601e-07   2.1305802329e-12   7.5993631863e-01
   4.8000000000e-05   1.2401924041e-02   7.4640349713e+02  -9.0412587834e+04   4.6713522029e-01   7.0585902840e-05   8.3010188456e-06   1.1698881191e-04   1.8492230614e-01   2.3331943453e-04   2.0892626879e-02   1.0448449704e-04   1.7944448330e-10   1.6348313505e-11   3.0233988228e-08   4.8808404329e-06   6.8981943499e-03   2.9715963937e-02   5.9879145570e-09   3.7703342427e-07   9.0053784364e-12   7.5703243417e-01
   6.7200000000e-05   1.5967774485e-02   8.5818850688e+02  -1.1640949635e+05   4.0534361053e-01   9.1419272782e-05   1.3646680618e-05   2.0919872177e-04   1.7114607433e-01   3.0855546380e-04   2.6497512308e-02   8.1084184833e-05   4.4307387485e-10   4.0581949177e-11   5.8312507130e-08   6.3417681051e-06   8.9565825283e-03   3.8192011932e-02   1.3658637014e-08   5.8979294191e-07   2.4222229354e-11   7.5449640524e-01
   8.6400000000e-05   1.9250747038e-02   9.5497104973e+02  -1.4111899474e+05   3.6347297221e-01   1.1084973679e-04   1.9559101918e-05   3.3067992441e-04   1.5845472921e-01   3.8477449508e-04   3.1579451683e-02   6.4585122449e-05   9.5151981636e-10   8.6272958656e-11   1.0081201406e-07   7.7741236254e-06   1.0895190216e-02   4.5949307955e-02   2.6871406622e-08   8.9009823976e-07   5.3600045183e-11   7.5220258228e-01
   1.0560000000e-04   2.2325762319e-02   1.0407140283e+03  -1.6502979953e+05   3.3283440895e-01   1.2956106013e-04   2.5800177560e-05   4.7505160422e-04   1.4656719323e-01   4.7109101299e-04   3.6275744839e-02   5.2818548864e-05   1.9197252608e-09   1.7132114604e-10   1.6431950788e-07   9.2872140859e-06   1.2763343067e-02   5.3147614250e-02   4.8731371787e-08   1.3103844338e-06   1.0838397975e-10   7.5008046086e-01
   1.2480000000e-04   2.5238086376e-02   1.1178706477e+03  -1.8842945555e+05   3.0923782358e-01   1.4815822717e-04   3.2224020354e-05   6.3149483665e-04   1.3532752604e-01   5.7243363702e-04   4.0666543371e-02   4.4140321908e-05   3.7612058246e-09   3.2950280116e-10   2.5963910895e-07   1.1032628987e-05   1.4597011121e-02   5.9876568077e-02   8.3865153905e-08   1.8981721324e-06   2.1100457958e-10   7.4809112733e-01
   1.4400000000e-04   2.8016658347e-02   1.1880913075e+03  -2.1132262800e+05   2.9038780601e-01   1.6723202336e-04   3.8728192345e-05   7.8738995188e-04   1.2464765508e-01   6.8992400149e-04   4.4801362520e-02   3.7538857543e-05   7.2714937064e-09   6.2394203417e-10   4.0516732174e-07   1.3233570466e-05   1.6425770298e-02   6.6184565432e-02   1.3924978695e-07   2.7317713955e-06   4.0668912689e-10   7.4620280438e-01
   1.6320000000e-04   3.0680902903e-02   1.2525508866e+03  -2.3363200245e+05   2.7491051323e-01   1.8738836610e-04   4.5216026019e-05   9.3065936946e-04   1.1448033849e-01   8.2175961227e-04   4.8712881168e-02   3.2392599170e-05   1.4016236383e-08   1.1748781046e-09   6.3362153566e-07   1.6222914299e-05   1.8276323952e-02   7.2094345940e-02   2.2602768403e-07   3.9450422677e-06   7.8756214442e-10   7.4439815895e-01
   1.8240000000e-04   3.3244488811e-02   1.3121190491e+03  -2.5522471003e+05   2.6192833954e-01   2.0925064738e-04   5.1574617820e-05   1.0512105303e-03   1.0480052871e-01   9.6384990677e-04   5.2423291437e-02   2.8311124382e-05   2.7145005480e-08   2.2158450261e-09   1.0043186766e-06   2.0501158929e-05   2.0173650991e-02   7.7610381174e-02   3.6277280788e-07   5.7664503901e-06   1.5427359376e-09   7.4265977173e-01
   2.0160000000e-04   3.5717479622e-02   1.3674569489e+03  -2.7592488449e+05   2.5085206588e-01   2.3345571813e-04   5.7668415649e-05   1.1415242770e-03   9.5598133160e-02   1.1102453841e-03   5.5948914962e-02   2.5050838398e-05   5.3083562508e-08   4.2054689875e-09   1.6257729316e-06   2.6831795891e-05   2.2141581124e-02   8.2725523458e-02   5.8069322312e-07   8.5817902715e-06   3.0611694607e-09   7.4098073251e-01
   2.2080000000e-04   3.8107593626e-02   1.4190742093e+03  -2.9552750361e+05   2.4127070166e-01   2.6063775460e-04   6.3340590692e-05   1.1965989445e-03   8.6871352320e-02   1.2534437791e-03   5.9301355486e-02   2.2467992466e-05   1.0502745002e-07   8.0471170283e-09   2.6981958441e-06   3.6395966526e-05   2.4201976029e-02   8.7423912866e-02   9.3133301714e-07   1.3034854449e-05   6.1383975843e-09   7.3935121912e-01
   2.4000000000e-04   4.0420972594e-02   1.4673615717e+03  -3.1381315403e+05   2.3288949798e-01   2.9141424893e-04   6.8420629639e-05   1.2136418311e-03   7.8625968183e-02   1.3847251367e-03   6.2489172756e-02   2.0491957926e-05   2.1006584676e-07   1.5514138086e-08   4.5946314489e-06   5.1038231320e-05   2.6373847409e-02   9.1685759063e-02   1.4970300136e-06   2.0183604122e-05   1.2379525422e-08   7.3776951969e-01
   2.5920000000e-04   4.2662715369e-02   1.5126065592e+03  -3.3056324516e+05   2.2549356422e-01   3.2635559015e-04   7.2731251958e-05   1.1917293626e-03   7.0872803541e-02   1.4945104092e-03   6.5516962427e-02   1.9106237643e-05   4.2324915632e-07   3.0046964950e-08   8.0152120073e-06   7.3639709383e-05   2.8670951639e-02   9.5489198354e-02   2.4022693237e-06   3.1717927250e-05   2.4945753780e-08   7.3622888036e-01
   2.7840000000e-04   4.4837354325e-02   1.5549957323e+03  -3.4557524639e+05   2.1892597617e-01   3.6594605245e-04   7.6096562464e-05   1.1317293248e-03   6.3628530288e-02   1.5729148597e-03   6.8385912498e-02   1.8329779508e-05   8.5351612028e-07   5.8148344359e-08   1.4272937836e-05   1.0865931280e-04   3.1099249286e-02   9.8815085205e-02   3.8183543544e-06   5.0198732684e-05   4.9817222644e-08   7.3472880956e-01
   2.9760000000e-04   4.6949408177e-02   1.5946059385e+03  -3.5867752825e+05   2.1307445657e-01   4.1050721240e-04   7.8346029977e-05   1.0365342537e-03   5.6913666644e-02   1.6105757143e-03   7.1092091245e-02   1.8187586685e-05   1.7051343453e-06   1.1148722635e-07   2.5788793529e-05   1.6285725503e-04   3.3652513932e-02   1.0164906059e-01   5.9427828544e-06   7.9155360071e-05   9.7572505553e-08   7.3326233919e-01
   3.1680000000e-04   4.9004075101e-02   1.6313887768e+03  -3.6974328476e+05   2.0786301267e-01   4.6009799621e-04   7.9318963238e-05   9.1166540150e-04   5.0752081409e-02   1.6000430741e-03   7.3626979873e-02   1.8665478202e-05   3.3261715483e-06   2.0911094008e-07   4.6843139592e-05   2.4615717129e-04   3.6308290326e-02   1.0398711484e-01   8.9247537932e-06   1.2268395247e-04   1.8495964844e-07   7.3182792937e-01
   3.3600000000e-04   5.1008000709e-02   1.6651584448e+03  -3.7870403318e+05   2.0324568529e-01   5.1437746096e-04   7.8867676553e-05   7.6589157744e-04   4.5166995114e-02   1.5376794502e-03   7.5976301075e-02   1.9655223112e-05   6.2215324908e-06   3.7732612929e-07   8.4439144701e-05   3.7246119813e-04   3.9023538652e-02   1.0583802027e-01   1.2721418817e-05   1.8406529994e-04   3.3395736131e-07   7.3041753290e-01
   3.5520000000e-04   5.2969849913e-02   1.6956020531e+03  -3.8556602769e+05   1.9919966397e-01   5.7249347021e-04   7.6872981712e-05   6.1128260220e-04   4.0177284388e-02   1.4257551665e-03   7.8122393301e-02   2.0923165405e-05   1.0942498628e-05   6.4257344323e-07   1.4869163289e-04   5.6007255363e-04   4.1734648365e-02   1.0722845388e-01   1.6939649205e-05   2.6331612260e-04   5.6459816833e-07   7.2902924059e-01
   3.7440000000e-04   5.4900261189e-02   1.7223349382e+03  -3.9043505581e+05   1.9571558502e-01   6.3303384600e-04   7.3278672635e-05   4.6180614019e-04   3.5790999651e-02   1.2735739054e-03   8.0045907789e-02   2.2144166889e-05   1.7777620744e-05   1.0140036643e-06   2.5164996958e-04   8.3124114818e-04   4.4362407168e-02   1.0820260086e-01   2.0817667483e-05   3.5480923872e-04   8.8001450942e-07   7.2765553597e-01
   3.9360000000e-04   5.6810905583e-02   1.7450066251e+03  -3.9354838746e+05   1.9278505267e-01   6.9413676587e-04   6.8150880619e-05   3.3029139786e-04   3.2000765773e-02   1.0964699650e-03   8.1731625163e-02   2.3008156688e-05   2.6340128037e-05   1.4624953437e-06   4.0371336310e-04   1.2105274536e-03   4.6825188001e-02   1.0882163008e-01   2.3483806241e-05   4.4732949782e-04   1.2508850886e-06   7.2629514519e-01
   4.1280000000e-04   5.8712906343e-02   1.7634240511e+03  -3.9529438665e+05   1.9038885464e-01   7.5373238988e-04   6.1729082428e-05   2.2493473279e-04   2.8780199325e-02   9.1230357885e-04   8.3171919051e-02   2.3333470438e-05   3.5388441796e-05   1.9152060805e-06   6.0849994785e-04   1.7221021466e-03   4.9053945913e-02   1.0915554670e-01   2.4380231221e-05   5.2787372036e-04   1.6146022395e-06   7.2494005786e-01
   4.3200000000e-04   6.0615379129e-02   1.7776305920e+03  -3.9618947383e+05   1.8849083449e-01   8.0987884496e-04   5.4427130568e-05   1.4756236906e-04   2.6085298787e-02   7.3702387070e-04   8.4371079273e-02   2.3105164397e-05   4.3179248148e-05   2.2795419141e-06   8.5915306712e-04   2.3867311494e-03   5.1005079540e-02   1.0927621684e-01   2.3513236438e-05   5.8701300913e-04   1.8973044777e-06   7.2358708202e-01
   4.5120000000e-04   6.2524755863e-02   1.7879018726e+03  -3.9680330886e+05   1.8703946416e-01   8.6102914240e-04   4.6760232617e-05   9.4715309042e-05   2.3858308638e-02   5.8148931276e-04   8.5343856407e-02   2.2424069757e-05   4.8198704996e-05   2.4836771114e-06   1.1388135333e-03   3.2192162964e-03   5.2663363575e-02   1.0924739475e-01   2.1342848481e-05   6.2173262782e-04   2.0457466480e-06   7.2222630007e-01
