# L (m)  = 0.006
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2            013_CH2         014_CH2(S)            015_CH3            016_CH4             017_CO            018_CO2            019_HCO           020_CH2O          021_CH2OH             022_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   1.2000000000e-05   3.8661229442e-03   4.5154045395e+02  -3.8843822931e+04   7.7690104083e-01   1.5443664287e-05   6.5672058368e-07   1.4478562821e-05   2.1743566596e-01   4.8733366631e-05   7.0869856679e-03   1.1996176355e-04   2.1178818116e-13   1.5525460595e-14   1.1931317491e-10   4.4519302548e-08   1.3217180885e-03   1.0779768422e-02   6.4952291118e-11   2.7378492784e-09   2.7266252389e-15   7.6317779181e-01
   3.6000000000e-05   8.5407862990e-03   6.3494624252e+02  -6.7925101011e+04   5.5113293994e-01   3.5087640484e-05   3.4029439957e-06   5.2338352271e-05   1.9873503061e-01   1.4366493762e-04   1.4897951916e-02   1.1799466088e-04   1.6684033651e-12   1.4817123182e-13   4.2669215446e-10   9.9104357136e-08   2.9667403045e-03   2.3663391698e-02   6.8360782801e-10   6.3454785404e-09   5.6250235174e-14   7.5938304046e-01
   6.0000000000e-05   1.2523171396e-02   7.7603013233e+02  -9.7276063169e+04   4.5000510054e-01   5.1888648878e-05   7.7915112465e-06   1.2077325469e-04   1.8281403364e-01   2.3430677946e-04   2.1339788086e-02   9.1565477686e-05   5.9944035103e-12   5.5599470702e-13   1.0287005597e-09   1.4635907895e-07   4.3949444819e-03   3.4637672130e-02   2.1362078737e-09   1.1091115286e-08   2.6027536869e-13   7.5630832581e-01
   8.4000000000e-05   1.6084037563e-02   8.9300338594e+02  -1.2508647205e+05   3.9033101056e-01   6.6937448747e-05   1.3351622842e-05   2.2850807366e-04   1.6855778639e-01   3.2011022774e-04   2.6977355968e-02   7.0774047408e-05   1.5506036852e-11   1.4433049305e-12   2.0025174258e-09   1.9059873830e-07   5.7036190742e-03   4.4438666421e-02   4.4645048183e-09   1.8169579969e-08   7.5814107544e-13   7.5362142667e-01
   1.0800000000e-04   1.9360297285e-02   9.9369899544e+02  -1.5186096038e+05   3.5016035624e-01   8.1000791961e-05   1.9689479246e-05   3.7587121586e-04   1.5541790475e-01   4.1288361460e-04   3.2075254431e-02   5.6191930874e-05   3.4999610663e-11   3.2274881409e-12   3.5095563007e-09   2.3594695161e-07   6.9474838144e-03   5.3421028815e-02   7.6009076037e-09   2.8707180908e-08   1.8141262477e-12   7.5119366488e-01
   1.3200000000e-04   2.2427610659e-02   1.0823715194e+03  -1.7819485919e+05   3.2092672206e-01   9.4715652562e-05   2.6559274920e-05   5.5373861073e-04   1.4310318945e-01   5.2262827100e-04   3.6771877362e-02   4.5777550151e-05   7.4924724103e-11   6.8158887129e-12   5.8655281522e-09   2.8806130186e-07   8.1629352570e-03   6.1771736853e-02   1.1470813294e-08   4.4279878769e-08   3.9895907378e-12   7.4894524403e-01
   1.5600000000e-04   2.5330978324e-02   1.1616613004e+03  -2.0428924497e+05   2.9852316573e-01   1.0868843123e-04   3.3823221920e-05   7.4689862581e-04   1.3145943138e-01   6.5431752357e-04   4.1147288535e-02   3.8083499486e-05   1.5764224894e-10   1.4115850569e-11   9.6576714936e-09   3.5592459330e-07   9.3791261854e-03   6.9595252419e-02   1.6120097410e-08   6.7680422137e-08   8.5402097780e-12   7.4683788937e-01
   1.8000000000e-04   2.8098836807e-02   1.2333530846e+03  -2.3012310792e+05   2.8070844923e-01   1.2352634248e-04   4.1385522697e-05   9.3868114771e-04   1.2040149444e-01   8.0848568353e-04   4.5250603144e-02   3.2209579051e-05   3.3236870077e-10   2.9225633755e-11   1.6030866651e-08   4.5428675484e-07   1.0622395114e-02   7.6946620401e-02   2.1867653044e-08   1.0423152742e-07   1.8358180122e-11   7.4483275463e-01
   2.0400000000e-04   3.0750319891e-02   1.2987257361e+03  -2.5559521100e+05   2.6614445607e-01   1.3984339224e-04   4.9146251119e-05   1.1144870613e-03   1.0988514624e-01   9.8232044655e-04   4.9115775314e-02   2.7586062672e-05   7.1141983594e-10   6.1250191698e-11   2.7289872888e-08   6.0790369123e-07   1.1918677813e-02   8.3851737814e-02   2.9531627682e-08   1.6417478090e-07   4.0267602310e-11   7.4291569795e-01
   2.2800000000e-04   3.3299182574e-02   1.3587369080e+03  -2.8053918469e+05   2.5397703094e-01   1.5824414596e-04   5.6978106689e-05   1.2634026413e-03   9.9883726156e-02   1.1704478108e-03   5.2767392125e-02   2.3842890511e-05   1.5578853258e-09   1.3089050502e-10   4.8147815020e-08   8.5954876125e-07   1.3293868500e-02   9.0314570591e-02   4.0846353965e-08   2.6720791845e-07   9.0639187043e-11   7.4106506293e-01
   2.5200000000e-04   3.5755921384e-02   1.4141298188e+03  -3.0473864518e+05   2.4363185092e-01   1.7931880886e-04   6.4724743252e-05   1.3783749309e-03   9.0383422733e-02   1.3656280645e-03   5.6226387375e-02   2.0738017256e-05   3.4993178798e-09   2.8589515475e-10   8.8398628751e-08   1.2855770872e-06   1.4774340176e-02   9.6326858138e-02   5.9305916709e-08   4.5152823434e-07   2.0910823729e-10   7.3927956565e-01
   2.7600000000e-04   3.8128897944e-02   1.4654982571e+03  -3.2794169262e+05   2.3470647704e-01   2.0363773860e-04   7.2203537107e-05   1.4554598579e-03   8.1374808578e-02   1.5593137458e-03   5.9509685041e-02   1.8112724316e-05   8.0537723213e-09   6.3749378638e-10   1.6877593349e-07   2.0259003866e-06   1.6386113828e-02   1.0186920808e-01   9.1882383722e-08   7.9225836232e-07   4.9195226688e-10   7.3754712285e-01
   3.0000000000e-04   4.0424909361e-02   1.5133269213e+03  -3.4987311162e+05   2.2690954317e-01   2.3177220775e-04   7.9214107764e-05   1.4929231549e-03   7.2855117562e-02   1.7422022866e-03   6.2632776986e-02   1.5865856662e-05   1.8937668417e-08   1.4468284191e-09   3.3405418214e-07   3.3417185112e-06   1.8154822969e-02   1.0691823095e-01   1.5250382419e-07   1.4393560993e-06   1.1728329083e-09   7.3587303162e-01
   3.2400000000e-04   4.2649471097e-02   1.5580158352e+03  -3.7024409433e+05   2.2002479261e-01   2.6431033716e-04   8.5539694318e-05   1.4903576278e-03   6.4824664380e-02   1.9045035040e-03   6.5607124833e-02   1.3937561602e-05   4.5333910147e-08   3.3303275236e-09   6.8276563792e-07   5.7256209590e-06   2.0104203695e-02   1.1144534879e-01   2.6890220524e-07   2.6950207011e-06   2.8159241985e-09   7.3424934024e-01
   3.4800000000e-04   4.4806971264e-02   1.5998930006e+03  -3.8876066215e+05   2.1388911271e-01   3.0188892335e-04   9.0952206303e-05   1.4482048094e-03   5.7290466740e-02   2.0361362578e-03   6.8441922021e-02   1.2302356288e-05   1.1003455939e-07   7.7455300707e-09   1.4354578802e-06   1.0109384614e-05   2.2255422523e-02   1.1542340446e-01   4.9544085812e-07   5.1680737048e-06   6.7690615961e-09   7.3268321319e-01
   3.7200000000e-04   4.6900829980e-02   1.6392161589e+03  -4.0513326862e+05   2.0837906975e-01   3.4518858417e-04   9.5210728560e-05   1.3675110724e-03   5.0264262442e-02   2.1266841218e-03   7.1140655813e-02   1.0965905005e-05   2.6927155648e-07   1.8115686019e-08   3.0917373165e-06   1.8245615874e-05   2.4624049136e-02   1.1882488391e-01   9.3461179707e-07   1.0063311342e-05   1.6186904882e-08   7.3116670433e-01
