# time = 0.7
# Grid points = 623
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2497620576e-01  -7.5000000000e-01   1.1719838956e+00   1.8630701957e-05   4.4351825104e-11   5.6200109931e-15   5.6200109931e-15   3.0000002469e+02  -2.1502449151e-05   5.4795389505e-23   1.0358491505e-17   1.6042408976e-18   2.3584777306e-33   3.8358708208e-19   2.3299999998e-01   3.5892289606e-17   1.0302164288e-11   2.4170172504e-18   6.3964056958e-40   3.3082121155e-41   2.9652342779e-25   6.9455946409e-22   2.9644839990e-16   1.2583199075e-11   1.6954625065e-38   3.7842627700e-23   5.6082365024e-44   7.6700000000e-01   1.9076015721e+03
  -6.7496048424e-01  -6.9995241152e-01   1.1719838849e+00   1.8630702084e-05   5.7915817157e-10   3.5762793066e-13   3.5762793066e-13   3.0000002743e+02  -2.1502393805e-05   1.1025872362e-21   1.7340066278e-15   2.4088961061e-17   3.9681132406e-31   4.8985883162e-18   2.3299999975e-01   4.6779364347e-16   1.3458984756e-10   3.3565152303e-17   2.7049484577e-37   1.3989959585e-38   9.6211940666e-24   1.8449634967e-20   4.3205967588e-15   1.6438914216e-10   7.1842838932e-36   1.2303940289e-21   2.3716436053e-41   7.6699999995e-01   1.9076013132e+03
  -6.2497662967e-01  -6.4996855696e-01   1.1719837992e+00   1.8630703095e-05   4.8262398013e-09   8.4868368713e-12   8.4868368713e-12   3.0000004924e+02  -2.1501953013e-05   3.6578856889e-20   1.2611434383e-13   2.4927696879e-16   2.7866054813e-29   4.0568965874e-17   2.3299999789e-01   3.8969672018e-15   1.1244914482e-09   3.1014416752e-16   3.5816477417e-35   1.8524240193e-36   1.5292570732e-22   2.8362576030e-19   4.3151052681e-14   1.3734525104e-09   9.5071971323e-34   1.9545001810e-20   3.1403174370e-39   7.6699999962e-01   1.9075992509e+03
  -5.7499277511e-01  -5.9998470239e-01   1.1719833296e+00   1.8630708638e-05   2.7979125399e-08   1.0832637102e-10   1.0832637102e-10   3.0000016888e+02  -2.1499535634e-05   6.8384486746e-19   4.6769150324e-12   1.9499120755e-15   9.7858525007e-28   2.3843225333e-16   2.3299998768e-01   2.2616834936e-14   6.5533918557e-09   2.1102911059e-15   2.0597565719e-33   1.0653042372e-34   1.5153353138e-21   2.7909312460e-18   3.2647428302e-13   8.0041926122e-09   5.4454658271e-32   1.9287406242e-19   1.8059587502e-37   7.6699999776e-01   1.9075879288e+03
  -5.2500892058e-01  -5.5000084783e-01   1.1719813989e+00   1.8630731427e-05   1.2210551234e-07   7.9001324111e-10   7.9001324111e-10   3.0000066072e+02  -2.1489594914e-05   7.9009471080e-18   1.0424334242e-10   1.2244230720e-14   2.0377378198e-26   1.0847608235e-15   2.3299994571e-01   9.9059379867e-14   2.8878046926e-08   1.1492074008e-14   6.2849560173e-32   3.2505801943e-33   1.0556804995e-20   1.9279807317e-17   2.0052022384e-12   3.5270266861e-08   1.6391242771e-30   1.3251138150e-18   5.5106049711e-36   7.6699999014e-01   1.9075412729e+03
  -4.7502506630e-01  -5.0001699333e-01   1.1719751738e+00   1.8630804903e-05   4.1825930295e-07   2.3292948871e-09   2.3292948871e-09   3.0000224653e+02  -2.1457529585e-05   6.0331809953e-17   1.5390348569e-09   6.3458858565e-14   2.7861671192e-25   4.0274269419e-15   2.3299981034e-01   3.4289045357e-13   1.0088948555e-07   5.2397743822e-14   1.1815150233e-30   6.1108374547e-32   5.7334169723e-20   1.0128846595e-16   1.0310075139e-11   1.2321663323e-07   2.9585800725e-29   6.9033109366e-18   1.0359832765e-34   7.6699996554e-01   1.9073900880e+03
  -4.2504121324e-01  -4.5003313926e-01   1.1719588812e+00   1.8630997205e-05   1.1471684679e-06  -1.5341100320e-08  -1.5341100320e-08   3.0000639704e+02  -2.1373518631e-05   3.2144501041e-16   1.6137966495e-08   2.7763431164e-13   2.6981667271e-24   1.2712833215e-14   2.3299945567e-01   9.6972529212e-13   2.8955825687e-07   2.0630503562e-13   1.5806427750e-29   8.1752801857e-31   2.7122183723e-19   4.3991241082e-16   4.5315901883e-11   3.5361471737e-07   3.6083067701e-28   2.9702741598e-17   1.3860864042e-33   7.6699990111e-01   1.9069897769e+03
  -3.7505736469e-01  -4.0004928723e-01   1.1719233029e+00   1.8631417125e-05   2.5011332631e-06  -2.2771213956e-07  -2.2771213956e-07   3.0001546084e+02  -2.1189601301e-05   1.2495207143e-15   1.2623520673e-07   1.0424179852e-12   1.9587943157e-23   3.5323717849e-14   2.3299867926e-01   2.2971641884e-12   7.0259047624e-07   7.1563604098e-13   1.6605068102e-28   8.5886675915e-30   1.2028460280e-18   1.7028676126e-15   1.7264506149e-10   8.5792403452e-07   3.2920173338e-27   1.1394998547e-16   1.4564356434e-32   7.6699976005e-01   1.9060912249e+03
  -3.2507352841e-01  -3.5006544215e-01   1.1718571146e+00   1.8632198251e-05   4.0861771416e-06  -1.4444158246e-06  -1.4444158246e-06   3.0003232364e+02  -2.0845285308e-05   3.7422867891e-15   7.6356046488e-07   3.4152990199e-12   1.1116447492e-22   8.9180063902e-14   2.3299722583e-01   4.6362065277e-12   1.4758293834e-06   2.2260872342e-12   1.3877249254e-27   7.1782511633e-29   4.9812976768e-18   6.1293265168e-15   5.7970386016e-10   1.8017884105e-06   2.3816133095e-26   4.0656727847e-16   1.2176683407e-31   7.6699949596e-01   1.9043040688e+03
  -2.7508971052e-01  -3.0008161468e-01   1.1717493769e+00   1.8633469321e-05   3.7641972646e-06  -6.1414578675e-06  -6.1414578675e-06   3.0005977370e+02  -2.0275484105e-05   6.0749266401e-15   3.7274620008e-06   1.0092879138e-11   5.1535768703e-22   2.1276135778e-13   2.3299482090e-01   8.0621051964e-12   2.7554211337e-06   6.4178362193e-12   8.9848514426e-27   4.6480952180e-28   1.8549408108e-17   2.0591881308e-14   1.7774554572e-09   3.3629459332e-06   1.3832989149e-25   1.3524761643e-15   7.8889887491e-31   7.6699905893e-01   1.9008919044e+03
