# time = 0.5
# Grid points = 222
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2520504924e-01  -7.5000000000e-01   1.1719838963e+00   1.8630701948e-05   4.2372648255e-12   4.6684565648e-17   4.6684565648e-17   3.0000002451e+02  -2.1502452842e-05   1.0518197620e-24   3.4353209493e-19   3.0275064057e-19   7.7516676425e-35   6.4558602602e-20   2.3300000000e-01   6.9259615113e-18   1.9937413855e-12   4.6031448797e-19   1.2168499586e-44   6.2935325836e-46   2.9233528657e-29   2.1758322830e-23   5.7722372299e-17   2.4351813209e-12   1.4244808442e-43   1.6021185241e-27   1.0669091225e-48   7.6700000000e-01   1.9076015894e+03
  -6.7541033731e-01  -7.0041009849e-01   1.1719838949e+00   1.8630701966e-05   4.0688763123e-11   8.0534551517e-16   8.0534551517e-16   3.0000002488e+02  -2.1502445208e-05   2.0316972132e-23   3.1538681893e-17   2.9550954657e-18   7.0520004835e-33   6.0977402635e-19   2.3299999996e-01   6.6504497778e-17   1.9146653671e-11   4.4430858785e-18   1.8200466552e-42   9.4132586166e-44   4.5536096842e-28   1.5430482835e-22   5.6428490761e-16   2.3385953450e-11   2.1657163751e-41   2.5388007185e-26   1.5957796900e-46   7.6699999999e-01   1.9076015539e+03
  -6.2541081496e-01  -6.5041057613e-01   1.1719838832e+00   1.8630702103e-05   3.2595818211e-10   1.2508279870e-14   1.2508279870e-14   3.0000002785e+02  -2.1502385385e-05   9.3073350240e-22   2.0208305046e-15   2.4327481985e-17   4.4677914878e-31   4.7988916555e-18   2.3299999971e-01   5.3306321583e-16   1.5348651973e-10   3.5928184406e-17   2.0080444410e-40   1.0385581180e-41   6.2678547185e-27   9.0437125798e-22   4.6538039698e-15   1.8747008655e-10   2.4226982634e-39   3.5456733576e-25   1.7606124584e-44   7.6699999995e-01   1.9076012759e+03
  -5.7541129260e-01  -6.0041105378e-01   1.1719838062e+00   1.8630703012e-05   2.2127766683e-09   1.7953271702e-13   1.7953271702e-13   3.0000004747e+02  -2.1501989148e-05   3.0207548947e-20   9.3462281512e-14   1.7357728385e-16   2.0347458662e-29   3.1934090369e-17   2.3299999804e-01   3.6227291830e-15   1.0433361572e-09   2.4835947847e-16   1.7127035392e-38   8.8580825393e-40   7.8663034719e-26   4.4416822882e-21   3.3276463382e-14   1.2743395183e-09   2.0883481810e-37   4.4995820711e-24   1.5016642966e-42   7.6699999964e-01   1.9075994343e+03
  -5.2541177024e-01  -5.5041153142e-01   1.1719833781e+00   1.8630708065e-05   1.2670096344e-08   2.3223496460e-12   2.3223496460e-12   3.0000015652e+02  -2.1499787219e-05   7.0236091856e-19   3.1110732104e-12   1.0933784021e-15   6.6173444379e-28   1.7875225201e-16   2.3299998874e-01   2.0779539143e-14   5.9884045104e-09   1.4756434098e-15   1.1110023209e-36   5.7460935868e-38   8.8961827190e-25   1.8368703734e-20   2.1014821534e-13   7.3142583859e-09   1.3631968419e-35   5.1222622708e-23   9.7410722010e-41   7.6699999795e-01   1.9075892005e+03
  -4.7541224788e-01  -5.0041200906e-01   1.1719813706e+00   1.8630731761e-05   6.1474997505e-08   2.6279597853e-11   2.6279597853e-11   3.0000066792e+02  -2.1489460934e-05   1.2122977956e-17   7.6242688645e-11   6.3418410169e-15   1.5614763029e-26   8.4547630660e-16   2.3299994515e-01   1.0105589838e-13   2.9178993433e-08   7.7195075913e-15   5.4000833443e-35   2.7929239623e-36   8.8912878083e-24   6.6471307772e-20   1.2226783229e-12   3.5639024378e-08   6.6371308058e-34   5.1285539083e-22   4.7347556333e-39   7.6699999003e-01   1.9075412073e+03
  -4.2541272558e-01  -4.5041248671e-01   1.1719732596e+00   1.8630827500e-05   2.5698038468e-07   2.5409411228e-10   2.5409411228e-10   3.0000273418e+02  -2.1447738143e-05   1.6195423355e-16   1.4544918286e-09   3.5715813553e-14   2.8020097799e-25   3.4402739348e-15   2.3299976900e-01   4.2346321623e-13   1.2287923600e-07   3.7194815282e-14   1.9581549822e-33   1.0127667064e-34   7.6941776975e-23   2.3381460751e-19   6.9123607931e-12   1.5008119210e-07   2.4013085734e-32   4.4275313844e-21   1.7169814939e-37   7.6699995803e-01   1.9073472938e+03
  -3.7541320401e-01  -4.0041296445e-01   1.1719443888e+00   1.8631168288e-05   9.4289982700e-07   2.0360984877e-09   2.0360984877e-09   3.0001008916e+02  -2.1299220866e-05   1.7048828759e-15   2.2899838733e-08   1.9723219194e-13   4.0464641044e-24   1.2321032003e-14   2.3299914199e-01   1.5556709036e-12   4.5641593313e-07   1.7124092566e-13   5.2228849791e-32   2.7013819437e-33   5.5865186332e-22   9.1983950605e-19   3.8352483609e-11   5.5743418128e-07   6.3726687029e-31   3.1975992501e-20   4.5804204157e-36   7.6699984412e-01   1.9066570353e+03
  -3.2541368828e-01  -3.5041344357e-01   1.1718532867e+00   1.8632243729e-05   3.0613094725e-06   1.2988395672e-08   1.2988395672e-08   3.0003330021e+02  -2.0830512323e-05   1.3229829897e-14   2.9994120841e-07   1.0029745582e-12   4.8211522888e-23   3.9381139133e-14   2.3299716322e-01   5.0405568084e-12   1.5090281585e-06   7.4133212669e-13   9.8841599800e-31   5.1127772317e-32   3.2633642019e-21   4.0210714394e-18   1.9608150566e-10   1.8429153734e-06   1.1982810159e-29   1.8550318409e-19   8.6731228104e-35   7.6699948463e-01   1.9044786352e+03
  -2.7541420136e-01  -3.0041393298e-01   1.1716102961e+00   1.8635112789e-05   8.5570277701e-06   6.2510279985e-08   6.2510279985e-08   3.0009522705e+02  -1.9579945760e-05   6.3454845795e-14   2.9588345957e-06   4.2225707536e-12   4.3999376334e-22   1.0945581135e-13   2.3299188379e-01   1.3992155061e-11   4.3175052314e-06   2.7702590835e-12   1.2186612726e-29   6.3053760617e-31   1.4499447412e-20   1.6176795613e-17   8.3022820422e-10   5.2723871394e-06   1.4677846021e-28   8.1821331636e-19   1.0709301609e-33   7.6699852547e-01   1.8986664214e+03
  -2.2541486289e-01  -2.5041446974e-01   1.1711221344e+00   1.8640879327e-05   1.9180948585e-05   2.1960457286e-07   2.1960457286e-07   3.0021971361e+02  -1.7065867725e-05   3.6338135624e-13   1.8552540611e-05   1.3563051532e-11   2.6203160235e-21   2.4533067529e-13   2.3298127063e-01   3.0978717249e-11   9.9635051657e-06   8.0999273816e-12   8.6953855435e-29   4.5013166324e-30   4.6760302109e-20   5.0966606876e-17   2.6855966228e-09   1.2165917872e-05   1.0400041292e-27   2.6169806124e-18   7.6640370452e-33   7.6699659721e-01   1.8869818301e+03
